"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",131674752.820596,19471699.3572181,80302474.7842982,117703397.378764,131111788.582948,144548038.778564,197996319.363657
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",0,0,0,0,0,0,0
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",0,0,0,0,0,0,0
"Num Offtake","Adult Female",61264471.3140596,8603599.56836042,38542764.9776431,54981596.5529364,60988811.2686172,66906271.7175057,90351789.7495236
"Num Offtake","Adult Male",70410281.5065359,10884300.390008,41759709.8066551,62706625.7458851,70139019.4477482,77761986.1981045,107644529.614133
"Cml Pop Growth","Overall",505719073.735292,109859262.835135,239584160.028769,423957556.187278,493156861.718803,575097946.988021,913623799.649953
"Cml Pop Growth","Neonatal Female",123762793.357378,33622499.5831997,43664922.4863715,98889820.9762238,120436654.584572,144893826.635213,259277999.0244
"Cml Pop Growth","Neonatal Male",123762793.357378,33622499.5831997,43664922.4863715,98889820.9762238,120436654.584572,144893826.635213,259277999.0244
"Cml Pop Growth","Neonatal Combined",247525586.714756,67244999.1663995,87329844.9727431,197779641.952448,240873309.169145,289787653.270425,518555998.0488
"Cml Pop Growth","Juvenile Female",92098690.8275178,19889710.9824609,42585551.5306891,77381152.0518589,89968247.6518099,104899562.770763,168753082.065096
"Cml Pop Growth","Juvenile Male",93056586.4538294,20026323.489152,44031049.2082371,78499274.192374,91232675.1024733,105992075.627683,172574835.848698
"Cml Pop Growth","Juvenile Combined",185155277.281347,39867970.852882,86616600.7389261,156195425.543506,181070352.012117,210529690.674073,341327917.913795
"Cml Pop Growth","Adult Female",39793775.3160802,8663843.27353808,20277507.875088,33408614.552917,39280577.0516173,45124343.1124339,78324431.1192862
"Cml Pop Growth","Adult Male",33244434.4231081,6991183.36864515,18033666.393526,28159489.8040015,32734843.7944989,37630292.9989914,64452241.9935792
"Total Number Increase","Overall",637393826.555887,126318310.470926,333378683.875367,545470071.971536,622282128.946659,720474181.553102,1090588444.05324
"Total Number Increase","Neonatal Female",123762793.357378,33622499.5831997,43664922.4863715,98889820.9762238,120436654.584572,144893826.635213,259277999.0244
"Total Number Increase","Neonatal Male",123762793.357378,33622499.5831997,43664922.4863715,98889820.9762238,120436654.584572,144893826.635213,259277999.0244
"Total Number Increase","Neonatal Combined",247525586.714756,67244999.1663995,87329844.9727431,197779641.952448,240873309.169145,289787653.270425,518555998.0488
"Total Number Increase","Juvenile Female",92098690.8275178,19889710.9824609,42585551.5306891,77381152.0518589,89968247.6518099,104899562.770763,168753082.065096
"Total Number Increase","Juvenile Male",93056586.4538294,20026323.489152,44031049.2082371,78499274.192374,91232675.1024733,105992075.627683,172574835.848698
