"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",99672203.2772452,5057328.67150998,84881701.1913269,96163497.8417122,99790531.5118619,103010595.361582,113883023.974738
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",0,0,0,0,0,0,0
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",0,0,0,0,0,0,0
"Num Offtake","Adult Female",50588428.6631054,2285942.2412058,43708876.6567468,49038508.6722759,50573579.1012635,52119537.3194174,57077361.3599665
"Num Offtake","Adult Male",49083774.6141398,2798716.3754332,41172824.5345801,47197299.9038536,49160699.1727551,50923169.4527321,57219488.9404004
"Cml Pop Growth","Overall",91815202.6376776,10870702.5341954,59949987.4961957,84481778.1167339,91271668.2198057,98823139.2836846,134967042.805132
"Cml Pop Growth","Neonatal Female",17056127.1511942,2739987.84712608,9927484.09415409,15042915.9976235,16873846.8107944,18900279.6682459,27475393.0081763
"Cml Pop Growth","Neonatal Male",17056127.1511942,2739987.84712608,9927484.09415409,15042915.9976235,16873846.8107944,18900279.6682459,27475393.0081762
"Cml Pop Growth","Neonatal Combined",34112254.3023883,5479975.69425216,19854968.1883082,30085831.9952471,33747693.6215889,37800559.3364917,54950786.0163525
"Cml Pop Growth","Juvenile Female",24574424.8161594,2397320.99642714,17241276.4534409,22973327.881005,24401406.923914,26093118.2692926,33248697.1226807
"Cml Pop Growth","Juvenile Male",26780813.3305382,2397320.99642714,19447664.9678198,25179716.3953838,26607795.4382928,28299506.7836715,35455085.6370595
"Cml Pop Growth","Juvenile Combined",51355238.1466976,4794641.99285428,36688941.4212607,48153044.2763888,51009202.3622068,54392625.0529641,68703782.7597402
"Cml Pop Growth","Adult Female",-192514.983995392,1153821.37299408,-3651410.76580933,-988479.725808472,-231457.900100939,589920.986525404,3968201.5814402
"Cml Pop Growth","Adult Male",6540225.17258712,949521.421137287,3621186.98486688,5918122.31754334,6523611.38795976,7125077.66731618,10258470.24746
"Total Number Increase","Overall",191487405.914923,15239418.5384505,146456280.902927,181148118.691667,191050309.200591,201867928.554358,246967820.564111
