"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",7452367.14654823,29175.2795797366,7405922.36475874,7436794.89589042,7445786.2080667,7474226.69899695,7500640.12535126
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",307261.71486274,2499.28570773077,301996.667068342,305762.412913439,308001.897434046,308691.9035824,310732.477820342
"Num Offtake","Juvenile Male",961874.474449916,15515.302269521,939595.042605644,950805.565337419,958389.558039449,977223.649029735,983256.022240182
"Num Offtake","Juvenile Combined",1269136.18931266,16817.4327087304,1244809.38536633,1258426.25452073,1265206.28954636,1284361.64015982,1293988.50006052
"Num Offtake","Adult Female",2034316.98764109,2811.75734926233,2028673.56331184,2032782.47441284,2035026.1034133,2036664.95606339,2037113.20525115
"Num Offtake","Adult Male",4148913.96959449,12692.5158862329,4129806.54300954,4139105.83106279,4150556.55915578,4155411.64317643,4174282.83496634
"Cml Pop Growth","Overall",-2152761.4576852,361416.909508089,-2604967.10859019,-2466886.82329574,-2199793.94920477,-1940288.41456422,-1568329.61010608
"Cml Pop Growth","Neonatal Female",-421569.533947568,112497.56962601,-643333.069159782,-477440.482081556,-418821.833075269,-345129.152633019,-242890.085034988
"Cml Pop Growth","Neonatal Male",464241.007624494,114897.856214614,304203.006231497,361899.559855781,490889.825615889,530910.743976286,616023.879270897
"Cml Pop Growth","Neonatal Combined",42671.4736769265,215004.669682417,-313141.552489853,-142007.442225667,72067.9925406198,250056.939424715,284786.173823964
"Cml Pop Growth","Juvenile Female",-398648.997068916,53075.1535316315,-472225.850154855,-432539.873528057,-401781.972326537,-377754.115012257,-300202.678930718
"Cml Pop Growth","Juvenile Male",75886.7535112875,55624.5771717581,5260.46377837681,32876.6546714167,64279.5980667865,120931.407632227,159111.857464609
"Cml Pop Growth","Juvenile Combined",-322762.243557628,105594.327056417,-457071.177165728,-407333.329916041,-348532.768725721,-268226.781832352,-149682.29699422
"Cml Pop Growth","Adult Female",-348249.017523425,73208.864345605,-453145.00972637,-410850.704608893,-341726.869597415,-299358.75569539,-244643.250899188
"Cml Pop Growth","Adult Male",-1524421.67028108,39700.8043896185,-1583363.02170599,-1550471.4471501,-1536305.27588831,-1492015.87569963,-1456738.7618281
"Total Number Increase","Overall",5299605.68886303,374547.558529131,4830738.02855757,5006312.59449667,5244222.89787641,5514768.10395839,5917852.50349638
"Total Number Increase","Neonatal Female",-421569.533947568,112497.56962601,-643333.069159782,-477440.482081556,-418821.833075269,-345129.152633019,-242890.085034988
"Total Number Increase","Neonatal Male",464241.007624494,114897.856214614,304203.006231497,361899.559855781,490889.825615889,530910.743976286,616023.879270897
"Total Number Increase","Neonatal Combined",42671.4736769265,215004.669682417,-313141.552489853,-142007.442225667,72067.9925406198,250056.939424715,284786.173823964
"Total Number Increase","Juvenile Female",-91387.2822061753,54251.229677581,-166804.704018649,-126602.879697863,-94439.4417892817,-70866.0131520809,10529.7988896248
"Total Number Increase","Juvenile Male",1037761.2279612,65978.4590185714,944855.506384021,1001517.082531,1015380.58175855,1083188.58148189,1140806.36073693
"Total Number Increase","Juvenile Combined",946373.945755028,115982.204843217,807533.64855666,874888.77471654,910709.934152272,997657.537349602,1144306.2030663
"Total Number Increase","Adult Female",1686067.97011766,74938.0228636158,1575528.55358547,1624577.61932439,1693692.21948431,1735587.0591998,1792361.1439144
"Total Number Increase","Adult Male",2624492.29931341,50560.4470591557,2546443.52130355,2588422.59131118,2614251.28326747,2667265.16201747,2698450.45690025
"Total Mortality","Overall",4925290.55971001,161154.820100541,4657200.5917417,4817517.16442921,4905196.69788617,5039718.83337029,5180757.9537616
"Total Mortality","Neonatal Female",1105873.40611301,78496.9103922933,1001407.23925353,1047358.69693971,1109573.89712914,1154019.49714448,1247495.77651403
"Total Mortality","Neonatal Male",998742.596154826,122257.95676194,770429.861287523,942720.755795616,1002938.27819924,1075648.47513571,1200730.01908965
"Total Mortality","Neonatal Combined",2104616.00226783,154044.93995915,1871971.28861612,2011830.70713024,2074279.18694437,2219830.33125341,2384500.7092656
"Total Mortality","Juvenile Female",661794.462781287,5383.07690895855,650454.359839506,658565.19704433,663388.702165638,664874.8692544,669269.952228429
"Total Mortality","Juvenile Male",427499.766422185,6895.68989756491,417597.79671362,422580.251261075,425950.914684199,434321.621790993,437002.676551192
"Total Mortality","Juvenile Combined",1089294.22920347,10528.5706609939,1074982.5349674,1084303.0220561,1085127.26647014,1098505.86328881,1106272.62877962
"Total Mortality","Adult Female",1302302.86739366,58056.5103872448,1229352.5297475,1279667.19558494,1287858.46231948,1307625.24056087,1427467.76916395
"Total Mortality","Adult Male",429077.460845051,19101.300722554,402425.860499121,412561.061435927,428590.318803603,441861.023022012,457562.516198404
"Population Liveweight (kg)","Overall",578522222.721628,9573548.52215994,566345389.134885,570271663.458946,578302647.661065,585847741.337388,593125019.636808
"Population Liveweight (kg)","Neonatal Female",21532041.5098403,3364411.54356282,16686086.838538,19941638.3811411,21770796.9169296,23115355.0413471,27885012.7586889
"Population Liveweight (kg)","Neonatal Male",21950336.3505215,2302303.89572082,18634492.6830805,20285961.3898934,21595229.735059,23346159.622677,26484356.1900611
"Population Liveweight (kg)","Juvenile Female",27986625.9976972,5148329.59711445,20108434.0087273,25156419.5890385,27137950.1516238,29834449.8568264,36329074.2656387
"Population Liveweight (kg)","Juvenile Male",19142038.8747205,4697280.19168115,12638209.160281,15426930.7656513,18401323.2827883,22271572.2543628,26536323.0518931
"Population Liveweight (kg)","Juvenile Combined",47128664.8724177,7025916.12763287,36544082.9251898,43335748.8314079,45515952.7575413,52363475.4255782,58418454.4663512
"Population Liveweight (kg)","Adult Female",387141129.108872,2843315.06364898,385198652.286369,385604322.51526,386223004.649292,386608145.712305,394597720.713051
