"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",5785814.21882957,95234.506395149,5492668.19997991,5720715.20979478,5783934.33040827,5850064.15525693,6102014.16824698
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",221217.850183128,7285.02429513218,198960.846575236,216200.856089437,221056.501323133,225997.81403276,244392.570032833
"Num Offtake","Juvenile Male",1381554.30097195,51359.2378871854,1225156.76835701,1346082.21366126,1380399.33391916,1415088.97703866,1542441.65216163
"Num Offtake","Juvenile Combined",1602772.15115508,58641.8372544885,1424117.61493225,1562264.57618314,1601647.73842053,1640965.25347357,1786834.22219446
"Num Offtake","Adult Female",1062420.17577139,3900.40305835628,1050538.9003194,1059720.80104757,1062392.0594726,1065009.04125371,1076175.69991075
"Num Offtake","Adult Male",3120621.8919031,33659.7272735258,3018011.68472827,3097750.59382235,3120233.55699112,3142990.24078847,3239004.24614177
"Cml Pop Growth","Overall",9600181.91958364,1057870.86292365,6455999.59696759,8914070.86643,9559004.07953389,10263564.9173428,13031016.3970495
"Cml Pop Growth","Neonatal Female",1292075.85450674,299186.405573509,385786.127036393,1091626.22897535,1282117.95213428,1467274.11972698,2248190.34190165
"Cml Pop Growth","Neonatal Male",1485181.86648189,299176.070297012,579022.872889437,1284850.35704265,1475301.3989859,1660369.70579071,2441415.33044882
"Cml Pop Growth","Neonatal Combined",2777257.72098863,598362.467413402,964808.99992583,2376476.586018,2757425.17503487,3127643.82551769,4689605.67235046
"Cml Pop Growth","Juvenile Female",1821350.82226359,179644.192579372,1280137.28962086,1702371.69440435,1814790.99210305,1941192.76512253,2402218.13650457
"Cml Pop Growth","Juvenile Male",1512673.2355513,155699.198555218,1045104.65492538,1409314.63381134,1506505.52282625,1618009.79055883,2022021.56334445
"Cml Pop Growth","Juvenile Combined",3334024.05781488,335111.122051278,2325241.94454625,3115301.62931564,3319209.98269004,3558488.83063266,4424239.69984902
"Cml Pop Growth","Adult Female",2639985.73129902,156824.295318818,2162049.19386772,2531721.95426635,2636921.05421236,2742626.82716146,3134520.98214885
"Cml Pop Growth","Adult Male",848914.409481112,115714.152111009,502157.05815667,772376.699690331,843746.431574636,925347.296896485,1210640.96901343
"Total Number Increase","Overall",15385996.1384132,1127783.49368689,12002296.8896319,14639937.5653053,15358093.3871806,16097661.3360549,19043109.7170956
"Total Number Increase","Neonatal Female",1292075.85450674,299186.405573509,385786.127036393,1091626.22897535,1282117.95213428,1467274.11972698,2248190.34190165
"Total Number Increase","Neonatal Male",1485181.86648189,299176.070297012,579022.872889437,1284850.35704265,1475301.3989859,1660369.70579071,2441415.33044882
"Total Number Increase","Neonatal Combined",2777257.72098863,598362.467413402,964808.99992583,2376476.586018,2757425.17503487,3127643.82551769,4689605.67235046
"Total Number Increase","Juvenile Female",2042568.67244671,185683.581026686,1482442.46007419,1921011.59419151,2038330.45918282,2167224.21229645,2641381.82837755
"Total Number Increase","Juvenile Male",2894227.53652325,198917.636903227,2292095.38032194,2762645.00905816,2891589.35383448,3025337.96288507,3531718.66440659
"Total Number Increase","Juvenile Combined",4936796.20896996,384403.869847678,3774537.84039613,4686026.6205373,4932623.69579878,5187758.90045004,6173100.49278414
"Total Number Increase","Adult Female",3702405.90707042,160534.180257365,3212588.09418711,3591353.22841366,3699460.86498653,3807842.87590342,4210696.6820596
"Total Number Increase","Adult Male",3969536.30138421,147567.387732195,3520168.74288494,3867616.5012239,3966217.80450012,4065889.45515334,4431804.18367566
"Total Mortality","Overall",2725.04668791373,216.782338878097,2101.44935369609,2574.59536766936,2710.11812615828,2868.39134736621,3403.08150948059
"Total Mortality","Neonatal Female",1259.71809522628,139.446649819377,783.148885665184,1166.79878329433,1249.88353805411,1344.39902178004,1905.13923886702
"Total Mortality","Neonatal Male",1229.81147689061,139.723931241133,796.160251397357,1134.83332472914,1223.23930049907,1319.04161153738,1735.25172582371
"Total Mortality","Neonatal Combined",2489.52957211689,214.844927377221,1870.54431673969,2342.52556208225,2473.16071477055,2635.66796018898,3205.88873235646
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",235.517115796845,27.9523658738092,150.87677086652,216.315212391013,234.657768983363,254.450048137133,335.67228630455
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",5076184.64064715,392936.132898074,4007430.59594463,4792612.85870513,5060395.84000627,5327813.74969473,6456514.44320221
"Value of Total Mortality","Neonatal Female",1772215.80022034,196178.460112777,1101761.44516801,1641493.63835299,1758380.19868796,1891347.91127326,2680217.00532404
"Value of Total Mortality","Neonatal Male",2594486.83288593,294770.301510551,1679629.21791902,2394115.01181806,2580621.76053001,2782732.27845863,3660795.03972028
"Value of Total Mortality","Neonatal Combined",4366702.63310628,383034.784052058,3284741.38732064,4104183.50858946,4336440.29015773,4620038.17581916,5609795.04825572
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",709482.007540868,84204.9232327284,454507.749568392,651637.358200276,706893.273807694,766516.396740035,1011193.80116991
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",741500273.861278,39202421.9944741,633882834.455134,713188816.285312,740704187.736615,766898390.968669,891106127.371435
