"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",4853623.35538698,20455.9634602579,4818894.44207165,4839705.3335841,4860475.66039784,4865314.56190782,4885531.25024551
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",155244.861853188,2012.76134562844,151639.723968367,154222.630404584,154754.252519488,156268.216679691,158323.711902523
"Num Offtake","Juvenile Male",937519.046760025,12352.4385898271,916024.55222071,929807.023911898,941107.817216644,945625.787482973,955115.678503503
"Num Offtake","Juvenile Combined",1092763.90861321,13523.768163943,1069958.77051929,1082065.90139365,1097408.64148284,1101753.72232425,1109942.12310075
"Num Offtake","Adult Female",992772.925118312,2043.42242296363,989951.143763396,991130.700683585,992999.205468789,993621.81045913,996413.71534116
"Num Offtake","Adult Male",2768086.52165545,6926.4838667106,2758329.08460669,2762580.76210938,2769085.30014496,2771084.78317152,2782452.82354747
"Cml Pop Growth","Overall",-1725974.58994653,250588.126643103,-2249315.31334659,-1856479.42545424,-1716918.28878724,-1496600.51769221,-1481374.74774254
"Cml Pop Growth","Neonatal Female",-1037314.41726044,58404.0426764504,-1163620.23121174,-1045870.20477296,-1023675.03476003,-990894.222259845,-988802.184538247
"Cml Pop Growth","Neonatal Male",-854516.604403836,63578.6988882315,-962551.95432954,-902603.850706591,-853613.90722099,-812774.444322148,-755759.264584151
"Cml Pop Growth","Neonatal Combined",-1891831.02166428,113811.011323751,-2126172.18554128,-1953116.36793589,-1900435.26921124,-1806314.96022101,-1744912.06685195
"Cml Pop Growth","Juvenile Female",99464.867670216,48522.8063846202,1855.25935160299,76780.1388858531,90754.0798439307,137369.14884226,173544.806384953
"Cml Pop Growth","Juvenile Male",77658.144106149,37070.6502943325,19018.8822907587,43489.4808017241,86902.8118815281,107331.941340802,118540.827052747
"Cml Pop Growth","Juvenile Combined",177123.011776365,80224.7086278314,20874.1416423616,131543.796250848,183399.095245651,232217.904512543,290095.061308007
"Cml Pop Growth","Adult Female",320398.36891984,53783.8034501733,208339.123279735,288688.804835227,332364.710524185,359519.793978066,384847.519354397
"Cml Pop Growth","Adult Male",-331664.948978461,28048.1255226883,-371974.089090516,-349354.350019371,-332439.985957626,-315120.783095767,-283329.996277905
"Total Number Increase","Overall",3127648.76544044,265803.489118357,2590651.64090646,2982229.42065584,3133183.04539663,3366495.17283409,3395889.30813864
"Total Number Increase","Neonatal Female",-1037314.41726044,58404.0426764504,-1163620.23121174,-1045870.20477296,-1023675.03476003,-990894.222259845,-988802.184538247
"Total Number Increase","Neonatal Male",-854516.604403836,63578.6988882315,-962551.95432954,-902603.850706591,-853613.90722099,-812774.444322148,-755759.264584151
"Total Number Increase","Neonatal Combined",-1891831.02166428,113811.011323751,-2126172.18554128,-1953116.36793589,-1900435.26921124,-1806314.96022101,-1744912.06685195
"Total Number Increase","Juvenile Female",254709.729523404,50437.8940309718,153494.98331997,231215.354055771,245134.411291844,293637.365521951,331868.518287476
"Total Number Increase","Juvenile Male",1015177.19086617,48394.9248850557,947802.285562989,966007.252210348,1031331.99071406,1051297.04801583,1073656.50555625
"Total Number Increase","Juvenile Combined",1269886.92038958,90939.9922451195,1101297.26888296,1205761.43010352,1288304.21445003,1333887.62773472,1395694.51187662
"Total Number Increase","Adult Female",1313171.29403815,55537.8454247584,1198290.26704313,1280098.8531957,1326506.1781424,1353016.03143477,1381261.23469556
"Total Number Increase","Adult Male",2436421.57267699,34390.9045382837,2386354.99551617,2418248.38141655,2434779.82153798,2456469.12157187,2499122.82726956
"Total Mortality","Overall",4169164.24300744,92152.0422050569,4008580.89311194,4132842.27417046,4165407.53954185,4225885.69094657,4309331.34326119
"Total Mortality","Neonatal Female",1041966.43525059,71669.6087770168,938528.37988692,987075.372273125,1037874.57931297,1101523.68936638,1149464.63388661
"Total Mortality","Neonatal Male",1037126.19205401,69745.0274615779,906749.813424019,1032405.98509623,1048615.89428853,1067687.47532833,1134208.29175985
"Total Mortality","Neonatal Combined",2079092.6273046,71626.1672408184,1987203.65237423,2023418.02633715,2070920.02919001,2148464.56752636,2177590.91427321
"Total Mortality","Juvenile Female",482984.014654364,6261.92418639958,471768.030123807,479803.739036484,481457.674505073,486167.785225707,492562.659252294
"Total Mortality","Juvenile Male",369725.821257474,4871.38423260787,361249.119185632,366684.46013427,371141.111015015,372922.845767933,376665.338001381
"Total Mortality","Juvenile Combined",852709.835911838,9754.94265504951,838048.808879053,845125.218809983,855354.102950248,858226.704814887,866136.189993849
"Total Mortality","Adult Female",980066.654734967,34876.9268262729,922146.495786563,958411.311773717,990787.932958795,1001181.63918537,1027400.63264409
"Total Mortality","Adult Male",257295.125056039,12461.6667093905,245153.206740505,249035.829110777,253803.578338409,258891.026987019,283364.174591892
"Value of Total Mortality","Overall",8329281265.15224,182035395.544467,8011393720.46999,8196557338.02786,8367596442.07343,8426032657.95136,8620718279.80914
"Value of Total Mortality","Neonatal Female",1482797530.4277,101991307.307056,1335597306.06673,1404683370.63141,1476974508.04052,1567552035.30838,1635775647.63988
"Value of Total Mortality","Neonatal Male",1251457732.36805,84158470.376832,1094137891.82723,1245762051.8029,1265321885.84732,1288334782.19841,1368602729.0736
"Value of Total Mortality","Neonatal Combined",2734255262.79575,95505227.6969253,2600990841.15651,2660425983.99292,2720449279.37447,2816395104.68089,2876373554.91327
"Value of Total Mortality","Juvenile Female",888045264.102273,11513573.8433893,867422838.426895,882197806.183776,885238837.595679,893899148.065477,905657171.978349
"Value of Total Mortality","Juvenile Male",841668492.852831,11089543.6278194,822371563.487972,834744935.758326,844890352.751951,848946412.453305,857466071.120711
"Value of Total Mortality","Juvenile Combined",1729713756.9551,19758262.7871551,1701248806.99835,1713550410.92662,1735325971.12517,1742492272.49982,1756084847.05813
"Value of Total Mortality","Adult Female",2619133641.72162,93205224.2867676,2464347601.30007,2561261825.55605,2647785224.08352,2675561401.8656,2745629133.9816
"Value of Total Mortality","Adult Male",1246178603.67976,60356613.5038448,1187370653.82392,1206175677.5217,1229267708.79859,1253908166.52913,1372440971.62308
"Population Liveweight (kg)","Overall",416592796.203202,5417834.86315239,408157303.953495,412726202.797789,415736278.688385,420839661.623823,424315303.127181
"Population Liveweight (kg)","Neonatal Female",16242075.3600422,1958622.49920653,12296245.8986362,15244772.859188,16519806.3618917,17011076.0385807,19792635.6427569
"Population Liveweight (kg)","Neonatal Male",14230342.7499251,2313581.10713708,10783529.5015666,12376163.9174561,14526993.4639827,16271498.7715788,17183652.09348
"Population Liveweight (kg)","Juvenile Female",21794726.635229,1416362.27645556,18625119.7929672,21062575.6273448,22126134.9419383,22795666.9222732,23250941.9304645
"Population Liveweight (kg)","Juvenile Male",16761264.593442,1358977.92518877,14184763.8620385,15880753.3105594,16846603.8382714,17500632.1905691,18913440.0180207
"Population Liveweight (kg)","Juvenile Combined",38555991.228671,2259008.94710431,32809883.6550058,38109511.5394989,38701443.0865166,40162739.2321485,40675468.8087638
"Population Liveweight (kg)","Adult Female",282053626.027411,1841013.36318919,278042535.927737,281354167.794608,282337141.43132,282644794.284928,285234484.570417
"Population Liveweight (kg)","Adult Male",65510760.8371524,944750.531014653,64236157.8609532,64888598.0778562,65446736.1655218,66287787.4658144,66978422.6444575
"Offtake Liveweight (kg)","Overall",106691152.801957,1165392.34418229,104612792.131278,105910103.317314,106688025.692185,107399782.682186,108289440.931597
"Offtake Liveweight (kg)","Juvenile Female",2149704.07838834,154920.279026344,1939828.60230752,2044442.31256083,2147477.65036756,2293797.67123468,2340576.10251444
"Offtake Liveweight (kg)","Juvenile Male",13132241.6653277,1010479.66541611,11756616.6546985,12261537.4888282,13145847.2850371,14003684.4411047,14660096.9107653
"Offtake Liveweight (kg)","Adult Female",24829905.6347916,213901.306182489,24469628.3748022,24742066.8704009,24841175.9796419,24938934.3844494,25204892.0999374
"Offtake Liveweight (kg)","Adult Male",66579301.4234497,461087.02057248,65748399.9690385,66338276.3113826,66542117.395824,66944361.1042345,67279610.0160959
"Meat (kg)","Overall",44810284.1768221,489464.784556562,43937372.6951367,44482243.3932721,44808970.7907178,45107908.7265179,45481565.1912707
"Manure","Overall",1863935967.68671,9241710.36075093,1849341759.3301,1857750513.09332,1865564311.56313,1871713415.57527,1875968763.16459
"Manure","Neonatal Female",72683407.2481504,3133702.37539573,67671993.7436306,70826386.7139576,72920308.8688221,75408007.4297449,76559744.8706284
"Manure","Neonatal Male",67915095.4478869,2672022.83741437,62657381.5824437,67053265.2603814,67981911.6733486,69839287.6869975,71556025.8264313
"Manure","Neonatal Combined",140598502.696037,4263757.72879793,134277804.090305,137421125.905008,141188001.395673,143759549.909292,146363095.950486
"Manure","Juvenile Female",124794087.863049,2385947.58874848,122234455.862952,123310815.618271,124098041.307618,125893599.105242,130116997.375252
"Manure","Juvenile Male",95395586.0500987,2351657.20429869,92534278.629506,93385271.3104361,95145585.7156957,97175357.4873166,98903493.7144517
"Manure","Juvenile Combined",220189673.913148,4146629.30477564,215186721.451236,217104901.730176,219691736.620069,221436461.729807,228702280.425836
"Manure","Adult Female",1194860634.80922,3313857.21866768,1191222356.77477,1192330984.58541,1194392749.87914,1196028483.85997,1201521730.23509
"Manure","Adult Male",308287156.268306,1286612.48202432,306650998.912186,307650905.630821,307969136.18303,308796931.254806,311233803.244687
"Hides","Overall",1045035.80785142,21118.7160736224,1010688.62036885,1034060.85305914,1043920.47269254,1062387.49636024,1073145.33707261
"Hides","Juvenile Female",241492.007327182,3130.96209319979,235884.015061904,239901.869518242,240728.837252536,243083.892612853,246281.329626147
"Hides","Juvenile Male",184862.910628737,2435.69211630394,180624.559592816,183342.230067135,185570.555507507,186461.422883966,188332.669000691
"Hides","Juvenile Combined",426354.917955919,4877.47132752475,419024.404439526,422562.609404992,427677.051475124,429113.352407444,433068.094996924
"Hides","Adult Female",490033.327367484,17438.4634131365,461073.247893282,479205.655886858,495393.966479397,500590.819592687,513700.316322044
"Hides","Adult Male",128647.56252802,6230.83335469524,122576.603370252,124517.914555388,126901.789169204,129445.513493509,141682.087295946
"Milk","Overall",0,0,0,0,0,0,0
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",1658825513.33259,44110172.9785579,1570077344.93389,1634627572.21316,1671382896.81224,1689112927.81724,1712012310.16195
"Cml Dry Matter","Neonatal Female",162314752.80541,7705628.57330376,149566642.8883,155250166.16004,164994278.846332,168394885.868718,170611487.497845
"Cml Dry Matter","Neonatal Male",155327484.939783,9658862.70088192,136589940.086552,151609510.658646,155547232.569126,158610673.218028,169944977.951276
"Cml Dry Matter","Neonatal Combined",317642237.745192,13960284.3287942,286156582.974852,312527293.779489,319264593.84275,325356371.557013,335966425.013501
"Cml Dry Matter","Juvenile Female",137475686.048287,6256137.39616858,128581897.852976,133074247.142528,136518556.199075,143025178.129787,146066679.406988
"Cml Dry Matter","Juvenile Male",102255754.613197,8069417.22047379,85158961.6076532,100831398.381929,101896485.800608,104831724.01558,114033531.733358
