"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",4841985.93476213,19988.3017493411,4816735.83464738,4829709.54135864,4835303.05575069,4856286.37602894,4872514.91052095
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",153564.780140409,1196.17406877186,151063.586076982,152934.638833053,153703.17035551,154552.091522933,154825.859578752
"Num Offtake","Juvenile Male",934889.845867336,10581.8776388681,919779.730527557,929101.635685121,931992.60683528,944039.909290588,951028.979884512
"Num Offtake","Juvenile Combined",1088454.62600775,11232.7508890683,1072361.41025593,1080608.20987468,1086340.97194461,1098641.36196282,1104260.91963483
"Num Offtake","Adult Female",991732.166255662,2262.05307495223,987956.629915575,989954.225836417,991979.638139099,993829.764080397,994274.738867961
"Num Offtake","Adult Male",2761799.14249872,9966.79563913071,2750658.05076269,2754108.82921815,2759676.45181574,2770500.8110113,2778508.502296
"Cml Pop Growth","Overall",-1824760.93648958,152533.231119637,-2014024.68659042,-1911655.14651288,-1877549.32937231,-1757281.72433208,-1481304.52522155
"Cml Pop Growth","Neonatal Female",-1072855.9281165,42708.3857869634,-1144164.34744818,-1101335.5070489,-1070786.88135859,-1055972.71134974,-988955.747173015
"Cml Pop Growth","Neonatal Male",-877782.149484216,59019.527795542,-944917.926675867,-915033.478903513,-883332.378208943,-863107.654873491,-740800.24453096
"Cml Pop Growth","Neonatal Combined",-1950638.07760071,98616.9082600714,-2089082.27412404,-2006619.45157386,-1964398.49638884,-1911855.7591154,-1729755.99170398
"Cml Pop Growth","Juvenile Female",72758.4691136828,19527.673859112,41219.3207238517,66141.9054151436,72351.0625058837,79725.7465222197,111753.576032598
"Cml Pop Growth","Juvenile Male",74453.4086366724,26057.0617242507,30038.82901457,63546.4891132175,76048.7427573998,89014.0364217808,119114.01003242
"Cml Pop Growth","Juvenile Combined",147211.877750355,42384.1550207295,71258.1497384217,121894.237457524,150731.611023022,165753.051700739,230867.586065018
"Cml Pop Growth","Adult Female",321329.49947763,49200.0160695239,247133.542466646,293203.458375935,328004.098976768,341316.008132457,390391.946515989
"Cml Pop Growth","Adult Male",-342664.236116849,18546.0130993069,-359900.63085148,-356620.494733612,-350948.803721872,-333882.831691913,-307867.211575085
"Total Number Increase","Overall",3017224.99827255,158731.302632215,2843418.32702617,2914893.24971552,2976952.06546363,3079682.75276885,3388607.05750745
"Total Number Increase","Neonatal Female",-1072855.9281165,42708.3857869634,-1144164.34744818,-1101335.5070489,-1070786.88135859,-1055972.71134974,-988955.747173015
"Total Number Increase","Neonatal Male",-877782.149484216,59019.527795542,-944917.926675867,-915033.478903513,-883332.378208943,-863107.654873491,-740800.24453096
"Total Number Increase","Neonatal Combined",-1950638.07760071,98616.9082600714,-2089082.27412404,-2006619.45157386,-1964398.49638884,-1911855.7591154,-1729755.99170398
"Total Number Increase","Juvenile Female",226323.249254091,20135.3629137921,195713.715037244,219109.516784555,225409.298978773,233645.391008873,266579.43561135
"Total Number Increase","Juvenile Male",1009343.25450401,33520.6206353101,965563.260982507,989355.129411195,1006001.30519344,1031485.31943422,1067289.10011253
"Total Number Increase","Juvenile Combined",1235666.5037581,49930.9914740997,1161276.97601975,1199473.6444002,1237072.58296763,1263008.86258921,1333868.53572388
