"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",4853145.71693147,18177.4297530029,4820255.2575438,4846074.14701938,4858926.40944022,4863762.96455443,4874196.21014163
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",155381.339256335,1374.9998070633,152777.856251811,154650.207550751,155408.171823435,156442.75345002,157293.826123647
"Num Offtake","Juvenile Male",937961.653585518,8729.92539302151,923756.166558962,931106.655527072,941201.067373417,943257.365748446,948072.454756527
"Num Offtake","Juvenile Combined",1093342.99284185,9875.07512422773,1077619.53621615,1086533.98984225,1096321.56173452,1099575.93954844,1105366.28088017
"Num Offtake","Adult Female",993701.241311646,2595.67742780238,989433.949145144,991556.399348773,994562.571638744,995408.371957849,997201.81191268
"Num Offtake","Adult Male",2766101.48277797,9115.80792921496,2750955.32960641,2763048.89333755,2768705.78781324,2771901.48020745,2777060.26546027
"Cml Pop Growth","Overall",-1770431.94314817,212464.320047895,-2205010.35924117,-1850759.33992973,-1800641.16960784,-1618460.92355318,-1485603.23701757
"Cml Pop Growth","Neonatal Female",-1080916.65097062,62286.5423853796,-1203626.0464776,-1102257.85697911,-1083940.34980532,-1034919.17335319,-993381.105905724
"Cml Pop Growth","Neonatal Male",-855529.084206846,63115.6105730117,-943579.870360728,-896354.365757426,-860877.462603148,-820962.085275342,-743195.263702346
"Cml Pop Growth","Neonatal Combined",-1936445.73517746,118050.27459848,-2147205.91683833,-2013904.06839823,-1952186.90278467,-1840268.4405955,-1775147.88346985
"Cml Pop Growth","Juvenile Female",82915.1898836414,36139.3630138175,14774.4816060865,66821.351225497,81000.7544637381,97133.4544161538,156003.7274431
"Cml Pop Growth","Juvenile Male",79562.4477212535,28692.5342817589,48587.8182414225,53850.8442553778,74400.4243895006,100937.407617788,133508.438871722
"Cml Pop Growth","Juvenile Combined",162477.637604895,60451.0126266932,63843.0042934571,126013.668316579,165034.973615728,177083.07530868,289512.166314821
"Cml Pop Growth","Adult Female",338028.453759878,53579.4288084271,246279.024926562,312018.59662905,357139.994703786,371772.106742548,411970.996613095
"Cml Pop Growth","Adult Male",-334492.299335484,22178.8682332748,-367926.471622857,-350451.57881532,-330222.273138618,-316035.024225949,-308038.362424164
"Total Number Increase","Overall",3082713.7737833,221419.531106829,2615244.89830263,3013755.81549233,3051660.0067833,3243402.60739861,3378335.5047868
"Total Number Increase","Neonatal Female",-1080916.65097062,62286.5423853796,-1203626.0464776,-1102257.85697911,-1083940.34980532,-1034919.17335319,-993381.105905724
"Total Number Increase","Neonatal Male",-855529.084206846,63115.6105730117,-943579.870360728,-896354.365757426,-860877.462603148,-820962.085275342,-743195.263702346
"Total Number Increase","Neonatal Combined",-1936445.73517746,118050.27459848,-2147205.91683833,-2013904.06839823,-1952186.90278467,-1840268.4405955,-1775147.88346985
"Total Number Increase","Juvenile Female",238296.529139977,37136.0277181784,167552.337857898,221504.19437932,236864.331794923,253586.72757621,313297.553566747
"Total Number Increase","Juvenile Male",1017524.10130677,35779.019508845,975118.845915713,987625.81785607,1015601.49176292,1043005.47175644,1081580.89362825
"Total Number Increase","Juvenile Combined",1255820.63044675,67668.8551373262,1142671.18377361,1216884.92706401,1253499.57389179,1275645.41183788,1394878.447195
"Total Number Increase","Adult Female",1331729.69507152,56054.582205675,1236750.7733838,1303574.99597782,1352064.5164843,1367555.08562184,1409172.80852577
"Total Number Increase","Adult Male",2431609.18344249,29937.8656349974,2383028.85798355,2414660.18698251,2441100.33552501,2456293.49079609,2461113.35679744
"Total Mortality","Overall",4177398.0830648,101092.904035574,3975912.13715093,4129608.60245986,4194585.9698579,4247054.72218746,4308728.00452946
"Total Mortality","Neonatal Female",1080686.24406152,66523.3237188419,979339.177908889,1032989.39500756,1074910.32299614,1126605.7190068,1191064.59953284
"Total Mortality","Neonatal Male",1016567.95574723,50063.6150928578,954404.931407279,979932.191012397,1013394.45339599,1043082.55098733,1123021.64149215
"Total Mortality","Neonatal Combined",2097254.19980875,89701.7423450273,1973876.64051597,2048476.50210092,2099153.28648654,2138722.57356053,2276113.36386325
