"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",4854414.43702131,23922.3945222419,4824113.89865474,4833053.8096321,4849725.47201806,4878585.00964603,4883486.08468127
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",155643.210863241,2093.78829672233,152188.315761816,154783.37522559,155927.914009837,156596.895082652,159610.789147406
"Num Offtake","Juvenile Male",939297.588022874,12551.2118200926,922969.575311671,928483.267984525,937659.083360465,950562.430934223,954835.044472934
"Num Offtake","Juvenile Combined",1094940.79888612,13940.3435879701,1076073.3538829,1082139.37975222,1092907.25934949,1109367.3332356,1111361.6161449
"Num Offtake","Adult Female",993452.162566906,2374.37142620075,990859.778795284,991636.835074166,993072.530393932,994202.042737649,998611.918600257
"Num Offtake","Adult Male",2766021.47556829,9457.40980109875,2754016.47900079,2757796.66696028,2764124.70669943,2776195.07910662,2777024.54065464
"Cml Pop Growth","Overall",-1743733.03074037,210772.697756048,-2155394.65497679,-1803743.48311808,-1709556.94619945,-1592130.11558022,-1457256.13384782
"Cml Pop Growth","Neonatal Female",-1055447.67138609,51402.2610313444,-1144595.71486238,-1083630.66623055,-1071216.30486006,-1006277.14821611,-986928.731766121
"Cml Pop Growth","Neonatal Male",-863752.246937633,40000.4446116762,-923982.537601726,-891177.77417618,-869172.96312007,-849218.131905687,-792492.930199794
"Cml Pop Growth","Neonatal Combined",-1919199.91832372,86604.2248098278,-2068578.25246411,-1971588.29029553,-1932883.88504405,-1853654.78461967,-1796111.6360747
"Cml Pop Growth","Juvenile Female",97163.8789928634,37157.0166258115,25970.0035684588,84609.3037094814,107493.326669383,115828.672715507,145539.926151368
"Cml Pop Growth","Juvenile Male",79340.3208618714,24922.3833914065,42680.0712232145,62462.2782640109,79621.9356639456,96010.6312190386,121616.719297484
"Cml Pop Growth","Juvenile Combined",176504.199854735,56984.6965539036,75413.0998027169,159903.020134956,193541.095764722,211313.665318107,249695.436538242
"Cml Pop Growth","Adult Female",328360.585595545,75986.9109469423,194085.584929738,299620.455805538,328013.745017049,356011.796031727,479855.98150659
"Cml Pop Growth","Adult Male",-329397.897866931,27827.8820418659,-367273.834772155,-352388.553162789,-336102.373839964,-305413.723380026,-290878.822890292
"Total Number Increase","Overall",3110681.40628094,229241.937064499,2668719.24367795,3038745.67364672,3153054.97188116,3263682.70653252,3426229.95083345
"Total Number Increase","Neonatal Female",-1055447.67138609,51402.2610313444,-1144595.71486238,-1083630.66623055,-1071216.30486006,-1006277.14821611,-986928.731766121
"Total Number Increase","Neonatal Male",-863752.246937633,40000.4446116762,-923982.537601726,-891177.77417618,-869172.96312007,-849218.131905687,-792492.930199794
"Total Number Increase","Neonatal Combined",-1919199.91832372,86604.2248098278,-2068578.25246411,-1971588.29029553,-1932883.88504405,-1853654.78461967,-1796111.6360747
"Total Number Increase","Juvenile Female",252807.089856105,39120.9104554114,178158.319330274,239668.567461687,263783.391276449,271675.952529999,305150.715298774
"Total Number Increase","Juvenile Male",1018637.90888475,36576.3996082435,969234.094435208,988665.229934831,1019076.14854459,1044950.47543101,1076451.76377042
"Total Number Increase","Juvenile Combined",1271444.99874085,69461.7065913879,1151486.45368562,1244907.33937361,1284365.25120394,1320680.9985537,1361057.05268314
"Total Number Increase","Adult Female",1321812.74816245,78093.9409828638,1184945.36372502,1292912.17841613,1319880.08073338,1350019.87980997,1478467.90010685
"Total Number Increase","Adult Male",2436623.57770135,37154.6563064482,2386742.64422864,2405408.11379749,2428022.33285947,2470091.68497184,2485867.13431051
"Total Mortality","Overall",4150832.39269052,123540.063818639,3928202.06129412,4078733.58559161,4128284.18438079,4245182.26048625,4334650.4322568
"Total Mortality","Neonatal Female",1034503.45442184,72163.5010678068,940750.282475055,970188.340995214,1032223.23741811,1092641.86833008,1139312.24679434
"Total Mortality","Neonatal Male",1019859.22275626,77193.9960686381,937710.459815288,951494.151820059,1007132.88506508,1075015.64652553,1145265.2931885
"Total Mortality","Neonatal Combined",2054362.6771781,115894.984882403,1878497.10684391,1960469.59190707,2050851.10525422,2147132.91045784,2226104.52832568
"Total Mortality","Juvenile Female",484223.32268564,6514.00803424723,473474.760147871,481548.278479614,485109.065808381,487190.340257139,496566.899569707
"Total Mortality","Juvenile Male",370427.217811838,4949.77367552948,363988.001531363,366162.415543193,369781.046959056,374869.691072651,376554.665425946
"Total Mortality","Juvenile Combined",854650.540497478,10329.7960274935,837823.789266046,851253.768178851,853282.186111778,861946.04956725,871499.098148116
"Total Mortality","Adult Female",979615.88008719,38284.0531034124,906522.433406876,954458.174798875,991227.971393847,996050.26573397,1041372.78268442
