"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",4850004.45155378,20210.8605881189,4784640.61533347,4837144.64899735,4850070.70844497,4864490.06430923,4922356.16659832
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",154925.6099855,1549.24775841303,149489.878820011,153965.090301415,154933.065184769,155952.623087776,159547.138112852
"Num Offtake","Juvenile Male",936221.222898847,10652.0173624425,904256.905411471,929080.563655902,935960.15840877,943883.495440152,973626.207681579
"Num Offtake","Juvenile Combined",1091146.83288435,11778.3895271654,1054609.59907481,1083442.3966079,1091050.08583407,1099867.97206592,1132125.83028046
"Num Offtake","Adult Female",992188.764269943,2534.57662920908,984258.117988895,990349.956257638,992158.407950935,993967.986863371,999148.979909231
"Num Offtake","Adult Male",2766668.85439949,8841.89346724911,2740054.29221013,2760589.31850727,2766623.88236117,2773030.32577222,2796299.01269794
"Cml Pop Growth","Overall",-1795115.67055924,197684.910632722,-2482822.40820005,-1932116.87947327,-1792838.89894545,-1668643.31147741,-1133619.62164207
"Cml Pop Growth","Neonatal Female",-1069249.64187192,58309.3689933525,-1258791.33024164,-1107986.35608621,-1070182.34374001,-1029329.60569784,-885817.724501476
"Cml Pop Growth","Neonatal Male",-865595.473248835,58696.4390034134,-1023714.12193198,-905617.797677279,-868075.892763416,-826386.385719131,-683840.866217331
"Cml Pop Growth","Neonatal Combined",-1934845.11512076,111533.937219095,-2275124.25029951,-2012100.68214671,-1937239.86517221,-1857803.25769274,-1617719.10818013
"Cml Pop Growth","Juvenile Female",82348.8887617255,33001.5734088459,-29402.6374856078,60291.6640350722,82048.0489276642,105551.17695546,200488.091436895
"Cml Pop Growth","Juvenile Male",74875.592129912,27838.9192966612,-26064.3065296845,56228.3884837315,74121.3884069494,94218.3723017766,167883.66792689
"Cml Pop Growth","Juvenile Combined",157224.480891638,57177.9182573851,-55466.9440152922,118407.743505198,156678.105897861,196387.712511267,366107.859302643
"Cml Pop Growth","Adult Female",318067.544604193,57731.1636227835,142075.594800377,277283.265541147,316528.370084125,360388.397655766,492525.968395207
"Cml Pop Growth","Adult Male",-335562.580934316,24193.0306605868,-402972.481183909,-352482.323055686,-336389.159631185,-318127.018688287,-246885.904441779
"Total Number Increase","Overall",3054888.78099453,210103.409949858,2335672.53366,2912279.6080017,3055808.60571863,3192495.38300024,3774639.80075527
"Total Number Increase","Neonatal Female",-1069249.64187192,58309.3689933525,-1258791.33024164,-1107986.35608621,-1070182.34374001,-1029329.60569784,-885817.724501476
"Total Number Increase","Neonatal Male",-865595.473248835,58696.4390034134,-1023714.12193198,-905617.797677279,-868075.892763416,-826386.385719131,-683840.866217331
"Total Number Increase","Neonatal Combined",-1934845.11512076,111533.937219095,-2275124.25029951,-2012100.68214671,-1937239.86517221,-1857803.25769274,-1617719.10818013
"Total Number Increase","Juvenile Female",237274.498747226,34226.118847607,122294.787965202,214228.488070594,237244.120826126,261666.267853357,360035.229549747
"Total Number Increase","Juvenile Male",1011096.81502876,36450.2623298889,881372.325459471,985855.849119242,1010299.44643062,1036639.75153917,1141509.87560847
"Total Number Increase","Juvenile Combined",1248371.31377598,66106.6333323707,1003667.11342467,1202199.65323326,1248652.22859198,1295124.50771729,1495805.81506217
"Total Number Increase","Adult Female",1310256.30887414,59796.507182446,1128520.33211649,1267731.653304,1308280.3817498,1354479.8440953,1491396.95908598
