"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",5568243.85150111,101468.882806884,5416081.53967002,5505764.42658807,5556509.91806065,5604200.91487571,5788925.18601688
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",211685.132207285,8657.44374367573,198847.538417791,207150.028288078,211012.254640844,214621.835155027,230740.322672624
"Num Offtake","Juvenile Male",1321167.45582958,57804.4567065216,1234095.05589527,1291582.46736248,1318801.70913419,1338376.73615131,1448478.32416099
"Num Offtake","Juvenile Combined",1532852.58803686,66412.1770496541,1432942.59431306,1498732.49565056,1530715.01439783,1552548.04599494,1679218.64683361
"Num Offtake","Adult Female",1027259.53189095,6066.34061845012,1017411.45339489,1022491.82187818,1027765.04503573,1031518.30313677,1035042.6000662
"Num Offtake","Adult Male",3008131.73157329,33604.8612381645,2965727.49196207,2989207.65332266,3001308.29604825,3025561.18493016,3078514.34308432
"Cml Pop Growth","Overall",7345326.80680568,1413725.05284267,5890546.28780917,6242898.4533351,7187520.41973061,7746719.17588098,10516207.8252097
"Cml Pop Growth","Neonatal Female",1026485.51055983,415015.052655127,429271.191029633,717568.320764215,946508.266715744,1266498.73104289,1734886.52972186
"Cml Pop Growth","Neonatal Male",1233576.47368934,402691.74715151,629974.53313976,954428.755045531,1152392.67055303,1481410.40803462,1894907.1377792
"Cml Pop Growth","Neonatal Combined",2260061.98424917,817499.15052126,1059245.72416939,1671997.07580975,2098900.93726878,2747909.13907751,3629793.66750106
"Cml Pop Growth","Juvenile Female",1570571.94472429,248858.96316107,1320408.96825539,1390891.57193182,1573419.85357991,1612467.24432262,2186080.56197261
"Cml Pop Growth","Juvenile Male",1316616.29513428,207500.037974727,1086192.23338613,1167781.41147363,1309661.769311,1371162.30957399,1821006.92894071
"Cml Pop Growth","Juvenile Combined",2887188.23985857,455849.047612338,2406601.20164151,2558672.98340545,2883081.62289091,2983629.55389661,4007087.49091332
"Cml Pop Growth","Adult Female",1657980.67260682,183934.55345786,1449517.62200142,1520825.76035248,1580509.60620725,1805199.09628349,1996171.52512413
"Cml Pop Growth","Adult Male",540095.91009112,144495.977808926,361007.70347155,448900.058307213,532985.867991053,547667.682390652,883155.141671152
"Total Number Increase","Overall",12913570.6583068,1490918.5762399,11437786.9000208,11713711.0056449,12768384.7095195,13264321.9897397,16305133.0112265
"Total Number Increase","Neonatal Female",1026485.51055983,415015.052655127,429271.191029633,717568.320764215,946508.266715744,1266498.73104289,1734886.52972186
"Total Number Increase","Neonatal Male",1233576.47368934,402691.74715151,629974.53313976,954428.755045531,1152392.67055303,1481410.40803462,1894907.1377792
"Total Number Increase","Neonatal Combined",2260061.98424917,817499.15052126,1059245.72416939,1671997.07580975,2098900.93726878,2747909.13907751,3629793.66750106
"Total Number Increase","Juvenile Female",1782257.07693157,256455.082771881,1519256.50667318,1601351.94322416,1788870.33377099,1822922.69913755,2416820.88464523
"Total Number Increase","Juvenile Male",2637783.75096386,258883.163849198,2320287.2892814,2484366.16436699,2650063.18897345,2668162.4336218,3269485.2531017
"Total Number Increase","Juvenile Combined",4420040.82789543,514620.574722474,3839543.79595457,4085718.10759115,4438933.52274444,4491085.13275935,5686306.13774693
"Total Number Increase","Adult Female",2685240.20449777,189102.312765633,2470265.56968134,2543704.84240477,2607500.13089476,2839076.8095229,3027363.72122308
"Total Number Increase","Adult Male",3548227.64166441,176667.798873005,3326735.19543362,3442641.15700385,3528731.11349984,3573228.86732081,3961669.48475547
"Total Mortality","Overall",1860487.89349573,187944.618388143,1550568.29419325,1753519.65552253,1807383.13896766,2010129.81650703,2144110.5870873
