"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",5169156.31762319,19766.8881710014,5142312.71328813,5157203.25001866,5159965.0136777,5184896.55007281,5204484.60169744
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",174293.384637795,1305.99861368853,172275.322963373,173412.152547937,174041.811184696,175177.34764319,176702.922859888
"Num Offtake","Juvenile Male",1054250.89917363,11185.6108696434,1039042.29531895,1046959.89240012,1049574.26624595,1064082.72607879,1073176.21750263
"Num Offtake","Juvenile Combined",1228544.28381142,12431.8318555981,1211317.61828232,1220561.01641592,1223238.13449492,1239396.6573988,1249879.14036252
"Num Offtake","Adult Female",1031126.25557426,722.731046968234,1030097.11871327,1030676.72302674,1031074.9995236,1031288.95543948,1032331.59302106
"Num Offtake","Adult Male",2909485.77823751,7020.4932130377,2900897.97629254,2905762.12390235,2906494.6920296,2913984.10650464,2922365.57677517
"Cml Pop Growth","Overall",1223822.50981753,235957.271938065,882700.374009822,1034081.21415412,1241005.08960946,1412769.94341988,1541651.75213818
"Cml Pop Growth","Neonatal Female",-667120.683134419,57607.6937020851,-755826.421701867,-707095.291009846,-672871.722886398,-616436.589854151,-597924.040028555
"Cml Pop Growth","Neonatal Male",-468900.369475929,62521.449117557,-545212.92003607,-526704.869045168,-467655.790514512,-410600.318964936,-394415.858898813
"Cml Pop Growth","Neonatal Combined",-1136021.05261035,119567.217032759,-1301039.34173794,-1236291.58825219,-1140527.51340091,-1027036.90881909,-993172.859749901
"Cml Pop Growth","Juvenile Female",510323.601899118,35028.6689797405,457326.390505346,481837.854734944,516135.389060256,539192.6741283,555502.582316038
"Cml Pop Growth","Juvenile Male",397751.574173446,34436.7231948145,355332.936239252,370302.928899387,398746.817506522,427391.528625483,438620.214863593
"Cml Pop Growth","Juvenile Combined",908075.176072565,68945.8148698846,812659.326744598,854144.811660317,919258.759529889,959530.374748457,994122.797179631
"Cml Pop Growth","Adult Female",1401558.22826318,29866.2326061387,1353549.28480773,1379996.22320313,1399680.34879908,1425054.25917018,1445719.5493742
"Cml Pop Growth","Adult Male",50210.1580921407,25267.5143548372,17531.1041954271,31418.6279835399,43687.5540206754,69752.0306804018,94982.2653342462
"Total Number Increase","Overall",6392978.82744073,253365.218909735,6025013.08729795,6191515.90775303,6400970.10328716,6597666.49349269,6746136.35383562
"Total Number Increase","Neonatal Female",-667120.683134419,57607.6937020851,-755826.421701867,-707095.291009846,-672871.722886398,-616436.589854151,-597924.040028555
"Total Number Increase","Neonatal Male",-468900.369475929,62521.449117557,-545212.92003607,-526704.869045168,-467655.790514512,-410600.318964936,-394415.858898813
"Total Number Increase","Neonatal Combined",-1136021.05261035,119567.217032759,-1301039.34173794,-1236291.58825219,-1140527.51340091,-1027036.90881909,-993172.859749901
"Total Number Increase","Juvenile Female",684616.986536914,36187.8448084268,629601.713468719,655351.733512234,690889.641801074,713992.740843374,732205.505175926
"Total Number Increase","Juvenile Male",1452002.47334708,44662.8217369138,1394375.2315582,1417687.17597704,1447472.37439742,1492005.80674668,1511796.43236623
"Total Number Increase","Juvenile Combined",2136619.45988399,80019.3162073915,2023976.94502692,2076164.29165752,2142026.12760548,2199322.00051285,2244001.93754215
"Total Number Increase","Adult Female",2432684.48383744,30463.7138419674,2383646.40352101,2411165.8330062,2430639.81344616,2456213.68420805,2477959.43393396
"Total Number Increase","Adult Male",2959695.93632965,32095.4723236356,2918429.08048797,2936553.04756878,2949454.96855638,2986024.96109061,3017347.84210941
"Total Mortality","Overall",1140191.32518043,31177.6882684294,1094282.21271155,1118738.77163462,1135510.58216601,1162512.95342036,1198178.31900692
"Total Mortality","Neonatal Female",299374.888359191,29396.6487616733,249818.914384541,278484.486021753,299537.185759834,322677.838349821,337752.370973763
"Total Mortality","Neonatal Male",286925.171972059,13098.4079752678,260077.97284356,279999.798806578,289124.131295844,295445.247102309,302663.540357721
"Total Mortality","Neonatal Combined",586300.060331251,31153.5767606769,535432.911668472,566820.393869828,584295.868810949,609952.244130652,635855.628220335
"Total Mortality","Juvenile Female",135561.521384952,1015.77669953553,133991.917860401,134876.118648395,135365.853143652,136249.048166925,137435.606668801
"Total Mortality","Juvenile Male",103940.229495992,1102.80670545781,102440.789679333,103221.397842266,103479.153010164,104909.564542979,105806.105950964
"Total Mortality","Juvenile Combined",239501.750880944,2091.44672571219,236432.707539734,238139.354275769,238761.3305836,241211.019249297,243241.712619765
"Total Mortality","Adult Female",244970.190700413,11141.9281526594,223830.831582357,242431.806067966,244824.791609689,252086.462045092,261512.963822679
"Total Mortality","Adult Male",69419.3232678239,4264.13233974742,62418.7719760711,66355.3460307238,69740.8018690332,72158.3536167314,77269.1323644622
"Value of Total Mortality","Overall",2313479207.72716,43730314.7941532,2227702707.62403,2292436951.90895,2317734636.25789,2336959070.11759,2379120209.85863
"Value of Total Mortality","Neonatal Female",252406193.046559,24784631.2124829,210625017.60392,234793269.818084,252543027.733203,272053161.187828,284762662.016102
"Value of Total Mortality","Neonatal Male",466668672.389976,21303870.3374403,423003117.74876,455404917.876116,470245163.853646,480526125.615041,492266299.219441
