"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",7783403.46333519,2699.48554664527,7779411.02455888,7781306.9055615,7783286.52067103,7784929.61937826,7787591.39442885
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",141624.75474175,208.828374349953,141312.544102004,141461.19455149,141618.357279477,141746.870519778,141969.543673745
"Num Offtake","Juvenile Male",2693327.13042513,1474.99865136468,2691116.64559563,2692163.32751036,2693307.28650977,2694196.40727507,2695809.86017351
"Num Offtake","Juvenile Combined",2834951.88516688,1683.76593966552,2832429.18969763,2833624.52206185,2834925.64378925,2835943.27779484,2837779.40384725
"Num Offtake","Adult Female",227454.272344359,106.2640795035,227305.291687441,227372.974562502,227453.770706583,227507.333565064,227624.755997753
"Num Offtake","Adult Male",4720997.30582396,933.377774758966,4719676.5431738,4720269.79014277,4720986.34376395,4721479.00801835,4722442.95439033
"Cml Pop Growth","Overall",-6159551.687329,39068.8582811849,-6225665.23098185,-6179445.8448412,-6149821.63253566,-6132099.90145908,-6118053.61415798
"Cml Pop Growth","Neonatal Female",-2009636.84044966,13942.0951031068,-2029817.82853301,-2021643.15569754,-2007485.75558651,-2000224.28068176,-1989325.60864036
"Cml Pop Growth","Neonatal Male",-9209728.83826196,13942.095103107,-9229909.82634532,-9221735.15350985,-9207577.75339881,-9200316.27849407,-9189417.60645267
"Cml Pop Growth","Neonatal Combined",-11219365.6787116,27884.1902062137,-11259727.6548783,-11243378.3092074,-11215063.5089853,-11200540.5591758,-11178743.215093
"Cml Pop Growth","Juvenile Female",-389819.261951171,5342.03201504627,-399753.811944206,-391352.258745052,-389158.602081663,-387350.033129314,-380217.680884297
"Cml Pop Growth","Juvenile Male",-269842.259197863,4742.65807092913,-278604.057315903,-271780.487368891,-269157.600250584,-267540.982403833,-261696.880179005
"Cml Pop Growth","Juvenile Combined",-659661.521149033,10072.1054643298,-678357.869260109,-663052.300254871,-658477.094050391,-654774.093730611,-641914.561063302
"Cml Pop Growth","Adult Female",2701899.09150031,4505.68276720318,2695155.22439324,2698345.40055602,2701811.18739008,2704548.48023502,2709409.80830335
"Cml Pop Growth","Adult Male",3017576.42103134,3348.56630730362,3012545.93149533,3014870.09265974,3017710.28601442,3019592.35936353,3023485.75314487
"Total Number Increase","Overall",1623851.77600619,40618.7870741065,1553745.79357703,1605811.45059861,1634120.79440828,1650658.19003313,1669537.78027087
"Total Number Increase","Neonatal Female",-2009636.84044966,13942.0951031068,-2029817.82853301,-2021643.15569754,-2007485.75558651,-2000224.28068176,-1989325.60864036
"Total Number Increase","Neonatal Male",-9209728.83826196,13942.095103107,-9229909.82634532,-9221735.15350985,-9207577.75339881,-9200316.27849407,-9189417.60645267
"Total Number Increase","Neonatal Combined",-11219365.6787116,27884.1902062137,-11259727.6548783,-11243378.3092074,-11215063.5089853,-11200540.5591758,-11178743.215093
"Total Number Increase","Juvenile Female",-248194.50720942,5497.34312902729,-258441.267842202,-249572.295329801,-247491.784876391,-245764.202571631,-238248.137210552
"Total Number Increase","Juvenile Male",2423484.87122727,5841.98134705189,2412512.58827973,2422686.60973696,2424246.4058894,2425748.58326858,2434112.9799945
"Total Number Increase","Juvenile Combined",2175290.36401785,11333.1468627384,2154071.32043753,2173114.31440716,2176754.62101301,2179984.38069695,2195864.84278395
"Total Number Increase","Adult Female",2929353.36384467,4607.48768653993,2922460.51608068,2925730.90194551,2929239.90444269,2932055.81380008,2937000.348151
