"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",5327132.06260452,53257.1617715687,5238710.45197597,5284223.14088628,5337827.87259522,5364083.68644316,5398920.69672022
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",188506.335321131,4251.19551661915,181258.52842845,185615.845809704,189561.161969547,191269.796960272,194146.566487877
"Num Offtake","Juvenile Male",1179484.2805925,28688.3924754806,1127804.77475954,1166634.33712918,1186447.46158453,1192228.89851392,1224683.67683814
"Num Offtake","Juvenile Combined",1367990.61591363,32743.5497709731,1310692.67764457,1352250.18293888,1376008.62355408,1382903.3652833,1418830.24332601
"Num Offtake","Adult Female",1046234.62832195,2443.62313071032,1041853.12157681,1044913.96270287,1046774.31991457,1047449.73933571,1050151.34064133
"Num Offtake","Adult Male",2912906.81836893,20069.980254382,2881303.66592032,2899295.95822561,2915526.80197059,2930530.1615052,2933063.29502025
"Cml Pop Growth","Overall",4784994.05017507,948523.440039236,3389912.9581235,4191580.97497867,4973791.54281719,5460351.93304909,6127642.64891152
"Cml Pop Growth","Neonatal Female",319177.509380776,299059.893730294,-42352.192682479,79667.8203099492,334054.40002154,486888.153122878,865778.83662062
"Cml Pop Growth","Neonatal Male",497645.953313559,316462.403216042,129214.039781968,247561.011005665,451931.275243815,742361.819256341,1070238.73042113
"Cml Pop Growth","Neonatal Combined",816823.462694335,612983.552597076,86944.2478841189,327228.831315615,785985.675265355,1229249.97237922,1936017.56704175
"Cml Pop Growth","Juvenile Female",973339.026855981,140907.447979484,749089.702317501,864930.315312921,985037.058429016,1098778.94868249,1133654.94470763
"Cml Pop Growth","Juvenile Male",848028.3354361,131777.96293816,644501.452117619,767256.683645932,843039.682708706,955044.058691751,1026638.26785144
"Cml Pop Growth","Juvenile Combined",1821367.36229208,270431.856913847,1414824.99151082,1635028.24325097,1822394.25255349,2064619.00320367,2148887.81566437
"Cml Pop Growth","Adult Female",1934964.11580597,91857.5537343586,1777303.73622051,1876381.14730367,1958744.32191569,1995045.10878635,2059805.97415063
"Cml Pop Growth","Adult Male",211839.109382692,70424.2834773868,88559.1549302139,191166.690456281,225813.691847381,240412.656349561,320844.62475546
"Total Number Increase","Overall",10112126.1127796,973129.444045109,8651110.98510766,9547458.0155399,10324026.2346975,10812802.4259129,11396957.6767752
"Total Number Increase","Neonatal Female",319177.509380776,299059.893730294,-42352.192682479,79667.8203099492,334054.40002154,486888.153122878,865778.83662062
"Total Number Increase","Neonatal Male",497645.953313559,316462.403216042,129214.039781968,247561.011005665,451931.275243815,742361.819256341,1070238.73042113
"Total Number Increase","Neonatal Combined",816823.462694335,612983.552597076,86944.2478841189,327228.831315615,785985.675265355,1229249.97237922,1936017.56704175
"Total Number Increase","Juvenile Female",1161845.36217711,143561.722060391,930348.230745952,1054682.38325056,1176053.96958644,1289940.82847966,1327801.51119551
"Total Number Increase","Juvenile Male",2027512.6160286,150890.626278912,1772306.22687716,1959485.58215985,2026010.73098245,2163784.54580885,2188256.96171668
"Total Number Increase","Juvenile Combined",3189357.97820572,292522.381299445,2737509.87683651,3015256.4000071,3199887.83137553,3454914.09012734,3495046.05603089
"Total Number Increase","Adult Female",2981198.74412792,93860.1212607482,2820574.32582506,2919512.31162566,3005036.76898624,3042424.25833875,3107384.6779402
"Total Number Increase","Adult Male",3124745.92775162,87482.1242896896,2972025.49461429,3080008.48408169,3147071.70259107,3165906.46848326,3253356.3743601
"Total Mortality","Overall",4246759.8198998,108550.010378397,4022243.57136997,4173944.36688351,4288527.98399419,4306954.09152421,4370778.09712456
"Total Mortality","Neonatal Female",1484951.43474596,73755.7849745331,1334590.32825224,1448581.06954703,1486066.03500123,1541791.05606133,1581110.0626502
"Total Mortality","Neonatal Male",1446000.67832713,63677.5684821259,1344219.44554798,1409575.72109439,1444926.04143347,1483133.43197231,1566742.70746526
"Total Mortality","Neonatal Combined",2930952.11307309,102827.290531659,2740063.24339684,2856052.30147409,2959458.81674839,3006846.26571875,3072891.41945812
"Total Mortality","Juvenile Female",586464.154332408,13225.9416072596,563915.421777401,577471.520296857,589745.837238591,595061.590543068,604011.540184506
"Total Mortality","Juvenile Male",465148.730374509,11313.7322438515,444768.080186863,460081.147036858,467894.773582633,470174.77687873,482973.844386871
"Total Mortality","Juvenile Combined",1051612.88470692,24215.641870179,1013752.66694028,1037552.66733372,1057640.61082122,1066311.98609665,1086985.38457138
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",264194.822119798,12751.2142338482,241300.289915639,262387.685178766,266930.815739956,270740.403165531,282819.501397493
"Value of Total Mortality","Overall",6766709928.04315,141983933.843678,6461749134.40894,6704037319.47184,6822728461.97744,6854947640.25422,6914928464.71532
"Value of Total Mortality","Neonatal Female",2025928411.22519,100625472.844293,1820789825.23433,1976308097.41624,2027449067.23554,2103475057.54079,2157118221.00437
"Value of Total Mortality","Neonatal Male",1478356158.60672,65102407.5863917,1374297485.21542,1441116162.34731,1477257475.80952,1516319788.81807,1601799892.10864
"Value of Total Mortality","Neonatal Combined",3504284569.83191,125969919.863205,3257711377.90105,3419170926.41286,3531894573.28302,3593700329.87844,3682279439.24326
"Value of Total Mortality","Juvenile Female",923791256.741438,20833343.5704478,888272765.40478,909626168.158021,928960524.04232,937333834.48149,951431687.122539
"Value of Total Mortality","Juvenile Male",1141815166.04825,27772173.1073799,1091786145.31022,1129375610.41304,1148555964.37127,1154152759.9167,1185571032.04722
"Value of Total Mortality","Juvenile Combined",2065606422.78969,47973009.2664281,1988043798.19572,2039001778.57106,2077516488.41359,2092363135.31411,2137002719.16975
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",1196818935.42155,57763791.5922756,1093105284.11036,1188632492.95999,1209213156.26784,1226470823.66074,1281189888.06494
"Population Liveweight (kg)","Overall",544816269.670596,37012852.113361,487882600.76841,522169632.791244,543944337.681989,564420360.143898,597458332.956179
"Population Liveweight (kg)","Neonatal Female",26849348.5862015,4150517.55919533,20526239.8113765,24278878.7958138,26981903.5767102,29390097.7304232,32726655.1075678
"Population Liveweight (kg)","Neonatal Male",24209480.3035623,7096783.5854192,12144809.8824694,19488735.9489629,24164502.2791659,27453791.3576658,35984975.8910254
"Population Liveweight (kg)","Juvenile Female",33980429.7486646,3832603.81494388,28073141.4917706,31123947.909116,34072694.9519917,36384411.9281747,39826258.2526423
"Population Liveweight (kg)","Juvenile Male",26445753.3300928,2088261.77941326,22767898.0744337,24688253.2221316,27160586.4870154,27964629.8484344,29073658.4724337
"Population Liveweight (kg)","Juvenile Combined",60426183.0787573,5675205.45928248,52751554.9716745,55212118.4324824,61795991.7949066,64305478.8152862,68899916.725076
"Population Liveweight (kg)","Adult Female",354529861.437993,39684911.14417,304875177.117387,327459963.885324,347090202.969509,376077464.850327,427281688.958924
"Population Liveweight (kg)","Adult Male",78801396.264082,1616645.39372308,76439003.2848871,77840930.9578538,78968985.6080551,79702086.9346765,81140449.0135648
"Offtake Liveweight (kg)","Overall",116761529.953032,2934078.09347763,112647379.274157,115107828.728145,116981596.731558,118156565.871665,121381404.743255
"Offtake Liveweight (kg)","Juvenile Female",2552897.39934435,206069.656883195,2228539.23505573,2441996.96607457,2578061.32023064,2661564.09449888,2900173.27504378
"Offtake Liveweight (kg)","Juvenile Male",15384926.0237893,918816.191371645,13345493.2005551,15228457.1906853,15398309.4283699,15557666.0971852,17114301.7736975
"Offtake Liveweight (kg)","Adult Female",28556607.5492867,2645741.13013327,24689869.2555758,27218986.5042851,28739222.6660682,29861255.3487849,33046296.3825281
"Offtake Liveweight (kg)","Adult Male",70267098.9806115,717579.426308913,68946789.5053955,69762309.1831928,70458463.1193961,70794485.12637,71304902.9127926
"Meat (kg)","Overall",49039842.5802734,1232312.7992606,47311899.2951459,48345288.0658208,49132270.6272545,49625757.6660994,50980189.9921672
"Manure","Overall",2098695434.89102,17894285.1420443,2069157725.20815,2092805840.75165,2099318225.10869,2108363205.042,2128404818.94069
"Manure","Neonatal Female",108472098.19781,6146781.33229269,97213078.5292299,104846090.300455,108862300.55785,111669247.235384,118016158.657081
"Manure","Neonatal Male",106052673.52818,3552964.97307123,102229625.204895,104135217.817827,104594979.806513,107832919.348372,112781889.199694
"Manure","Neonatal Combined",214524771.72599,9164076.19798434,201325346.386197,207969616.195419,212443892.429805,219502166.583756,228864308.758755
"Manure","Juvenile Female",157261673.440634,4292786.23621829,151160806.482374,153971893.084773,157925863.624925,159745419.858686,162951138.471502
"Manure","Juvenile Male",124769819.934149,3739248.67200727,117056604.787993,123678793.345309,125421053.644375,127362102.0495,129475491.390161
"Manure","Juvenile Combined",282031493.374783,7580480.47505786,268217411.270366,278125325.825457,283946294.485482,287264568.621936,292387189.931068
"Manure","Adult Female",1272486178.5047,3730326.25848244,1266849486.90895,1269407588.57035,1273741565.4623,1274422126.70306,1278689607.76744
"Manure","Adult Male",329652991.28555,3219413.04648996,324731851.336968,326916751.528254,329894509.730361,332384238.844193,334033235.119391
"Hides","Overall",657903.853413357,11544.4192742884,641090.163986563,649286.847699943,659516.330781527,666056.899226872,676219.223943523
"Hides","Juvenile Female",293232.077166204,6612.97080362978,281957.710888701,288735.760148429,294872.918619295,297530.795271534,302005.770092253
"Hides","Juvenile Male",232574.365187254,5656.86612192576,222384.040093431,230040.573518429,233947.386791317,235087.388439365,241486.922193435
"Hides","Juvenile Combined",525806.442353458,12107.8209350895,506876.333470138,518776.333666858,528820.305410612,533155.993048326,543492.692285688
"Hides","Adult Female",0,0,0,0,0,0,0
"Hides","Adult Male",132097.411059899,6375.6071169241,120650.144957819,131193.842589383,133465.407869978,135370.201582765,141409.750698746
"Milk","Overall",4605576621.60556,338720509.297251,4073127291.45801,4383917076.33598,4662792593.42745,4842333762.56092,5040624333.85233
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",2012210464.28273,56996482.6570357,1936215908.45233,1955731325.0535,2023489567.81132,2061861157.54162,2085690893.01153
"Cml Dry Matter","Neonatal Female",237695904.356822,16104137.6988768,210476416.538486,227708871.021535,236800433.338367,247883067.250858,265134875.582366
"Cml Dry Matter","Neonatal Male",232966544.381689,17723167.0696732,210479735.635887,214717564.709229,236178358.058987,247334538.294227,253952584.147341
"Cml Dry Matter","Neonatal Combined",470662448.738512,27102416.9465961,422708971.907434,457046949.628406,474405090.279733,485959420.690892,509203741.177257
"Cml Dry Matter","Juvenile Female",172432502.893054,9828588.18182075,156859771.813487,168192515.280332,170103510.42178,180425821.612069,186518224.33041
"Cml Dry Matter","Juvenile Male",134521961.534613,7507180.95202555,121468691.214016,130285742.105655,132861551.318669,138830063.92495,147305664.265936
"Cml Dry Matter","Juvenile Combined",306954464.427667,10436415.7806066,288995122.771539,300270484.440041,309982904.735249,315576361.311218,316571433.254398
"Cml Dry Matter","Adult Female",992938639.618477,39384875.1061082,906052914.436471,973972785.570511,1003707952.25917,1016982325.81387,1039069391.5641
"Cml Dry Matter","Adult Male",241654911.498072,14613598.6606775,217811813.600323,230233013.020977,247563231.679709,249967500.979712,258953786.331812
"Value of Offtake","Overall",19522543788.5586,2525867093.10996,16406597832.2808,17466348022.2165,19049616775.4556,21723540839.7551,23047553846.2613
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",344914642.879668,24217325.5336401,305904867.929121,325312812.001562,347064979.518437,364174396.930594,376676615.120379
"Value of Offtake","Juvenile Male",3016915027.90367,601120351.828158,1991683067.87068,2666486477.93969,3164344269.41009,3417214778.2228,3733115721.26391
"Value of Offtake","Juvenile Combined",3361829670.78334,597692261.177741,2345902321.50419,3002146805.95619,3524494016.62321,3733663206.92954,4098351487.7217
"Value of Offtake","Adult Female",3408989933.61487,728271854.758222,2348488280.91958,3006405373.11373,3210549342.9524,3697851916.96025,5011915919.99065
"Value of Offtake","Adult Male",12751724184.1604,2169125871.16201,9990492331.47106,10824471749.2777,12897439348.7497,14567529730.4965,15822435783.0625
"Value of Herd Increase","Overall",12312392411.8175,2492542455.42219,7739288464.72989,10446278210.4032,13652501945.3346,13728095665.732,15802026507.2817
"Value of Herd Increase","Neonatal Female",330228216.808973,301980085.627736,-46514600.058254,86269141.2198643,389177649.905598,477364082.762586,866761541.849218
"Value of Herd Increase","Neonatal Male",642984835.554357,420111974.402599,159656997.085569,323724817.437239,523424539.800102,1013245192.79699,1336399990.25253
"Value of Herd Increase","Neonatal Combined",973213052.363331,712888860.864157,113142397.027315,413240196.539501,912602189.7057,1507688901.15624,2203161532.10174
"Value of Herd Increase","Juvenile Female",1705299543.19911,311606947.39735,1238661283.41289,1549719164.99953,1637841237.05567,1927232043.29254,2195881750.63723
"Value of Herd Increase","Juvenile Male",2047356076.14842,674022718.899824,1509572548.47564,1579013706.50672,1733535681.02462,2352893085.41758,3622624119.91881
"Value of Herd Increase","Juvenile Combined",3752655619.34753,856870063.437027,2811388618.4207,3270102484.24945,3537129920.24211,3964977794.62091,5613323830.03058
"Value of Herd Increase","Adult Female",6724022603.40784,1559920532.93893,4448068728.5607,5578828650.45668,6777471456.30397,7894063956.47668,8857549947.6949
