"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",4866345.56399642,15081.3142666724,4848698.87055491,4857251.00923328,4861389.93749852,4877319.96443791,4894073.51104182
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",155344.988029591,1452.55979078378,152874.602890629,154884.309377142,155164.99239339,155890.619750129,157729.939758908
"Num Offtake","Juvenile Male",940295.310145938,7863.05012912001,930522.523789019,935602.743923962,937647.385358261,946709.874868544,954691.327314653
"Num Offtake","Juvenile Combined",1095640.29817553,8953.57723408924,1083397.12667965,1089685.97086392,1093048.6235317,1103378.57083689,1110480.29279094
"Num Offtake","Adult Female",1002578.31980039,1858.04360340149,999355.039032318,1001266.12774417,1002613.99189202,1003799.95661429,1005574.03519081
"Num Offtake","Adult Male",2768126.94602049,6589.89254094518,2757536.69286563,2766210.49619087,2767972.3445668,2770466.42539676,2781555.52650819
"Cml Pop Growth","Overall",-1460627.8511522,195158.29073206,-1760563.39352683,-1602990.67927468,-1498977.17266168,-1323822.10727997,-1173368.12050924
"Cml Pop Growth","Neonatal Female",-1048760.26515444,53550.4697251134,-1100032.3238717,-1090525.23484792,-1068438.99979143,-1005765.25495843,-954663.895792201
"Cml Pop Growth","Neonatal Male",-841381.60619757,60477.252444653,-923190.949158687,-889185.62720637,-834613.963598429,-815740.715465516,-727608.837785397
"Cml Pop Growth","Neonatal Combined",-1890141.87135201,108124.680039958,-2021671.35085578,-1968709.57201277,-1903052.96338986,-1815620.63347358,-1682272.7335776
"Cml Pop Growth","Juvenile Female",97605.7971484603,39255.3736921201,24660.3563162384,83037.2978368386,93651.5749830013,122229.349708877,167807.547394118
"Cml Pop Growth","Juvenile Male",90793.6942616477,25612.5739953938,54263.1709867264,69527.0047543198,93634.0474650343,109393.169076206,129270.080227365
"Cml Pop Growth","Juvenile Combined",188399.491410108,59905.1052628714,78923.5273029648,150142.84152994,180108.751481594,233065.120557973,275121.744048269
"Cml Pop Growth","Adult Female",568654.439067122,68231.8631950039,460690.352968216,525235.489067696,571247.074579423,608597.679045757,681293.842630798
"Cml Pop Growth","Adult Male",-327539.910277418,20076.5708693277,-348654.257603012,-340328.931449583,-337669.81421549,-313241.783160138,-290651.128282261
"Total Number Increase","Overall",3405717.71284422,201602.477759026,3098487.70288021,3252376.86801368,3362412.76483684,3567799.14409198,3684146.56242475
"Total Number Increase","Neonatal Female",-1048760.26515444,53550.4697251134,-1100032.3238717,-1090525.23484792,-1068438.99979143,-1005765.25495843,-954663.895792201
"Total Number Increase","Neonatal Male",-841381.60619757,60477.252444653,-923190.949158687,-889185.62720637,-834613.963598429,-815740.715465516,-727608.837785397
"Total Number Increase","Neonatal Combined",-1890141.87135201,108124.680039958,-2021671.35085578,-1968709.57201277,-1903052.96338986,-1815620.63347358,-1682272.7335776
"Total Number Increase","Juvenile Female",252950.785178052,40496.9626490086,178423.791400101,238194.700340758,248753.572907041,278805.19367804,325537.487153025
"Total Number Increase","Juvenile Male",1031089.00440759,29264.7484200865,989717.038669866,1006137.42706669,1029840.27717157,1057741.66379969,1067775.93106037
"Total Number Increase","Juvenile Combined",1284039.78958564,65465.3227954427,1168140.83006997,1240686.40113564,1275091.15186421,1339865.45018854,1381296.098851
"Total Number Increase","Adult Female",1571232.75886752,69980.2287671857,1461699.29271288,1526411.18307111,1573850.19790409,1612397.63566004,1686867.87782161
"Total Number Increase","Adult Male",2440587.03574308,25647.055694577,2415199.09058722,2421902.395099,2429958.53371593,2456847.19788611,2490904.39822593
"Total Mortality","Overall",3922895.53983614,71592.0807862427,3746267.85945469,3914844.71336683,3942067.52847391,3958507.45806681,4012937.54637785
"Total Mortality","Neonatal Female",1074543.03204784,47785.022450049,997350.805011232,1048427.9778303,1081866.98478444,1098014.83268753,1151985.12767084
"Total Mortality","Neonatal Male",1020960.48130855,56816.0427872237,956371.465425158,975372.868169507,1009625.81818322,1054468.56596818,1133120.22344625
"Total Mortality","Neonatal Combined",2095503.51335639,74622.470651165,1978513.54685259,2058275.62569982,2077085.01098391,2124070.19856439,2260604.26959108
"Total Mortality","Juvenile Female",483295.518314284,4519.07490466065,475609.875659735,481862.295839998,482735.531890546,484993.039222625,490715.368138824
"Total Mortality","Juvenile Male",370820.685691356,3100.92117768114,366966.629099895,368970.096195365,369776.433662413,373350.373187595,376497.988236765
"Total Mortality","Juvenile Combined",854116.20400564,7067.49306669418,842576.504759629,850960.329157055,852622.42244398,859536.091847774,864749.785339206
"Total Mortality","Adult Female",712169.291037306,51834.5968655918,636178.185785914,683714.502080663,695225.521004192,750702.517786741,787791.729997073
"Total Mortality","Adult Male",261106.531436804,7916.69648603153,248019.248151681,254267.118627996,262853.690120289,267485.96230463,271557.192782807
"Value of Total Mortality","Overall",9016502638.11266,167800017.554985,8652399785.50586,8965498307.91934,9042723712.84252,9141536583.59469,9182398024.75892
"Value of Total Mortality","Neonatal Female",885942213.052299,39397927.563189,822298552.061901,864410800.872954,891980685.874918,905294308.20611,949791886.38636
"Value of Total Mortality","Neonatal Male",2080393086.84614,115773043.913512,1948781193.34975,1987500015.11948,2057296644.58479,2148671917.37444,2308939006.5341
"Value of Total Mortality","Neonatal Combined",2966335299.89844,122684257.147292,2800443896.53875,2885168500.05385,2963051126.5539,2994313960.24435,3238530173.41278
"Value of Total Mortality","Juvenile Female",923181339.636883,8632245.6267659,908500380.23849,920443627.008337,922111664.878367,926423909.79704,937354586.938689
