"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",4880902.26497684,20584.1068429701,4808832.64232367,4867188.32199431,4880439.87627637,4894286.62293136,4952051.63724859
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",157779.735468569,1515.95188312642,152861.949890758,156709.061036844,157800.97400579,158827.287346213,162206.882280416
"Num Offtake","Juvenile Male",951226.688672594,10928.1371943118,914530.302817729,943968.268277168,950898.795202415,958634.500011483,984422.46881827
"Num Offtake","Juvenile Combined",1109006.42414116,12016.8430350099,1067392.25270849,1100923.37095616,1108589.17300195,1117207.86900863,1144983.04703508
"Num Offtake","Adult Female",994101.615355752,2465.97240177024,986725.705442621,992400.227744602,994046.989493828,995830.332694085,1002769.89058828
"Num Offtake","Adult Male",2777794.22547992,8954.78168941234,2746491.54238675,2771698.3870864,2777861.82767449,2783547.97019742,2809331.33665321
"Cml Pop Growth","Overall",-1613829.61982025,196752.982233126,-2257952.75208345,-1738380.08540878,-1621654.46563839,-1484620.5176636,-941102.327339776
"Cml Pop Growth","Neonatal Female",-1065836.94918481,57517.2836455956,-1224304.7287992,-1103471.67892538,-1064677.6899778,-1026845.30300916,-884273.293978493
"Cml Pop Growth","Neonatal Male",-861039.402369624,56898.3297022017,-1009522.16598578,-900725.820247907,-859196.30331061,-821693.913027289,-660402.363162419
"Cml Pop Growth","Neonatal Combined",-1926876.35155444,109338.475350364,-2212079.47343702,-1999064.69019534,-1924199.61316273,-1850267.24260626,-1563062.9404793
"Cml Pop Growth","Juvenile Female",131323.255787755,32653.039316348,24147.6371590917,107725.446766546,130875.328316105,153450.843426535,235053.633088418
"Cml Pop Growth","Juvenile Male",105384.796851573,29060.4479122988,4591.66047513904,86186.5318869866,105395.220783577,124223.769408411,197587.929480274
"Cml Pop Growth","Juvenile Combined",236708.052639328,58205.0431726817,33139.0876788341,197623.614522068,238266.49233007,273536.024106064,432641.562568692
"Cml Pop Growth","Adult Female",381351.142434459,57492.5512936944,199162.420520376,343798.603957601,380058.344794002,420924.655392678,603630.382645054
"Cml Pop Growth","Adult Male",-305012.463339597,25031.8288081701,-394302.049906738,-321795.369155584,-305730.996301287,-288930.445937996,-219353.036346666
"Total Number Increase","Overall",3267072.64515659,209851.221999989,2568496.66678872,3129500.85645012,3257544.97678488,3403852.71951922,3974999.3561944
"Total Number Increase","Neonatal Female",-1065836.94918481,57517.2836455956,-1224304.7287992,-1103471.67892538,-1064677.6899778,-1026845.30300916,-884273.293978493
"Total Number Increase","Neonatal Male",-861039.402369624,56898.3297022017,-1009522.16598578,-900725.820247907,-859196.30331061,-821693.913027289,-660402.363162419
"Total Number Increase","Neonatal Combined",-1926876.35155444,109338.475350364,-2212079.47343702,-1999064.69019534,-1924199.61316273,-1850267.24260626,-1563062.9404793
"Total Number Increase","Juvenile Female",289102.991256324,33863.0628918262,177250.969674893,264760.602077701,288375.857716152,312250.198587413,395728.070823661
"Total Number Increase","Juvenile Male",1056611.48552417,38016.4746821904,927225.776668129,1031101.6439519,1055796.49174374,1081110.9610813,1176250.87618062
"Total Number Increase","Juvenile Combined",1345714.47678049,67556.7670670869,1104476.74634302,1300265.03312468,1346288.09562325,1389504.42373909,1571978.94700428
"Total Number Increase","Adult Female",1375452.75779021,59519.1975777465,1188494.48698482,1336616.39796531,1373986.91097424,1416237.37962045,1606400.27323333
"Total Number Increase","Adult Male",2472781.76214033,32956.7830939791,2352189.49248001,2450511.54019088,2471996.52072844,2493882.7968704,2589978.30030655
"Total Mortality","Overall",3976472.85357915,93318.3909736266,3669278.78801238,3912954.04920147,3973193.60916998,4040465.02356638,4257971.44685295
"Total Mortality","Neonatal Female",1067656.29302395,53563.575905801,913421.551792785,1031149.83257651,1068493.9249355,1105041.91630356,1251286.45209944
"Total Mortality","Neonatal Male",1025392.86469271,52828.1256265149,865621.235795999,990066.615733962,1026391.52775937,1061805.98425542,1192571.19463089
"Total Mortality","Neonatal Combined",2093049.15771666,77230.7806627976,1844919.27993838,2038623.86246245,2088684.07557074,2142792.69387623,2323832.93651563
"Total Mortality","Juvenile Female",368152.716093328,3537.22106062832,356677.883078435,365654.475752635,368202.272680176,370597.00380783,378482.725320971
"Total Mortality","Juvenile Male",281348.738903162,3232.26593071194,270494.878298201,279201.882166486,281251.756327475,283539.781693537,291167.209087094
"Total Mortality","Juvenile Combined",649501.45499649,6213.96854144891,627172.761376637,645142.425341634,649487.681677649,653692.939920813,666574.292001169
"Total Mortality","Adult Female",973601.967947046,51716.6296767652,783505.311459229,938917.824010044,974836.233850211,1009714.19644822,1123932.59699067
"Total Mortality","Adult Male",260320.272918959,12534.7550517068,225034.50030439,252092.836798762,260187.065155267,268816.533518018,302278.886551112
"Value of Total Mortality","Overall",8957344203.43809,193846623.105368,8398213415.93528,8822044104.32329,8957843605.86046,9091841746.74626,9477166301.98308
"Value of Total Mortality","Neonatal Female",876371513.672182,43966951.1630075,749769971.100127,846405669.598414,877059072.721873,907059006.901236,1027101895.27191
"Value of Total Mortality","Neonatal Male",1716054332.49688,88410927.1486284,1448667260.26438,1656933809.36482,1717725652.96464,1776993796.51787,1995836947.79329
