"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",4939826.86037249,21498.502072982,4903945.45025004,4929789.57855665,4946007.99054966,4955510.79446223,4964539.0892789
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",154094.652058615,1607.42520997037,151793.219524743,152848.564148335,154341.752498285,155129.204312732,156952.56414566
"Num Offtake","Juvenile Male",937193.48199597,10320.6217866769,919747.686187706,933831.031470275,939822.537523517,943539.080840647,951156.715143329
"Num Offtake","Juvenile Combined",1091288.13405458,11689.3770079563,1071865.72996284,1086725.69529678,1093844.30534292,1098391.19112975,1108109.27928899
"Num Offtake","Adult Female",991234.753169923,2285.3229996294,988071.678491038,989857.988666985,990702.503322611,992061.210480405,995487.730830359
"Num Offtake","Adult Male",2857303.97314799,8582.61630786871,2842153.70293757,2854564.87850706,2860340.1633101,2863096.94006532,2866460.31123859
"Cml Pop Growth","Overall",-1684522.53083063,156860.856485602,-1988690.23183988,-1754717.49905762,-1693671.91703431,-1584964.11047736,-1443163.83569704
"Cml Pop Growth","Neonatal Female",-1077003.96120367,33932.6296512271,-1137384.6010521,-1100681.07693766,-1079636.24309638,-1045421.11051843,-1035014.25399241
"Cml Pop Growth","Neonatal Male",-870974.525414388,36682.8376873919,-925353.171874558,-901558.257245229,-859000.8296977,-842362.672537954,-829686.594221985
"Cml Pop Growth","Neonatal Combined",-1947978.48661805,68465.8116064295,-2061561.3640502,-2005005.57111265,-1939571.73208381,-1888131.79034469,-1864700.8482144
"Cml Pop Growth","Juvenile Female",71919.272768581,35959.1533386071,19855.1601398035,48662.9964182364,73708.7626199978,82730.0402095277,152336.880285373
"Cml Pop Growth","Juvenile Male",71579.4060045029,26205.5964935131,30801.4909409247,54288.6954001936,70247.0869494053,82163.8485435826,126226.304763132
"Cml Pop Growth","Juvenile Combined",143498.678773084,60436.6919494811,68939.1940276131,107497.825779814,147448.715164851,164387.306989928,278563.185048504
"Cml Pop Growth","Adult Female",284479.977948553,56367.7301092302,178198.314977989,259943.167461839,270228.392710814,310035.35095713,368868.721274741
"Cml Pop Growth","Adult Male",-164522.700934214,21696.3131477535,-199840.286617198,-171879.704739287,-160998.572319459,-151823.340097782,-131402.269784149
"Total Number Increase","Overall",3255304.32954186,170231.997837107,2938597.04396299,3192799.9212043,3239470.41199007,3365234.77779088,3521375.25358186
"Total Number Increase","Neonatal Female",-1077003.96120367,33932.6296512271,-1137384.6010521,-1100681.07693766,-1079636.24309638,-1045421.11051843,-1035014.25399241
"Total Number Increase","Neonatal Male",-870974.525414388,36682.8376873919,-925353.171874558,-901558.257245229,-859000.8296977,-842362.672537954,-829686.594221985
"Total Number Increase","Neonatal Combined",-1947978.48661805,68465.8116064295,-2061561.3640502,-2005005.57111265,-1939571.73208381,-1888131.79034469,-1864700.8482144
"Total Number Increase","Juvenile Female",226013.924827196,37099.4374778571,172191.07791789,201268.710072061,228406.412077148,236113.429456582,309289.444431033
"Total Number Increase","Juvenile Male",1008772.88800047,32926.8299248641,968793.87640946,983798.576164831,1011500.46235248,1021109.91194431,1077383.01990646
"Total Number Increase","Juvenile Combined",1234786.81282767,67155.870717842,1153986.18269454,1184449.60644603,1235586.70786443,1262163.83741291,1386672.46433749
