"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",4983966.3986237,24632.3990253053,4934690.99189402,4976086.16602442,4988388.16008995,4995281.18416213,5022537.34024229
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",166992.34547363,2004.32325338262,162669.783695067,166273.118997142,166601.889257628,168576.835024476,169511.458708263
"Num Offtake","Juvenile Male",1001981.11579426,13746.7914397436,971126.556010018,999439.32556963,1005628.13093184,1008347.07177083,1021420.94385758
"Num Offtake","Juvenile Combined",1168973.46126789,15627.4646894971,1133796.33970508,1165718.60596107,1172759.57811054,1176935.34576162,1190932.40256585
"Num Offtake","Adult Female",998006.053837656,3233.86367853731,992542.609277431,996030.114143949,997802.577084866,1000391.89664713,1002300.25241574
"Num Offtake","Adult Male",2816986.88351815,7761.1451117972,2805898.73330736,2812207.5692019,2815706.14037636,2821941.65634811,2831084.64306583
"Cml Pop Growth","Overall",-1020532.36621012,257309.47087449,-1357836.42538305,-1265900.52501951,-947536.221356655,-919209.191364622,-654398.020838212
"Cml Pop Growth","Neonatal Female",-1047614.03755491,67847.5975398545,-1159951.02109289,-1100861.45853075,-1031122.1494208,-1015673.53354498,-943777.502440542
"Cml Pop Growth","Neonatal Male",-836346.442646144,55067.9304894411,-925096.837087754,-871849.828879645,-824205.789987417,-794407.188488696,-768300.442068333
"Cml Pop Growth","Neonatal Combined",-1883960.48020106,115736.757157071,-2085047.85818064,-1933290.51484328,-1868207.74198232,-1796344.04792833,-1730172.82051818
"Cml Pop Growth","Juvenile Female",299007.661365133,45292.561727027,238337.694121635,265674.852783419,305203.62720345,321934.159925713,367001.660206002
"Cml Pop Growth","Juvenile Male",215782.339586162,36369.1147921646,147314.050488859,192782.018693863,227442.598538146,235540.246821114,266905.140587868
"Cml Pop Growth","Juvenile Combined",514790.000951295,79374.139266213,385651.744610494,449670.98766267,533541.436572356,564203.907765696,633906.80079387
"Cml Pop Growth","Adult Female",546920.271406152,69010.3498760722,443812.317464827,494282.685191818,546753.524388375,571170.656606325,663777.437859949
"Cml Pop Growth","Adult Male",-198282.15836651,30654.0514386557,-264533.969608113,-215138.412669993,-188480.577664504,-181441.420156796,-155116.158714612
"Total Number Increase","Overall",3963434.03241358,276670.643349619,3576854.56651097,3712245.71191897,4042978.08265156,4092645.19446291,4350136.37909826
"Total Number Increase","Neonatal Female",-1047614.03755491,67847.5975398545,-1159951.02109289,-1100861.45853075,-1031122.1494208,-1015673.53354498,-943777.502440542
"Total Number Increase","Neonatal Male",-836346.442646144,55067.9304894411,-925096.837087754,-871849.828879645,-824205.789987417,-794407.188488696,-768300.442068333
"Total Number Increase","Neonatal Combined",-1883960.48020106,115736.757157071,-2085047.85818064,-1933290.51484328,-1868207.74198232,-1796344.04792833,-1730172.82051818
"Total Number Increase","Juvenile Female",466000.006838763,46958.1275595238,401007.477816702,431803.786190108,472311.972737554,489896.502353469,536196.368850436
