"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",4643510.14901576,134515.071549318,4468396.17981371,4554416.13076835,4586974.52508797,4760673.77390154,4856101.98964958
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",110607.109920399,5797.90586262937,102829.617455161,106950.725812242,108074.910149015,116284.382982297,119270.014043541
"Num Offtake","Juvenile Male",1173396.11525347,70688.2005604483,1077930.04957902,1129375.29522686,1142324.94811734,1243802.17136259,1277566.51641683
"Num Offtake","Juvenile Combined",1284003.22517387,76485.1778037679,1180759.66703418,1236326.0210391,1250399.85826636,1360215.51852727,1396836.53046037
"Num Offtake","Adult Female",607891.685587213,3372.65041239586,603809.849551953,605853.411540615,606615.160029744,610098.593070091,613706.568333725
"Num Offtake","Adult Male",2751615.23825468,55459.9465809535,2683826.66322758,2718000.3833412,2729959.50679186,2789917.62988241,2845558.89085548
"Cml Pop Growth","Overall",15574097.3329829,1922275.25625838,12790999.1478191,14433149.6374478,15202412.3428483,16739801.0353289,19061213.7760346
"Cml Pop Growth","Neonatal Female",3196291.46428301,640073.338224313,2412872.51283733,2781935.42844049,3040893.64273085,3634860.30765221,4253726.66800042
"Cml Pop Growth","Neonatal Male",3196281.41081048,640067.155233565,2412844.46578088,2781941.38728016,3040931.23086397,3634718.27086726,4253840.26332549
"Cml Pop Growth","Neonatal Combined",6392572.87509349,1280140.49080874,4825716.97861822,5563876.81572065,6081824.87359482,7269578.57851947,8507566.9313259
"Cml Pop Growth","Juvenile Female",2115960.70448955,232340.038375457,1685645.04392933,2002602.52924209,2061042.75359116,2273537.31049387,2513613.95307253
"Cml Pop Growth","Juvenile Male",2237629.10091989,197862.082254038,1859713.713116,2139709.22518681,2202231.94143954,2372305.80740995,2581772.72573204
"Cml Pop Growth","Juvenile Combined",4353589.80540944,429967.963809308,3545358.75704534,4142311.7544289,4263274.6950307,4645843.11790381,5095386.67880457
"Cml Pop Growth","Adult Female",3233638.35275889,277489.260639401,2860171.13724648,3059902.61239516,3111851.91439593,3509158.19296745,3644843.3694885
"Cml Pop Growth","Adult Male",1594296.29972113,208033.169693886,1308506.85373176,1468725.55644433,1503967.69865852,1798309.65050025,1886168.94772538
"Total Number Increase","Overall",20217607.4819987,2029579.94219262,17259395.3276328,18982669.769917,19809386.2409741,21393801.8302981,23860369.9878443
"Total Number Increase","Neonatal Female",3196291.46428301,640073.338224313,2412872.51283733,2781935.42844049,3040893.64273085,3634860.30765221,4253726.66800042
"Total Number Increase","Neonatal Male",3196281.41081048,640067.155233565,2412844.46578088,2781941.38728016,3040931.23086397,3634718.27086726,4253840.26332549
"Total Number Increase","Neonatal Combined",6392572.87509349,1280140.49080874,4825716.97861822,5563876.81572065,6081824.87359482,7269578.57851947,8507566.9313259
"Total Number Increase","Juvenile Female",2226567.81440995,237510.915912745,1788474.6613845,2110282.05050148,2168604.74045465,2386680.6602225,2631490.34671206
"Total Number Increase","Juvenile Male",3411025.21617336,261452.347629169,2937643.76269502,3277188.16086474,3340265.61469407,3581779.6091227,3845354.79326473
"Total Number Increase","Juvenile Combined",5637593.03058331,498722.031033194,4726118.42407952,5388107.98239101,5507594.81309915,5964751.50426587,6476845.13997679
"Total Number Increase","Adult Female",3841530.0383461,280769.864047176,3463980.98679843,3665393.84690306,3718467.07442568,4119256.78603754,4258549.93782223
"Total Number Increase","Adult Male",4345911.53797581,261808.150223882,3992333.51695934,4182871.46380319,4230833.14117535,4606674.70875034,4731727.83858086
"Total Mortality","Overall",2334.30786626927,244.826257808841,2066.81815997363,2140.61030560451,2325.85138395561,2436.13839308377,2899.0228393239
"Total Mortality","Neonatal Female",1050.12797960749,130.45537510851,933.435052478407,975.66845835654,1020.98908397613,1066.33053854481,1380.83660244279
"Total Mortality","Neonatal Male",1046.73773286339,136.359594832289,883.472152635236,923.633421938508,1045.87524432785,1119.60540854078,1288.89324645805
"Total Mortality","Neonatal Combined",2096.86571247088,238.85539365858,1850.89032188219,1920.52044833919,2095.40642526561,2162.88346798741,2669.72984890084
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",237.442153798397,24.9773345869371,210.296761124124,218.542710127661,228.825482683804,248.799325082571,288.317003609885
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",4234788.43876168,405776.381955399,3761651.35707004,3928855.55877317,4209147.60880586,4459630.46588324,5098484.62322506
"Value of Total Mortality","Neonatal Female",1608079.47763979,199768.614429459,1429385.54228524,1494058.30082734,1563458.57335403,1632890.74161744,2114499.41862522
"Value of Total Mortality","Neonatal Male",1684184.01698335,219400.374103872,1421492.34923236,1486111.17946915,1682796.28693333,1801426.92404362,2073808.30663695
"Value of Total Mortality","Neonatal Combined",3292263.49462314,375323.465924353,2904527.33642169,3011021.96296633,3291784.52800786,3399346.20285359,4188307.72526216
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",942524.94413854,99147.3523537478,834771.500595983,867503.736635787,908321.129310284,987607.154937876,1144472.2993556
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",989621838.949748,68040045.5063914,890852447.18278,945534388.852079,977823947.129844,1039873183.20934,1108582873.80872
"Population Liveweight (kg)","Neonatal Female",74964748.4580578,16530753.9583144,46972296.980738,64708899.9562639,71679867.9110527,87154157.3384844,98543590.732191
"Population Liveweight (kg)","Neonatal Male",77883512.6719497,19324452.5664512,56694917.5083444,60320143.2022798,76154801.193871,92638260.593367,108614980.788769
"Population Liveweight (kg)","Juvenile Female",82742316.5489886,10797078.1956716,67578278.2116669,74164967.703021,81407580.3290721,93144037.0583621,96524590.3947231
"Population Liveweight (kg)","Juvenile Male",77183478.6694896,8882310.1858834,57602154.9890263,72551619.1032394,78161260.8748406,83822129.9536544,86860320.7553477
"Population Liveweight (kg)","Juvenile Combined",159925795.218478,11482389.7288138,146258481.16121,152798712.564384,158083916.284818,166439245.208932,183384911.150071
"Population Liveweight (kg)","Adult Female",515658043.327913,50206724.5201571,434848518.529909,480434978.962041,524372039.146533,538681299.722597,608015573.236155
"Population Liveweight (kg)","Adult Male",161189739.273348,18101416.5473811,139947934.986819,144929716.978754,161996861.701414,170430165.78244,194520784.922711
"Offtake Liveweight (kg)","Overall",139946511.394589,19371681.5221787,114976883.382609,125312444.129297,142043726.914683,146761836.911736,176215887.167819
"Offtake Liveweight (kg)","Juvenile Female",2230727.50776662,364273.799418525,1840974.54233194,1980667.84510588,2147368.01449142,2433769.5282354,2996330.56240841
"Offtake Liveweight (kg)","Juvenile Male",27215852.3624695,4713010.46802881,20637811.0005244,24489512.473095,25940173.0114441,28837679.6668536,36521321.4706155
