"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",3847252.78803863,21635.5823416139,3807839.70934757,3833210.76370057,3848483.00094434,3860283.16590505,3878107.03130465
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",76018.7994109874,1079.61443221355,73651.8139862797,75382.8485776901,76369.0496996952,76741.7057721778,77012.1479095939
"Num Offtake","Juvenile Male",764511.787660577,12311.1596344091,744751.182223539,756527.279456417,762188.173738996,774178.962025027,781982.553501922
"Num Offtake","Juvenile Combined",840530.587071564,13022.3273533991,818402.996209819,833000.864075722,837924.973704345,851127.038983262,858681.784278163
"Num Offtake","Adult Female",576680.235456802,1146.31629369151,574504.721753413,576039.469839112,576530.272631748,577379.992468613,578261.53270077
"Num Offtake","Adult Male",2430041.96551026,9902.38667652973,2413486.6921207,2423443.18697198,2430200.69341468,2437176.87603581,2444796.24836762
"Cml Pop Growth","Overall",1834541.19201241,386514.149288227,1066269.60180083,1647913.31987238,1841284.51047828,2013416.82978605,2430452.82971044
"Cml Pop Growth","Neonatal Female",190669.17741042,122716.347947002,-33609.8662986946,119668.20790921,201064.953079079,268270.826784459,375467.531269094
"Cml Pop Growth","Neonatal Male",178209.69301792,111914.27001008,-38822.6479220469,123002.572550408,163834.646519142,277294.963877565,318066.423535475
"Cml Pop Growth","Neonatal Combined",368878.87042834,228577.289053319,-72432.5142207416,281218.756036673,339200.949213517,555009.015870338,676780.398523916
"Cml Pop Growth","Juvenile Female",41125.2848908037,77276.6450731582,-122987.171306631,7586.0279192024,46087.0147786904,96275.6276303951,135861.417540963
"Cml Pop Growth","Juvenile Male",439612.81159455,60214.4720171889,321755.478408399,417071.468728509,443063.633833499,476008.955636173,521524.544845116
"Cml Pop Growth","Juvenile Combined",480738.096485354,132094.912156038,198768.307101768,420197.836431629,482447.12184749,551931.875877564,651466.980637316
"Cml Pop Growth","Adult Female",793914.595082546,98504.9256375808,678714.807514019,724088.542033527,752870.245482611,847473.427911863,965031.609174168
"Cml Pop Growth","Adult Male",191009.630016169,32230.5681277291,145904.222946736,171715.012966131,182172.966914096,216086.401561609,243611.717950541
"Total Number Increase","Overall",5681793.98005104,390010.17224949,4920613.37275622,5481124.08357295,5707183.55468033,5864436.89178018,6292715.79393205
"Total Number Increase","Neonatal Female",190669.17741042,122716.347947002,-33609.8662986946,119668.20790921,201064.953079079,268270.826784459,375467.531269094
"Total Number Increase","Neonatal Male",178209.69301792,111914.27001008,-38822.6479220469,123002.572550408,163834.646519142,277294.963877565,318066.423535475
"Total Number Increase","Neonatal Combined",368878.87042834,228577.289053319,-72432.5142207416,281218.756036673,339200.949213517,555009.015870338,676780.398523916
"Total Number Increase","Juvenile Female",117144.084301791,77997.162093812,-47924.6606085517,83890.897725424,121841.383659365,173163.766143557,212873.565450556
"Total Number Increase","Juvenile Male",1204124.59925513,68882.1442756073,1081892.23116225,1168047.77933804,1205163.19482338,1250251.08464211,1303507.09834704
"Total Number Increase","Juvenile Combined",1321268.68355692,139752.450006336,1033967.5705537,1251497.07906347,1331160.73091824,1387026.62202513,1510148.76491548
"Total Number Increase","Adult Female",1370594.83053935,99365.7250152399,1255022.62381932,1299117.67311666,1329496.06130114,1424550.03145377,1543293.14187494
"Total Number Increase","Adult Male",2621051.59552643,39940.8081659235,2572247.11281065,2595662.86305885,2607848.5674477,2650053.99289627,2688407.96631816
"Total Mortality","Overall",3816399.16091244,217129.051084855,3576236.3081549,3690845.80542089,3731786.85570469,3899061.6594272,4291834.6546213
"Total Mortality","Neonatal Female",1065360.61479125,110534.887419939,887788.785037205,1003306.72474645,1049419.10256189,1136927.79471845,1239285.08203455
"Total Mortality","Neonatal Male",1052101.77879095,109247.986640967,890273.143926243,981864.579142174,1045286.27965002,1100819.39348681,1258489.26347771
"Total Mortality","Neonatal Combined",2117462.39358221,185898.091077611,1842880.04151876,2002153.37180905,2058985.37584267,2213999.55779496,2465621.31478812
"Total Mortality","Juvenile Female",375927.494896685,40777.7964472499,310079.116539038,349776.286655817,380435.062438584,408055.091443422,427107.254547067
"Total Mortality","Juvenile Male",284080.131401902,34367.4825734733,234355.532008884,257429.95220426,288087.725137419,305920.047383657,338632.336569986
"Total Mortality","Juvenile Combined",660007.626298587,47114.9454328396,582704.054460552,641588.988908091,665442.053906426,678712.921131765,750313.259992615
"Total Mortality","Adult Female",828455.597074463,81982.3413328184,688218.028052986,796954.434173109,822971.065681587,876149.703571229,956044.767116852
"Total Mortality","Adult Male",210473.543957187,19514.4316197011,174602.925259134,202476.352954602,213043.765153503,224549.024673222,233907.192200929
"Value of Total Mortality","Overall",7026444330.57767,370798570.742902,6555541359.27801,6830237868.37772,6864878472.17491,7227469389.50469,7792091978.01024
"Value of Total Mortality","Neonatal Female",1654472809.36315,171657336.664486,1378709129.01112,1558104995.15176,1629716123.07549,1765614475.00052,1924572246.06269
"Value of Total Mortality","Neonatal Male",1046346125.28507,108650331.955843,885402794.074802,976493166.96403,1039567911.17902,1094797224.2165,1251604541.59293
"Value of Total Mortality","Neonatal Combined",2700818934.64822,239460672.073678,2364772491.24295,2558697229.93277,2640860886.98436,2828888287.93107,3126244103.51737
"Value of Total Mortality","Juvenile Female",732659726.998819,79473434.6868305,604325259.406638,681692619.376885,741444700.828903,795274450.408528,832405952.646983
"Value of Total Mortality","Juvenile Male",605395992.552773,73239674.0364529,499429154.762076,548602468.811966,613936474.336166,651938485.854912,721650819.071956
"Value of Total Mortality","Juvenile Combined",1338055719.55159,95330149.9437282,1178339148.90875,1304059631.51488,1343601845.48727,1376566385.73704,1523991794.55272
"Value of Total Mortality","Adult Female",2265768454.2922,224216003.195425,1882228453.93787,2179614964.07806,2250768642.28002,2396208519.32119,2614715962.90006
"Value of Total Mortality","Adult Male",721801222.085663,66923093.1668662,598785968.356242,694375531.757132,730615578.349407,770071893.027298,802164937.269264
"Population Liveweight (kg)","Overall",658597799.312665,64726334.7348744,592326760.421878,618869417.752514,632949361.634009,687570853.612011,800129666.561895
"Population Liveweight (kg)","Neonatal Female",24283501.6274918,4928642.9127094,15781998.7140346,21358332.6616732,23308945.2145696,28094717.4466263,31907265.7676825
"Population Liveweight (kg)","Neonatal Male",24375539.3156926,4618122.73451302,16602971.7379036,21184857.5420774,25109576.8363306,27734919.8609464,30214202.2368592
"Population Liveweight (kg)","Juvenile Female",44489994.227748,8452457.283634,30152450.3693491,40071154.441598,41702732.7168574,49849602.0340192,60593182.8628092
"Population Liveweight (kg)","Juvenile Male",32093835.1155248,4966515.22710231,23512108.5604614,30758629.5381341,32795934.7345831,35505392.0901087,38819716.2236697
"Population Liveweight (kg)","Juvenile Combined",76583829.3432727,8879139.17531406,63861648.6064443,71856660.8463468,74332068.1466223,83297969.8996259,91126552.9416905
"Population Liveweight (kg)","Adult Female",430573462.585953,54214458.2753456,368089953.959117,395009199.026745,411093554.62656,457164150.165702,537290667.776944
"Population Liveweight (kg)","Adult Male",102781466.440255,24601289.9729432,42776346.255394,98769183.9611015,104360525.0235,110016853.094728,138332201.793821
"Offtake Liveweight (kg)","Overall",105901437.562493,15272165.5377175,85389796.0254951,96463386.831491,101766898.118468,112652914.9291,134583008.332768
"Offtake Liveweight (kg)","Juvenile Female",1845879.20859842,207009.306773201,1443732.84657977,1746596.69027629,1868054.42701164,2030155.85581773,2064856.17540479
"Offtake Liveweight (kg)","Juvenile Male",15337350.0212473,2377544.5651143,10909990.0566807,13848459.7716867,15910985.0001322,16792543.48477,18897462.2313896
"Offtake Liveweight (kg)","Adult Female",16630938.6970516,1972407.36966694,13149635.5130645,15426039.948834,16614611.431428,18281019.1631217,19248242.52153
"Offtake Liveweight (kg)","Adult Male",72087269.6355958,14444609.7743493,52348239.1784042,62751887.0334866,67837230.4919943,78642458.0073746,101245819.304634
"Meat (kg)","Overall",44478603.7762471,6414309.52584135,35863714.3307079,40514622.4692262,42742097.2097564,47314224.2702219,56524863.4997625
"Manure","Overall",2295916377.1713,10661636.454707,2278423301.60872,2287999644.08081,2298309446.92004,2303737397.37557,2310515039.49429
"Manure","Neonatal Female",77864215.4276925,2458956.36210997,73250134.0676399,76670189.0837344,77961652.9910391,79543216.4197362,80962389.1780494
"Manure","Neonatal Male",78289766.7415854,2037800.64947131,75361759.2386501,76631614.2283242,78476543.0677155,79753433.8846803,81038431.151116
"Manure","Neonatal Combined",156153982.169278,4212567.72683,148855572.56589,153102970.079393,157120939.151199,159017075.027822,161576852.931683
"Manure","Juvenile Female",137080590.649122,2277522.03467732,132483310.945412,135935514.617416,137606897.541418,138752320.005579,139437034.742515
"Manure","Juvenile Male",104572581.890978,1897085.36331058,101791259.76007,103331572.891808,104272512.544634,106152290.036303,107393487.735994
"Manure","Juvenile Combined",241653172.5401,3804154.55540283,234274570.705482,239547019.305457,242518367.538639,244182408.766877,246231757.747981
"Manure","Adult Female",1564181867.08911,3804252.00831438,1557652100.41539,1561771662.53022,1563701837.19758,1566160055.36407,1569991422.77465
"Manure","Adult Male",333927355.372814,1575047.35102988,331373859.924229,332882902.030532,333759201.537159,335228545.49175,336417815.364976
"Hides","Overall",849468.383665119,49086.1845052453,775559.340732349,836108.72995668,841245.177562866,870778.668143933,931889.201562589
"Hides","Juvenile Female",187963.747448343,20388.8982236249,155039.558269519,174888.143327909,190217.531219292,204027.545721711,213553.627273533
"Hides","Juvenile Male",142040.065700951,17183.7412867367,117177.766004442,128714.97610213,144043.86256871,152960.023691829,169316.168284993
"Hides","Juvenile Combined",330003.813149294,23557.4727164198,291352.027230276,320794.494454045,332721.026953213,339356.460565883,375156.629996307
"Hides","Adult Female",414227.798537232,40991.1706664092,344109.014026493,398477.217086554,411485.532840793,438074.851785614,478022.383558426
"Hides","Adult Male",105236.771978594,9757.21580985054,87301.4626295669,101238.176477301,106521.882576752,112274.512336611,116953.596100465
"Milk","Overall",0,0,0,0,0,0,0
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",2684000491.21482,94970632.3384512,2542982875.04297,2619414527.83587,2677480720.22199,2744211675.25264,2861422170.62334
"Cml Dry Matter","Neonatal Female",223378842.305993,15990795.2487733,200077238.330921,210737536.276109,225533663.029508,230824982.690641,256328609.868231
"Cml Dry Matter","Neonatal Male",234747481.028741,9459392.07653609,222175378.292815,226950104.265711,234909725.619289,242172122.575916,248052888.652783
"Cml Dry Matter","Neonatal Combined",458126323.334734,16255606.2587039,436047154.208832,449840639.829795,452250648.958097,474325687.986305,479108094.636801
"Cml Dry Matter","Juvenile Female",200262965.714355,10885494.74288,185974640.847421,194327711.302359,195241986.728133,208187781.463118,218069037.463321
"Cml Dry Matter","Juvenile Male",152964068.486793,5779291.16323444,145835890.27375,150453513.221807,152317273.138108,153016422.41672,162958092.142858
"Cml Dry Matter","Juvenile Combined",353227034.201148,10801811.7580942,338982399.191891,341606739.016386,357650834.297829,361083728.896321,366471782.374519
"Cml Dry Matter","Adult Female",1537665874.88768,84616893.7147814,1406819278.43404,1470026476.054,1561693068.36297,1588856329.03416,1646496331.62942
