"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",3848780.47558561,39817.6087083216,3796904.93851431,3812494.62472207,3845702.14916485,3886035.96421607,3903352.07796854
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",76605.4770623271,1801.34409960743,73823.4238344188,75757.1688988024,76239.5500327059,78170.5434188679,79031.4247834285
"Num Offtake","Juvenile Male",763614.469818919,19570.350723978,738115.780832817,746630.348869931,763670.133593312,782047.71713512,786495.836041696
"Num Offtake","Juvenile Combined",840219.946881246,21203.6633559122,812307.742615822,821398.445819885,839698.967576528,860852.429456077,865268.900552507
"Num Offtake","Adult Female",577513.418275749,1821.69778321809,574092.944634439,576601.747815678,577541.313290247,578605.134732415,580155.501928978
"Num Offtake","Adult Male",2431047.11042862,17663.6010732249,2405997.99624381,2415871.93736096,2429206.87042713,2446362.3402673,2457927.67548705
"Cml Pop Growth","Overall",1758420.38223573,481681.481063525,1283273.26643584,1329423.34088315,1593549.95347389,2177532.54451371,2609038.47254751
"Cml Pop Growth","Neonatal Female",134413.028769124,137150.185466055,-105582.43315873,78138.4468714719,133550.078951728,206154.910275651,383015.338812644
"Cml Pop Growth","Neonatal Male",159123.137177527,114091.137872851,-42210.7533394943,131026.751500055,170512.879795395,207878.721948689,342020.828273195
"Cml Pop Growth","Neonatal Combined",293536.165946651,246731.026968555,-99608.6837913624,220140.535389261,297527.912983228,412335.368281382,725036.167085839
"Cml Pop Growth","Juvenile Female",27506.685285471,79978.5077289731,-94159.5329777708,-18980.9452200404,12546.9348737252,99926.896754092,134449.216228947
"Cml Pop Growth","Juvenile Male",422299.083065112,57552.9976071468,349648.831954898,376359.129974581,412841.855835253,479938.618468429,497083.609015533
"Cml Pop Growth","Juvenile Combined",449805.768350583,132588.19952478,255489.298977127,363115.216688922,400421.504405806,584136.253593601,628378.325159619
"Cml Pop Growth","Adult Female",836689.004810751,119425.324433602,655742.462639054,748972.214321291,819784.381119631,915376.937494352,1022592.31515795
"Cml Pop Growth","Adult Male",178389.443127741,70261.5787003459,69722.5431147488,139633.135197962,163931.359103741,244684.248352174,275420.791109896
"Total Number Increase","Overall",5607200.85782134,517188.82297922,5092520.26993948,5165120.36786785,5419357.09208839,6065528.64101099,6512390.55051605
"Total Number Increase","Neonatal Female",134413.028769124,137150.185466055,-105582.43315873,78138.4468714719,133550.078951728,206154.910275651,383015.338812644
"Total Number Increase","Neonatal Male",159123.137177527,114091.137872851,-42210.7533394943,131026.751500055,170512.879795395,207878.721948689,342020.828273195
"Total Number Increase","Neonatal Combined",293536.165946651,246731.026968555,-99608.6837913624,220140.535389261,297527.912983228,412335.368281382,725036.167085839
"Total Number Increase","Juvenile Female",104112.162347798,81570.7106794513,-20336.1091433519,56683.5849835444,88707.4771917048,178594.237974922,212080.875851753
"Total Number Increase","Juvenile Male",1185913.55288403,76684.1754766261,1088133.1507363,1122989.47884451,1176511.98942856,1261929.93649921,1283579.44505723
"Total Number Increase","Juvenile Combined",1290025.71523183,152478.912710976,1067797.04159295,1181899.78984158,1235654.88553833,1448194.45101753,1491055.63125105
"Total Number Increase","Adult Female",1414202.4230865,120931.352341056,1232265.98304771,1325508.36488618,1397325.69440988,1493956.07716842,1602117.75506519
"Total Number Increase","Adult Male",2609436.55355636,87459.5114555983,2475720.53935856,2555505.07255892,2593138.22953087,2691046.58861948,2733348.46659695
"Total Mortality","Overall",3806035.89272851,201557.897109461,3411053.65490097,3735549.20850334,3791653.81406043,3879973.81379534,4198729.21339336
"Total Mortality","Neonatal Female",1028458.43751169,53772.8215843234,941552.313841906,993013.354839126,1023852.70619732,1049374.5087052,1122015.95868174
"Total Mortality","Neonatal Male",1028567.04389823,86016.1376121732,847345.939016344,1004955.33345632,1026343.52860468,1101697.11166562,1124898.19077805
"Total Mortality","Neonatal Combined",2057025.48140992,116349.104450112,1877407.62754127,1991724.04965244,2017127.88365021,2133171.8422831,2241665.21118159
"Total Mortality","Juvenile Female",411462.863357385,63670.6191764145,279511.723801823,394612.850474251,412071.771632251,453587.627846261,487228.469574352
"Total Mortality","Juvenile Male",306914.871072493,38999.419353258,257104.403242905,277883.93497221,300511.191622694,333978.315532048,378107.361655547
"Total Mortality","Juvenile Combined",718377.734429878,93110.6514444732,554689.57544765,680780.737328845,695620.466471221,788160.203469681,863097.30445639
"Total Mortality","Adult Female",811867.490374997,54305.1126490401,739660.595475005,772594.579863199,802109.424335047,860302.277001552,880670.46181277
"Total Mortality","Adult Male",218765.186513714,24939.8104486509,179599.074298221,206850.928493036,214946.850683864,234418.681810906,258041.6118741
"Value of Total Mortality","Overall",7847497594.09714,391239646.194155,7141929028.93724,7737122989.6625,7840764185.48467,7895073024.68616,8672895307.94292
"Value of Total Mortality","Neonatal Female",1527821538.71612,79881959.2679309,1398718560.1745,1475166264.79009,1520979516.47489,1558893308.76459,1666805469.16869
"Value of Total Mortality","Neonatal Male",1391819867.13196,116393938.472741,1146597996.94421,1359869351.23222,1388811086.34436,1490776840.14327,1522171704.52196
"Value of Total Mortality","Neonatal Combined",2919641405.84808,162651139.271915,2676801237.57521,2827710430.74522,2862144793.20854,3023079218.73199,3181874499.51859
"Value of Total Mortality","Juvenile Female",623913388.592611,96545655.2749514,423831947.616343,598363212.448005,624836694.336449,687788423.0039,738799032.774169
"Value of Total Mortality","Juvenile Male",889135132.912696,112981667.486509,744833761.071893,805032250.775035,870583616.13923,967538174.129095,1095380416.35482
"Value of Total Mortality","Juvenile Combined",1513048521.50531,188892413.715297,1221024650.73548,1400097439.903,1469699571.64406,1654622126.42062,1830785104.34337
"Value of Total Mortality","Adult Female",2652316945.51925,177411181.276457,2416421835.54494,2524014966.08885,2620437994.55732,2810550163.18743,2877091664.55892
"Value of Total Mortality","Adult Male",762490721.224495,86925960.9320969,625979982.80827,720964410.13353,749182179.371117,817049881.706329,899385948.373828
"Population Liveweight (kg)","Overall",635695929.972483,74768432.82125,516064990.970729,576879008.937669,637702438.276851,686651784.960851,755351107.501048
"Population Liveweight (kg)","Neonatal Female",23680907.5657302,3917891.43770512,15566984.4855517,21728854.8557356,25292596.2624333,26054438.2666122,28612911.3644778
"Population Liveweight (kg)","Neonatal Male",26847085.8436013,5122074.31189006,16935816.6591952,24700442.159731,25442858.4524228,30799681.3211706,34867899.0569619
