"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",3859590.55255614,33227.4232289072,3790300.22706957,3848872.95432243,3860849.93563954,3887775.20035719,3897094.35330634
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",76678.007478241,1332.27357392163,75144.6338701455,75957.0863195419,76624.8170518156,76811.0072664097,79804.7097801614
"Num Offtake","Juvenile Male",770683.805490092,16260.162020092,737621.193550004,768033.777817792,770303.401832837,784230.58884025,789032.298696817
"Num Offtake","Juvenile Combined",847361.812968333,17194.0955855945,812908.254704671,844627.053205751,846250.766076713,860888.34704575,868837.008476979
"Num Offtake","Adult Female",577004.103048676,1564.74074922982,573702.659957152,576445.021292627,577086.596517841,578292.461465226,578863.980149888
"Num Offtake","Adult Male",2435224.63653913,16734.5606475454,2398809.05431592,2427293.35611618,2439477.50075574,2447522.3806455,2451774.76301296
"Cml Pop Growth","Overall",2094726.09740519,385980.666545478,1258121.82606186,2046832.80130398,2118965.34748825,2220532.67634302,2798703.52327939
"Cml Pop Growth","Neonatal Female",275484.669011547,118393.885998251,17756.4565746298,243813.178750902,290403.24794511,322745.559901108,489728.941921224
"Cml Pop Growth","Neonatal Male",260934.91698117,119983.643297937,36482.7838687073,177941.664324684,264918.42274401,350346.677405925,440395.781196647
"Cml Pop Growth","Neonatal Combined",536419.585992717,233367.214651298,54239.240443337,421107.784121464,574734.723858302,655707.4424788,930124.723117871
"Cml Pop Growth","Juvenile Female",64049.2770343526,56247.0599874297,-34154.7548198574,45468.5552786704,63890.3616432155,92046.3654517793,154941.542007234
"Cml Pop Growth","Juvenile Male",451630.068016206,57939.8210680142,339077.127516962,429140.227637801,471493.270760925,488831.337079237,513535.213241355
"Cml Pop Growth","Juvenile Combined",515679.345050559,108127.042526352,304922.372697105,484194.32348539,549591.42040318,572922.82529702,665001.817458475
"Cml Pop Growth","Adult Female",838186.713623453,56957.4995097565,764201.352603644,787423.821291146,836889.756365387,880698.8081758,938726.965560734
"Cml Pop Growth","Adult Male",204440.45273846,57791.7022862518,94113.3723679809,194552.554859664,210784.202911533,247143.401532686,268025.755422195
"Total Number Increase","Overall",5954316.64996133,400573.660394849,5083290.19665864,5913068.13751704,5955116.93780417,6078335.87940969,6695797.87658574
"Total Number Increase","Neonatal Female",275484.669011547,118393.885998251,17756.4565746298,243813.178750902,290403.24794511,322745.559901108,489728.941921224
"Total Number Increase","Neonatal Male",260934.91698117,119983.643297937,36482.7838687073,177941.664324684,264918.42274401,350346.677405925,440395.781196647
"Total Number Increase","Neonatal Combined",536419.585992717,233367.214651298,54239.240443337,421107.784121464,574734.723858302,655707.4424788,930124.723117871
"Total Number Increase","Juvenile Female",140727.284512594,56911.1135296339,42036.0891469031,122546.302785314,139808.02825788,168167.571682094,234746.251787395
"Total Number Increase","Juvenile Male",1222313.8735063,68780.2943004643,1092104.11543948,1175135.30184259,1242847.53100262,1260726.07461967,1301342.52342094
"Total Number Increase","Juvenile Combined",1363041.15801889,118213.425083979,1134140.20458639,1308123.11806164,1398923.4102825,1419897.87773727,1533838.82593545
"Total Number Increase","Adult Female",1415190.81667213,57979.5868370995,1337904.0125608,1363794.32801954,1414714.42919051,1458205.17171163,1516306.87958451
"Total Number Increase","Adult Male",2639665.08927759,73607.98733307,2492922.4266839,2624463.53736268,2648368.55636806,2692199.54370275,2719800.51843515
"Total Mortality","Overall",3638168.8733809,179658.660542132,3362346.29578814,3533829.44660399,3692803.40750665,3765004.11309089,3893564.83121231
"Total Mortality","Neonatal Female",968051.960065732,48874.5161563405,862790.06379923,942689.102506069,969747.797658019,1003952.97015601,1026346.50160495
"Total Mortality","Neonatal Male",982327.755171494,72126.0108639685,872189.249197565,939142.926420915,996563.234679039,1010028.01944551,1136326.17685746
"Total Mortality","Neonatal Combined",1950379.71523723,103304.145658202,1802311.39912335,1887621.02805732,1951065.67679946,2016069.7038461,2137935.55198181
"Total Mortality","Juvenile Female",379473.0617368,43209.528657784,311932.912678702,355831.340405097,377697.91304294,395801.758939405,452301.884421129
"Total Mortality","Juvenile Male",277676.338801639,24678.0274398674,248064.42084755,258812.357572377,272516.90024825,292529.803867864,323012.202051498
"Total Mortality","Juvenile Combined",657149.40053844,50307.4064553021,568231.673950341,629766.369034074,659478.307439151,693228.946163161,726263.200778703
"Total Mortality","Adult Female",815920.382104708,63967.0218114262,693581.697857604,785955.757433521,835855.480379945,850966.87736714,903580.399362648
"Total Mortality","Adult Male",214719.37550053,22756.5466150043,174044.068447599,200934.260929572,211471.676028342,233919.760663843,248819.179900075
"Value of Total Mortality","Overall",8079690823.84217,405877794.47015,7430006235.27768,7796643543.55677,8221714947.50454,8314783197.01267,8586864951.60507
"Value of Total Mortality","Neonatal Female",1494987585.66349,75478174.6468209,1332428926.98247,1455819071.21095,1497606511.3538,1550430440.60497,1585013348.23429
"Value of Total Mortality","Neonatal Male",1391223624.64396,102148605.429317,1235239747.89076,1330063025.57942,1411384650.63021,1430454178.6663,1609324193.70504
"Value of Total Mortality","Neonatal Combined",2886211210.30745,151227060.210663,2663027874.91891,2797193837.67791,2883952161.28389,2984373883.89778,3156135360.11536
"Value of Total Mortality","Juvenile Female",803692912.472221,91514248.1381532,660648400.018897,753621680.048055,799933292.70551,838275757.8304,957938403.172397
"Value of Total Mortality","Juvenile Male",721748447.931798,64144205.010807,644779859.553386,672716365.353958,708337810.265734,760356222.019512,839587400.567977
"Value of Total Mortality","Juvenile Combined",1525441360.40402,113096537.293447,1326831316.26223,1460774685.83333,1536358185.30134,1620752991.63862,1670030602.77347
"Value of Total Mortality","Adult Female",2619480106.33191,205363592.785978,2226716600.66552,2523279864.32129,2683480950.64843,2731995492.82071,2900909123.62838
"Value of Total Mortality","Adult Male",1048558146.79879,111129059.920865,849924816.739632,981240075.69208,1032698368.27634,1142321088.48831,1215080742.27504
"Population Liveweight (kg)","Overall",631138064.003182,48877005.3859502,545623598.195288,614725473.469001,633599947.276891,654940406.43191,719379856.562231
"Population Liveweight (kg)","Neonatal Female",27254616.9105552,5347851.54190958,18757719.6597515,25503108.3126459,28466750.0656916,29124326.4550129,35883003.8970459
"Population Liveweight (kg)","Neonatal Male",26029285.6521282,3699491.75267146,18948825.0590864,25674197.3515453,26344470.1481903,27381792.3723102,32093675.9049588
"Population Liveweight (kg)","Juvenile Female",40686070.3151909,8577980.54960233,28328949.8828859,33926878.6781685,42063557.5672549,47328740.5899977,51532818.3848456
"Population Liveweight (kg)","Juvenile Male",35246806.2542743,4925664.33457882,28771226.7485059,30604997.4188511,36131887.7892342,39060209.9067936,41471912.5474602
"Population Liveweight (kg)","Juvenile Combined",75932876.5694652,11649249.8385005,58884037.3697396,67412153.6335091,74907559.0184829,87269424.8567224,90537604.1500536
"Population Liveweight (kg)","Adult Female",403765086.101649,40953058.7843529,356042955.708295,372214637.25321,397398994.671316,423658083.91408,492934345.353783
"Population Liveweight (kg)","Adult Male",98156198.7693846,17066625.8127323,68916193.4543091,88936621.56093,95302999.1527956,112324761.555068,123621342.638647
"Offtake Liveweight (kg)","Overall",101584629.567488,19260986.2895004,76898160.060055,87483100.5974134,97940790.5705964,108552573.519565,137604857.024102
"Offtake Liveweight (kg)","Juvenile Female",1634942.4844053,257555.420230409,1357478.96570704,1461669.02235846,1547642.37296179,1803108.99064075,2139956.8717074
"Offtake Liveweight (kg)","Juvenile Male",17658067.4177552,4514133.74892147,11558191.3747788,14670799.1712825,18078152.3846866,19212422.3372255,26741965.9356493
"Offtake Liveweight (kg)","Adult Female",15375506.0972534,1602971.82320125,13435713.6186335,13967741.9749988,15326190.3268555,16453344.2948011,17939408.9406564
"Offtake Liveweight (kg)","Adult Male",66916113.5680743,18065450.0902916,46572547.1739948,52062904.4712063,62980180.7833825,78611718.8788962,95750805.0635017
"Meat (kg)","Overall",42665544.418345,8089614.24159015,32297227.2252231,36742902.2509136,41135132.0396505,45592080.8782172,57794039.950123
"Manure","Overall",2302445654.65498,12275448.7716791,2284686523.68931,2295072203.23777,2301967857.42828,2306754251.06556,2325222889.02402
"Manure","Neonatal Female",79200266.9699406,2553018.18943208,74996470.9726693,77642217.3075752,79205749.0053408,80445554.7305038,84368859.3397201
"Manure","Neonatal Male",79161548.9384925,2424299.07548564,74582499.327241,78579534.9146305,79393918.2684475,80512066.039354,82683954.3193928
"Manure","Neonatal Combined",158361815.908433,4867209.17169228,149578970.29991,155876481.725128,158599667.273788,161174126.211999,167052813.659113
"Manure","Juvenile Female",138404709.12304,2580139.04625171,135594112.610703,136993797.429451,138127570.797674,138816514.092047,144578126.856334
"Manure","Juvenile Male",105467621.14011,2389272.06752034,100889281.648061,105337491.731514,105396594.552965,107360764.89469,108264668.145616
"Manure","Juvenile Combined",243872330.263149,4566632.82512146,236709748.308829,241397530.61174,243638118.267413,246027867.523592,252842795.00195
"Manure","Adult Female",1565454758.65404,4572403.73840894,1555874994.05774,1563375525.67575,1565909441.31327,1569109860.40061,1570743850.96425
"Manure","Adult Male",334756749.829363,2777925.31883751,328785473.3464,333607041.074949,335472203.936305,336651541.314677,337591566.489179
"Hides","Overall",843894.579071839,47394.0180619498,776803.19436072,813134.993855955,838365.839047863,881258.435795724,919805.125767809
"Hides","Juvenile Female",189736.5308684,21604.764328892,155966.456339351,177915.670202548,188848.95652147,197900.879469703,226150.942210564
"Hides","Juvenile Male",138838.16940082,12339.0137199337,124032.210423775,129406.178786189,136258.450124125,146264.901933932,161506.101025749
"Hides","Juvenile Combined",328574.70026922,25153.703227651,284115.83697517,314883.184517037,329739.153719575,346614.47308158,363131.600389351
"Hides","Adult Female",407960.191052354,31983.5109057131,346790.848928802,392977.878716761,417927.740189972,425483.43868357,451790.199681324
"Hides","Adult Male",107359.687750265,11378.2733075022,87022.0342237996,100467.130464786,105735.838014171,116959.880331922,124409.589950037
"Milk","Overall",0,0,0,0,0,0,0
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",2684380243.45111,52949095.3710921,2613891137.39675,2637567569.80665,2689811480.94219,2718953434.46889,2771686645.24401
"Cml Dry Matter","Neonatal Female",233197096.137887,8811836.75884655,222503350.745057,226068340.359505,230301020.068897,241029913.58535,247702625.664092
"Cml Dry Matter","Neonatal Male",232727464.315781,15042319.6091852,197630500.506359,229352477.554743,233839960.832492,239456187.584238,251865686.721631
"Cml Dry Matter","Neonatal Combined",465924560.453667,17420313.7906933,431238521.000784,458152905.174711,466687004.180959,476376955.381122,491863807.562223
"Cml Dry Matter","Juvenile Female",202648214.186707,14363902.9979775,184001227.990366,192285790.064607,200141278.798784,210729628.85894,228298374.294766
"Cml Dry Matter","Juvenile Male",155996076.366764,7543870.83054153,142221051.59156,155207453.825385,155810310.844202,156823331.784303,171922191.346735
"Cml Dry Matter","Juvenile Combined",358644290.553471,17774597.214225,343327127.18692,346736807.249453,351871568.511656,367552960.643243,400220565.641501
"Cml Dry Matter","Adult Female",1532070977.71527,51943015.4926324,1449338899.90495,1496617892.55025,1534073775.79612,1564478944.04086,1610146820.41548
"Cml Dry Matter","Adult Male",327740414.728701,12623413.7986004,302758778.781409,321978342.393264,328892846.250149,333516587.871002,350012718.04651
"Value of Offtake","Overall",13593460781.9882,2376670651.16675,10197584396.4848,11666111143.6448,14276307334.1204,14941222954.1397,16781328786.666
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",180891628.67913,42440792.7101218,117090232.872731,149355512.469102,174772595.40515,206242193.192786,247896161.150436
"Value of Offtake","Juvenile Male",2046265423.02119,630107392.525519,1208645567.68926,1709408373.20662,1791637103.97594,2579237912.4885,3097696509.00907
"Value of Offtake","Juvenile Combined",2227157051.70032,661692913.212202,1348755458.72462,1888422461.23231,1976204625.31044,2755809342.59354,3333702389.90245
"Value of Offtake","Adult Female",1771283924.06515,227304242.241615,1472478124.30154,1585477445.95716,1795175130.45366,1842012483.89105,2227386541.713
"Value of Offtake","Adult Male",9595019806.22274,2225899579.33189,5972629693.97296,8142641372.26795,10286987732.6771,11508753443.8173,11986471079.8455
"Value of Herd Increase","Overall",5908244384.73864,1030193136.71749,4152304641.23732,5457850487.99834,5570971770.78619,6471133330.08888,7905349249.53959
"Value of Herd Increase","Neonatal Female",395931036.020772,189872915.577825,24402055.6339815,325010150.058651,381958517.004775,486648905.649652,763490406.438025
"Value of Herd Increase","Neonatal Male",380470345.01747,185652546.658114,47066164.2222964,250305934.104916,392799687.034514,544530344.761188,621775700.973571
"Value of Herd Increase","Neonatal Combined",776401381.038242,359952913.174419,71468219.8562779,566732868.710487,847737271.804108,962026934.776442,1385266107.4116
