"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",3853210.32524442,36993.4359512656,3810603.64562827,3829034.70847596,3847038.71013782,3874354.03600534,3932584.2611233
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",76663.2373674856,1306.91926182282,74617.1251905451,76046.1384214257,76745.6599903934,77336.1969452784,79203.0865283329
"Num Offtake","Juvenile Male",768875.969131476,18932.8475310243,748535.292666547,756640.357477337,762608.570554471,779232.255258155,805384.633094481
"Num Offtake","Juvenile Combined",845539.206498961,19970.141723722,823612.356169379,833183.836161547,839523.856795123,855696.086750845,884587.719622814
"Num Offtake","Adult Female",577086.276225907,2130.92719504933,573590.046848754,575656.619604395,577759.674423767,578568.734349102,579792.798658228
"Num Offtake","Adult Male",2430584.84251955,17248.1900273502,2413401.24261014,2416361.12421444,2429011.82943361,2438542.27206422,2469021.45801784
"Cml Pop Growth","Overall",1897209.22192542,357075.203174202,1409208.71659065,1644722.10726502,1894886.38214954,2168608.3396313,2521725.30929911
"Cml Pop Growth","Neonatal Female",176978.463152045,101691.369436067,60027.5905648088,118741.80754016,163679.730237699,197627.889042149,362396.696510451
"Cml Pop Growth","Neonatal Male",197976.224337334,108142.178548074,72200.3508374975,120093.682097049,170446.847501727,232650.385945683,396301.244666512
"Cml Pop Growth","Neonatal Combined",374954.687489379,201478.891360705,132227.941402306,248659.803604557,311644.20343069,415960.52178842,728802.837163422
"Cml Pop Growth","Juvenile Female",47414.7462272282,61808.76812498,-46578.5029367479,347.746391514142,51324.5206246745,86866.6063808083,137790.601695512
"Cml Pop Growth","Juvenile Male",454469.241511886,65773.9552836969,365443.825629245,421125.220571085,433199.31402327,499566.960898282,570915.091903844
"Cml Pop Growth","Juvenile Combined",501883.987739115,118933.008463032,343023.827162188,401124.142790136,500949.864338377,555693.003720141,708705.693599356
"Cml Pop Growth","Adult Female",824844.824235533,123990.047518662,595072.028445842,766095.83876449,831545.01756569,932161.218312014,961978.011358682
"Cml Pop Growth","Adult Male",195525.722461389,60161.5404655787,125839.83920623,152659.274141996,182429.415851658,224641.444493063,324717.126506652
"Total Number Increase","Overall",5750419.54716983,382418.735654962,5219812.36221892,5481800.87732227,5757520.69442243,6003576.51277934,6402165.63515611
"Total Number Increase","Neonatal Female",176978.463152045,101691.369436067,60027.5905648088,118741.80754016,163679.730237699,197627.889042149,362396.696510451
"Total Number Increase","Neonatal Male",197976.224337334,108142.178548074,72200.3508374975,120093.682097049,170446.847501727,232650.385945683,396301.244666512
"Total Number Increase","Neonatal Combined",374954.687489379,201478.891360705,132227.941402306,248659.803604557,311644.20343069,415960.52178842,728802.837163422
"Total Number Increase","Juvenile Female",124077.983594714,62636.440893509,28038.6222537972,77291.6758743649,126867.38698844,163680.164745825,215281.753022352
"Total Number Increase","Juvenile Male",1223345.21064336,80816.689483794,1121924.00365783,1175345.78435844,1195501.28862804,1263316.27942567,1364192.5524984
"Total Number Increase","Juvenile Combined",1347423.19423808,134734.012873454,1176370.47666352,1234798.12210757,1351449.06519175,1392002.35789473,1579474.30552076
"Total Number Increase","Adult Female",1401931.10046144,125854.846948459,1168662.0752946,1343068.49818685,1407905.65740114,1511085.25156841,1540953.09484133
