"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",3846535.45365365,36821.8714850518,3782387.62854855,3819143.89756706,3859397.99734031,3869124.37402683,3901452.41381804
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",76303.9013711985,1343.94261214937,74446.5378490131,75326.5986679452,76045.6599653265,77417.6889364494,78518.4783099779
"Num Offtake","Juvenile Male",765509.807743414,18939.1531475337,737796.604396613,752523.027749856,766307.484492238,774693.769144162,802023.964711644
"Num Offtake","Juvenile Combined",841813.709114613,20128.4252099444,812572.557463428,827359.054370312,843040.627230746,851408.270922614,880542.443021622
"Num Offtake","Adult Female",576832.575857644,1568.19219791202,574630.30393354,575690.333142851,576646.807056237,578037.319525001,579427.9785422
"Num Offtake","Adult Male",2427889.16868139,18001.4004956578,2392934.77911877,2419803.62607591,2432660.77575805,2440600.17621834,2448117.03582769
"Cml Pop Growth","Overall",1960457.68566332,418112.326804194,1520649.57902599,1602367.13536117,1815260.82648711,2367105.59662345,2595588.64241128
"Cml Pop Growth","Neonatal Female",236110.654128159,119042.997150855,45470.2524257605,142743.311311658,228193.746839838,320202.25946072,399548.696194028
"Cml Pop Growth","Neonatal Male",227247.834142774,118060.56316644,103212.57618657,121717.998389241,205084.163174729,312699.162200511,412294.377008731
"Cml Pop Growth","Neonatal Combined",463358.488270933,225565.020683301,167795.283054562,293027.633634402,404146.005151439,628996.89128885,805822.669148755
"Cml Pop Growth","Juvenile Female",48070.5925995239,68943.2277890075,-38723.154406751,301.101846475794,31588.7653363828,97298.6221917919,160050.83385923
"Cml Pop Growth","Juvenile Male",452157.229109373,63922.5892753957,364277.102498275,412808.666295539,431874.16258018,479241.237965966,582176.42465791
"Cml Pop Growth","Juvenile Combined",500227.821708897,128236.067639086,359113.886097676,396789.463384395,474157.177753033,569025.231620797,742227.25851714
"Cml Pop Growth","Adult Female",807633.956279983,86504.268804323,667802.447104501,754733.302057352,791976.389348096,878491.431770316,938950.374768553
"Cml Pop Growth","Adult Male",189237.41940351,57204.5345342373,83944.2591666011,156633.035984738,197906.568402795,211926.970653124,283388.556087937
"Total Number Increase","Overall",5806993.13931697,446258.480590519,5332767.64311574,5409572.66177168,5670480.39766634,6227988.19230957,6497041.05622931
"Total Number Increase","Neonatal Female",236110.654128159,119042.997150855,45470.2524257605,142743.311311658,228193.746839838,320202.25946072,399548.696194028
"Total Number Increase","Neonatal Male",227247.834142774,118060.56316644,103212.57618657,121717.998389241,205084.163174729,312699.162200511,412294.377008731
"Total Number Increase","Neonatal Combined",463358.488270933,225565.020683301,167795.283054562,293027.633634402,404146.005151439,628996.89128885,805822.669148755
"Total Number Increase","Juvenile Female",124374.493970722,70196.9608377318,35723.383442262,75908.0469609866,107634.425301709,174387.002974595,238569.312169208
"Total Number Increase","Juvenile Male",1217667.03685279,79596.2846390187,1132633.64276936,1163669.96382683,1191457.24151095,1253935.00711013,1384200.38936955
"Total Number Increase","Juvenile Combined",1342041.53082351,145599.375886673,1199320.32185553,1213583.5226898,1318469.94474241,1418632.87111985,1622769.70153876
"Total Number Increase","Adult Female",1384466.53213763,87541.7274273599,1242432.75103804,1331917.60872404,1367286.34027459,1456722.49070065,1518378.35331075
"Total Number Increase","Adult Male",2617126.5880849,73823.1635453166,2476879.03828537,2576436.66206065,2636005.54926588,2650265.58818776,2727885.20473823
"Total Mortality","Overall",3809576.61388478,165167.302299588,3512962.24280528,3736644.70253201,3841005.8468341,3932621.18848212,4007941.44486245
"Total Mortality","Neonatal Female",1033599.8305145,84575.8981675557,906686.505659349,962945.345370791,1045424.89461194,1069889.5107951,1161020.55539056
"Total Mortality","Neonatal Male",1031557.30325795,79812.107021341,934395.996957789,982095.719511973,995697.05569663,1084308.64943303,1172206.02330485
"Total Mortality","Neonatal Combined",2065157.13377245,112183.148771547,1894605.95554629,1981058.35168729,2063509.84146201,2138189.23879225,2221879.24453956
"Total Mortality","Juvenile Female",400161.184785407,46786.3887901857,304555.136395264,387022.818337449,401283.164853352,415512.843068411,489054.117658161
"Total Mortality","Juvenile Male",297747.547544404,39925.4258557403,232783.206312838,283710.145105018,302184.012376602,318493.628952822,356756.755960662
"Total Mortality","Juvenile Combined",697908.732329812,74524.1721328798,540988.387806147,675504.029910357,704909.614394487,748725.978540798,792805.447736818
"Total Mortality","Adult Female",828415.825706621,51156.7636881453,751216.63473565,798496.610403546,834999.843249152,851227.484697322,915896.37423955
"Total Mortality","Adult Male",218094.92207589,25738.4458556309,186667.645713046,198197.286894379,213507.558619863,241803.238837271,255700.977998385
"Population Liveweight (kg)","Overall",664729277.487905,53783591.8885899,587003302.690031,624180542.519637,672385781.990296,704522384.711309,736864104.124938
"Population Liveweight (kg)","Neonatal Female",28030901.4846271,6291357.04842956,16570145.2585292,24553932.5012234,28459450.0350083,30382543.7306839,39326254.5290676
"Population Liveweight (kg)","Neonatal Male",29324716.4146132,6324387.06792989,21220840.1269755,25635813.5320864,27603708.2790986,34336679.0306615,40160646.6953696
"Population Liveweight (kg)","Juvenile Female",42006612.1093632,7636984.42291108,31568034.6633025,36487044.0277087,41057416.834555,46519482.6155926,56948525.6127388
"Population Liveweight (kg)","Juvenile Male",33127932.342888,7122317.76047951,22853400.9455449,30150682.9873318,33242716.5479708,36014133.9246314,45320647.1558492
"Population Liveweight (kg)","Juvenile Combined",75134544.4522512,9877654.51131305,58995382.6236724,70620750.7995992,76111480.2573071,81472921.8412203,91849505.0994021
"Population Liveweight (kg)","Adult Female",425650535.256877,52590109.0098359,321964086.140625,402453213.958579,431121353.830757,469143728.741438,487082657.200901
"Population Liveweight (kg)","Adult Male",106588579.879537,22045110.2025218,74431899.1081291,94088172.4932303,101367361.149034,127013282.931525,139239989.317841
"Offtake Liveweight (kg)","Overall",116630576.672539,16630428.0202846,89397008.308706,111581250.567618,116852191.118794,122131333.79304,148711910.086849
"Offtake Liveweight (kg)","Juvenile Female",1703046.16663215,167086.452117147,1439368.70494419,1585977.58980219,1727870.34657489,1781528.03204882,1958798.41153318
"Offtake Liveweight (kg)","Juvenile Male",15381662.1944229,3400889.21954406,11622063.0836264,12895213.8185696,13489325.7816915,18138595.0523405,21267293.0159581
"Offtake Liveweight (kg)","Adult Female",18577326.4732817,1910695.95159988,15139383.0158618,17781674.1240051,18671183.9466285,20113405.137633,21104013.8683547
"Offtake Liveweight (kg)","Adult Male",80968541.8382026,14695432.7459165,59633702.4010729,77568454.7017757,79542974.5922243,83998042.5902161,109784028.885458
"Meat (kg)","Overall",48984842.2024665,6984779.76851952,37546743.4896565,46864125.2383995,49077920.2698935,51295160.193077,62459002.2364767
"Manure","Overall",2298566801.88028,15565533.0272847,2275841518.02197,2283754119.99223,2303207220.29003,2309991499.34229,2321840306.28378
"Manure","Neonatal Female",78823485.4140735,2473307.89432075,75248297.4331379,77249637.4030195,78808945.4252238,80356184.3171638,83442653.964588
"Manure","Neonatal Male",78993193.2044721,2760161.39783076,75041463.9252371,77267503.4361342,79012110.2734987,80546283.5010017,84381959.7895112
"Manure","Neonatal Combined",157816678.618546,5079816.06149844,150807822.435794,153731910.771012,157946810.299151,160505651.150098,167824613.754099
"Manure","Juvenile Female",137635446.023754,2808493.97596234,133771429.201783,135429762.904851,137071720.529606,139862062.907841,142293565.961116
"Manure","Juvenile Male",104780917.740445,2834865.31327461,100822227.503399,102821056.29639,104595921.655955,106167949.980351,110429587.176167
"Manure","Juvenile Combined",242416363.764199,5485778.11385863,235519107.363192,237787832.991618,242162745.273979,245175804.627604,252723153.137282
"Manure","Adult Female",1564716660.42216,4781408.59331536,1557512042.6445,1561378450.90269,1564445542.94494,1567712391.02133,1572906095.43686
"Manure","Adult Male",333617099.075379,2932880.55498211,327890885.857596,332218294.306392,334396386.22976,335773186.673496,336734848.972174
"Hides","Overall",872209.740056161,39783.0905478867,809178.143629493,834244.534358708,888457.324287569,902553.493187846,918587.057006807
"Hides","Juvenile Female",200080.592392704,23393.1943950929,152277.568197632,193511.409168724,200641.582426676,207756.421534206,244527.05882908
"Hides","Juvenile Male",148873.773772202,19962.7129278702,116391.603156419,141855.072552509,151092.006188301,159246.814476411,178378.377980331
"Hides","Juvenile Combined",348954.366164906,37262.0860664399,270494.193903074,337752.014955178,352454.807197243,374362.989270399,396402.723868409
"Hides","Adult Female",414207.912853311,25578.3818440726,375608.317367825,399248.305201773,417499.921624576,425613.742348661,457948.187119775
"Hides","Adult Male",109047.461037945,12869.2229278155,93333.8228565231,99098.6434471893,106753.779309931,120901.619418636,127850.488999193
"Milk","Overall",0,0,0,0,0,0,0
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",2951384762.66553,117885655.317001,2780410804.14241,2856235855.87899,2988746617.67237,3023660001.62366,3133086971.93867
"Cml Dry Matter","Neonatal Female",246067872.706463,15681645.0869281,212526256.529122,242284407.123765,247608882.14215,252883486.253992,266856371.476138
"Cml Dry Matter","Neonatal Male",253106059.075028,18860610.9896472,230815972.129047,240939096.710445,246711774.597817,259485631.186932,289261123.989042
"Cml Dry Matter","Neonatal Combined",499173931.78149,26553604.207011,462563881.481738,477628816.430388,498240214.412345,517753350.663437,543764941.629576
"Cml Dry Matter","Juvenile Female",214090850.915711,9884926.69278339,195094647.079876,210611691.894241,215400248.84873,221800549.960608,226357338.44594
"Cml Dry Matter","Juvenile Male",168570175.43828,9072195.74061274,158011444.2517,161467870.463575,166123776.90664,174281570.822846,183426613.782139
"Cml Dry Matter","Juvenile Combined",382661026.353992,11756082.6326768,363565745.469081,376883041.667254,382162710.526287,389520176.610174,403645984.216585
"Cml Dry Matter","Adult Female",1717442883.50835,112253218.036287,1589176321.14253,1619243976.20264,1722966765.20694,1750288339.06715,1917654238.24752
"Cml Dry Matter","Adult Male",352106921.021702,15631364.7531774,329715716.248267,340052238.683852,353309936.814382,359745597.75189,378560970.860855
"Value of Offtake","Overall",14494818410.3139,2833813380.52923,11277818687.3857,12244012469.5995,13808141230.443,15922885361.6179,19239407437.9066
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",172636746.48591,43552426.5947064,106833208.723227,143239791.226508,164833626.97741,209384296.61566,244482463.979887
"Value of Offtake","Juvenile Male",2320190724.12694,621734870.203331,1330613595.8392,2103736015.74407,2160359951.95959,2860966207.32365,3230686791.32285
"Value of Offtake","Juvenile Combined",2492827470.61285,630469091.020777,1521164713.51253,2236761747.42411,2333152532.78257,3054513712.62665,3377358461.43756
"Value of Offtake","Adult Female",1818274421.48242,126042073.218451,1550963609.74478,1780744969.93721,1806278072.30929,1873256618.32474,2057657179.58947
"Value of Offtake","Adult Male",10183716518.2186,2563046727.94601,7717762213.6422,8009894649.06075,9611513837.34406,11098264840.959,14627380067.8736
"Value of Herd Increase","Overall",5848828151.56064,1092794258.29437,3914011883.37386,5120793655.53064,5799591321.21406,6507009924.94322,7415385294.96999
"Value of Herd Increase","Neonatal Female",331433240.763283,182084359.631229,61793807.9969072,205500404.137498,274517213.141664,472332076.444284,594210296.905542
"Value of Herd Increase","Neonatal Male",303997660.640516,166226795.045293,110449944.395517,171299964.37448,287910823.698369,394454751.505834,642911425.100898
"Value of Herd Increase","Neonatal Combined",635430901.403798,333905842.767697,211913347.042778,376800368.511979,538719482.021959,861068831.857818,1237121722.00644
"Value of Herd Increase","Juvenile Female",100486480.198248,154279530.538548,-125774608.267565,817980.939230962,87265185.3682849,209258135.492098,333065310.99187
"Value of Herd Increase","Juvenile Male",1509889124.14533,414313571.545648,1068437410.27117,1110098698.23961,1471496341.18668,1875118428.05402,2112059271.60299
"Value of Herd Increase","Juvenile Combined",1610375604.34358,463882531.38456,1054574583.73569,1308665981.65555,1521281226.33789,1793962553.01917,2400832327.13891
"Value of Herd Increase","Adult Female",2512147888.43823,389393797.650592,1841353360.78125,2344984546.19054,2549460608.80129,2688703602.67187,3131691820.11869
"Value of Herd Increase","Adult Male",1090873757.37503,368851910.445357,371509926.196722,1027000655.27831,1181956795.53468,1313762463.46493,1479986721.61856
"Value of Herd Increase plus Offtake","Overall",20343646561.8745,3111262945.29275,16310240129.1158,18654094841.2033,20064676568.9259,20313899266.218,26497783313.1219
"Value of Herd Increase plus Offtake","Neonatal Female",331433240.763283,182084359.631229,61793807.9969072,205500404.137498,274517213.141664,472332076.444284,594210296.905542
"Value of Herd Increase plus Offtake","Neonatal Male",303997660.640516,166226795.045293,110449944.395517,171299964.37448,287910823.698369,394454751.505834,642911425.100898
"Value of Herd Increase plus Offtake","Neonatal Combined",635430901.403798,333905842.767697,211913347.042778,376800368.511979,538719482.021959,861068831.857818,1237121722.00644
"Value of Herd Increase plus Offtake","Juvenile Female",273123226.684157,158862627.210695,64776509.4057579,160339148.738393,212604276.892701,382555266.530974,549437610.710685
"Value of Herd Increase plus Offtake","Juvenile Male",3830079848.27228,831527046.207855,2691759575.09078,3242268610.66655,3595390341.03553,4364673026.10683,5102650830.58805
"Value of Herd Increase plus Offtake","Juvenile Combined",4103203074.95643,918089245.256247,3055100214.20885,3443935077.50684,3803087928.84915,4527465519.38477,5572187642.13216
"Value of Herd Increase plus Offtake","Adult Female",4330422309.92065,370156884.076146,3707904280.1221,4203331441.88155,4353592159.74269,4631673207.59071,4814157721.29801
