"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",4575538.27239004,132784.252280039,4182489.26057179,4476417.72192565,4565049.35361251,4663569.42981161,5133775.93980265
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",108291.696389607,5893.9690198478,90870.1197430645,103947.482234203,107979.380909315,112326.215581938,132950.141302474
"Num Offtake","Juvenile Male",1146263.01613841,72468.3194535434,931616.636433631,1093272.21223091,1142285.6312418,1196427.05010643,1448956.25243752
"Num Offtake","Juvenile Combined",1254554.71252801,78360.2166407942,1022486.7561767,1197162.89476655,1250231.77375087,1308927.86149839,1581906.39374
"Num Offtake","Adult Female",603127.232407866,3248.08365417726,593750.047241328,600700.08691497,602820.921323954,605286.050351811,616737.035790653
"Num Offtake","Adult Male",2717856.32745416,52594.2567037116,2566252.45715376,2679558.47128595,2713523.47732755,2751648.29232034,2935132.510272
"Cml Pop Growth","Overall",14578348.3331778,1927689.42884228,9267001.77808324,13208464.5117245,14500376.5398692,15895619.5995526,20950601.2581937
"Cml Pop Growth","Neonatal Female",3000594.65739641,564685.744193104,1628085.78771285,2610958.58463274,2966822.82663634,3364497.93483579,4963460.37756908
"Cml Pop Growth","Neonatal Male",3000415.79239234,564463.511910084,1632502.4148,2610063.5119013,2961585.68359085,3362305.72245396,4967732.40424313
"Cml Pop Growth","Neonatal Combined",6001010.44978876,1129130.33605031,3260588.20251285,5219528.30017272,5928758.33103861,6729231.71381534,9931192.78181221
"Cml Pop Growth","Juvenile Female",2009136.69371875,317452.029406941,1116801.31130955,1782631.44985678,2000036.82446788,2227246.73342991,3071028.16001127
"Cml Pop Growth","Juvenile Male",2148507.22968325,281683.741357015,1342340.53450147,1945882.00131021,2142269.24617508,2342639.74270829,3097287.67358584
"Cml Pop Growth","Juvenile Combined",4157643.923402,598799.476467998,2461982.89397828,3729746.54904986,4146044.34757762,4570128.13018674,6168315.83359711
"Cml Pop Growth","Adult Female",2937722.79404506,284188.415787173,2082476.34896214,2726926.03675113,2921439.21526769,3136990.17812495,4123039.33246825
"Cml Pop Growth","Adult Male",1481971.16594203,217659.61006926,845132.789387736,1319647.97745046,1469972.63797805,1631605.17067921,2378816.81161859
"Total Number Increase","Overall",19153886.6055679,2020817.13883749,13644386.5041827,17711262.7115056,19076944.4892828,20541827.6871057,26022012.6727152
"Total Number Increase","Neonatal Female",3000594.65739641,564685.744193104,1628085.78771285,2610958.58463274,2966822.82663634,3364497.93483579,4963460.37756908
"Total Number Increase","Neonatal Male",3000415.79239234,564463.511910084,1632502.4148,2610063.5119013,2961585.68359085,3362305.72245396,4967732.40424313
"Total Number Increase","Neonatal Combined",6001010.44978876,1129130.33605031,3260588.20251285,5219528.30017272,5928758.33103861,6729231.71381534,9931192.78181221
"Total Number Increase","Juvenile Female",2117428.39010836,322289.28578046,1211202.40018145,1887438.83144947,2107403.84184572,2338577.79877653,3194197.91908445
"Total Number Increase","Juvenile Male",3294770.24582166,341916.876810283,2329320.84831458,3050421.14027062,3283541.40378418,3531757.25259333,4479752.107039
"Total Number Increase","Juvenile Combined",5412198.63593002,663905.5693945,3540523.24849603,4933071.9356639,5390810.28149434,5870931.71641957,7663386.94330398
"Total Number Increase","Adult Female",3540850.02645293,287268.332800658,2676226.39620347,3327416.13737386,3523666.80476095,3742317.48181619,4739776.3682589
"Total Number Increase","Adult Male",4199827.49339619,267520.568715451,3411385.2465415,4002655.85749051,4185360.1809031,4384380.70440513,5313949.32189059
"Total Mortality","Overall",409114.846848208,33209.2119595021,303964.832741413,387222.019325423,406678.095539151,430391.209798772,524127.481946867
"Total Mortality","Neonatal Female",47969.2595131831,8380.07377118122,27607.7884480875,42064.7307375166,47043.7031505327,53292.0873787589,84879.3524205815
"Total Mortality","Neonatal Male",48249.6332433131,8690.32802121179,24281.5464684013,42410.5113245527,47516.5232772827,53721.3830800043,84998.2478857241
"Total Mortality","Neonatal Combined",96218.8927564962,13334.5275378839,57431.5067414263,86983.8387006421,95760.8397350721,104138.178468319,141542.41976045
"Total Mortality","Juvenile Female",38600.3113873143,5928.30925402246,22588.4742500382,34522.6902416181,37935.195437593,42469.291175817,59938.1770695715
"Total Mortality","Juvenile Male",30323.1881379342,4804.19567860668,17878.5384973898,26796.8393862926,30137.7926145877,33472.624976963,47573.8527333457
"Total Mortality","Juvenile Combined",68923.4995252485,8156.9331240916,48589.2084852383,63281.5510337871,68596.6094735439,74035.5244430733,97093.5488054366
"Total Mortality","Adult Female",198381.369672258,26625.4571345431,119320.904192764,179970.516951308,197580.706533119,216204.33690206,284594.137858654
"Total Mortality","Adult Male",45591.0848942054,6159.5890656337,28296.3641764126,41249.5708084553,45480.6222324245,49613.2520058972,66018.337034342
"Value of Total Mortality","Overall",1358262583.21851,114548128.403944,993885787.70719,1281088518.48615,1354884134.24114,1434811613.55649,1698641107.908
"Value of Total Mortality","Neonatal Female",75047430.3693188,13110542.235067,43192110.9943197,65809853.7076718,73599406.6269511,83374941.731046,132792904.356296
"Value of Total Mortality","Neonatal Male",51514102.551552,9278297.44598883,25924385.1362715,45279917.8518014,50731391.8979557,57356059.5422368,90749051.6292009
"Value of Total Mortality","Neonatal Combined",126561532.920871,17650152.444389,77787168.9395491,114397033.587463,125521679.735645,137364079.319364,184995056.783104
"Value of Total Mortality","Juvenile Female",81116776.3529,12458068.824476,47468638.1544518,72547843.3407172,79719065.8214762,89247259.1634869,125957318.20834
"Value of Total Mortality","Juvenile Male",113130058.329222,17923542.038967,66701433.0370056,99973920.5857987,112438382.827465,124880009.280382,177489013.034757
"Value of Total Mortality","Juvenile Combined",194246834.682122,23272548.3550172,133599096.043555,177691584.050914,193087673.689123,210084517.408034,281552373.328361
"Value of Total Mortality","Adult Female",754044909.28649,101203003.300644,453537146.792854,684065506.519028,751001599.498285,821789767.234667,1081738477.86023
"Value of Total Mortality","Adult Male",283409306.329032,38290048.7762908,175899585.664171,256421014.685712,282722633.782783,308412431.253767,410391881.380239
"Population Liveweight (kg)","Overall",970117073.205898,77977080.4296238,756131500.857063,914776427.990952,970532340.373077,1024863565.22758,1247778197.6919
"Population Liveweight (kg)","Neonatal Female",67895110.5470468,16911768.8500407,33337011.4925951,54831044.897781,66435048.5177646,78773500.9133657,144601319.682716
"Population Liveweight (kg)","Neonatal Male",71859222.3579019,17460974.9739714,31237230.8887832,59100547.3145198,69917625.3000175,82273574.9979348,143145139.982495
"Population Liveweight (kg)","Juvenile Female",85021362.3164474,14191984.9620211,52625344.4234423,74631688.7797537,84290027.955026,94561152.897587,127331794.515743
"Population Liveweight (kg)","Juvenile Male",75428775.0999066,13009396.2285188,40313120.4389177,65685497.41864,75131201.1062903,83845071.3534825,119755681.101584
"Population Liveweight (kg)","Juvenile Combined",160450137.416354,21296856.0363505,104684407.832341,145256004.844539,158910750.6873,174292599.330427,234930392.283046
"Population Liveweight (kg)","Adult Female",518462400.599935,56112801.7137709,363171371.280005,477310160.662679,518137448.623773,563345433.260605,651545748.33893
"Population Liveweight (kg)","Adult Male",151450202.28466,22078224.0350628,99524371.2805556,135357558.301836,152021600.525154,166639561.633414,206941718.183834
"Offtake Liveweight (kg)","Overall",138712675.220071,14091040.8042518,101217082.842228,128372681.454008,139266130.353048,149101500.226725,172503153.81087
"Offtake Liveweight (kg)","Juvenile Female",2339499.35305755,355826.192199188,1423988.93154234,2066472.12753878,2346274.73692116,2608225.1529128,3469946.17700553
"Offtake Liveweight (kg)","Juvenile Male",26245426.8595483,4144981.61672133,16455913.7091705,23051003.6834368,26205472.0529839,29302438.976273,38872921.6647462
"Offtake Liveweight (kg)","Adult Female",18463068.7995022,2019420.44343113,13314160.2755805,16911817.3997747,18619832.6785378,20028365.3442233,22808811.9009305
"Offtake Liveweight (kg)","Adult Male",91664680.2079628,13108879.568164,59967278.8340507,82297748.9927872,92128842.5331359,101738144.605736,123302536.433147
"Meat (kg)","Overall",58259323.5924298,5918237.13778575,42511174.7937358,53916526.2106832,58491774.7482801,62622630.0952246,72451324.6005653
"Manure","Overall",2703025092.18296,64951922.9591005,2508748616.32825,2654487191.70515,2700232822.19477,2748370787.61548,2972083205.90257
"Manure","Neonatal Female",145272827.349758,11648493.1075851,112201118.452054,136902570.678306,144975439.722744,153388039.548735,189005625.196964
"Manure","Neonatal Male",145270463.597677,11647239.3608699,112238639.306867,136917331.191043,144959672.397399,153435152.54849,189118952.483117
"Manure","Neonatal Combined",290543290.947435,23295461.1962032,224439757.758921,273789294.123868,289986660.138148,306844913.942767,378124577.680082
"Manure","Juvenile Female",206979873.663606,12215903.2343573,170907728.43221,198154348.918824,206336947.334763,215308798.777849,257614362.514228
"Manure","Juvenile Male",165726112.196554,11048395.9788976,133098070.501645,157660279.17915,165057269.232395,173035374.031212,211378942.119279
"Manure","Juvenile Combined",372705985.860159,23261931.8769032,304005798.933856,355882253.508532,371455099.416226,388345826.412762,468993304.633507
"Manure","Adult Female",1654883032.64764,11223379.330173,1621867414.69225,1646566970.2415,1653740040.07005,1662439525.31448,1702297350.62698
