"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",4049161.27315455,22649.1611907679,4013965.49989411,4030211.29363964,4056228.18195984,4065542.25261407,4081726.73608486
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",83787.7299081094,1076.72846650373,82211.8011503834,82984.3593916038,83963.4006898412,84601.8535821398,85141.2800760793
"Num Offtake","Juvenile Male",844542.999608151,12655.7271092529,825875.218172157,833315.006245202,847162.686553456,855457.498055814,861196.932817707
"Num Offtake","Juvenile Combined",928330.72951626,13709.278998329,908087.01932254,916299.365636806,931126.087243298,939951.210858974,946338.212893787
"Num Offtake","Adult Female",591654.215340746,532.51983652173,590716.32509661,591437.582734383,591534.866044349,591769.171079104,592595.690984124
"Num Offtake","Adult Male",2529176.32829755,8836.38519580194,2515162.15547496,2521146.32256883,2532087.31314118,2534895.9423747,2542792.83220695
"Cml Pop Growth","Overall",4706871.39258866,473452.320436032,3918026.36539743,4471457.78300856,4733591.60268955,5070377.93663377,5268576.57503045
"Cml Pop Growth","Neonatal Female",608254.823512818,127401.945721396,380189.034147891,563482.476310215,627174.588634469,691820.727816423,775380.093556907
"Cml Pop Growth","Neonatal Male",602748.390239537,119004.323832105,380987.138215355,554681.239274336,621653.174297131,684893.163110699,764368.625126851
"Cml Pop Growth","Neonatal Combined",1211003.21375235,246193.718225456,761176.172363246,1118163.71558455,1248827.7629316,1374771.30663864,1539748.71868376
"Cml Pop Growth","Juvenile Female",449655.443135054,79444.369200533,327737.314850125,391976.258781672,454712.429718068,521316.953798547,551239.080709461
"Cml Pop Growth","Juvenile Male",770510.276088734,62581.2975379616,676192.455429883,732147.482272899,761913.433562285,828132.843108386,845689.051059861
"Cml Pop Growth","Juvenile Combined",1220165.71922379,141415.179673435,1003929.77028001,1124123.74105457,1216625.86328035,1352522.27759097,1396928.13176932
"Cml Pop Growth","Adult Female",1732911.07153996,55654.1442944427,1654336.92612042,1695807.12021768,1730263.33545235,1762014.31274564,1830637.85529049
"Cml Pop Growth","Adult Male",542791.388072556,41277.9102991727,484021.166266735,507542.454047902,541943.46784773,580328.285879445,600215.125541277
"Total Number Increase","Overall",8756032.66574321,494047.13269799,7942534.39138737,8511231.58296077,8777655.52997951,9133970.54992804,9343952.89991005
"Total Number Increase","Neonatal Female",608254.823512818,127401.945721396,380189.034147891,563482.476310215,627174.588634469,691820.727816423,775380.093556907
"Total Number Increase","Neonatal Male",602748.390239537,119004.323832105,380987.138215355,554681.239274336,621653.174297131,684893.163110699,764368.625126851
"Total Number Increase","Neonatal Combined",1211003.21375235,246193.718225456,761176.172363246,1118163.71558455,1248827.7629316,1374771.30663864,1539748.71868376
"Total Number Increase","Juvenile Female",533443.173043163,80483.6747278626,409985.677362541,475047.091866962,538502.883020537,606160.559293676,636380.36078554
"Total Number Increase","Juvenile Male",1615053.27569688,74746.0057663966,1506350.82090921,1565632.02451768,1608737.04811659,1682881.49556601,1706885.98387757
