"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",4276974.68830394,71961.4590234962,4191883.03794649,4212989.3647797,4276241.58247185,4307818.16281268,4414789.43144129
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",95629.4019846038,3480.17823528537,90718.9346169152,93805.4844861922,94896.03821387,97765.1487005466,102067.140412526
"Num Offtake","Juvenile Male",1004200.75100949,41122.5982765477,956199.595032854,971461.663965801,1003831.655252,1018071.01466461,1083262.19124291
"Num Offtake","Juvenile Combined",1099830.1529941,44317.6118644165,1047692.33951627,1063103.78486999,1099827.41889886,1116116.88772901,1185329.33165544
"Num Offtake","Adult Female",600532.983470278,2015.50558383103,596598.252721487,599582.801818868,600207.426128377,601611.552503305,604214.690623995
"Num Offtake","Adult Male",2576611.55183957,27690.8583638465,2534550.11744759,2559784.51301789,2570185.29322666,2598084.50227965,2625245.40916186
"Cml Pop Growth","Overall",10360134.7763479,1535180.05794258,8073682.77682745,9655471.5282887,10491281.630076,10961517.9863095,13247567.901146
"Cml Pop Growth","Neonatal Female",2116625.21220739,541533.254885759,1251735.78019608,1887757.03252178,2082786.06470159,2326789.61646535,3005544.15759877
"Cml Pop Growth","Neonatal Male",2073684.67595097,542260.36662837,1144482.23098812,1821341.53528031,1974821.09053288,2327580.93925044,2950991.58345878
"Cml Pop Growth","Neonatal Combined",4190309.88815835,1081190.58812634,2396218.0111842,3726433.20511776,4038482.81230321,4654370.5557158,5956535.74105755
"Cml Pop Growth","Juvenile Female",1239616.85298662,230307.336942647,901628.810110491,1081429.19558271,1234954.71629232,1388395.85915791,1647529.59420538
"Cml Pop Growth","Juvenile Male",1513612.44879909,215549.865571901,1240593.79363905,1356625.68735056,1486530.67538429,1644501.44199941,1938154.88411611
"Cml Pop Growth","Juvenile Combined",2753229.3017857,442014.503385254,2142222.60374954,2394784.84799154,2748078.22919592,3043624.51313262,3585684.47832149
"Cml Pop Growth","Adult Female",2512789.93945359,167534.895732851,2282131.10945348,2422882.97250347,2476227.41405383,2619117.08472589,2820768.18938012
"Cml Pop Growth","Adult Male",903805.646950278,127551.226614391,724074.746283254,836568.398051139,905040.774002598,941030.737683125,1130618.98811874
"Total Number Increase","Overall",14637109.4646519,1564456.37056529,12383588.9148228,13875170.9569623,14735005.3546206,15299418.3091093,17602126.3068803
"Total Number Increase","Neonatal Female",2116625.21220739,541533.254885759,1251735.78019608,1887757.03252178,2082786.06470159,2326789.61646535,3005544.15759877
"Total Number Increase","Neonatal Male",2073684.67595097,542260.36662837,1144482.23098812,1821341.53528031,1974821.09053288,2327580.93925044,2950991.58345878
"Total Number Increase","Neonatal Combined",4190309.88815835,1081190.58812634,2396218.0111842,3726433.20511776,4038482.81230321,4654370.5557158,5956535.74105755
"Total Number Increase","Juvenile Female",1335246.25497122,232748.535750266,993121.554593906,1175334.50787239,1327520.02348378,1489241.34854575,1745489.61370152
"Total Number Increase","Juvenile Male",2517813.19980858,247126.873143744,2196793.3886719,2366001.22524855,2479434.61537622,2651755.78456329,2992373.76429582
"Total Number Increase","Juvenile Combined",3853059.4547798,475318.339266647,3189914.94326581,3488140.91536964,3836778.27722773,4154714.38621312,4737863.37799734
"Total Number Increase","Adult Female",3113322.92292386,169239.369847465,2878729.36217496,3023074.77445216,3076732.42787022,3219771.88333509,3424982.88000411
"Total Number Increase","Adult Male",3480417.19878985,150808.488223278,3275641.48426938,3386438.90157301,3489359.73232474,3519690.96100643,3755864.39728061
"Total Mortality","Overall",4132914.92368204,368971.206168019,3593669.54189797,3981930.57736755,4123460.84545932,4286727.14176768,4746851.14017902
"Total Mortality","Neonatal Female",1501608.5483394,180956.981848452,1124846.46499793,1462456.46669458,1487713.04300364,1562227.61907363,1779295.06279701
"Total Mortality","Neonatal Male",1522578.68022353,185840.257868833,1161278.35590076,1410083.51185855,1546588.49120156,1647010.46428558,1807847.37349349
"Total Mortality","Neonatal Combined",3024187.22856293,335217.090724487,2493824.26461535,2943607.28435629,3020984.26506403,3153834.14229737,3587142.4362905
"Total Mortality","Juvenile Female",484135.667571916,59375.5506754191,414502.382097485,443134.817640553,460341.289790636,539820.064712156,579757.153981203
"Total Mortality","Juvenile Male",385747.18556114,39778.4136723329,315561.262405818,359518.885289386,392390.403050047,410074.854550741,448110.83306367
"Total Mortality","Juvenile Combined",869882.853133055,73751.3515498238,754257.068446509,832478.219465003,874740.059566863,929868.968346556,961122.360435566
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",238844.841986055,23600.6444449023,207958.415173204,223693.26947666,233327.353121793,253437.716206003,286946.329304145
"Population Liveweight (kg)","Overall",769952812.979564,79471726.0319841,655116959.848083,720263686.969499,743657731.924294,813154700.140559,898560489.665401
"Population Liveweight (kg)","Neonatal Female",46887580.3642567,9806885.47253689,33441776.1635943,39061271.0525222,46170329.344116,56289362.1664087,59528768.516649
"Population Liveweight (kg)","Neonatal Male",45851153.4808926,10203539.5790176,30596435.7679882,38990440.7973044,44067269.9008436,53645733.2634023,61162035.0899501
"Population Liveweight (kg)","Juvenile Female",59739850.1508223,13742543.0078681,33114618.9689966,53187886.4739697,61294233.7398067,70254346.1365921,77084301.391986
"Population Liveweight (kg)","Juvenile Male",57894940.8915667,13811062.2121908,42046952.185909,49481261.1757877,55211290.8877858,59631718.9982332,84718033.4328398
"Population Liveweight (kg)","Juvenile Combined",117634791.042389,23680167.2637551,75161571.1549056,103531064.388887,124583177.491447,129150280.151058,149519357.529649
"Population Liveweight (kg)","Adult Female",460750974.795857,56280194.470239,347840805.218705,423643414.882977,471382384.455909,505050569.597922,530002981.530018
"Population Liveweight (kg)","Adult Male",98828313.2961678,31076163.0571886,42918137.6919034,80954408.866498,100446576.040939,111442238.075683,148896824.306436
"Offtake Liveweight (kg)","Overall",122200203.017312,15764130.0084443,88221195.9653804,114463543.975074,121892698.461496,133247305.673691,144215436.798213
"Offtake Liveweight (kg)","Juvenile Female",2038844.59855382,384306.766638965,1493915.42547506,1791525.80450153,1970881.45856197,2205940.44589772,2841733.61519344
"Offtake Liveweight (kg)","Juvenile Male",20184015.894614,3211730.42880581,14711308.400675,18451531.8969633,20725156.748236,22363271.1980901,24636696.7500074
"Offtake Liveweight (kg)","Adult Female",18438033.7311951,2758160.84321054,14177090.8415927,16539543.1721931,19095791.7375133,20784580.7233715,21854247.0773611
"Offtake Liveweight (kg)","Adult Male",81539308.7929494,16225398.3416069,47357287.8323044,72351134.7189642,86994402.8831291,92018647.4540485,102016348.918743
"Meat (kg)","Overall",51324085.2672711,6620934.6035466,37052902.3054598,48074688.4695309,51194933.3538282,55963868.3829504,60570483.4552494
"Manure","Overall",2577576848.09707,37543342.5007643,2528903281.12055,2550131006.62932,2566491567.1045,2600160893.93038,2643098421.46232
"Manure","Neonatal Female",125165212.028542,8228236.32991659,112702487.518804,119899481.30206,124539379.998758,130489516.079837,139035091.837609
"Manure","Neonatal Male",125431857.698474,7744464.75873106,115190144.181044,119828581.283179,124781973.257156,128996899.94713,139339438.857173
"Manure","Neonatal Combined",250597069.727016,15864976.839184,227892631.699847,238924831.603272,248868848.221913,259325488.990359,278374530.694782
"Manure","Juvenile Female",179570624.690206,7295810.17847735,170096712.930811,175281413.787016,177574397.999571,185314547.538495,192263490.677695
"Manure","Juvenile Male",142975108.160727,6486228.37491086,134936842.099548,138887584.925332,142377213.735225,145331306.553906,154629559.248212
"Manure","Juvenile Combined",322545732.850933,13497337.175528,305033555.030359,312118190.300735,319666555.30836,331319279.069839,346893049.925907
"Manure","Adult Female",1644054164.82483,6762946.48134145,1631354462.3331,1641026729.17403,1643264310.9658,1647886396.75445,1656766578.38921
"Manure","Adult Male",360379880.694291,4761341.74532894,354146740.072531,356932763.906612,359757777.575991,363298474.222659,369069879.993677
"Hides","Overall",554363.847559555,35805.1357390498,495716.620571883,529193.028922322,563535.020968252,579409.769194296,608670.076471756
"Hides","Juvenile Female",242067.833785958,29687.7753377096,207251.191048743,221567.408820276,230170.644895318,269910.032356078,289878.576990602
"Hides","Juvenile Male",192873.59278057,19889.2068361664,157780.631202909,179759.442644693,196195.201525024,205037.42727537,224055.416531835
"Hides","Juvenile Combined",434941.426566528,36875.6757749119,377128.534223255,416239.109732501,437370.029783432,464934.484173278,480561.180217783
"Hides","Adult Female",0,0,0,0,0,0,0
"Hides","Adult Male",119422.420993028,11800.3222224512,103979.207586602,111846.63473833,116663.676560897,126718.858103002,143473.164652072
"Milk","Overall",0,0,0,0,0,0,0
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",3186619880.07316,171558328.130269,2907820122.29226,3081589498.11585,3214237172.43903,3306032654.25648,3380814275.47118
"Cml Dry Matter","Neonatal Female",359240471.351905,26993588.8737913,310153435.404479,345363886.091047,356988588.730888,371391715.944537,409204192.864497
"Cml Dry Matter","Neonatal Male",373241884.93622,40230899.8258668,330207486.432143,339284720.075457,365883195.256076,395648700.057357,444198173.742108
