"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",3932405.90866028,28982.0392527935,3848910.79134232,3912881.39989017,3932037.74830549,3951374.02191181,4014900.37739157
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",81202.6840660288,1298.71074817631,77211.004683787,80263.775108677,81221.206454912,82074.6952796669,85336.5670390475
"Num Offtake","Juvenile Male",808945.029354111,15539.275063213,759447.994095634,798086.343160568,809037.112827044,818822.018780418,856020.059796552
"Num Offtake","Juvenile Combined",890147.71342014,16637.3134554491,838492.058915957,878676.878397449,890265.937395488,900929.00428449,940703.286571787
"Num Offtake","Adult Female",579754.9600153,1837.33136801172,573264.106077961,578502.52564916,579737.437331728,581009.948387207,584859.067380169
"Num Offtake","Adult Male",2462503.23522484,13592.758023537,2419616.07442311,2453455.083325,2462039.31536812,2471369.88205893,2502141.8558554
"Cml Pop Growth","Overall",2619423.93237755,392980.875430624,1395383.40523446,2363711.62240443,2617596.62839749,2882502.94090108,3995923.04422299
"Cml Pop Growth","Neonatal Female",231089.384495933,110067.899133531,-81080.9653653847,154868.889491902,230450.85023038,303384.403894724,597801.693910948
"Cml Pop Growth","Neonatal Male",234751.201931944,111768.194684954,-110275.231873622,157776.056535173,231348.384723174,311086.210966972,683581.625758434
"Cml Pop Growth","Neonatal Combined",465840.586427876,212503.267885818,-176069.820745989,318891.474488777,461482.752314837,607347.881435701,1248880.29356284
"Cml Pop Growth","Juvenile Female",242177.89511925,68236.9893370737,36754.0820942083,196044.22021929,240179.772480943,288159.016237778,462594.739803973
"Cml Pop Growth","Juvenile Male",581780.937395811,60951.5610748988,344352.064139624,539961.059911029,580775.321164915,620346.726275115,804571.038596055
"Cml Pop Growth","Juvenile Combined",823958.832515061,123852.140271633,399069.673049398,738846.023437538,821618.537205892,905225.206051288,1267165.77840003
"Cml Pop Growth","Adult Female",1019065.70728397,98774.9881117306,703612.044414429,954824.886832195,1017145.88835676,1088458.93518543,1350401.94292423
"Cml Pop Growth","Adult Male",310558.806150646,48952.831908202,165834.486598414,278826.862470911,309601.359983335,344204.062961266,472530.950663093
"Total Number Increase","Overall",6551829.84103784,412027.393285049,5272398.95977837,6283560.74420904,6540119.6851061,6829851.15970015,7949330.77524715
"Total Number Increase","Neonatal Female",231089.384495933,110067.899133531,-81080.9653653847,154868.889491902,230450.85023038,303384.403894724,597801.693910948
"Total Number Increase","Neonatal Male",234751.201931944,111768.194684954,-110275.231873622,157776.056535173,231348.384723174,311086.210966972,683581.625758434
"Total Number Increase","Neonatal Combined",465840.586427876,212503.267885818,-176069.820745989,318891.474488777,461482.752314837,607347.881435701,1248880.29356284
"Total Number Increase","Juvenile Female",323380.579185279,69308.8912818247,115394.594796416,276469.767223455,321337.686682115,370042.935142779,546055.248810834
"Total Number Increase","Juvenile Male",1390725.96674992,73886.7235418513,1107181.92237471,1340165.01851854,1390539.88008925,1439026.86439476,1638532.57629585
"Total Number Increase","Juvenile Combined",1714106.5459352,137325.863267495,1241113.65670348,1619639.54474598,1715249.92265582,1804641.71211789,2184587.82510668
"Total Number Increase","Adult Female",1598820.66729927,100297.400511152,1278355.60798313,1534366.1083675,1596638.08786228,1669266.4904953,1934894.53007002
"Total Number Increase","Adult Male",2773062.04137549,60864.3279759192,2585450.56102153,2734801.6248749,2772724.08808319,2816155.57180937,2964521.49476465
"Total Mortality","Overall",3088341.93093589,150967.305053935,2596974.61418781,2988060.24662204,3090876.72330041,3191969.35851413,3658054.63329537
"Total Mortality","Neonatal Female",1010696.94124768,86592.9271746019,711413.664153056,949527.408116183,1008976.61941556,1073241.87697064,1279062.2935543
"Total Mortality","Neonatal Male",1003731.23823694,85047.009098064,749484.546153166,945503.7690115,1003254.66413983,1064670.69004196,1283034.95940673
"Total Mortality","Neonatal Combined",2014428.17948463,123884.948041028,1642528.84746806,1926658.72177951,2016997.10374871,2097111.45601582,2468527.35146527
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",850883.091515227,84316.4108896883,626776.701700084,793448.555640598,848835.591328735,909300.597343956,1118170.89194904
"Total Mortality","Adult Male",223030.659936033,23275.0633451342,148232.999766868,206362.867232091,223668.069969874,239322.707873648,296804.338397586
"Value of Total Mortality","Overall",5685192778.06139,306789526.631394,4708784983.08986,5487850579.69169,5691170815.60449,5885975260.8528,6642682435.54069
"Value of Total Mortality","Neonatal Female",1081275068.01474,92639810.6090323,761092496.375929,1015833996.21775,1079434614.13573,1148187588.34387,1368380680.71198
"Value of Total Mortality","Neonatal Male",1142042407.37165,96766233.1409713,852761279.882131,1075791366.65861,1141500162.78622,1211379133.7702,1459833347.77607
"Value of Total Mortality","Neonatal Combined",2223317475.3864,136732765.98092,1809276396.29215,2126344870.77586,2226806246.40282,2314695330.47824,2725951064.66403
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",2696369673.72963,267190893.305716,1986197290.22333,2514364951.45773,2689881335.3611,2881489336.70356,3543379946.2739
"Value of Total Mortality","Adult Male",765505628.945359,79886738.4864043,508778460.09844,708296951.265702,767693404.244916,821424642.084043,1018718196.87894
"Population Liveweight (kg)","Overall",674319658.123258,67364558.0494758,453060554.43679,627399808.240712,671705000.450907,720647087.895241,893954803.53791
"Population Liveweight (kg)","Neonatal Female",26253353.9358796,4597001.10408464,10860886.207444,23059312.3484282,26302561.0101664,29623343.3276117,37471111.3204633
"Population Liveweight (kg)","Neonatal Male",26328563.8741664,4783012.03930765,10514301.4948916,23265100.8018498,26669539.9557015,29792999.9726111,38147127.2538328
"Population Liveweight (kg)","Juvenile Female",45017294.251983,8341614.73955368,17817481.657429,39144297.5998225,44847016.7465402,50572009.279522,73257388.5666806
"Population Liveweight (kg)","Juvenile Male",39447989.5004018,5533442.68099818,25153999.2340332,35629808.9083818,39658502.7275207,43527287.5541043,54572103.1400329
"Population Liveweight (kg)","Juvenile Combined",84465283.7523849,9991957.25377924,54956823.1859547,77589219.5768116,84454472.6477678,90989732.723524,119417982.432738
"Population Liveweight (kg)","Adult Female",432597591.880801,62846465.2888336,220966909.139489,391043962.364058,434019611.01359,474169600.190692,642296749.298311
