"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",3880173.18879707,23255.080349134,3851515.5420101,3861247.58430146,3877585.75023998,3889562.47274303,3919817.11106464
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",77538.2472637729,876.575959408086,76518.10990522,76787.9934495774,77653.5637470289,77999.4178707129,79332.2823904006
"Num Offtake","Juvenile Male",782121.092246051,14175.1562631501,761839.441275197,774828.627921397,779951.039114509,785039.328382752,809137.48507568
"Num Offtake","Juvenile Combined",859659.339509824,14283.7151740668,839690.952204678,851630.212133468,857079.840117053,862768.014374781,885983.708629748
"Num Offtake","Adult Female",581501.576382322,1135.76134522702,580177.908439158,580835.940485655,581213.714383794,581747.729237605,584032.664233185
"Num Offtake","Adult Male",2439012.27290492,10320.7780580002,2425792.66440716,2430636.9017705,2438952.5872886,2445699.53931726,2457133.43180874
"Cml Pop Growth","Overall",2305309.3261339,279984.268920276,1909679.80374435,2042298.59569821,2372873.59380388,2545841.9584841,2634584.4962349
"Cml Pop Growth","Neonatal Female",224619.921528103,101103.508854851,44263.5579847069,165739.526651644,246516.240907222,300424.634165904,352073.914446207
"Cml Pop Growth","Neonatal Male",238286.2788294,99296.6806449552,131269.543187453,148551.916833278,213013.496606688,336299.172892914,382869.477791375
"Cml Pop Growth","Neonatal Combined",462906.200357503,192454.818189673,175533.10117216,305574.727743199,446985.515205491,638340.463756221,734943.392237583
"Cml Pop Growth","Juvenile Female",66049.2343946568,70486.6316361178,-25931.4655627669,19192.1398418277,59290.2727566806,112233.908007,198762.718849659
"Cml Pop Growth","Juvenile Male",492343.299012016,70154.6749777783,390390.513520957,439710.60633547,492169.395132945,542649.237311887,591705.735598945
"Cml Pop Growth","Juvenile Combined",558392.533406673,131190.901758845,396282.935078196,445197.180570166,551816.374437842,651730.823822787,775730.385200389
"Cml Pop Growth","Adult Female",1050980.916013,38904.1625012139,1002395.87524866,1031985.41798314,1042427.71181686,1059479.09822123,1123353.2788428
"Cml Pop Growth","Adult Male",233029.676356721,38199.9061420564,179959.833434927,203238.326511283,225276.733040376,258503.74844238,299914.868292748
"Total Number Increase","Overall",6185482.51493097,286197.209441021,5767899.70035618,5915156.28570517,6275247.76428729,6403274.71664882,6549374.8736736
"Total Number Increase","Neonatal Female",224619.921528103,101103.508854851,44263.5579847069,165739.526651644,246516.240907222,300424.634165904,352073.914446207
"Total Number Increase","Neonatal Male",238286.2788294,99296.6806449552,131269.543187453,148551.916833278,213013.496606688,336299.172892914,382869.477791375
"Total Number Increase","Neonatal Combined",462906.200357503,192454.818189673,175533.10117216,305574.727743199,446985.515205491,638340.463756221,734943.392237583
"Total Number Increase","Juvenile Female",143587.48165843,70882.3166918201,50837.1178519803,97186.494773422,136615.873670734,189331.453404921,276414.725982281
"Total Number Increase","Juvenile Male",1274464.39125807,80850.0527131343,1159922.4036309,1206963.92156679,1274102.02039262,1339262.07978197,1400843.22067462
"Total Number Increase","Juvenile Combined",1418051.8729165,139203.091859495,1247392.8876782,1304386.38230692,1400758.56795539,1528345.85120437,1628921.37593425
"Total Number Increase","Adult Female",1632482.49239533,39681.6382964278,1583680.26621493,1612557.15422774,1623951.12816581,1640610.82585071,1707385.94307599
"Total Number Increase","Adult Male",2672041.94926164,45977.8346130264,2607751.75900717,2637935.84420924,2665191.91762469,2699756.09773002,2748543.62866254
"Total Mortality","Overall",3534215.62613145,155700.422420944,3280054.67734485,3423774.52139912,3556465.29783725,3641198.75896961,3791961.66410709
"Total Mortality","Neonatal Female",1013029.88135434,100380.446413352,882843.02429275,940427.615424573,1001866.76820082,1061708.08631448,1202919.61467919
"Total Mortality","Neonatal Male",980261.054705991,49503.3682143647,898049.488889642,959980.408366911,973523.00757936,1014756.44007232,1067123.32205934
"Total Mortality","Neonatal Combined",1993290.93606033,118255.311317559,1834076.62718359,1913428.96323032,1999766.53198742,2045503.84741975,2229046.29476685
"Total Mortality","Juvenile Female",409340.501110469,52034.0033318614,355192.137690354,369656.931770989,399380.56153872,426163.148512945,528089.517415072
"Total Mortality","Juvenile Male",277733.637950043,32134.4651832093,219401.627213652,259811.290901656,291422.729243338,298969.50076846,316012.461063914
"Total Mortality","Juvenile Combined",687074.139060512,52271.82486342,596907.454049882,651497.420980426,677788.691258698,739738.103565447,748807.071512847
"Total Mortality","Adult Female",629147.71417576,43521.930404245,562876.647194788,590894.780167822,639187.809172571,654066.854783308,701218.815486062
"Total Mortality","Adult Male",224702.836834842,16511.0163417886,198751.28960587,215154.162648383,228523.368509946,235482.29555936,248261.871617756
"Value of Total Mortality","Overall",7842737962.08391,264201387.702444,7343940967.16897,7682068607.74082,7844722311.5507,8021034269.90246,8238224367.94648
"Value of Total Mortality","Neonatal Female",1237542177.9911,122627218.178421,1078502716.66897,1148849467.1841,1223905044.85273,1297008668.46276,1469516138.95937
"Value of Total Mortality","Neonatal Male",1791580636.23609,90475160.1581494,1641326121.19224,1754514578.07024,1779265799.59113,1854626356.72568,1950335036.87532
"Value of Total Mortality","Neonatal Combined",3029122814.22719,162718674.499041,2801996843.40978,2907873451.42031,3043103576.36666,3126614443.93573,3344923390.47124
"Value of Total Mortality","Juvenile Female",890840654.045132,113240701.653004,772998507.094638,804477988.319837,869165009.787413,927451490.68147,1149272084.7612
"Value of Total Mortality","Juvenile Male",851937538.702643,98571269.1403749,673006279.165129,796961409.974139,893928313.855283,917077753.02916,969356395.808929
"Value of Total Mortality","Juvenile Combined",1742778192.74777,125745368.268533,1508498778.90528,1669098440.04589,1738054404.07279,1835118500.62305,1905975055.32041
"Value of Total Mortality","Adult Female",1847246713.6466,127785162.529158,1652667590.28313,1734931902.60723,1876725534.07251,1920412044.39011,2058855374.13226
"Value of Total Mortality","Adult Male",1223590241.46234,89908604.4351409,1082274446.84441,1171594170.92745,1244394452.6628,1282288390.0454,1351877918.93316
"Population Liveweight (kg)","Overall",650838762.822611,25530309.4128812,612973010.402535,632726437.447481,653634228.129089,663072959.259971,697820443.542652
"Population Liveweight (kg)","Neonatal Female",24507683.6624294,4237553.42407216,20366830.6615362,20732734.4108583,24853291.5415407,25481074.4531092,33539127.2244763
"Population Liveweight (kg)","Neonatal Male",25030453.5483095,4262192.05169496,20073883.5136874,21261012.8226941,24946309.6092516,26073853.5283136,32070113.7920288
"Population Liveweight (kg)","Juvenile Female",44195528.6394283,3356691.47151869,40027603.1228785,41181448.4735996,43577788.773181,47430914.5794125,48397153.9571416
"Population Liveweight (kg)","Juvenile Male",33428925.7420045,9049348.10559514,20201182.7330607,26990381.8886852,33736816.3222313,39427651.8619736,45679301.7072904
"Population Liveweight (kg)","Juvenile Combined",77624454.3814328,10010520.2545677,60228785.8559391,72514856.1716247,79015418.1930378,86100640.041783,88025939.1919638
"Population Liveweight (kg)","Adult Female",429740427.061755,33504106.8991771,381103114.306057,412055362.527488,424079913.002608,444761090.014757,482492739.63339
"Population Liveweight (kg)","Adult Male",93935744.1686849,21359414.4100229,61641344.8685353,76473299.1002226,100740343.92507,107499086.067873,120568372.664933
"Offtake Liveweight (kg)","Overall",106524980.508096,18111688.3389156,69397015.1103179,93370510.1580574,114517154.392379,120842042.613765,123432212.059031
"Offtake Liveweight (kg)","Juvenile Female",1819928.77128836,412572.374026986,1200207.59020569,1556921.62999102,1796181.48653896,1964108.19524769,2689104.28309512
"Offtake Liveweight (kg)","Juvenile Male",16836846.2108927,2050451.06822816,13022633.8448313,15779202.9418109,16612963.5062119,17935634.7120457,20353361.1371594
