"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",3872400.23723192,32714.2615015332,3829172.43459144,3850590.0246102,3872795.97146695,3886767.49240484,3940195.26653284
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",78268.7976879514,1472.76317685693,75682.958278681,77363.0006624886,78342.4947695946,79211.7181929076,80652.747752772
"Num Offtake","Juvenile Male",779927.221134099,17653.5099387252,755435.991259212,768655.107991285,779109.288084738,788146.61353806,816782.443987517
"Num Offtake","Juvenile Combined",858196.01882205,18678.7811778208,833618.935522492,846186.339641801,856165.078908965,867208.456219474,897435.191740289
"Num Offtake","Adult Female",578169.668385395,2242.54852925863,574944.507227118,576182.03110457,578331.183454965,579385.839232664,581301.128077202
"Num Offtake","Adult Male",2436034.55002448,14278.93520773,2419462.61827193,2422599.6082159,2435443.66492421,2445155.93011706,2461458.94671535
"Cml Pop Growth","Overall",2512559.46227255,359447.261750528,1967650.96720182,2285006.73915738,2537226.28249122,2781056.31159538,3039055.64326454
"Cml Pop Growth","Neonatal Female",366605.656481642,87967.2502988277,252629.224677622,293005.954510427,355314.462062158,443273.19659356,493662.547123568
"Cml Pop Growth","Neonatal Male",360032.000965493,78479.7551092399,233012.849531217,320001.549979204,371723.243359275,416232.780754852,455737.248269903
"Cml Pop Growth","Neonatal Combined",726637.657447134,156983.391771056,485642.074208839,615359.933642805,737452.950961814,839515.561544671,949399.795393471
"Cml Pop Growth","Juvenile Female",149171.63616037,76086.7585810874,47206.5846368505,87963.8333229983,138644.841976167,196752.768732321,277617.061810421
"Cml Pop Growth","Juvenile Male",500241.375218336,69963.7756846039,398048.022033802,438388.939718208,505877.817114941,545520.044503731,602209.213022604
"Cml Pop Growth","Juvenile Combined",649413.011378706,138114.328620809,475754.35240071,545460.53645236,626205.744989398,728988.725059303,879826.274833026
"Cml Pop Growth","Adult Female",921214.253067473,128199.233132,687289.813824032,850682.384506713,903913.905594841,987132.460047047,1136258.95150353
"Cml Pop Growth","Adult Male",215294.540379235,62265.8994990475,131920.569512197,170744.171418598,225396.844133087,253692.06065345,322822.290551469
"Total Number Increase","Overall",6384959.69950447,384137.6459851,5819247.25199746,6132148.55536874,6393210.90256224,6665915.13468753,6979250.90979738
"Total Number Increase","Neonatal Female",366605.656481642,87967.2502988277,252629.224677622,293005.954510427,355314.462062158,443273.19659356,493662.547123568
"Total Number Increase","Neonatal Male",360032.000965493,78479.7551092399,233012.849531217,320001.549979204,371723.243359275,416232.780754852,455737.248269903
"Total Number Increase","Neonatal Combined",726637.657447134,156983.391771056,485642.074208839,615359.933642805,737452.950961814,839515.561544671,949399.795393471
"Total Number Increase","Juvenile Female",227440.433848322,77426.7170157954,123861.249431726,165495.064973514,216864.497192514,275406.819972672,358269.809563193
"Total Number Increase","Juvenile Male",1280168.59635243,85878.2353886616,1166082.52010867,1203729.33418923,1284987.10519968,1331798.42193601,1418991.65701012
"Total Number Increase","Juvenile Combined",1507609.03020076,155096.335693603,1320878.53660447,1394485.82744355,1477481.23523962,1595051.02296452,1777261.46657331
"Total Number Increase","Adult Female",1499383.92145287,130263.811226929,1262234.32105115,1426864.41561128,1482700.60571379,1565712.2818131,1717560.07958074
"Total Number Increase","Adult Male",2651329.09040371,76074.3395544518,2551524.1515142,2598642.40667767,2661353.07838674,2698591.70610578,2784281.23726681
"Total Mortality","Overall",3258561.90340433,137221.049698022,3073813.71277168,3121225.75481028,3292527.99983523,3372999.31624027,3450391.79454983
"Total Mortality","Neonatal Female",733865.804015452,51745.4628805642,646511.125027622,716874.228663905,739114.03544372,765377.144648839,808056.885767506
"Total Mortality","Neonatal Male",777988.726833331,69014.956325886,657439.440629439,749743.730366432,772474.124715356,813866.513273788,883969.322150768
