"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",3923276.52885874,28050.4988508317,3886475.96764408,3906791.07081632,3912094.48141624,3939736.00105636,3981922.1636972
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",77328.0445077091,1506.05629391767,75102.7729359437,76484.7738981223,77406.173663314,77611.9562924417,80094.7402320061
"Num Offtake","Juvenile Male",780449.076834501,15004.6287309033,760367.101588838,772248.561287398,775730.270868292,786559.563715117,811377.661843728
"Num Offtake","Juvenile Combined",857777.12134221,16247.3327703741,835469.874524782,849066.944905237,853136.444531606,865340.645569278,891472.402075734
"Num Offtake","Adult Female",577362.310103109,1859.65842725762,575245.114315843,576059.104391381,576471.863373957,578998.272925989,580522.568947274
"Num Offtake","Adult Male",2488137.09741342,10607.351664031,2474814.09089002,2481441.94212916,2483497.47146068,2495150.8521672,2509927.19267419
"Cml Pop Growth","Overall",2285751.49830921,286959.218441614,1932445.59230357,2088730.61254612,2210608.87494406,2504930.21498581,2808693.48359345
"Cml Pop Growth","Neonatal Female",238637.649451274,69788.8180548622,150751.639189304,176288.539788017,240250.660571979,293437.444177459,348504.423699019
"Cml Pop Growth","Neonatal Male",257197.289999015,97347.1627859212,111222.911775315,196021.905700495,258846.652229155,276503.440116678,454864.895866113
"Cml Pop Growth","Neonatal Combined",495834.93945029,159152.964053295,261974.550964619,387639.142334605,501649.128562664,573135.766919351,803369.319565133
"Cml Pop Growth","Juvenile Female",88260.66222165,52097.144019293,30795.4435224652,60171.783199035,74252.3144643215,94596.0259621691,182604.167043626
"Cml Pop Growth","Juvenile Male",488571.986980135,44764.8517122011,451223.11170519,458582.783523605,470384.94038114,507806.37061727,593325.650161591
"Cml Pop Growth","Juvenile Combined",576832.649201785,87522.77473631,490925.961924002,526051.287622008,548831.048050861,578441.974989581,768138.380808485
"Cml Pop Growth","Adult Female",866293.219626893,105044.79274012,636217.217844091,828064.340489233,852388.913786141,950165.303726966,987595.015448205
"Cml Pop Growth","Adult Male",346790.690030244,41726.2608635982,284062.309815067,323531.91680942,334689.08961371,365900.443687455,430263.04034795
"Total Number Increase","Overall",6209028.02716795,309315.345200858,5838876.92439724,6000122.44571177,6129109.64936275,6425550.89074133,6790615.64729065
"Total Number Increase","Neonatal Female",238637.649451274,69788.8180548622,150751.639189304,176288.539788017,240250.660571979,293437.444177459,348504.423699019
"Total Number Increase","Neonatal Male",257197.289999015,97347.1627859212,111222.911775315,196021.905700495,258846.652229155,276503.440116678,454864.895866113
"Total Number Increase","Neonatal Combined",495834.93945029,159152.964053295,261974.550964619,387639.142334605,501649.128562664,573135.766919351,803369.319565133
"Total Number Increase","Juvenile Female",165588.706729359,53425.5955608453,106400.701578843,135577.340756334,151745.229169756,172083.313367068,261815.606601602
"Total Number Increase","Juvenile Male",1269021.06381464,58739.2844922231,1213179.03221063,1231724.80715442,1244093.06011743,1292321.35278539,1404703.31200532
