"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",3935844.10030625,16621.4780498694,3913066.31120086,3924376.40413879,3928723.5084553,3954229.66224053,3954942.72753781
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",81358.3539233243,1036.72684435955,80325.1497900477,80884.1596426605,81058.7672301624,81442.7236932621,83804.1325085809
"Num Offtake","Juvenile Male",811786.361893228,9063.6588594915,798715.777725694,807509.243975224,809363.470350312,817752.666575744,828194.383224244
"Num Offtake","Juvenile Combined",893144.715816552,9708.54416214313,880210.180209024,888425.795138076,890710.897105308,898953.819820212,911998.515732825
"Num Offtake","Adult Female",580105.148067911,1761.76088136005,577694.8698581,578523.699337654,580308.863071403,581487.18013356,582505.954164284
"Num Offtake","Adult Male",2462594.23642178,9899.94564507428,2451216.03922496,2456536.88005099,2458921.57509719,2467968.68697205,2480950.65585905
"Cml Pop Growth","Overall",2715364.69044694,235539.228813572,2250050.57238352,2571392.55561777,2796821.52861564,2885549.9207339,2953946.58631906
"Cml Pop Growth","Neonatal Female",258732.116123315,75669.211507444,90029.4214118845,253810.394374686,277546.344367563,298233.398675563,336373.587489718
"Cml Pop Growth","Neonatal Male",248706.301594098,101857.153645216,123599.533789606,148761.824607323,265142.662318191,314796.182967745,427889.472906028
"Cml Pop Growth","Neonatal Combined",507438.417717413,160160.821782802,217107.766238653,421455.260770835,543101.760829481,582817.977389072,726071.226654125
"Cml Pop Growth","Juvenile Female",250752.079025654,39560.1332773792,172924.436331701,237055.000537554,247467.463328271,268745.481362756,322504.277337982
"Cml Pop Growth","Juvenile Male",589437.151603418,43216.5249673813,528235.225771719,552855.615315752,600183.111875481,609656.593551426,655027.321398389
"Cml Pop Growth","Juvenile Combined",840189.230629072,70111.559719054,711797.324932228,814977.546166317,836629.651537037,888038.838652133,939204.053125059
"Cml Pop Growth","Adult Female",1053772.15400658,55600.0078379574,970042.980460398,1013312.73704291,1063820.74289311,1100834.6612352,1121949.01450028
"Cml Pop Growth","Adult Male",313964.888093875,29483.9615579443,272747.211983448,290147.686383124,312304.163957141,341002.35379414,351873.745815617
"Total Number Increase","Overall",6651208.79075319,245901.159227075,6163116.88358438,6502431.30493381,6728572.73618818,6833886.99665798,6908889.31385687
"Total Number Increase","Neonatal Female",258732.116123315,75669.211507444,90029.4214118845,253810.394374686,277546.344367563,298233.398675563,336373.587489718
"Total Number Increase","Neonatal Male",248706.301594098,101857.153645216,123599.533789606,148761.824607323,265142.662318191,314796.182967745,427889.472906028
"Total Number Increase","Neonatal Combined",507438.417717413,160160.821782802,217107.766238653,421455.260770835,543101.760829481,582817.977389072,726071.226654125
"Total Number Increase","Juvenile Female",332110.432948979,40343.8753521926,253308.654474146,317939.160180215,328273.881884825,350458.70915524,406308.409846563
"Total Number Increase","Juvenile Male",1401223.51349665,48810.1706079611,1335548.19929995,1360018.28441178,1416321.74614968,1429329.42741484,1476670.2631071
"Total Number Increase","Juvenile Combined",1733333.94644562,76999.4043538155,1594020.45207692,1706700.81929147,1728547.70531183,1777607.65316401,1842022.9782854
"Total Number Increase","Adult Female",1633877.30207449,57089.0841347759,1548316.03230304,1591676.3702441,1644216.42626772,1682553.42530603,1704454.96866456
"Total Number Increase","Adult Male",2776559.12451566,37198.3880047571,2730494.58749486,2743382.26885954,2768957.79815199,2808932.16669789,2827828.89966307
"Total Mortality","Overall",3017503.24340787,128129.370222401,2864436.84749704,2915699.01977699,2995729.91942845,3077118.02225216,3273315.8383447
"Total Mortality","Neonatal Female",981297.366380786,99538.5736592892,820232.653617717,904182.50065076,989909.131411896,1032211.75793448,1123016.90933506
"Total Mortality","Neonatal Male",983511.641368448,82745.907389482,887977.722734735,899877.12991987,1002369.20523851,1051452.35806032,1090339.5607588
"Total Mortality","Neonatal Combined",1964809.00774923,110191.636101758,1827583.5195442,1888561.06663258,1932743.63381413,2002692.20772672,2186831.08495342
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",822637.205014193,67999.8070479693,736272.109016289,763671.562410795,830634.755214709,874494.302673802,917055.233567812
"Total Mortality","Adult Male",230057.030644446,22200.1941068846,188819.705662813,219473.143656302,225354.774866393,246717.252154172,260870.992882188
"Population Liveweight (kg)","Overall",695350505.567664,41977051.4634693,619954362.175661,680525593.662513,706117111.859759,717687386.325433,745087498.357535
"Population Liveweight (kg)","Neonatal Female",28505152.3567441,3182585.15213323,21948329.2015316,27783131.6452276,29193208.2367516,30110943.543437,33014823.5176811
"Population Liveweight (kg)","Neonatal Male",25355843.1668549,5649607.16317447,16229924.512851,22843791.331625,25333969.9381747,27995418.7156961,33302379.2675837
"Population Liveweight (kg)","Juvenile Female",48757967.6045913,11426119.809399,28422840.0927131,40465018.7108826,49991704.8556399,55708142.9372112,66603460.1737412
"Population Liveweight (kg)","Juvenile Male",38004175.4680352,6763993.32550886,30584465.5201852,32207413.8629584,35872891.9263823,42734100.3550653,48852261.7072426
"Population Liveweight (kg)","Juvenile Combined",86762143.0726265,12336539.5096427,68427336.275664,76106420.1356274,90255070.4957412,95481695.1822725,101437522.494314
"Population Liveweight (kg)","Adult Female",457174300.286067,32510720.7571891,406760927.790886,441998250.701012,463328067.955254,481184658.396614,499270833.940825
"Population Liveweight (kg)","Adult Male",97553066.6853719,17846751.072162,71569428.8133901,82731307.3242419,101388426.651074,109536017.152072,120625245.804014
"Offtake Liveweight (kg)","Overall",119046537.844615,16454984.7685748,91321674.0878279,111111552.524723,116945761.313334,124890894.803367,146358708.934255
"Offtake Liveweight (kg)","Juvenile Female",1728745.44447939,285259.743496659,1347059.66754947,1461814.16977614,1787942.10717651,1915196.97294385,2093332.73200049
"Offtake Liveweight (kg)","Juvenile Male",16815826.1914832,3278575.57517049,11376517.2925355,14652674.8207675,16733139.0920242,18177684.790903,22853426.3688977
"Offtake Liveweight (kg)","Adult Female",16642931.7213406,3329271.36962398,13143608.5221455,13588250.3176347,16423169.0847805,18924746.1638404,22828235.4237023
"Offtake Liveweight (kg)","Adult Male",83859034.4873114,14931857.1906118,62606633.1022979,75733133.5628689,81124098.5245804,91242196.1548777,112770448.970008
"Meat (kg)","Overall",49999545.8947381,6911093.60280141,38355103.1168877,46666852.0603838,49117219.7516003,52454175.817414,61470657.7523872
"Manure","Overall",2335040275.38095,7615713.48943688,2323006198.74375,2331233575.02469,2334670769.15105,2337850406.41634,2347567264.53462
"Manure","Neonatal Female",79976702.6724434,1628431.86213403,77175440.3729704,79282286.1139186,79584444.2876334,80631626.743315,83536512.5699106
"Manure","Neonatal Male",80087232.9406038,1576896.65719244,77969974.6581471,78508350.3294499,80567941.5387457,81261448.8015299,82112984.0372206
"Manure","Neonatal Combined",160063935.613047,2730605.50015631,155145415.031118,159222686.080216,159893582.302871,160749936.374226,165363359.708705
"Manure","Juvenile Female",147949549.536138,2050227.59345933,145729139.274391,147000571.925735,147422567.897685,148191736.775464,152782464.179473
"Manure","Juvenile Male",111774804.495384,1368857.47167835,109872769.893178,110931899.345931,111556146.489412,112639798.063181,114050003.287436
"Manure","Juvenile Combined",259724354.031522,3013411.13295476,255874231.139627,257981290.342508,258819520.136679,260983995.387874,266832467.46691
"Manure","Adult Female",1575767849.16942,5184524.53173498,1568614440.16129,1571002526.00597,1576425245.84215,1579560832.59729,1582863617.37407
"Manure","Adult Male",339484136.566962,1553857.1269053,337801184.99125,338497041.172134,338792341.938527,340541197.789215,342289841.957246
"Hides","Overall",526347.11782932,36829.1202181636,478951.260658025,501309.388834729,517210.817550178,555611.843402785,588963.113225
"Hides","Juvenile Female",0,0,0,0,0,0,0
"Hides","Juvenile Male",0,0,0,0,0,0,0
"Hides","Juvenile Combined",0,0,0,0,0,0,0
"Hides","Adult Female",411318.602507097,33999.9035239847,368136.054508144,381835.781205398,415317.377607355,437247.151336901,458527.616783906
"Hides","Adult Male",115028.515322223,11100.0970534423,94409.8528314065,109736.571828151,112677.387433197,123358.626077086,130435.496441094
"Milk","Overall",0,0,0,0,0,0,0
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",2757183796.11336,76585092.2251729,2666522479.95822,2691746323.37627,2742987537.54784,2816456688.38188,2893188945.47191
"Cml Dry Matter","Neonatal Female",242592104.221894,11509572.1830739,227265620.475754,234640370.119921,244181672.198213,248400846.784301,259624088.662758
