"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",7463554.52842211,27987.537420146,7415399.65064553,7448327.47152984,7456528.39045318,7479409.9952118,7512431.83094164
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",308180.814703655,3311.87328272668,303600.487451745,306618.775881487,307345.553065848,310284.693172431,314021.509091369
"Num Offtake","Juvenile Male",972721.892870208,13225.0956905913,947112.38790633,968181.945433301,970225.897173344,978942.800620457,994368.046006085
"Num Offtake","Juvenile Combined",1280902.70757386,15678.9323310735,1253870.64150926,1274983.8256221,1275963.2999645,1288539.17771364,1308389.55509745
"Num Offtake","Adult Female",2029270.77047997,2344.70976546895,2026029.4139599,2027603.31675917,2029436.05023759,2030493.40179149,2032570.95033271
"Num Offtake","Adult Male",4153381.05036827,14123.4321876937,4132888.57210807,4142581.10687975,4153369.54690096,4161561.53564441,4178012.86188429
"Cml Pop Growth","Overall",-2280278.25518243,385341.497662064,-2691281.81816845,-2613521.20295619,-2331581.93750225,-2072279.78348156,-1543762.98251703
"Cml Pop Growth","Neonatal Female",-489212.099298952,138097.425069484,-684455.107078453,-560182.597194921,-519564.504738062,-404916.551738709,-225341.74605646
"Cml Pop Growth","Neonatal Male",405339.981790274,117506.304178366,240048.342277253,314929.142226979,402302.310290632,492712.02493452,576297.971112747
"Cml Pop Growth","Neonatal Combined",-83872.117508678,228670.591751715,-368196.042266768,-262652.910975406,-102671.256550414,36651.6888943146,350956.225056287
"Cml Pop Growth","Juvenile Female",-403839.344002722,66693.6034345705,-522425.204272596,-435130.040397496,-399774.681102593,-371996.078823145,-286340.332464796
"Cml Pop Growth","Juvenile Male",98322.6718286111,59398.8833568446,5078.98934258753,65364.0450786615,110059.867063709,139379.900433883,183347.829002925
"Cml Pop Growth","Juvenile Combined",-305516.672174111,112853.800499221,-444702.419309847,-411464.677611988,-300804.882881756,-239996.579164122,-102992.503461872
"Cml Pop Growth","Adult Female",-396047.462870532,58946.0490934569,-486655.365916887,-434467.394888073,-386476.263014502,-366888.989470043,-293592.768148251
"Cml Pop Growth","Adult Male",-1494842.00262911,35841.9678062607,-1551555.21515357,-1512172.82023858,-1504158.79402879,-1479166.38952911,-1427430.75540226
"Total Number Increase","Overall",5183276.27323968,408258.210721138,4752277.77340733,4822026.25523339,5124946.45295094,5399628.21570136,5968668.84842462
"Total Number Increase","Neonatal Female",-489212.099298952,138097.425069484,-684455.107078453,-560182.597194921,-519564.504738062,-404916.551738709,-225341.74605646
"Total Number Increase","Neonatal Male",405339.981790274,117506.304178366,240048.342277253,314929.142226979,402302.310290632,492712.02493452,576297.971112747
"Total Number Increase","Neonatal Combined",-83872.117508678,228670.591751715,-368196.042266768,-262652.910975406,-102671.256550414,36651.6888943146,350956.225056287
"Total Number Increase","Juvenile Female",-95658.5292990673,69535.8193938474,-218204.010311133,-128511.264516009,-93613.5523482437,-62649.505310838,27681.1766265724
"Total Number Increase","Juvenile Male",1071044.56469882,70361.2757825203,952191.377248918,1032175.42414066,1080092.20243404,1111297.46475644,1177715.87500901
"Total Number Increase","Juvenile Combined",975386.035399751,126132.540672939,826983.057699971,865897.352520718,974361.201951629,1040419.16310426,1205397.05163558
"Total Number Increase","Adult Female",1633223.30760944,60258.8308593912,1539636.98262107,1593761.57756857,1644878.4652266,1660775.80858306,1736819.62483904
"Total Number Increase","Adult Male",2658539.04773917,48413.1842399083,2581333.3569545,2628510.97877952,2648103.4602438,2679673.1169727,2750582.10648203
"Total Mortality","Overall",5161480.89486513,179162.776532887,4985730.43088116,5001288.29685563,5124854.48976701,5286088.50304333,5484484.65585224
"Total Mortality","Neonatal Female",1219441.57805297,165092.275893763,1013867.78751476,1136369.87936144,1180500.13914907,1290485.55618068,1510085.32750001
