"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",7456575.81790286,35144.4234007134,7391001.90449105,7437790.13304182,7448497.90533313,7483545.40224732,7509873.44925391
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",307128.594443395,3362.39153081901,301927.646931246,305259.703029543,307009.097874435,308947.301612147,312146.852998594
"Num Offtake","Juvenile Male",968252.114530373,19890.233496252,935423.381153389,956090.726290733,964866.575632334,984320.281823514,996801.846411416
"Num Offtake","Juvenile Combined",1275380.70897377,21977.143699167,1237351.02808463,1262139.37295234,1271654.27669238,1295049.7048396,1304342.90909173
"Num Offtake","Adult Female",2030469.96893405,4972.07743515757,2017187.72843192,2029800.11932323,2032158.56535567,2033267.76694596,2034060.89907593
"Num Offtake","Adult Male",4150725.13999504,12466.9488062803,4131190.76227586,4143822.8552388,4150630.90479879,4159130.08123637,4173144.59249346
"Cml Pop Growth","Overall",-2190161.14455125,318962.268782072,-2589128.38947514,-2392455.50467401,-2264935.31160508,-2044885.82237227,-1622364.0456126
"Cml Pop Growth","Neonatal Female",-475232.04437596,93331.4076331133,-599686.477880172,-527423.695750933,-477103.598896836,-428731.957749501,-286497.855921197
"Cml Pop Growth","Neonatal Male",484903.359196328,92766.8765012122,335938.153759987,442780.61764526,484016.10612796,521678.297372122,659287.284763868
"Cml Pop Growth","Neonatal Combined",9671.31482036766,160118.162359383,-160648.359000836,-112744.289352587,2166.87117489125,76332.2687854893,372789.428842672
"Cml Pop Growth","Juvenile Female",-402259.506629087,54373.956541931,-470680.909069895,-438897.755230794,-415294.053213044,-367142.437408645,-316287.201580927
"Cml Pop Growth","Juvenile Male",102389.94028565,53737.7414586437,24206.0552561637,72889.9957654181,84097.462448972,143041.920699034,193831.238111914
"Cml Pop Growth","Juvenile Combined",-299869.566343436,99551.7640711922,-446474.853813731,-353605.844284714,-336474.767137631,-229131.109004184,-130288.479722689
"Cml Pop Growth","Adult Female",-401110.509029661,93894.4046773345,-599914.267213769,-444337.382632355,-406565.360659815,-344082.62763973,-263556.456257973
"Cml Pop Growth","Adult Male",-1498852.38399852,47880.0423809559,-1556945.86084922,-1528054.35011211,-1521138.06234339,-1470321.27182641,-1410562.38696312
"Total Number Increase","Overall",5266414.67335161,350329.254106769,4801873.51501591,5048456.23125814,5194342.09633555,5429161.87025925,5887509.40364131
"Total Number Increase","Neonatal Female",-475232.04437596,93331.4076331133,-599686.477880172,-527423.695750933,-477103.598896836,-428731.957749501,-286497.855921197
"Total Number Increase","Neonatal Male",484903.359196328,92766.8765012122,335938.153759987,442780.61764526,484016.10612796,521678.297372122,659287.284763868
"Total Number Increase","Neonatal Combined",9671.31482036766,160118.162359383,-160648.359000836,-112744.289352587,2166.87117489125,76332.2687854893,372789.428842672
"Total Number Increase","Juvenile Female",-95130.9121856915,56712.5889199291,-168753.262138649,-132817.143571767,-106361.934773073,-59213.7809916842,-7772.30801300745
"Total Number Increase","Juvenile Male",1070642.05481602,72684.8465296636,959629.436409552,1034986.75658542,1043881.94866187,1131600.19738269,1182430.1363641
"Total Number Increase","Juvenile Combined",975511.142630332,118168.970210191,790876.174270903,918217.476977233,937342.856149737,1063281.62200199,1170457.2715281
"Total Number Increase","Adult Female",1629359.45990439,98288.5133922144,1417273.46121815,1587168.147764,1624463.68173866,1688710.93124347,1770005.25044707
