"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",7451882.21007084,30991.3232737922,7349827.59199044,7431869.25383787,7451990.95851923,7473366.53280595,7543857.86464562
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",307087.82254332,4075.90834044591,295810.95064856,304225.52936527,307212.560679543,309849.492199306,319228.894228208
"Num Offtake","Juvenile Male",966065.358767783,15155.8371724702,919300.417397458,956288.122453609,965810.327020016,976282.157315778,1009547.03850517
"Num Offtake","Juvenile Combined",1273153.1813111,17842.715818488,1219283.25033564,1261417.68300797,1273218.16263164,1285150.01254631,1328363.74456168
"Num Offtake","Adult Female",2028600.33391477,5470.49608737762,2013561.98734916,2024738.05998869,2028567.0727717,2032247.05244889,2044787.848043
"Num Offtake","Adult Male",4150128.69484497,12845.9759809544,4106481.56025038,4141720.05515716,4150609.5245755,4158408.62736909,4186816.53614125
"Cml Pop Growth","Overall",-2299400.36682381,317085.655310345,-3454052.67338047,-2520760.05221859,-2300041.39901769,-2079132.44077768,-1155980.76941668
"Cml Pop Growth","Neonatal Female",-464789.593193558,97562.2073733987,-809423.228611629,-530510.799040769,-465578.605231063,-399773.694713559,-70510.8921781578
"Cml Pop Growth","Neonatal Male",431793.508563314,101964.338769504,118590.915307604,358562.400422506,429495.431053797,501337.172928692,797413.763973982
"Cml Pop Growth","Neonatal Combined",-32996.0846302437,174293.015261592,-631071.195422639,-153308.81900277,-40965.7370251934,89407.6135400364,726902.871795824
"Cml Pop Growth","Juvenile Female",-411323.430712014,58665.1698934824,-600438.0884411,-449175.695629601,-410902.511782929,-370759.861694472,-230743.617444616
"Cml Pop Growth","Juvenile Male",87394.5946962603,49986.5575821439,-57482.8839009849,51976.4837279929,85539.3259635969,119348.731907323,240668.445929822
"Cml Pop Growth","Juvenile Combined",-323928.836015753,95721.0550191593,-601896.011115517,-389243.338822745,-323202.977326545,-261038.749870751,-38135.1661002093
"Cml Pop Growth","Adult Female",-433788.455822457,88330.4369698541,-676004.799469171,-495419.150462064,-434697.146793614,-371707.412094341,-157583.19187806
"Cml Pop Growth","Adult Male",-1508686.99035536,39655.120793681,-1646819.85837154,-1534303.04618188,-1509418.30330909,-1483543.69392205,-1394564.58956037
"Total Number Increase","Overall",5152481.84324703,338163.145947754,3955450.29334904,4912558.3924887,5152352.47036647,5385057.57304534,6361141.72363702
"Total Number Increase","Neonatal Female",-464789.593193558,97562.2073733987,-809423.228611629,-530510.799040769,-465578.605231063,-399773.694713559,-70510.8921781578
"Total Number Increase","Neonatal Male",431793.508563314,101964.338769504,118590.915307604,358562.400422506,429495.431053797,501337.172928692,797413.763973982
"Total Number Increase","Neonatal Combined",-32996.0846302437,174293.015261592,-631071.195422639,-153308.81900277,-40965.7370251934,89407.6135400364,726902.871795824
"Total Number Increase","Juvenile Female",-104235.608168693,61981.2724839957,-300919.870331705,-145140.948799652,-104433.174288737,-61601.529837663,85059.1067795195
"Total Number Increase","Juvenile Male",1053459.95346404,62463.8256627535,869577.487097668,1010130.67397692,1052840.80637968,1093317.27054804,1239050.16425848
"Total Number Increase","Juvenile Combined",949224.34529535,109977.503330154,632946.526045346,874752.921375016,949701.932354961,1023288.07228157,1290228.57846147
"Total Number Increase","Adult Female",1594811.87809231,92925.2667519156,1345814.71506919,1529663.74600119,1593381.40342689,1660055.06703715,1885856.76337242
"Total Number Increase","Adult Male",2641441.70448961,51081.9325512539,2459661.70187884,2608924.50944938,2640491.28893787,2674373.36080673,2779606.68469709
"Total Mortality","Overall",5120426.66037796,191370.806931131,4550466.1409644,4988679.25671172,5119803.30715522,5251595.65561211,5669344.80514533
"Total Mortality","Neonatal Female",1186554.70819052,133832.345158274,785646.354376017,1102097.68417906,1183641.87386935,1276910.67928898,1623752.83887141
"Total Mortality","Neonatal Male",1021887.47291391,123041.794755461,664648.23316834,940366.616080576,1017444.71578694,1104077.84254009,1493315.99369247
"Total Mortality","Neonatal Combined",2208442.18110442,181175.560012811,1678324.87337975,2087647.98745557,2209860.30399346,2323804.33529954,2765498.88960018
"Total Mortality","Juvenile Female",661419.925477921,8778.87950249889,637131.278319975,655254.986325197,661688.592232862,667368.137044659,687569.926029986
"Total Mortality","Juvenile Male",429362.38167457,6735.92763220897,408577.963287759,425016.943312715,429249.034231118,433903.181029235,448687.572668966
"Total Mortality","Juvenile Combined",1090782.30715249,13835.1892570972,1051022.00982297,1081290.63624791,1091316.7933806,1100207.02039822,1135369.70879067
"Total Mortality","Adult Female",1395769.7217923,73645.4879269892,1138690.46620128,1342816.31486472,1398312.24238551,1449158.47138992,1600565.75338889
"Total Mortality","Adult Male",425432.450328744,19520.1661072939,356594.198862079,412660.425489838,424782.371513795,438488.407035155,481649.323821404
"Value of Total Mortality","Overall",9516086699.51465,282292773.82736,8660775102.51461,9318904026.55076,9515427039.99344,9719316228.00119,10341194315.6112
"Value of Total Mortality","Neonatal Female",1361035957.80073,153512208.767,901174577.994363,1264159643.73365,1357694795.17009,1464678651.069,1862523476.60835
"Value of Total Mortality","Neonatal Male",1279937818.21903,154112708.594017,832487364.796465,1177831049.7144,1274373161.62553,1382883167.06256,1870413000.98151
"Value of Total Mortality","Neonatal Combined",2640973776.01976,216777126.256967,1998821815.43091,2499899488.69657,2641116998.28874,2779948019.60767,3307870544.78301
"Value of Total Mortality","Juvenile Female",946873775.416403,12567644.9381994,912102698.603767,938048188.242667,947258392.653927,955389100.289786,984309523.563821
"Value of Total Mortality","Juvenile Male",1003143215.32929,15737522.4090335,954583422.531474,992990725.972108,1002878395.39227,1013752137.44081,1048293734.00157
"Value of Total Mortality","Juvenile Combined",1950016990.7457,25225004.5873813,1876785027.50739,1932999715.72736,1950547467.53199,1967381233.86361,2031332317.65286
"Value of Total Mortality","Adult Female",3466748481.49847,182917267.407307,2828226879.38169,3335225250.84648,3473063476.9222,3599352996.20236,3975411422.43311
"Value of Total Mortality","Adult Male",1458347451.25073,66913524.0355208,1222375586.62828,1414566000.50164,1456119034.53696,1503102197.09045,1651054270.18744
"Population Liveweight (kg)","Overall",600132512.043541,10249056.4421153,561806541.118751,592998526.649768,599780375.139143,606781477.878441,640067120.875234
"Population Liveweight (kg)","Neonatal Female",24360555.7052444,3283702.34301057,15001786.9286739,22244774.9641236,24307492.0153294,26442140.0625084,35435245.1697066
"Population Liveweight (kg)","Neonatal Male",24131277.5675345,3295355.76907851,11471486.4766475,21966783.0493932,24092822.1289219,26162477.1687555,35251037.0538099
"Population Liveweight (kg)","Juvenile Female",30012280.7772762,5643779.31033453,14226036.2795155,26165849.2032646,29828521.0378196,33380673.9033864,47834525.369789
"Population Liveweight (kg)","Juvenile Male",22652069.3813281,4323082.93733637,6214634.42657157,19713830.9560969,22718491.9474426,25698940.2472098,36345631.3232826
"Population Liveweight (kg)","Juvenile Combined",52664350.1586042,7139780.68187342,28584590.3229635,47557717.616527,52837417.0164782,57281085.7015864,79603713.1437716
"Population Liveweight (kg)","Adult Female",393489380.287786,3888355.01803197,382117675.125163,390713466.598865,393350903.204904,396068186.154139,406307751.160872
"Population Liveweight (kg)","Adult Male",105486948.324372,1296402.50840475,101531632.423687,104602437.046943,105473944.01667,106359030.144067,109831193.43639
"Offtake Liveweight (kg)","Overall",178256259.877598,2928392.04583342,168768400.528745,176278741.708038,178226443.407194,180245726.849361,187461498.745526
"Offtake Liveweight (kg)","Juvenile Female",4266230.23615135,826842.924635719,1762525.26179074,3729890.40497135,4267710.00555301,4817078.04679576,6771241.83341902
"Offtake Liveweight (kg)","Juvenile Male",13607953.125646,2644396.87938163,5300176.34415548,11815123.4062239,13555685.2057626,15341518.615698,21578933.4748032
"Offtake Liveweight (kg)","Adult Female",52134014.0379757,454513.747032721,50746662.8708909,51818544.3533562,52141276.4404666,52448656.5061321,53422860.070772
"Offtake Liveweight (kg)","Adult Male",108248062.477825,861743.377543795,105804659.62391,107695388.274845,108251811.82341,108783298.182859,111115649.680888
"Meat (kg)","Overall",74867629.148591,1229924.65925004,70882728.2220731,74037071.5173758,74855106.2310216,75703205.2767318,78733829.4731211
"Manure","Overall",2632678324.52147,14325536.5875014,2591666636.35522,2623286718.68625,2632621265.07066,2642440719.84081,2687735183.40343
"Manure","Neonatal Female",93808814.0394964,4885142.766847,78942946.6434144,90506564.5389548,93741028.8638017,97149209.5083305,110109995.885121
"Manure","Neonatal Male",83174904.4564088,4408512.92418323,70841112.0701958,80145938.8780539,83122959.4137569,86126959.4663289,97930911.3841794
"Manure","Neonatal Combined",176983718.495905,7217439.30109432,154753887.009887,171887999.731291,176973828.740148,181958910.449995,200738514.466998
"Manure","Juvenile Female",167724585.864533,3489930.50508108,156433182.037939,165425210.060735,167704739.714628,170170137.43755,178160781.881552
"Manure","Juvenile Male",110946486.098996,2518499.56380944,104152056.534055,109238350.73317,110887739.806311,112632891.94921,120482311.821947
"Manure","Juvenile Combined",278671071.963529,4922017.88087921,262749286.173575,275342316.310511,278711059.252465,281970067.738639,295849641.670627
"Manure","Adult Female",1681243662.15745,6142549.11560628,1664847375.8052,1677104822.05811,1681174715.46353,1685058268.44912,1701911613.30309
"Manure","Adult Male",495779871.904586,2139802.02122116,489529415.679721,494336342.745193,495871936.407699,497256007.621781,502617639.944017
"Hides","Overall",1455992.23963677,38321.4805318836,1317265.44425575,1429702.62660305,1456499.71718257,1482798.12617899,1582108.13809047
"Hides","Juvenile Female",330709.96273896,4389.43975124944,318565.639159987,327627.493162599,330844.296116431,333684.06852233,343784.963014993
"Hides","Juvenile Male",214681.190837285,3367.96381610448,204288.98164388,212508.471656358,214624.517115559,216951.590514617,224343.786334483
"Hides","Juvenile Combined",545391.153576245,6917.59462854859,525511.004911483,540645.318123954,545658.3966903,550103.510199108,567684.854395336
