"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",7464469.03967801,22689.8180408692,7433644.97084442,7455576.37877845,7459935.46526454,7474938.8722176,7504496.40180552
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",308964.984284243,3522.92084443307,303558.255708385,306740.544320573,309113.382450715,311627.712472556,314471.237842705
"Num Offtake","Juvenile Male",970128.615869945,9555.02830707923,953651.16140979,964352.590823421,967636.135489685,977724.220467012,983841.694225119
"Num Offtake","Juvenile Combined",1279093.60015419,11763.3252388513,1260232.58641691,1272544.71051199,1275986.56837314,1288727.60674028,1298312.93206782
"Num Offtake","Adult Female",2032282.4036627,5636.2299081566,2025246.87940481,2028326.90924877,2032093.49461272,2034502.63263503,2043515.37334002
"Num Offtake","Adult Male",4153093.03586113,9599.34607700219,4136554.2588356,4148973.43813633,4152716.56192473,4161162.62561422,4166791.18403925
"Cml Pop Growth","Overall",-2257069.79105465,215055.135831587,-2553505.35030102,-2381077.5768609,-2340861.325194,-2110202.54131285,-1865593.51616835
"Cml Pop Growth","Neonatal Female",-486383.632816284,71141.3677052746,-555228.861391433,-530535.2548362,-509890.365005711,-474122.398687109,-328210.108132384
"Cml Pop Growth","Neonatal Male",419904.440980639,92316.1250767478,290521.545087773,371012.227400681,410401.370570696,433135.301420266,605100.338928752
"Cml Pop Growth","Neonatal Combined",-66479.1918356452,139399.757060618,-218929.276785105,-145629.407714503,-114942.390563109,30924.2618404264,200851.856381669
"Cml Pop Growth","Juvenile Female",-397403.185632549,40847.1764389179,-463429.392261789,-421379.804399371,-392771.246970095,-376086.027476871,-330294.618929506
"Cml Pop Growth","Juvenile Male",82609.4733860063,40553.0200316818,34648.8668964838,58099.7957366605,72672.8504005847,89420.6505897308,175580.678101409
"Cml Pop Growth","Juvenile Combined",-314793.712246542,69510.2505724907,-428780.525365305,-349053.909266813,-336466.333965695,-293687.791136019,-197652.074450835
"Cml Pop Growth","Adult Female",-374615.017588047,81307.1053105296,-467164.482466545,-430671.835717641,-394913.511343518,-315534.776908005,-231792.614931401
"Cml Pop Growth","Adult Male",-1501181.86938442,28663.8244873685,-1555121.17140319,-1517225.89058301,-1499407.3916409,-1480146.92563496,-1459386.133476
"Total Number Increase","Overall",5207399.24862336,225551.25652035,4905859.2634347,5073340.56123313,5131287.7099602,5332090.53683049,5638902.88563717
"Total Number Increase","Neonatal Female",-486383.632816284,71141.3677052746,-555228.861391433,-530535.2548362,-509890.365005711,-474122.398687109,-328210.108132384
"Total Number Increase","Neonatal Male",419904.440980639,92316.1250767478,290521.545087773,371012.227400681,410401.370570696,433135.301420266,605100.338928752
