"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",7438484.72710854,18398.2816149105,7408981.58819607,7427262.54811405,7438345.28016289,7456054.73962088,7459248.92991985
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",304456.797571788,3300.54091485295,299916.582786241,302326.402427909,303879.368873908,306665.30987586,310175.884346309
"Num Offtake","Juvenile Male",960656.002024125,9219.689909381,940906.894022993,958227.285736685,962561.819466515,966716.559738316,970708.694101622
"Num Offtake","Juvenile Combined",1265112.79959591,11811.3664287385,1240823.47680923,1259747.22670009,1267310.11525212,1273721.00052126,1279291.97640102
"Num Offtake","Adult Female",2027216.93995515,5132.68524051104,2019092.38703172,2023870.77769761,2029791.20708189,2029995.40785406,2033776.68872662
"Num Offtake","Adult Male",4146154.98755748,8303.92723794307,4133332.26836143,4140203.91540574,4147983.48847237,4151448.96700946,4158842.49009698
"Cml Pop Growth","Overall",-2295602.35428993,253045.528106401,-2582609.64996071,-2466305.01894533,-2367257.0545744,-2264976.33340328,-1830287.00165901
"Cml Pop Growth","Neonatal Female",-468999.79541061,89878.8574947606,-638273.799042978,-499705.496999014,-467579.238059823,-438032.718813581,-315476.5546191
"Cml Pop Growth","Neonatal Male",476871.908832456,86418.0072411289,369941.302580378,428323.015742876,467605.331406969,492432.24571104,639277.813093013
"Cml Pop Growth","Neonatal Combined",7872.11342184567,154083.682882909,-263274.4750271,-84152.549937053,1820.01222437341,87553.0560913798,282480.352426006
"Cml Pop Growth","Juvenile Female",-418844.606315637,50324.4676661582,-507807.522641991,-446379.505014016,-413569.260084223,-401713.539582976,-329005.530356638
"Cml Pop Growth","Juvenile Male",94009.8645145042,47991.6604356064,21120.764555946,69709.2558871225,92962.5752339826,115136.19497658,173900.682850729
"Cml Pop Growth","Juvenile Combined",-324834.741801133,92962.5015663114,-469972.976096793,-387600.658369224,-332358.348230546,-289027.119722635,-155104.847505908
"Cml Pop Growth","Adult Female",-455941.426989926,66970.0443950919,-566034.856751986,-507696.896089166,-431474.638626684,-401839.78123008,-381853.79228784
"Cml Pop Growth","Adult Male",-1522698.29892071,19820.614944376,-1551762.69762843,-1541402.62465157,-1517052.1975176,-1509130.74543057,-1499180.01250099
"Total Number Increase","Overall",5142882.37281861,262092.698511806,4874573.18915609,4965008.43590286,5075945.451242,5171042.33593719,5626794.52445783
"Total Number Increase","Neonatal Female",-468999.79541061,89878.8574947606,-638273.799042978,-499705.496999014,-467579.238059823,-438032.718813581,-315476.5546191
"Total Number Increase","Neonatal Male",476871.908832456,86418.0072411289,369941.302580378,428323.015742876,467605.331406969,492432.24571104,639277.813093013
"Total Number Increase","Neonatal Combined",7872.11342184567,154083.682882909,-263274.4750271,-84152.549937053,1820.01222437341,87553.0560913798,282480.352426006
"Total Number Increase","Juvenile Female",-114387.808743849,53070.2982129117,-207890.93985575,-144185.926101691,-108367.895371813,-98866.2939930494,-18829.6460103283
"Total Number Increase","Juvenile Male",1054665.86653863,53510.3031622937,978741.440568191,1022986.44909029,1054787.53903984,1083014.32885561,1143016.77490544
"Total Number Increase","Juvenile Combined",940278.05779478,102333.316053001,770850.500712441,876932.223192348,932316.02592156,981499.759993875,1124187.12889511
"Total Number Increase","Adult Female",1571275.51296522,71826.114563979,1453256.10390468,1517384.19382239,1598316.5684552,1631005.62502641,1649742.77535166
"Total Number Increase","Adult Male",2623456.68863676,27046.0283017912,2584377.05082372,2597428.19650607,2633322.43202238,2644750.62080945,2647529.36599789
"Total Mortality","Overall",5109214.3214573,206210.406473092,4789461.31152842,4978614.03519743,5085636.97108548,5242135.68112338,5453536.86623742
"Total Mortality","Neonatal Female",1236064.14257831,59174.0071119588,1174231.28218474,1217429.95699479,1225251.66123137,1239467.48972628,1391585.46338851
"Total Mortality","Neonatal Male",984182.780539518,100778.194804244,847701.82312734,896953.287607484,988525.753075076,1041905.46731123,1145559.84349857
"Total Mortality","Neonatal Combined",2220246.92311782,148356.654082319,2051398.85041647,2103725.16002554,2211799.25739872,2275953.67634213,2537145.30688708
"Total Mortality","Juvenile Female",655753.102462312,7108.85735506791,645974.178308827,651164.559075497,654509.409882263,660509.898194161,668071.135515128
"Total Mortality","Juvenile Male",426958.223121833,4097.63995972486,418180.841787997,425878.793660749,427805.253096229,429651.80432814,431426.086267388
"Total Mortality","Juvenile Combined",1082711.32558415,10443.8912616729,1064155.02009682,1075214.24943905,1084119.9970935,1089391.42154188,1098789.39865055
"Total Mortality","Adult Female",1380011.16766471,68646.8957651493,1255618.96591305,1350785.77970611,1373565.66493129,1403371.83488304,1486241.4055843
"Total Mortality","Adult Male",426244.905090616,19499.8569006217,398786.191011744,410082.383249637,433759.237780397,435001.332354098,461294.229212032
"Value of Total Mortality","Overall",9655605218.50362,350427604.734541,9038724185.34312,9440745592.40129,9621584830.56345,9930001373.95033,10124775301.4585
