"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",7920327.44312104,66717.6798534156,7810764.14418371,7876370.85923838,7919888.6430389,7950752.19125145,8035759.30781556
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",362783.275645479,6702.12288319137,352736.104308515,358174.580646596,362683.457397559,366833.271370327,374825.601717457
"Num Offtake","Juvenile Male",1208747.63916657,35150.8978213596,1161290.47441859,1182567.37238975,1206744.75632025,1223324.52280213,1273436.40980926
"Num Offtake","Juvenile Combined",1571530.91481205,41289.497930838,1514026.57872711,1539694.15521853,1567912.58342462,1590078.35241627,1643098.54286121
"Num Offtake","Adult Female",2054007.47126266,6176.32298443363,2043700.25051142,2049898.95001901,2054152.00472479,2057099.83877342,2063081.14568595
"Num Offtake","Adult Male",4294789.05704633,23162.2213858041,4253037.31494518,4285566.06116798,4293570.25704849,4305914.26055702,4338946.10241227
"Cml Pop Growth","Overall",3989752.43137986,483792.368177658,3275193.00608749,3603024.21363218,3962239.09273063,4416121.23039591,4635236.65321899
"Cml Pop Growth","Neonatal Female",1045332.57960112,224006.454716939,696354.250387334,890638.850643458,993500.261745112,1237254.22047472,1348041.3200926
"Cml Pop Growth","Neonatal Male",1919767.40173898,152863.680298556,1589704.34805052,1880524.92267535,1937108.01433572,1973812.10905423,2200613.28863235
"Cml Pop Growth","Neonatal Combined",2965099.98134011,344461.785120681,2464697.16782015,2753145.08678142,2952732.46631498,3223687.82138969,3548654.60872494
"Cml Pop Growth","Juvenile Female",609765.23624649,108580.701483912,456131.412453117,511034.84448871,622073.91382026,686756.312530519,768926.842652627
"Cml Pop Growth","Juvenile Male",970648.004043471,94600.7287161885,876134.964775614,895915.609473601,927490.151877245,1039565.45324886,1142877.88944714
"Cml Pop Growth","Juvenile Combined",1580413.24028996,189386.54511343,1348883.1360532,1410197.41503031,1574792.86384718,1739618.01191036,1852835.99443537
"Cml Pop Growth","Adult Female",336676.709038887,107701.43643297,167010.871569157,273258.748241993,346031.008174332,425269.724260968,477936.556387262
"Cml Pop Growth","Adult Male",-892437.499289098,85878.9539235453,-986302.154252446,-958332.293189874,-911716.576803744,-840387.376318233,-713289.403057605
"Total Number Increase","Overall",11910079.8745009,520514.879811003,11187393.3303785,11525466.068941,11805502.9245218,12426550.4538815,12590509.0701678
"Total Number Increase","Neonatal Female",1045332.57960112,224006.454716939,696354.250387334,890638.850643458,993500.261745112,1237254.22047472,1348041.3200926
"Total Number Increase","Neonatal Male",1919767.40173898,152863.680298556,1589704.34805052,1880524.92267535,1937108.01433572,1973812.10905423,2200613.28863235
"Total Number Increase","Neonatal Combined",2965099.98134011,344461.785120681,2464697.16782015,2753145.08678142,2952732.46631498,3223687.82138969,3548654.60872494
"Total Number Increase","Juvenile Female",972548.51189197,114473.543001605,814245.950887008,867984.901029372,986436.173658842,1054103.4941772,1143752.44437008
"Total Number Increase","Juvenile Male",2179395.64321004,127765.519306131,2064632.84997641,2075506.13789144,2125219.07052107,2262889.976051,2416314.2992564
"Total Number Increase","Juvenile Combined",3151944.15510201,226000.270472286,2903847.77761107,2941336.51879336,3134079.72358591,3329546.35053856,3479389.70901939
"Total Number Increase","Adult Female",2390684.18030155,113311.26633417,2214489.35211329,2323157.69826101,2401275.85014914,2480513.76224878,2540115.17654236
"Total Number Increase","Adult Male",3402351.55775724,107462.643681367,3266735.16069273,3324603.94642667,3384838.64787395,3464034.40042418,3625656.69935466
"Total Mortality","Overall",6199497.70245102,280237.099220749,5680104.39022923,6069596.19448046,6222482.68959261,6329587.0541197,6703805.84826872
"Total Mortality","Neonatal Female",1552028.14090261,218519.42004778,1253238.0511137,1467630.52378588,1539223.76846349,1586919.99722735,1979712.15661879
"Total Mortality","Neonatal Male",1458891.4485968,162921.774044818,1286559.51462863,1329023.65631421,1405135.4893987,1590544.58634082,1726799.31621053
"Total Mortality","Neonatal Combined",3010919.58949941,250198.107480313,2540446.98199828,2866766.79758969,3063401.74590586,3147845.40496906,3413326.51050599
"Total Mortality","Juvenile Female",781379.362928725,14435.3415945661,759739.301587571,771452.94293113,781164.369779358,790102.430643782,807316.680622216
"Total Mortality","Juvenile Male",537221.17296292,15622.6212539376,516129.099741596,525585.498839891,536331.002809001,543699.787912059,565971.737693006
"Total Mortality","Juvenile Combined",1318600.53589164,29302.4005866398,1275868.40132917,1300503.4713635,1313959.34236306,1333766.91110864,1363640.28634069
"Total Mortality","Adult Female",1435035.04222492,81509.0486927677,1281601.29998157,1380823.10709385,1453887.2269321,1505662.243805,1519338.4931685
"Total Mortality","Adult Male",434942.534835048,24657.1446424497,407528.035374583,417724.243919055,424031.30641887,454651.748829351,473936.855194117
"Population Liveweight (kg)","Overall",668470171.070852,24521817.1957972,626808480.841433,657854179.384924,669756722.934399,679860445.733112,715356500.778249
"Population Liveweight (kg)","Neonatal Female",37201999.9499317,5346037.23864397,27417864.0348823,34473575.5680823,37679621.5119004,40994915.6032369,44760145.2424541
"Population Liveweight (kg)","Neonatal Male",34427364.3243448,5650365.27157892,25506061.2908822,31081119.1556246,34193783.5914206,37764265.7785538,44831126.7507259
"Population Liveweight (kg)","Juvenile Female",40763826.1693467,12705822.3672494,23261195.8184544,30153210.7657957,42865134.1554923,45964818.3380281,63240277.8463132
"Population Liveweight (kg)","Juvenile Male",34714596.9345468,5788296.43612847,26040974.5864446,29908858.3746669,35756916.897833,38595053.0052422,42351495.3728462
"Population Liveweight (kg)","Juvenile Combined",75478423.1038934,16278653.5184478,49302170.404899,67737752.0546176,77293128.4342515,86094386.7561474,100014686.663334
"Population Liveweight (kg)","Adult Female",404623136.584021,4672431.86104328,396758715.518404,401656755.752344,404954483.30746,407818041.447113,412620221.447443
"Population Liveweight (kg)","Adult Male",116739247.108661,2525434.04754391,113015094.184136,115401454.684616,115988427.456665,118203610.499707,121057141.165285
"Offtake Liveweight (kg)","Overall",179906998.507518,4331644.27519388,172931353.314495,176537917.336159,180722088.336347,182024739.435145,187017877.660082
"Offtake Liveweight (kg)","Juvenile Female",4288559.40435187,1240271.38649025,2623747.25695542,3524969.3621121,3905923.42329435,5402445.07556447,5904190.51584978
"Offtake Liveweight (kg)","Juvenile Male",16118769.6015209,3518698.63578039,10866270.1612893,14088606.6983359,16101598.3301821,17751902.580774,21814828.2558308
"Offtake Liveweight (kg)","Adult Female",51602746.820734,464668.395833348,50657894.5417593,51454481.2375274,51557589.1515928,51976127.5821223,52220783.7710968
"Offtake Liveweight (kg)","Adult Male",107896922.680911,983254.928105588,106566105.063311,107006848.423993,107934456.116728,108627807.569284,109237282.62905
"Meat (kg)","Overall",75560939.3731576,1819290.59558143,72631168.3920878,74145925.2811866,75903277.1012656,76450390.5627608,78547508.6172344
