"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",7859859.15005061,33052.837289324,7807274.28552332,7836305.93823118,7859214.47620261,7888369.77508761,7904889.42701633
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",341743.73582632,3885.42456855092,335241.083040694,339472.762856275,341587.402045588,345244.349324119,346754.481362045
"Num Offtake","Juvenile Male",1079953.80012193,16180.3502342002,1054194.80115692,1067688.00724713,1080223.36584943,1093132.94286494,1102002.9278242
"Num Offtake","Juvenile Combined",1421697.53594825,19989.8986816724,1389435.88419762,1407160.7701034,1421810.76789501,1438377.29218905,1448187.23924225
"Num Offtake","Adult Female",2106302.59290907,1849.99165943091,2103118.65548609,2104927.99214419,2107122.34079604,2107316.96237949,2109018.06922198
"Num Offtake","Adult Male",4331859.02119329,11611.18424107,4314719.74583961,4324136.82128324,4329967.38002132,4341452.16077241,4349459.09189768
"Cml Pop Growth","Overall",1467862.94129466,265098.860636165,1067452.99077398,1255568.69934705,1450000.47840213,1641187.91882248,1853644.18382615
"Cml Pop Growth","Neonatal Female",23059.9632173635,75116.3347877106,-98810.9607031988,-20574.1354780782,21478.9170516871,48009.7936037681,167006.50756791
"Cml Pop Growth","Neonatal Male",904433.32588915,69009.2800916996,789763.047652702,864455.912774877,904625.891390494,938254.398818274,1044251.22484731
"Cml Pop Growth","Neonatal Combined",927493.289106513,143317.099276806,690952.086949504,845447.928031901,927787.48196117,978766.425133048,1211257.73241522
"Cml Pop Growth","Juvenile Female",100375.424748731,44882.0378512325,29728.8481206642,71229.8183921783,103044.307103422,131142.675638958,169657.388185489
"Cml Pop Growth","Juvenile Male",462947.930155358,35673.1850369843,401795.8288788,435384.88655821,472200.421183239,492691.009060573,501326.552563923
"Cml Pop Growth","Juvenile Combined",563323.35490409,79515.6166954392,431524.676999464,499756.465040143,575244.728286661,623833.684699532,670983.940749412
"Cml Pop Growth","Adult Female",990380.997159142,56235.0048674651,911752.446787901,937696.268446361,1008801.19654014,1023973.63379764,1084483.5802317
"Cml Pop Growth","Adult Male",-1013334.69987508,42281.5007900039,-1080979.49707464,-1042193.03725816,-1016720.6367102,-977830.034623171,-959684.547117964
"Total Number Increase","Overall",9327722.09134527,291051.109423747,8874727.27629729,9106106.5159118,9290308.86286501,9536508.7045151,9735027.0445246
"Total Number Increase","Neonatal Female",23059.9632173635,75116.3347877106,-98810.9607031988,-20574.1354780782,21478.9170516871,48009.7936037681,167006.50756791
"Total Number Increase","Neonatal Male",904433.32588915,69009.2800916996,789763.047652702,864455.912774877,904625.891390494,938254.398818274,1044251.22484731
"Total Number Increase","Neonatal Combined",927493.289106513,143317.099276806,690952.086949504,845447.928031901,927787.48196117,978766.425133048,1211257.73241522
"Total Number Increase","Juvenile Female",442119.160575052,48454.1801255124,364969.931161359,412055.896215609,444054.09153112,476362.545592156,516411.869547534
"Total Number Increase","Juvenile Male",1542901.73027729,50046.0433451659,1455990.63003572,1501721.36007514,1549868.37218839,1588408.6451907,1598801.93021223
"Total Number Increase","Juvenile Combined",1985020.89085234,97657.4576150895,1820960.56119708,1912460.30484636,1993922.46371951,2067367.15603863,2115213.79975976
"Total Number Increase","Adult Female",3096683.59006821,58007.2837835416,3014871.10227399,3042183.75233026,3116376.43719827,3131187.551068,3193501.64945368
"Total Number Increase","Adult Male",3318524.32131821,53792.4568978095,3233740.24876497,3281943.78402508,3313246.74331112,3364948.53100502,3389774.54477972
"Total Mortality","Overall",1440453.74499266,67082.3871621086,1284271.21274212,1418705.00126422,1459253.55975205,1473923.6327329,1525934.49368114
"Total Mortality","Neonatal Female",377426.314043377,49860.6163108329,268293.659046372,369937.034186299,388361.199984875,403071.211949858,440297.527997688
"Total Mortality","Neonatal Male",288462.546239462,30817.7691278417,214180.696462535,282605.839194883,288757.511161443,308444.268288747,326800.157902843
"Total Mortality","Neonatal Combined",665888.86028284,74258.9571205518,482474.355508907,655572.951422879,677083.543844583,703286.529201038,767097.68590053
"Total Mortality","Juvenile Female",184015.857752634,2092.15169075819,180514.429329605,182793.026153379,183931.678024548,185900.803482218,186713.95150264
"Total Mortality","Juvenile Male",119994.866680215,1797.81669268892,117132.755684102,118632.000805236,120024.818427714,121459.215873882,122444.769758244
"Total Mortality","Juvenile Combined",304010.724432849,3866.52523715172,297647.185013707,301425.026958615,303956.496452261,307360.019356099,308851.70667566
"Total Mortality","Adult Female",360653.719303327,22758.1449456684,330559.470258113,344569.080517687,351875.380914578,384762.218990823,389246.976743538
"Total Mortality","Adult Male",109900.440973641,5916.57620719004,104001.939914626,105866.672529297,108260.047294319,112272.986314537,122644.27820634
"Value of Total Mortality","Overall",3039671267.04034,70401795.2958136,2942416027.10408,2986881538.25844,3032003754.4081,3083931377.73838,3149362717.48118
"Value of Total Mortality","Neonatal Female",310319051.379155,40995284.5868066,220590432.273739,304161382.625581,319309689.567447,331404227.730002,362011619.563776
"Value of Total Mortality","Neonatal Male",351417680.204081,37543553.1480777,260924284.544299,344282783.732868,351777019.36258,375760287.244696,398122234.160719
"Value of Total Mortality","Neonatal Combined",661736731.583237,71917393.663195,481514716.818039,650209207.138369,672044560.062465,694252000.177286,760133853.724495
"Value of Total Mortality","Juvenile Female",358743950.667885,4078706.97724335,351917820.133271,356360006.999791,358579839.984226,362418703.953194,364003958.272504
"Value of Total Mortality","Juvenile Male",327158173.846977,4901629.89771211,319354814.980544,323442408.97143,327239835.332059,331150626.368726,333837674.723011
"Value of Total Mortality","Juvenile Combined",685902124.514861,8926362.17377213,671272635.113815,679802415.971221,685819675.316285,693569330.32192,697243099.659525
"Value of Total Mortality","Adult Female",1206993015.95028,76164255.448322,1106277158.95591,1153162857.99197,1177614716.04716,1287676478.20337,1302685532.58444
"Value of Total Mortality","Adult Male",485039394.991961,26112475.2415469,459006693.396977,467236585.572376,477799610.049173,495510489.980701,541283601.53438
"Population Liveweight (kg)","Overall",646506833.87737,14074045.2693193,624609589.804502,639091141.611838,646666460.081994,654328101.607666,669163153.646665
"Population Liveweight (kg)","Neonatal Female",26567727.4239255,3629377.32436906,21582090.4246821,24200927.8271538,24607484.2616335,30242642.0175222,31851800.1068725
"Population Liveweight (kg)","Neonatal Male",25831368.194237,4260202.14068898,16830908.4863071,24469128.7019757,26047482.5816752,28765651.5503435,31139428.0737175
"Population Liveweight (kg)","Juvenile Female",33053578.2161389,8503737.69350248,24219531.8675621,27553730.6813693,30078196.243395,37734281.0059027,51580480.2936046
"Population Liveweight (kg)","Juvenile Male",26409719.8070797,3364310.33959,21063917.7321351,24055062.140365,26634721.6629507,29645414.1715697,30373189.5997024
"Population Liveweight (kg)","Juvenile Combined",59463298.0232186,10743742.451378,45283449.5996972,51608792.8217343,56949862.0514552,67271017.7779696,79632071.289186
"Population Liveweight (kg)","Adult Female",420757252.09997,3075518.53109005,416101693.359906,419100549.396024,420265446.149011,422875759.267186,425073217.110664
"Population Liveweight (kg)","Adult Male",113887188.136019,1396316.52243673,111870928.09247,112657012.305571,113942175.445697,114899775.669177,115943781.280018
"Offtake Liveweight (kg)","Overall",181276658.136082,3945513.46412189,175554562.211586,179480113.833211,181076466.542856,183519505.442924,187956554.910504
"Offtake Liveweight (kg)","Juvenile Female",4093665.76688831,703143.743313013,3329117.1930833,3561476.7173052,3894592.61185807,4405679.41090235,5649642.34857292
"Offtake Liveweight (kg)","Juvenile Male",15114445.9524847,2900462.14467873,10463254.123155,13726766.7059856,15389332.4349585,17226867.9373126,19511341.3963411
"Offtake Liveweight (kg)","Adult Female",53047855.1375452,318238.47395197,52374693.5040549,52863637.9270827,53115320.2268313,53220378.9728414,53427516.2784282
"Offtake Liveweight (kg)","Adult Male",109020691.279164,1229227.79386684,107728633.215674,107969772.144892,108801163.865878,109607427.205737,111367704.877924
"Meat (kg)","Overall",76136196.4171544,1657115.65493119,73732916.1288662,75381647.8099485,76052115.9479995,77078192.286028,78941753.0624117
"Manure","Overall",2796903505.99497,12393815.2699359,2772756860.49467,2790205697.6486,2797216851.34183,2808038775.6937,2811306008.88122
"Manure","Neonatal Female",106170409.192526,4777099.3916183,98153747.763521,103153765.387211,106829248.487065,108427374.340221,115569741.508126
"Manure","Neonatal Male",92556810.9360913,4804306.98127718,86168400.949448,88600761.1500313,92257059.0027405,96917817.8609618,98912818.9893976
"Manure","Neonatal Combined",198727220.128617,5519140.5512775,187673784.589082,195550504.066023,198799309.379123,202244900.120386,205693783.295288
"Manure","Juvenile Female",190479404.754426,2168475.35697729,187934601.823644,188867624.867821,190181556.013522,191633199.930348,195057661.955169
"Manure","Juvenile Male",126477971.621016,2704298.12426346,120904820.935438,125409062.872193,126326826.578211,127736950.194695,130624554.163897
"Manure","Juvenile Combined",316957376.375442,4323095.6306279,311789483.285067,313876173.167004,315619559.742727,319126231.973741,325682216.119066
"Manure","Adult Female",1758105105.48797,4792240.63036651,1751629384.20886,1754951130.75409,1756589000.77053,1761138607.86172,1766020546.52823
"Manure","Adult Male",523113804.002938,2060151.95600933,520224411.336612,521427937.68888,523037800.068853,524701218.110147,526258097.406126
"Hides","Overall",387282.442354908,11063.170933764,376734.152151195,378347.848674673,380546.087765211,399660.483298664,401461.358636736
"Hides","Juvenile Female",92007.928876317,1046.07584537909,90257.2146648024,91396.5130766895,91965.8390122738,92950.4017411089,93356.9757513198
"Hides","Juvenile Male",59997.4333401074,898.90834634446,58566.3778420512,59316.0004026182,60012.409213857,60729.6079369409,61222.384879122
"Hides","Juvenile Combined",152005.362216424,1933.26261857586,148823.592506854,150712.513479308,151978.248226131,153680.00967805,154425.85333783
"Hides","Adult Female",180326.859651664,11379.0724728342,165279.735129056,172284.540258844,175937.690457289,192381.109495411,194623.488371769
"Hides","Adult Male",54950.2204868204,2958.28810359502,52000.9699573131,52933.3362646486,54130.0236471597,56136.4931572687,61322.1391031699
"Milk","Overall",867022338.944916,9214695.33118881,851341305.414517,860945695.468615,868442305.373164,873542136.770232,880626781.288082
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",2588234897.32477,103668477.568901,2486920768.02098,2499478285.49646,2578445143.52078,2612153042.87784,2802369511.10126
"Cml Dry Matter","Neonatal Female",245713375.239503,10019948.1859254,226913755.452125,239061799.646012,247942233.284095,250818443.771445,259953292.848252
"Cml Dry Matter","Neonatal Male",216401305.938019,7969724.53290159,207093701.824137,210269227.840939,215022059.559068,221185315.163268,231540949.349716
"Cml Dry Matter","Neonatal Combined",462114681.177522,10691555.2005806,448562131.070617,454643267.274631,459567333.518422,468728584.01983,482652938.680516
"Cml Dry Matter","Juvenile Female",217725813.175353,7838540.54779032,206614287.827175,210341552.53691,219686890.410248,223867186.932657,228282617.961996
"Cml Dry Matter","Juvenile Male",143759921.222406,4845082.22224088,136030336.840174,140456250.309127,144206633.523847,147994934.875592,149447703.445739
"Cml Dry Matter","Juvenile Combined",361485734.397759,6638785.61819469,355120950.91827,356065159.483949,358543672.206383,366506971.201366,373469739.763918
"Cml Dry Matter","Adult Female",1364987374.30961,88764349.3314357,1261709082.36905,1294132517.25952,1344947829.38941,1402410247.58491,1536595902.82948
"Cml Dry Matter","Adult Male",399647107.439886,20959066.812031,363095748.610968,384026488.78229,405936293.876109,414507125.775446,424946588.230205
"Value of Offtake","Overall",29866914708.4644,2201653087.33006,26353009689.7726,28422492068.5561,29879380268.5969,30845478430.2853,34302466280.4438
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",640684932.024397,44758221.7851693,567820290.627064,628474341.125702,637053898.001769,669507064.781459,715164672.159024
"Value of Offtake","Juvenile Male",2478574105.54816,347032659.131127,1992078616.64252,2222302313.05083,2436836773.701,2705715543.82782,3137078990.60496
