"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",7460995.73124927,33193.7557833191,7410779.8688004,7445138.52289618,7464377.47264179,7468767.31162036,7511035.59866259
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",306380.525447199,4232.12580113303,300262.12600263,302551.574605589,307619.490275142,309194.844033226,312210.655904184
"Num Offtake","Juvenile Male",962040.807121635,14645.9678302843,938736.860108774,955561.072712437,962427.665197343,969328.38619194,985446.721509788
"Num Offtake","Juvenile Combined",1268421.33256883,16045.1374652861,1245545.23043161,1258477.41429251,1269404.48527695,1273304.87376626,1297657.37741397
"Num Offtake","Adult Female",2048300.25807931,4266.64104667281,2042033.86791669,2044718.09419023,2047920.93289143,2051999.54987715,2054794.1856648
"Num Offtake","Adult Male",4144274.14060113,15507.4465857319,4118437.00544747,4137933.15210767,4146427.05354584,4151878.89936266,4170110.75290012
"Cml Pop Growth","Overall",-1966791.79246244,278396.662274785,-2314047.97042158,-2126786.90017234,-2067020.83144406,-1871082.63409414,-1386379.25328336
"Cml Pop Growth","Neonatal Female",-447864.274016335,96075.8902126326,-617481.916154326,-492404.080740755,-475179.416978986,-388308.345890252,-287857.470264103
"Cml Pop Growth","Neonatal Male",435928.696709692,62499.017990626,330731.248939455,377835.418801353,464142.528281193,481928.918957822,503893.686030683
"Cml Pop Growth","Neonatal Combined",-11935.577306643,112539.271202712,-142599.651483979,-98475.3815167763,-22404.9821905014,17820.5811119647,193124.661854549
"Cml Pop Growth","Juvenile Female",-400305.429887955,59191.3434844567,-493838.827840359,-453405.403757959,-372300.868508094,-360179.523252607,-327507.945402188
"Cml Pop Growth","Juvenile Male",90895.3340591164,40360.8450345573,40526.1697540157,72083.9166496216,89878.1721211044,102583.173968846,186495.306129934
"Cml Pop Growth","Juvenile Combined",-309410.095828839,76158.6409841507,-397972.317281269,-362443.064835217,-312970.624621298,-278869.243802507,-141012.639272253
"Cml Pop Growth","Adult Female",-130672.103873149,98665.1180592787,-273715.265388211,-211316.913870671,-100709.663479187,-73502.5352017689,13573.0143703595
"Cml Pop Growth","Adult Male",-1514774.01545381,40605.1822671593,-1585157.07108713,-1534156.91631107,-1520462.0860636,-1498048.64646709,-1452064.29023602
"Total Number Increase","Overall",5494203.93878683,303420.402906537,5126858.8239501,5298381.29031935,5375018.98956466,5590334.8548152,6124656.34537923
"Total Number Increase","Neonatal Female",-447864.274016335,96075.8902126326,-617481.916154326,-492404.080740755,-475179.416978986,-388308.345890252,-287857.470264103
"Total Number Increase","Neonatal Male",435928.696709692,62499.017990626,330731.248939455,377835.418801353,464142.528281193,481928.918957822,503893.686030683
"Total Number Increase","Neonatal Combined",-11935.577306643,112539.271202712,-142599.651483979,-98475.3815167763,-22404.9821905014,17820.5811119647,193124.661854549
"Total Number Increase","Juvenile Female",-93924.9044407564,63071.6344287306,-191178.364525613,-152579.989663685,-64681.3782329522,-50550.057246174,-15297.2894980037
"Total Number Increase","Juvenile Male",1052936.14118075,53031.2656892169,979263.02986279,1020607.21732883,1050960.09052067,1073676.04750652,1171942.02763972
"Total Number Increase","Juvenile Combined",959011.236739995,87394.1314624178,857919.937950741,902167.460745081,944925.958013993,989733.06384732,1156644.73814172
"Total Number Increase","Adult Female",1917628.15420616,102525.327746132,1770889.08213409,1833364.3333773,1949056.09991108,1977825.74418614,2068367.20003516
"Total Number Increase","Adult Male",2629500.12514732,55381.4484273608,2533279.93436034,2606819.18600748,2623473.98614629,2653830.25289557,2712738.63105457
"Total Mortality","Overall",4827607.92963935,215928.05132002,4543044.1522667,4671597.72037,4810419.47659095,4956999.88957913,5150674.41055979
"Total Mortality","Neonatal Female",1204594.04161303,155028.407932952,1001525.51071602,1113702.94961276,1173408.78075109,1264822.05134706,1571821.5828952
"Total Mortality","Neonatal Male",1065711.59451463,165417.823688649,794683.624684442,1016238.86304789,1071357.51112264,1133189.02422789,1306667.48033466
"Total Mortality","Neonatal Combined",2270305.63612766,221648.340297337,1940440.87243815,2121388.26882984,2273468.6869471,2389693.61307206,2578091.23557514
"Total Mortality","Juvenile Female",659896.516347813,9115.34787936345,646718.425236434,651649.545304345,662565.05597723,665958.125610024,672453.720409012
"Total Mortality","Juvenile Male",427573.69205406,6509.31903568195,417216.382270566,424693.810094417,427745.628976597,430812.616085307,437976.320671017
"Total Mortality","Juvenile Combined",1087470.20840187,12223.840099811,1070695.79193405,1081107.19043459,1087553.4779512,1093842.39374486,1110430.04108003
"Total Mortality","Adult Female",1045234.40987099,47176.1006526511,978639.313307159,1018906.82147059,1031591.62766037,1069981.27185532,1134633.78137447
"Total Mortality","Adult Male",424597.675238825,15957.2992128654,392950.722154705,418595.440625237,422817.978305899,429987.772772355,448262.399550306
"Value of Total Mortality","Overall",10201378880.9281,290586518.316607,9850346228.33531,9997116009.62601,10079279155.4234,10440427406.5138,10715280151.7557
"Value of Total Mortality","Neonatal Female",980584685.573654,126198932.915487,815279292.519484,906595931.029269,955198714.731652,1029612542.21877,1279521664.05976
"Value of Total Mortality","Neonatal Male",1599571509.31609,248282592.839712,1192774190.98008,1525315798.719,1608045703.83235,1700851231.37857,1961232367.6042
"Value of Total Mortality","Neonatal Combined",2580156194.88975,273492687.565622,2148804466.77766,2475872743.30023,2581292991.90037,2771448242.27992,2996218944.15566
"Value of Total Mortality","Juvenile Female",1257957538.12847,17376543.5843956,1232836206.76662,1242236377.10723,1263044562.32008,1269512754.5536,1281895275.50891
"Value of Total Mortality","Juvenile Male",1102058020.4385,16777569.3036776,1075362373.5145,1094635213.39839,1102501182.56005,1110406247.35835,1128870475.25976
