"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",7477211.43499307,31845.8544852437,7431551.09512822,7452820.70753016,7475194.04407044,7491234.30405135,7538220.69330714
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",311958.762259553,2715.96995011226,308025.599470446,309552.903076585,312795.684381883,313515.500271773,315445.287166372
"Num Offtake","Juvenile Male",976697.498507646,18661.1977049038,952813.949737097,962753.1995003,979072.137910367,982201.919055402,1019612.64140277
"Num Offtake","Juvenile Combined",1288656.2607672,20658.4452897609,1263016.5832005,1271904.51315539,1292199.75404841,1292990.89019519,1334995.42325953
"Num Offtake","Adult Female",2030155.69916874,5561.40497705386,2023306.22392528,2025973.05196134,2030100.72480984,2032243.16305806,2042908.06239434
"Num Offtake","Adult Male",4158399.47505714,10772.6899363953,4139183.07762921,4152343.12046438,4155524.79507321,4167415.26079144,4173872.3260294
"Cml Pop Growth","Overall",-1777227.07029362,397775.267934877,-2486572.79439477,-1975154.37828976,-1806489.26977607,-1431999.60961162,-1207002.55226607
"Cml Pop Growth","Neonatal Female",-332013.22067173,93457.1270536811,-466610.31060676,-397888.366320077,-351343.526163041,-267665.582841856,-165750.487454295
"Cml Pop Growth","Neonatal Male",545173.390336236,137973.582585931,282884.082962964,469101.69332727,554573.00166123,622769.737051614,757858.826626441
"Cml Pop Growth","Neonatal Combined",213160.169664506,225296.090941605,-183726.227643795,61724.1258028296,233153.121168109,353281.259307013,592108.339172146
"Cml Pop Growth","Juvenile Female",-317915.527761142,47200.4976474715,-374470.129272537,-360380.405923387,-319569.140782956,-278964.876884729,-241599.955039336
"Cml Pop Growth","Juvenile Male",148562.699794681,63018.6533643357,48617.7168157829,92455.8862008845,162881.272435647,184608.504006335,237650.893284004
"Cml Pop Growth","Juvenile Combined",-169352.827966462,105610.233679708,-325852.412456754,-261540.40046913,-159901.648173458,-96869.1389744493,-18067.0685723282
"Cml Pop Growth","Adult Female",-338112.776621409,82731.9985447411,-483886.144012325,-388490.714474457,-313529.134246335,-289889.269677612,-214061.812733183
"Cml Pop Growth","Adult Male",-1482921.63537025,43973.8611374849,-1540092.74829105,-1522103.90291042,-1483680.0981845,-1455142.12797847,-1407977.28833588
"Total Number Increase","Overall",5699984.36469946,422682.094372953,4944978.30073345,5495777.95153532,5659677.51492332,6074087.89540524,6272028.00040938
"Total Number Increase","Neonatal Female",-332013.22067173,93457.1270536811,-466610.31060676,-397888.366320077,-351343.526163041,-267665.582841856,-165750.487454295
