"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",7616430.20160563,39819.2046124272,7561368.91720684,7585109.56745776,7619961.34875067,7640114.0972572,7680246.90847202
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",308768.780678689,4591.17022618723,301314.015334715,305214.07511885,308917.083627941,312282.603205896,315108.940282899
"Num Offtake","Juvenile Male",978069.313921518,19762.6027797323,949869.675834562,960225.716666932,981849.544493001,990225.848498442,1012581.76376199
"Num Offtake","Juvenile Combined",1286838.09460021,22299.7912512331,1251183.69116928,1270580.73628544,1287108.22108904,1300720.73337022,1327690.70404489
"Num Offtake","Adult Female",2029946.57095531,6508.50118765237,2019255.76773915,2028821.23974602,2029556.61917502,2031912.03525416,2042921.02368418
"Num Offtake","Adult Male",4299645.53605011,14310.9183233752,4279538.45340647,4287721.39036347,4301504.89702727,4306822.27087275,4320251.80558365
"Cml Pop Growth","Overall",-1872829.73867638,261449.93880548,-2215774.37904175,-2076845.00515681,-1865594.709536,-1743330.62333882,-1474086.66941097
"Cml Pop Growth","Neonatal Female",-468456.146212172,70359.006231359,-537074.741526906,-517945.574917377,-487408.384519697,-448523.592424121,-328827.446944716
"Cml Pop Growth","Neonatal Male",459857.902129895,109395.796519296,325253.134650815,377298.408456943,438883.42083924,544815.714450416,660207.521102783
"Cml Pop Growth","Neonatal Combined",-8598.24408227657,137489.613258357,-211821.606876091,-128111.246055331,7147.31397990626,100229.251032168,188863.901219213
"Cml Pop Growth","Juvenile Female",-400721.052437602,60369.3348246596,-501937.368891668,-423239.1820122,-416756.077324047,-357298.478800626,-312596.888330267
"Cml Pop Growth","Juvenile Male",121891.23258184,53989.940913881,65467.8654302421,76295.0274946825,113519.25709188,137218.792818081,227355.135354192
"Cml Pop Growth","Juvenile Combined",-278829.819855762,99598.9207205503,-432764.152932049,-342230.093599593,-301497.380403492,-211614.372790903,-85241.7529760748
"Cml Pop Growth","Adult Female",-390738.087645425,68940.2936386521,-506020.626831014,-415498.241911649,-385205.424788088,-348377.792945431,-281269.560731899
"Cml Pop Growth","Adult Male",-1194663.58709292,49014.9634053934,-1265135.01686869,-1236436.23099075,-1186763.51020724,-1165239.68881771,-1105706.52379956
"Total Number Increase","Overall",5743600.46292925,289382.208258164,5362304.73470159,5498614.667452,5758905.21468799,5889928.34110781,6206160.23906105
"Total Number Increase","Neonatal Female",-468456.146212172,70359.006231359,-537074.741526906,-517945.574917377,-487408.384519697,-448523.592424121,-328827.446944716
"Total Number Increase","Neonatal Male",459857.902129895,109395.796519296,325253.134650815,377298.408456943,438883.42083924,544815.714450416,660207.521102783
"Total Number Increase","Neonatal Combined",-8598.24408227657,137489.613258357,-211821.606876091,-128111.246055331,7147.31397990626,100229.251032168,188863.901219213
