"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",7615820.86376644,23637.4531916519,7584760.65242351,7605203.02444167,7609547.26123675,7626256.59611736,7666550.89610692
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",330717.640408629,3916.99776152236,324800.63869688,328424.276885579,329613.678808337,333978.057237219,337268.945270035
"Num Offtake","Juvenile Male",1033284.97099515,11511.2897705431,1018265.50812938,1025884.37063236,1032863.38179724,1036752.75317477,1060350.10025672
"Num Offtake","Juvenile Combined",1364002.61140377,12923.427378085,1350799.38510284,1354995.07617565,1362318.98604655,1365559.48076779,1395398.02167725
"Num Offtake","Adult Female",2045519.9049398,6808.09798823583,2035451.71118377,2039479.18101273,2046719.42084638,2049543.64118669,2055040.58056657
"Num Offtake","Adult Male",4206298.34742286,9535.65422543231,4194330.42787119,4201871.54381518,4204126.41746906,4210493.21772192,4222067.33991992
"Cml Pop Growth","Overall",-1278644.21047175,323667.257979614,-1758146.41567772,-1560256.62271505,-1298321.43462212,-1028334.9878505,-852019.952908322
"Cml Pop Growth","Neonatal Female",-432827.93063798,110394.388373879,-605365.645187338,-517349.852016589,-418268.960919679,-360435.022541309,-247953.270259815
"Cml Pop Growth","Neonatal Male",436650.373991165,55693.0504089067,347101.432257495,420085.07322288,433062.453315163,484701.832462504,505081.546094921
"Cml Pop Growth","Neonatal Combined",3822.44335318427,152864.113036137,-185280.766148459,-109068.587223646,-20802.1556599208,128243.535187485,249817.407093848
"Cml Pop Growth","Juvenile Female",-122186.840867302,63219.5912584133,-215283.908228314,-161375.163060589,-120067.053118293,-76552.2615022727,-26303.9296139781
"Cml Pop Growth","Juvenile Male",262255.330987515,36508.1734577138,210242.938459246,246513.523562166,257399.399203135,270875.069449863,351314.998799725
"Cml Pop Growth","Juvenile Combined",140068.490120214,88102.2826215482,33743.6581295291,76414.5627499713,122284.218957446,193180.995458431,301889.162473163
"Cml Pop Growth","Adult Female",-79273.416774825,122566.161066885,-251073.771505058,-171066.312777176,-57633.9251466328,8370.9656961984,66163.36237517
"Cml Pop Growth","Adult Male",-1343261.72717032,31822.3964878084,-1376851.45553617,-1361322.67335061,-1347975.32987523,-1338881.54268528,-1260854.89162774
"Total Number Increase","Overall",6337176.65329468,338921.021716322,5826614.23674579,6048887.17903475,6327211.87543018,6570129.62066436,6814530.9431986
"Total Number Increase","Neonatal Female",-432827.93063798,110394.388373879,-605365.645187338,-517349.852016589,-418268.960919679,-360435.022541309,-247953.270259815
"Total Number Increase","Neonatal Male",436650.373991165,55693.0504089067,347101.432257495,420085.07322288,433062.453315163,484701.832462504,505081.546094921
"Total Number Increase","Neonatal Combined",3822.44335318427,152864.113036137,-185280.766148459,-109068.587223646,-20802.1556599208,128243.535187485,249817.407093848
"Total Number Increase","Juvenile Female",208530.799541327,66253.9690639277,112084.746646209,167873.179439845,212719.569223008,252060.954159189,310965.015656057
"Total Number Increase","Juvenile Male",1295540.30198266,45898.8266951373,1240707.52360544,1270338.90941706,1294859.45685806,1297923.63165109,1411665.09905645
"Total Number Increase","Juvenile Combined",1504071.10152399,97603.1665814444,1384543.04323237,1438022.35458127,1479884.17900161,1549179.89151262,1697287.18415041
"Total Number Increase","Adult Female",1966246.48816497,129041.468061216,1784377.93967871,1869624.8553326,1986985.40903678,2056703.59494973,2120787.1328997
"Total Number Increase","Adult Male",2863036.62025254,38468.7909761285,2828167.42592851,2837601.48260344,2856833.07209671,2871853.30090057,2960391.751297
"Total Mortality","Overall",3987066.65612001,203556.100693171,3548175.0930201,3876534.81304631,4037285.30899131,4139079.01540146,4198878.82298943
"Total Mortality","Neonatal Female",1172608.89273955,142807.937898313,867740.615483372,1156992.1907056,1210720.04471728,1266342.40004014,1320584.56432225
"Total Mortality","Neonatal Male",1023815.03507241,110396.594928444,869585.524202748,924334.671912137,1079379.21739121,1084548.92482147,1182971.8029957
"Total Mortality","Neonatal Combined",2196423.92781196,193960.895148677,1754056.92375029,2093690.0849922,2255909.88846809,2331997.541729,2391025.01933772
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",1373409.59936966,93325.1210642452,1223996.84349742,1319291.65992239,1363559.85805914,1458810.62564206,1498535.10451213
"Total Mortality","Adult Male",417233.128938396,14846.3654402586,394025.099990965,408356.785725805,418513.245324828,420884.986739484,450070.622012905
"Value of Total Mortality","Overall",6840274608.99519,282236866.228201,6387708144.59343,6618663984.08676,6843929866.98235,7099475486.77306,7182901740.71744
"Value of Total Mortality","Neonatal Female",1217469687.81267,148271377.30811,900937987.743512,1201255533.65808,1257038867.77353,1314789181.61612,1371106502.10014
"Value of Total Mortality","Neonatal Male",1066836215.68222,115035510.832612,906125909.536851,963175641.718192,1124735230.60366,1130122171.52771,1232680824.49818
"Value of Total Mortality","Neonatal Combined",2284305903.49489,201666877.158398,1824497716.61782,2177233821.224,2345985134.27285,2425390695.60782,2486950838.36861
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",3239880250.04617,220154436.599241,2887414796.85755,3112215754.85925,3216644660.05564,3441341706.61429,3535051954.88514
"Value of Total Mortality","Adult Male",1316088455.45414,46830246.2249171,1242882813.68433,1288089593.3828,1320126357.24326,1327607598.01408,1419668546.64052
"Population Liveweight (kg)","Overall",594406533.569173,13210353.9811522,571705008.892143,588039836.953119,595473919.793895,601290807.747607,613478245.806171
