"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1695648.75246645,13185.9524208004,1678887.73391234,1686942.95134032,1692532.04718329,1701766.90656307,1718036.24352326
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",29356.3871886291,682.538059921545,28057.2490018721,29055.4822008125,29422.2492120154,29736.961189461,30283.1983027989
"Num Offtake","Juvenile Male",128469.844581599,4006.9791238738,123453.796489471,126080.982565404,127693.387627081,130216.280068629,136480.307019514
"Num Offtake","Juvenile Combined",157826.231770228,4612.00765842523,151511.045491343,154832.196900612,156994.040273474,159953.24125809,166763.505322313
"Num Offtake","Adult Female",196683.256401351,404.229121500266,196149.046873217,196311.482369027,196686.810044963,196974.619806544,197330.720354315
"Num Offtake","Adult Male",1341139.26429487,9085.92326923255,1329576.17480053,1335044.49507169,1339261.26091518,1346291.20288004,1355625.00156907
"Cml Pop Growth","Overall",1610053.59259659,332183.667946357,957664.03990759,1477838.12504007,1564130.73128308,1746156.64767962,2265129.70784528
"Cml Pop Growth","Neonatal Female",-323154.637585906,82607.4042334334,-424486.531934016,-361233.968388995,-343982.803714386,-295643.053759326,-156859.747314525
"Cml Pop Growth","Neonatal Male",242192.735851795,82607.4042334333,140860.841503686,204113.405048707,221364.569723315,269704.319678376,408487.626123176
"Cml Pop Growth","Neonatal Combined",-80961.9017341111,165214.808466867,-283625.69043033,-157120.563340289,-122618.233991071,-25938.7340809506,251627.878808651
"Cml Pop Growth","Juvenile Female",-149998.194552489,59063.5043577635,-271298.886574988,-169973.034266853,-153915.309602813,-130051.658936461,-36493.0899834307
"Cml Pop Growth","Juvenile Male",220749.207932308,69223.4983863028,86344.8559146714,182083.995762533,222298.724350492,260812.069838896,317745.87497777
"Cml Pop Growth","Juvenile Combined",70751.0133798185,125035.071301563,-184954.030660317,13390.381958306,60117.1312599739,130760.410902435,267951.923540143
"Cml Pop Growth","Adult Female",1070575.97915126,48942.7840762321,956008.38963449,1055956.54153446,1069184.8683499,1103084.50436769,1133104.2873347
"Cml Pop Growth","Adult Male",549688.501799622,70748.9990916792,457105.419374981,512600.469040183,519421.327603149,589275.317707973,684847.599979383
"Total Number Increase","Overall",3305702.34506304,341888.69972936,2636551.77381993,3169497.79235634,3247991.41129423,3457664.93214062,3980563.07727535
"Total Number Increase","Neonatal Female",-323154.637585906,82607.4042334334,-424486.531934016,-361233.968388995,-343982.803714386,-295643.053759326,-156859.747314525
"Total Number Increase","Neonatal Male",242192.735851795,82607.4042334333,140860.841503686,204113.405048707,221364.569723315,269704.319678376,408487.626123176
"Total Number Increase","Neonatal Combined",-80961.9017341111,165214.808466867,-283625.69043033,-157120.563340289,-122618.233991071,-25938.7340809506,251627.878808651
"Total Number Increase","Juvenile Female",-120641.80736386,59672.6783214834,-243241.637573116,-140797.233093981,-124493.060390798,-100337.661451288,-6386.03810147117
"Total Number Increase","Juvenile Male",349219.052513907,72769.6140170094,209798.652404142,308631.209145905,348171.736269958,390175.707202895,454226.181997285
"Total Number Increase","Juvenile Combined",228577.245150047,129114.846916133,-33442.9851689741,167779.26061986,217111.171533448,289838.045751607,431164.345437528
"Total Number Increase","Adult Female",1267259.23555261,49163.1806503185,1152157.43650771,1252987.08219784,1265640.10735118,1299701.41465496,1329970.75540385
"Total Number Increase","Adult Male",1890827.76609449,78978.4402068936,1788333.06092276,1844866.36886486,1859303.18412176,1934204.76425944,2039253.87011119
"Total Mortality","Overall",3403013.32955539,135637.306378526,3233497.38051463,3282872.26306281,3429199.90774113,3501365.39020976,3601563.96082871
"Total Mortality","Neonatal Female",1095073.48061164,46244.2728214479,1010772.68178001,1071511.70717913,1088742.74801109,1116540.97321629,1167206.48844665
"Total Mortality","Neonatal Male",948501.939350015,46244.2728214477,864201.140518383,924940.1659175,942171.206749466,969969.431954663,1020634.94718502
"Total Mortality","Neonatal Combined",2043575.41996166,92488.5456428956,1874973.82229839,1996451.87309663,2030913.95476056,2086510.40517095,2187841.43563166
"Total Mortality","Juvenile Female",313784.461677069,44977.0662464678,242293.778115783,294037.804772497,316035.930112453,336999.582946511,386456.253713569
"Total Mortality","Juvenile Male",219622.412126152,25194.2734281962,187201.883444203,201023.753700174,219233.821124637,231249.644371057,274611.076009798
"Total Mortality","Juvenile Combined",533406.873803221,49303.7245388739,443064.05353663,497881.056456251,547696.633291576,573613.610640692,580960.048658652
"Total Mortality","Adult Female",575694.725525017,43716.5579262065,502046.245415587,545321.333408824,570437.205805673,613937.928225145,638859.836485941
"Total Mortality","Adult Male",250336.310265491,27545.1794562988,216051.173516436,228819.232489335,242071.443649703,272506.77212048,296880.61151109
"Value of Total Mortality","Overall",5294238749.00344,186877927.709379,5027946589.78482,5125476073.48832,5376680786.69201,5442416189.78191,5508353858.23754
"Value of Total Mortality","Neonatal Female",1261710980.83236,53281270.9397721,1164582116.45752,1234563808.70736,1254416899.67685,1286445185.09333,1344820479.58038
"Value of Total Mortality","Neonatal Male",1014226705.54052,49448688.0079075,924084431.786152,989032260.644049,1007457296.00878,1037181750.11908,1091358042.71771
"Value of Total Mortality","Neonatal Combined",2275937686.37288,102729958.94768,2088666548.24367,2223596069.35141,2261874195.68563,2323626935.21241,2436178522.2981
"Value of Total Mortality","Juvenile Female",549574670.595342,78774634.7752113,424363024.808802,514989585.006057,553517982.565345,590234563.555927,676854957.058779
"Value of Total Mortality","Juvenile Male",530732566.735539,60883683.3824726,452386143.728354,485787637.715331,529793510.026127,558830567.998836,663616430.644483
"Value of Total Mortality","Juvenile Combined",1080307237.33088,94616124.6368704,909538114.940774,1004416455.26533,1112979971.937,1151037822.95391,1200168288.02735
"Value of Total Mortality","Adult Female",1095997674.17417,83226827.8406186,955786969.911102,1038173334.91908,1085988498.94841,1168804422.87955,1216250321.33711
"Value of Total Mortality","Adult Male",841996151.125502,92647107.643585,726679467.129881,769624321.997809,814197603.353192,916565611.427837,998546043.804105
"Population Liveweight (kg)","Overall",511887413.886901,12803183.6557238,495883285.736109,504007074.511685,507505550.553328,521164048.271099,531842097.890406
"Population Liveweight (kg)","Neonatal Female",16978320.857998,2118387.20246561,14320043.054043,15328606.8297761,16755696.5038093,18773738.9519665,20011075.6409186
"Population Liveweight (kg)","Neonatal Male",15949476.3242914,3042114.58811068,11673665.2932053,13258304.9415808,16640445.1514288,18039492.7228729,21081053.0442913
"Population Liveweight (kg)","Juvenile Female",26572254.2506062,1478538.57660485,24688403.6971883,25511997.7760905,26065033.4243988,27644321.4511157,29517412.4947436
"Population Liveweight (kg)","Juvenile Male",22645775.5990939,1295500.73230217,19894192.3748289,22376351.6223029,22689576.6273625,23471152.7233674,24396016.7851644
"Population Liveweight (kg)","Juvenile Combined",49218029.8497001,2578449.65858514,44582596.0720173,47787768.8960393,49104539.4714595,50646814.873769,53329113.0897334
"Population Liveweight (kg)","Adult Female",303514283.816554,6072948.30170482,293779352.956603,300698123.163397,304122601.591857,305837644.138289,313681515.507566
"Population Liveweight (kg)","Adult Male",126227303.038357,12763294.6956139,113708245.110027,118135853.419458,120943656.852894,134599094.887047,152595829.918599
"Offtake Liveweight (kg)","Overall",46520058.2411023,6337814.316491,39747807.3500329,42127835.5064939,44203316.2342889,50152458.9615514,57297682.1615901
"Offtake Liveweight (kg)","Juvenile Female",558498.256545505,22438.4245659513,523506.816946871,544419.428897282,555892.378150776,571817.360646468,598121.064877812
"Offtake Liveweight (kg)","Juvenile Male",2472317.19743629,101291.494979841,2347493.52984532,2383664.70366869,2470774.52926086,2518513.88119498,2659084.29357169
"Offtake Liveweight (kg)","Adult Female",5840315.4856975,152488.620580511,5574251.43698409,5793707.62140718,5859799.22346282,5949477.7396652,6052534.54643735
"Offtake Liveweight (kg)","Adult Male",37648927.3014231,6369842.26155694,30761089.0356768,32972042.3749014,35458301.5312025,41639146.0499157,48184830.4088657
"Meat (kg)","Overall",19538424.461263,2661882.01292622,16694079.0870138,17693690.9127274,18565392.8184013,21064032.7638516,24065026.5078678
"Manure","Overall",1814201226.79512,33896254.5873912,1774474313.04741,1795613846.93922,1805273924.03837,1839358644.6396,1873192258.97678
"Manure","Neonatal Female",54890203.7835228,3720125.37875687,50182684.5084253,52627075.2724807,54195036.5918564,56725911.0933061,62373968.7243237
"Manure","Neonatal Male",49908907.6649406,3870787.49696139,42537279.4929044,48218375.0387888,50616217.2406309,52831142.7576833,54413856.0173685
"Manure","Neonatal Combined",104799111.448463,6322406.17207488,93615062.5700185,101920397.008872,104732744.472782,108276654.283809,115371062.56945
"Manure","Juvenile Female",105397992.83483,7562243.88400836,95013995.6569043,99736807.5758488,104691891.479498,110852357.515964,117619872.556473
