"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1694250.4195068,10959.6660881474,1679162.78911975,1686498.7765407,1695603.38951208,1702821.83603746,1709716.21366279
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",29381.7867582505,519.054740126405,28550.0640626536,29007.7071232229,29493.767952537,29669.5003212191,30273.0260296075
"Num Offtake","Juvenile Male",128413.415840122,3381.18959097375,122305.449006653,126884.748024281,129080.736497857,131255.78090683,131907.358864159
"Num Offtake","Juvenile Combined",157795.202598373,3870.15706402076,150855.513069307,155924.395820982,158601.12002775,160864.252414156,162180.384893766
"Num Offtake","Adult Female",196887.186022183,356.508628288952,196356.277616917,196624.09190157,196914.139325465,197135.960418624,197390.331508279
"Num Offtake","Adult Male",1339568.03088624,8072.11621412726,1329765.37139288,1332607.55149849,1338742.04374909,1346323.66549514,1351751.580086
"Cml Pop Growth","Overall",1564006.23108354,314490.407670155,1100484.48401381,1413199.81523316,1541465.41415505,1796796.50161194,2014635.14956661
"Cml Pop Growth","Neonatal Female",-336065.608993968,101485.387955079,-536025.393405347,-369695.332819217,-348054.128253498,-250947.89549935,-207173.374420088
"Cml Pop Growth","Neonatal Male",229281.764443733,101485.387955079,29321.9800323546,195652.040618484,217293.245184203,314399.477938352,358173.999017614
"Cml Pop Growth","Neonatal Combined",-106783.844550235,202970.775910158,-506703.413372993,-174043.292200733,-130760.883069295,63451.5824390017,151000.624597526
"Cml Pop Growth","Juvenile Female",-167685.317866357,54462.2790420357,-261450.440612967,-200055.596931441,-171047.02659465,-133326.945818046,-86966.5640720678
"Cml Pop Growth","Juvenile Male",207355.897007341,54492.3730587602,109876.547937288,168018.765520505,209991.301016856,255945.495463331,274064.998409377
"Cml Pop Growth","Juvenile Combined",39670.579140984,107725.046530547,-151573.892675679,-34055.618795056,38944.2744222055,122618.549645285,187098.434337309
"Cml Pop Growth","Adult Female",1096088.44345386,44810.7266758609,1009983.66450335,1069324.20503308,1093840.50816681,1120492.12188823,1162273.09377433
