"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1688137.02275111,6552.91677664756,1677393.94135118,1683001.35733641,1688845.14385929,1692946.72735427,1697167.78453811
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",29112.6617380408,488.411294475739,28227.2560189556,28986.5260731645,29113.5138279752,29513.1488132259,29638.5770970247
"Num Offtake","Juvenile Male",126314.978982482,2129.76371380801,122500.846356593,124799.051423787,126941.898659324,127871.203630986,129014.023364079
"Num Offtake","Juvenile Combined",155427.640720523,2522.75230764159,150916.286423333,153938.032097825,156222.462884928,157380.295833323,158122.572760743
"Num Offtake","Adult Female",197098.830268534,461.498349035338,196441.72103728,196761.615470666,197028.444524867,197490.769866999,197827.94916612
"Num Offtake","Adult Male",1335610.55176205,4677.39531727147,1328188.83917175,1332728.46713227,1334988.12616282,1339172.58193873,1342582.18441481
"Cml Pop Growth","Overall",1546440.68692805,222832.123055717,1193669.41371627,1396053.22659916,1596980.99905537,1698659.39704278,1871814.21688861
"Cml Pop Growth","Neonatal Female",-313309.363444024,51878.9925301298,-411746.668926188,-341483.848537848,-317949.157886404,-281109.405897924,-240630.093224281
"Cml Pop Growth","Neonatal Male",252038.009993677,51878.9925301297,153600.704511514,223863.524899854,247398.215551298,284237.967539778,324717.280213421
"Cml Pop Growth","Neonatal Combined",-61271.3534503471,103757.98506026,-258145.964414674,-117620.323637993,-70550.9423351054,3128.56164185359,84087.1869891398
"Cml Pop Growth","Juvenile Female",-177472.328402682,46396.9476394164,-264930.67533196,-201874.514711602,-180041.935969911,-147072.283584426,-109007.037790465
"Cml Pop Growth","Juvenile Male",198669.156363034,60508.8743592781,107434.751336562,172575.552280197,204380.042749904,227163.145145423,305156.807728175
"Cml Pop Growth","Juvenile Combined",21196.8279603513,104758.431739344,-157495.923995398,-29298.9624314044,29063.4151205262,91736.5055992722,196149.76993771
"Cml Pop Growth","Adult Female",1082491.19386053,69694.837818879,1006472.90465569,1022139.08606717,1057993.54745957,1158543.56493911,1170726.27463527
"Cml Pop Growth","Adult Male",504024.018557515,41795.2101033831,446482.830028689,468318.900488006,508437.13535004,542911.911475832,552667.517640449
"Total Number Increase","Overall",3234577.70967916,227087.521913841,2874942.05257445,3084813.82759877,3284261.86200002,3392363.30724525,3566052.70786556
"Total Number Increase","Neonatal Female",-313309.363444024,51878.9925301298,-411746.668926188,-341483.848537848,-317949.157886404,-281109.405897924,-240630.093224281
"Total Number Increase","Neonatal Male",252038.009993677,51878.9925301297,153600.704511514,223863.524899854,247398.215551298,284237.967539778,324717.280213421
"Total Number Increase","Neonatal Combined",-61271.3534503471,103757.98506026,-258145.964414674,-117620.323637993,-70550.9423351054,3128.56164185359,84087.1869891398
"Total Number Increase","Juvenile Female",-148359.666664641,46666.6019974251,-236515.23526522,-172741.649900597,-151439.284334734,-117482.236179373,-79961.3301870792
"Total Number Increase","Juvenile Male",324984.135345516,62183.1730579339,229935.597693154,298562.430055781,331353.978071755,354521.287025301,434170.831092254
"Total Number Increase","Juvenile Combined",176624.468680874,106755.268298636,-6579.63757206567,125820.780155184,183574.140793674,249011.140263449,354209.500905175
"Total Number Increase","Adult Female",1279590.02412907,70100.5555390429,1203016.19825889,1219022.21364272,1254848.3931487,1356223.24157729,1368256.59512067
"Total Number Increase","Adult Male",1839634.57031957,45740.1495834384,1775424.92039759,1802864.27849215,1842341.46380004,1882466.07153114,1895249.70205526
"Total Mortality","Overall",3284784.46745708,102931.911526385,3084622.57405736,3235752.32856728,3271730.6193617,3372876.44605845,3419598.75215428
"Total Mortality","Neonatal Female",1068274.45997432,32139.0020236086,1004925.15103016,1046471.96309,1077710.78044651,1090507.67869263,1108804.08796235
"Total Mortality","Neonatal Male",921702.918712689,32139.0020236086,858353.609768531,899900.421828378,931139.239184881,943936.137431002,962232.546700726
"Total Mortality","Neonatal Combined",1989977.37868701,64278.0040472173,1863278.76079869,1946372.38491838,2008850.01963139,2034443.81612363,2071036.63466308
"Total Mortality","Juvenile Female",289306.235644315,32795.0391999483,248708.183639065,266877.936721927,282629.059018747,314417.054158783,343402.249740891
"Total Mortality","Juvenile Male",203203.125554131,33547.1636012869,163908.338181296,177467.962895562,203377.427905841,221970.545876644,272233.329425215
"Total Mortality","Juvenile Combined",492509.361198447,39653.4401360168,425057.962583178,460142.328007919,500530.46309416,519965.560684013,541187.238852122
"Total Mortality","Adult Female",536682.648183158,55360.824665018,439152.919215491,507451.96137351,523044.845319549,582614.270649606,623208.620313086
"Total Mortality","Adult Male",265615.079388468,23680.0315652591,233993.287395417,247819.990113855,262510.292953964,286104.576225346,300117.048922605
"Population Liveweight (kg)","Overall",513168503.260659,35539008.2936978,468184224.47944,488761125.74247,503647836.761957,534522045.264746,583482058.022002
"Population Liveweight (kg)","Neonatal Female",20620904.8915869,3388603.35030801,13488590.0284604,19278215.634251,20478822.9854616,23396563.3102759,24645846.3646834
"Population Liveweight (kg)","Neonatal Male",16345753.2850463,3893361.62705832,9667907.42650194,14818953.1760398,17261809.668945,19335660.504742,20984589.0781473
"Population Liveweight (kg)","Juvenile Female",25540113.0530431,1040240.08628701,23068206.9295714,25361865.704647,25763416.5818036,26266841.2205175,26444230.2471512
"Population Liveweight (kg)","Juvenile Male",22187046.2074179,1289859.79428324,20284846.0430891,21633928.5405996,22099402.9639276,22805543.8157257,24716659.2714233
"Population Liveweight (kg)","Juvenile Combined",47727159.260461,2142291.57052294,43726025.5755617,47083722.2275653,48066571.9566684,48968183.9629016,50818477.0607919
"Population Liveweight (kg)","Adult Female",304519078.523938,5344203.88320782,297938057.887407,299899129.62449,304726581.817445,306557872.830805,314565808.767594
"Population Liveweight (kg)","Adult Male",123955607.299627,33963137.439958,78520034.977804,107983343.358431,111768146.557091,131481267.076805,189499157.454525
"Offtake Liveweight (kg)","Overall",46803826.9133327,6885916.58737872,39911566.00178,41208868.6226925,43855421.7285019,52352189.7760364,58536758.0107563
"Offtake Liveweight (kg)","Juvenile Female",554132.121034187,16598.7031802369,533696.720660628,537886.794985163,554041.832100704,568015.941486278,578943.840076231
"Offtake Liveweight (kg)","Juvenile Male",2436777.91935829,62072.8054701535,2347980.26351532,2390399.23759388,2436192.44527159,2475297.49844203,2525987.24394597
"Offtake Liveweight (kg)","Adult Female",5784517.87374591,117874.274646913,5582718.05324033,5721613.34294938,5807605.52038205,5884784.08362784,5915114.83075155
"Offtake Liveweight (kg)","Adult Male",38028398.9991943,6904300.31632602,30977534.5843626,32555719.150985,35105625.3909518,43600437.1977862,49882761.0814503
"Meat (kg)","Overall",19657607.3035997,2892084.96669906,16762857.7207476,17307724.8215309,18419277.1259708,21987919.7059353,24585438.3645176
"Manure","Overall",1720578647.95874,67381871.8096292,1635910045.37251,1661786390.68741,1719828833.39656,1774253805.64718,1831453999.52123
"Manure","Neonatal Female",53641611.1534958,3508401.69877547,47160167.3312956,51937261.8913025,53302902.2272131,55253860.3671779,59229886.8694186
"Manure","Neonatal Male",47682463.8784041,5214386.45610709,41000949.8182072,43302942.9405743,48363160.889981,50601468.996864,55193477.853745
"Manure","Neonatal Combined",101324075.0319,6628646.24134632,88161117.1495028,97358314.9272485,101171123.945963,107479016.362962,108407590.13641
"Manure","Juvenile Female",103821795.416325,6134521.38573209,94079233.6002265,100356129.333189,103508551.911571,105941346.752068,117435394.005957
"Manure","Juvenile Male",75908820.8638763,4822501.91821644,66129353.7436573,73865543.3782231,77465161.7833394,79089259.1753089,81986731.9324221
"Manure","Juvenile Combined",179730616.280202,7086076.54190108,171672101.31192,175960274.805767,179324248.584936,181356261.453285,196961378.757008
"Manure","Adult Female",1053355181.52797,51502700.2376778,1003008295.33181,1012259966.83119,1029370946.24705,1094137512.54433,1136051112.8327
"Manure","Adult Male",386168775.11867,27486669.6008695,349765631.697483,368093391.054865,378694146.477355,408047487.013259,428050537.706418
"Hides","Overall",647403.544385036,37710.8168129304,610671.906629336,620241.975127486,636115.390136572,661278.08107772,732256.454043907
"Hides","Juvenile Female",144653.117822158,16397.5195999742,124354.091819533,133438.968360964,141314.529509373,157208.527079391,171701.124870445
"Hides","Juvenile Male",101601.562777066,16773.5818006434,81954.1690906481,88733.9814477811,101688.713952921,110985.272938322,136116.664712607
"Hides","Juvenile Combined",246254.680599223,19826.7200680084,212528.981291589,230071.16400396,250265.23154708,259982.780342007,270593.619426061
"Hides","Adult Female",268341.324091579,27680.412332509,219576.459607745,253725.980686755,261522.422659774,291307.135324803,311604.310156543
"Hides","Adult Male",132807.539694234,11840.0157826296,116996.643697709,123909.995056928,131255.146476982,143052.288112673,150058.524461303
"Milk","Overall",0,0,0,0,0,0,0
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",2341448693.17601,64289855.1167533,2236262972.93217,2306697063.97104,2343745011.47099,2384332161.7415,2453060356.09628
"Cml Dry Matter","Neonatal Female",186354414.203256,11931947.4281561,173720195.444495,179562298.221551,182067169.903935,185421249.021716,210062483.506089
"Cml Dry Matter","Neonatal Male",161380692.462031,7164422.94238805,144900527.074433,158882436.58206,162905400.492499,165744830.891583,169192360.910395
"Cml Dry Matter","Neonatal Combined",347735106.665287,15838823.5213481,326579037.983941,339377795.071134,343705776.272055,350827704.229022,374540744.33872
"Cml Dry Matter","Juvenile Female",177170766.51611,6431619.788634,166755350.98961,172803153.470881,177232241.520842,179274501.224725,189349493.818434
"Cml Dry Matter","Juvenile Male",132769129.466304,7943289.51407207,119520874.513529,128747042.065704,130338718.216305,136379340.773591,147877944.54145
"Cml Dry Matter","Juvenile Combined",309939895.982414,9305459.07401814,296633626.399298,303297297.877821,308391392.291235,315290262.553058,327102063.518891
"Cml Dry Matter","Adult Female",1238293177.47791,50678587.8099424,1177824582.95498,1199465091.87099,1222452585.9217,1282506506.33712,1307526769.85605
"Cml Dry Matter","Adult Male",445480513.050398,14148911.5665805,426304175.880101,432820472.057417,446012340.980254,459318989.46956,462491982.95922
"Value of Offtake","Overall",4728145156.2086,393517970.809335,3974603605.14849,4626942855.09442,4828684130.1906,4895933638.92195,5188710556.14243
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",55536144.6549904,3900401.07053415,48903001.8075764,52630406.8352407,56376751.7553516,56935996.368065,62567508.919177
"Value of Offtake","Juvenile Male",229452559.351183,34071202.5003985,191184930.900699,202343446.819604,225997412.134698,240945906.457624,286139268.677202
"Value of Offtake","Juvenile Combined",284988704.006173,33194940.0990707,247612774.767562,257166794.614069,282127600.549361,293168531.524981,340168059.621138
"Value of Offtake","Adult Female",411758615.641105,31469021.416957,363126215.267871,388321262.822708,410941676.218365,440985263.921734,454212709.885038
"Value of Offtake","Adult Male",4031397836.56132,391964238.217262,3242896288.94262,3920276876.20537,4147010453.75283,4204279197.486,4527002791.76382
"Value of Herd Increase","Overall",3597978056.5818,352543285.553096,3050856625.20647,3334000872.25207,3658475731.16753,3711279554.29887,4258605564.11868
"Value of Herd Increase","Neonatal Female",-478518741.30341,72437652.2087303,-591248016.066326,-529525916.088145,-477032747.618835,-439255529.992781,-363337516.319592
"Value of Herd Increase","Neonatal Male",291822021.460754,67981738.0956512,173312144.886715,240660260.363713,295258909.927213,339050763.461759,386061375.154127
"Value of Herd Increase","Neonatal Combined",-186696719.842656,138408195.018082,-417935871.179611,-278132551.596436,-189769411.145392,-103572627.859199,22723858.8345351
"Value of Herd Increase","Juvenile Female",-339609783.017308,108437073.753773,-582179963.685642,-380780122.003766,-347184672.844852,-272279801.202596,-194217388.604858
"Value of Herd Increase","Juvenile Male",371012210.906951,103828455.39088,255351666.300318,295066214.691996,325795648.098602,456495308.383742,560109844.287322
