"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1694956.64389408,11710.6274401835,1674238.07871987,1686444.72484504,1696787.29564572,1702601.80828581,1713071.34501619
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",29401.3808511293,667.50176727279,28356.3626949263,29085.9736515387,29480.2512525065,29869.1582015048,30279.8574320275
"Num Offtake","Juvenile Male",128072.65872512,3456.38734618388,122060.887191974,125687.387631092,128949.015765921,130131.511374254,132793.289188343
"Num Offtake","Juvenile Combined",157474.03957625,4068.23305113197,150417.2498869,154495.287735593,158669.342473368,159728.149233811,163073.146620371
"Num Offtake","Adult Female",196578.340127273,656.550440971867,195593.181877329,196057.306208812,196643.352865288,197102.679077965,197398.692897942
"Num Offtake","Adult Male",1340904.26419056,7545.37099806311,1328103.4425349,1336085.29748662,1341246.52819071,1345953.23700503,1353823.82753956
"Cml Pop Growth","Overall",1695368.95932537,501856.409593093,1090274.38761673,1364385.40445337,1590634.47341943,2020940.3843783,2683000.95365179
"Cml Pop Growth","Neonatal Female",-272468.255003985,152625.53389826,-505884.138850536,-336746.88968132,-305586.128361623,-215490.49978357,31988.0987877857
"Cml Pop Growth","Neonatal Male",292879.118433716,152625.53389826,59463.2345871655,228600.483756382,259761.245076079,349856.873654132,597335.472225487
"Cml Pop Growth","Neonatal Combined",20410.8634297312,305251.06779652,-446420.90426337,-108146.405924938,-45824.8832855438,134366.373870563,629323.571013273
"Cml Pop Growth","Juvenile Female",-154791.927231903,69556.410138349,-240882.414291338,-213225.282209555,-163533.480552114,-110408.685179413,-25842.4708154763
"Cml Pop Growth","Juvenile Male",214877.042891266,64086.8374229381,138875.296705424,172716.120222507,197920.385511809,255262.718349036,345328.742497038
"Cml Pop Growth","Juvenile Combined",60085.1156593634,132554.887299102,-90656.5013944202,-53351.6205239446,33683.2916513379,149228.037524774,319486.271681562
"Cml Pop Growth","Adult Female",1079018.60393952,74894.574277468,970493.455787141,1018752.41182279,1080519.0443862,1142712.56965177,1174907.92969975
"Cml Pop Growth","Adult Male",535854.376296756,55034.0707990895,450817.452153979,490293.265256557,540275.489128948,581369.029111658,607739.807673655
