"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1690318.77760289,11157.4229221633,1658501.03609158,1682280.33235071,1690334.78524348,1698472.64420393,1736157.46943668
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",29246.4525282331,622.532801992993,27174.6648613045,28810.1128829607,29263.7849731893,29678.6263336335,31294.371013396
"Num Offtake","Juvenile Male",127295.166601912,3493.74211391438,116738.733106933,124868.329095605,127293.114873232,129667.887045145,140761.980978639
"Num Offtake","Juvenile Combined",156541.619130145,4059.98066664948,144528.600723689,153729.297266541,156557.287650213,159344.663545466,172056.351992035
"Num Offtake","Adult Female",196611.369550925,696.125292780446,194128.044846692,196132.817175502,196602.930078171,197092.474739211,198648.493909139
"Num Offtake","Adult Male",1337165.78892182,7562.08812957001,1317274.9537443,1331789.4487823,1337236.06934682,1342541.01565239,1365597.25165866
"Cml Pop Growth","Overall",1505113.60405696,371685.861466853,441374.636091746,1259762.40850379,1503660.95168312,1750781.45367944,2641823.17079246
"Cml Pop Growth","Neonatal Female",-335225.559643651,103091.821629461,-633354.603763346,-405988.229877154,-333963.076582779,-265985.208740439,-45428.6354017965
"Cml Pop Growth","Neonatal Male",230121.813794051,103091.821629461,-68007.2303256448,159359.143560548,231384.296854923,299362.164697262,519918.738035904
"Cml Pop Growth","Neonatal Combined",-105103.7458496,206183.643258922,-701361.834088991,-246629.086316606,-102578.779727856,33376.9559568231,474490.102634108
"Cml Pop Growth","Juvenile Female",-169298.341054558,63065.557145904,-347566.097580058,-210984.448922321,-168295.576635401,-125168.988522626,47783.7123583481
"Cml Pop Growth","Juvenile Male",199823.655878384,60022.3935067307,27038.2929094345,158886.942395484,201591.975905771,241533.860806501,405788.418140874
"Cml Pop Growth","Juvenile Combined",30525.3148238263,120919.364019404,-315204.571083548,-52206.4942577055,30857.1604434082,113426.410565667,424306.07397184
"Cml Pop Growth","Adult Female",1058556.15330775,80132.0959597287,805565.772534642,1005317.59309046,1057742.91208316,1111153.55360642,1356410.31938327
"Cml Pop Growth","Adult Male",521135.881774982,56974.6029195469,358799.208056736,480598.369300111,521679.101467683,560811.646805806,750799.076907055
"Total Number Increase","Overall",3195432.38165985,378258.471337694,2121915.46907851,2943518.688349,3197967.18711614,3442305.92597307,4377980.64022914
"Total Number Increase","Neonatal Female",-335225.559643651,103091.821629461,-633354.603763346,-405988.229877154,-333963.076582779,-265985.208740439,-45428.6354017965
"Total Number Increase","Neonatal Male",230121.813794051,103091.821629461,-68007.2303256448,159359.143560548,231384.296854923,299362.164697262,519918.738035904
