"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1691536.0002185,10799.3155823125,1655020.93007419,1684310.94263009,1692014.60126634,1698661.48177323,1724268.86469435
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",29282.2757946633,601.701291272543,27313.9618679049,28867.8174084054,29295.5944659666,29687.0112698391,31048.5653294741
"Num Offtake","Juvenile Male",127395.018357771,3360.90610584507,115223.623025779,125157.944652622,127533.15986078,129615.857367534,137937.985418234
"Num Offtake","Juvenile Combined",156677.294152435,3905.96558423265,142537.584893684,154083.679839498,156854.438727097,159291.894748497,168770.552635439
"Num Offtake","Adult Female",196635.221662049,638.094516439949,194766.944029472,196195.871903123,196633.546086749,197070.356002612,198495.981062492
"Num Offtake","Adult Male",1338223.48440401,7355.9789838549,1313238.57104751,1333524.28048357,1338301.82080143,1343189.70463369,1362713.68593086
"Cml Pop Growth","Overall",1505349.48432685,354348.35749529,296768.640909448,1275694.86911642,1525956.39946296,1736324.71855325,2543430.71895621
"Cml Pop Growth","Neonatal Female",-338616.870070486,101289.476166046,-703467.869857553,-406816.171269392,-337181.011025876,-272374.805808631,-12333.0587134925
"Cml Pop Growth","Neonatal Male",226730.503367215,101289.476166046,-138120.496419852,158531.20216831,228166.362411826,292972.56762907,553014.314724209
"Cml Pop Growth","Neonatal Combined",-111886.366703271,202578.952332091,-841588.366277405,-248284.969101082,-109014.64861405,20597.7618204388,540681.256010717
"Cml Pop Growth","Juvenile Female",-169169.727447539,59486.8529749303,-400264.314976734,-211876.39578574,-166614.671533699,-128375.530873361,-3942.88100386411
"Cml Pop Growth","Juvenile Male",198933.60531524,56868.6481877054,-13999.0760433757,161071.726931372,201630.939127462,236381.433250187,370672.64719262
"Cml Pop Growth","Juvenile Combined",29763.8778677013,114134.329501142,-414263.39102011,-46596.1227206313,33128.0892073825,108821.516157955,335671.623129705
"Cml Pop Growth","Adult Female",1060514.27629058,75222.3688558623,833700.275576171,1009109.82153608,1061983.95346387,1111161.38288037,1265041.16118588
"Cml Pop Growth","Adult Male",526957.696871843,55240.8226846816,331511.533448384,490687.014719712,526949.466045892,564641.481279257,711022.629827677
"Total Number Increase","Overall",3196885.48454535,360700.416137838,1954225.42295363,2961200.3215163,3219049.85989662,3427597.36724441,4247107.00819293
"Total Number Increase","Neonatal Female",-338616.870070486,101289.476166046,-703467.869857553,-406816.171269392,-337181.011025876,-272374.805808631,-12333.0587134925
"Total Number Increase","Neonatal Male",226730.503367215,101289.476166046,-138120.496419852,158531.20216831,228166.362411826,292972.56762907,553014.314724209
"Total Number Increase","Neonatal Combined",-111886.366703271,202578.952332091,-841588.366277405,-248284.969101082,-109014.64861405,20597.7618204388,540681.256010717
"Total Number Increase","Juvenile Female",-139887.451652876,59939.9394672871,-372487.038596661,-183103.107684857,-137284.696998084,-98728.2338462865,26828.2290835431
"Total Number Increase","Juvenile Male",326328.623673012,59432.1358536914,103667.458943766,286994.056357007,329195.152869141,366216.684764951,504534.549994637
"Total Number Increase","Juvenile Combined",186441.172020136,117105.120556399,-268819.579652895,107440.098574333,189151.652274646,268477.175609446,497417.176576911
"Total Number Increase","Adult Female",1257149.49795263,75747.0184233565,1029018.99573767,1205546.57600521,1258323.69380163,1307841.74417348,1463217.30195772
"Total Number Increase","Adult Male",1865181.18127585,61660.1713612698,1647750.63666088,1824295.56767518,1865180.51348098,1907135.51213878,2068159.96858767
"Total Mortality","Overall",3357843.96850616,114856.959812604,2995635.58070417,3279610.01925253,3359453.1685473,3432735.46134154,3729730.57030204
"Total Mortality","Neonatal Female",1079086.43776305,39105.6284941252,942828.407749889,1055877.93717096,1080863.0274195,1104763.54040628,1195694.51247887
"Total Mortality","Neonatal Male",932514.896501426,39105.6284941252,796256.866488263,909306.395909331,934291.486157877,958191.999144649,1049122.97121725
"Total Mortality","Neonatal Combined",2011601.33426448,78211.2569882503,1739085.27423815,1965184.33308029,2015154.51357738,2062955.53955092,2244817.48369612
"Total Mortality","Juvenile Female",294763.980080979,35515.407767573,206555.764241686,271080.826642914,292849.270397954,318881.620002421,424652.230256313
"Total Mortality","Juvenile Male",214749.346082492,26363.5793574532,144607.729644448,196340.481775561,214729.478341824,233009.275752821,330935.701237732
"Total Mortality","Juvenile Combined",509513.326163471,44035.7607749606,388942.813452237,480037.723801249,510477.373454551,537588.685362814,678008.445009494
"Total Mortality","Adult Female",578660.183391206,51039.3824279164,435269.48910721,544220.066199334,581242.312791675,611602.68387123,755486.528358637
"Total Mortality","Adult Male",258069.124687002,26939.9574612884,180349.805688346,238876.339000431,257594.347114081,275752.018966271,358349.62243285
"Value of Total Mortality","Overall",5580825374.83472,206377243.788115,4909275220.894,5444160673.33495,5586453122.14622,5715023263.92376,6279691749.20884
"Value of Total Mortality","Neonatal Female",1305296369.94863,47303379.1655804,1140474437.49877,1277222648.96144,1307445387.81068,1336356188.41922,1446349107.99321
"Value of Total Mortality","Neonatal Male",1130306257.50548,47400139.9403132,965147175.825316,1102175110.70559,1132459671.26138,1161429609.95929,1271647524.03264
"Value of Total Mortality","Neonatal Combined",2435602627.4541,94703519.1058936,2105621613.32409,2379397759.66703,2439905059.07206,2497785798.37851,2717996632.02585
"Value of Total Mortality","Juvenile Female",660447456.792715,79575736.2572111,462808342.938711,607383040.805712,656157362.934222,714485382.137538,951474754.19855
"Value of Total Mortality","Juvenile Male",561068052.296019,68879195.170894,377811521.65834,512971860.945085,561016144.549786,608775127.367896,864624049.925382
"Value of Total Mortality","Juvenile Combined",1221515509.08873,104765228.310597,928151197.894727,1154772415.98929,1223275062.54315,1291345914.69366,1642274395.4091
"Value of Total Mortality","Adult Female",1222973517.29987,107869549.072608,919923425.432713,1150185804.46377,1228430737.21175,1292596081.34878,1596688425.05238
"Value of Total Mortality","Adult Male",700733720.992014,73149923.1382715,489702867.684995,648619652.148386,699444559.97471,748747989.732024,973024822.895841
"Population Liveweight (kg)","Overall",511372962.488096,29466250.9772043,418468155.979029,491694539.970587,510899714.097524,531197556.097818,601068211.045109
"Population Liveweight (kg)","Neonatal Female",16793790.3753638,2973419.72466578,6642520.72198467,14821040.1810523,16958266.7843616,18985468.3310475,24036785.9636184
"Population Liveweight (kg)","Neonatal Male",16460373.5198913,3075335.7471335,7378000.47279213,14212197.3275951,16579738.5780901,18672720.1617112,25494262.1320691
"Population Liveweight (kg)","Juvenile Female",25928200.1719452,1283330.57950599,21489207.3663541,25048238.5263013,25950129.1143802,26826432.9369592,29392006.5466176
"Population Liveweight (kg)","Juvenile Male",21330142.4132569,1154869.72831034,17119610.1841144,20570948.1936993,21344503.3040036,22157612.1919315,24744806.8380199
"Population Liveweight (kg)","Juvenile Combined",47258342.585202,2250871.50995717,38608817.5504685,45781351.6062932,47337537.0770673,48842380.5535227,53409525.8246127
"Population Liveweight (kg)","Adult Female",306133961.204998,7799235.8990402,283046249.060768,301126566.345832,306032086.873867,311091359.735991,327417203.947689
"Population Liveweight (kg)","Adult Male",124726494.80264,27395039.5524165,29059626.7397327,106034172.901579,124803383.565266,142396924.672347,217642248.791673
"Offtake Liveweight (kg)","Overall",50824307.0867551,9276369.55026939,24080406.0232356,44669066.9694717,50540924.038612,57065343.4449436,77732585.7936877
"Offtake Liveweight (kg)","Juvenile Female",558877.550644888,18145.5438644761,496042.252317349,546857.336151719,558921.629019105,570546.646590464,622078.44041678
"Offtake Liveweight (kg)","Juvenile Male",2330650.00663554,87315.5129025485,2035161.29224708,2273670.36978987,2329847.59263754,2388766.84065846,2639006.81333174
"Offtake Liveweight (kg)","Adult Female",5821733.53784146,132658.150598122,5398177.23693366,5736685.18523528,5822099.77113788,5909280.33784038,6248061.43098294
"Offtake Liveweight (kg)","Adult Male",42113045.9916332,9279301.472612,15415340.7418523,35910354.4697561,41870621.5872869,48450624.2133057,68838483.0807423
"Meat (kg)","Overall",21346208.9764371,3896075.21111314,10113770.529759,18761008.1271781,21227188.096217,23967444.2468763,32647686.0333489
"Manure","Overall",1751144557.28099,66766112.4736691,1542956760.14677,1703583415.66572,1749017735.32303,1796735526.79676,1957504646.67886
"Manure","Neonatal Female",54548638.9171941,4087851.7630674,42944591.2097814,51744215.8685398,54500138.8350275,57308945.703079,71348388.2295374
"Manure","Neonatal Male",48645649.9794332,3788891.31208147,37756708.7559418,46000609.5591049,48514491.2170409,51315396.6641191,60993098.5397687
"Manure","Neonatal Combined",103194288.896627,6287695.94554919,85461921.2076317,99020527.0297769,102915496.480251,107205422.63595,124782253.138086
"Manure","Juvenile Female",104277340.851138,6199424.11628382,85448879.9370132,99598200.3524065,104381002.906505,108547901.071713,123547121.579509
"Manure","Juvenile Male",77654083.6379596,4821462.40777088,61095179.9093964,74417587.8134323,77710456.9324205,80721586.2349094,94812277.9718921
"Manure","Juvenile Combined",181931424.489098,8423943.24921835,152861157.945493,175770274.303189,181894638.16901,187683302.454506,206365364.957242
"Manure","Adult Female",1070059853.3082,61397723.9530349,894148778.516674,1027552273.68413,1066830980.64471,1113034446.5519,1264116977.40211
