"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1705190.69770449,10093.4286048556,1681020.60561065,1704322.13965516,1707052.02126547,1707570.29526948,1720903.98080629
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",30109.5620073364,395.817934084949,29486.3369071926,29875.1294316555,30056.9850789728,30245.776937537,30762.3472551703
"Num Offtake","Juvenile Male",130527.293181003,2141.19459137178,127023.098207114,129358.454443956,130341.559378826,131480.86127496,134100.399662894
"Num Offtake","Juvenile Combined",160636.855188339,2521.7599659471,156509.435114307,159322.954701398,160369.771808237,161647.631542923,164862.746918064
"Num Offtake","Adult Female",197173.76667631,961.93961337549,195579.894124683,196681.085115196,197430.1634112,197602.477571055,198627.109825409
"Num Offtake","Adult Male",1347380.07583984,7447.73137971852,1328773.20338445,1346318.19104529,1348617.63004564,1350209.64258384,1357414.12406282
"Cml Pop Growth","Overall",1817518.81454064,255198.708651244,1333591.57834389,1729741.07706565,1881549.54902388,1999045.21415828,2096003.25665338
"Cml Pop Growth","Neonatal Female",-307921.362726547,64944.8749682241,-385345.808420244,-349178.220110505,-321285.039909197,-289725.228833363,-192090.387711042
"Cml Pop Growth","Neonatal Male",257426.010711154,64944.8749682241,180001.565017458,216169.153327197,244062.333528505,275622.144604339,373256.985726659
"Cml Pop Growth","Neonatal Combined",-50495.3520153931,129889.749936448,-205344.243402786,-133009.066783308,-77222.7063806915,-14103.0842290235,181166.598015617
"Cml Pop Growth","Juvenile Female",-105988.125520708,49441.5547470567,-180735.276255495,-144333.064289118,-95034.5762147385,-76678.7590319016,-36314.3102107879
"Cml Pop Growth","Juvenile Male",242683.753236899,52776.4532681134,169867.512909925,193639.823080805,243198.211198623,291709.605273004,311582.605733244
"Cml Pop Growth","Juvenile Combined",136695.627716192,101552.095329173,-10867.7633455698,48445.9599559116,148992.467593409,214770.215555182,275268.295522456
"Cml Pop Growth","Adult Female",1140700.3274907,104543.913276834,980009.747017719,1056137.76115818,1154060.39199906,1202123.13091948,1301445.54620169
"Cml Pop Growth","Adult Male",590618.211349141,59022.280442448,463963.007961328,570055.437768062,591688.481587371,607890.694511061,688577.791179924
"Total Number Increase","Overall",3522709.51224513,262256.682529009,3014612.18395454,3437301.08267141,3588622.14961679,3702214.76536728,3816907.23745967
"Total Number Increase","Neonatal Female",-307921.362726547,64944.8749682241,-385345.808420244,-349178.220110505,-321285.039909197,-289725.228833363,-192090.387711042
"Total Number Increase","Neonatal Male",257426.010711154,64944.8749682241,180001.565017458,216169.153327197,244062.333528505,275622.144604339,373256.985726659
"Total Number Increase","Neonatal Combined",-50495.3520153931,129889.749936448,-205344.243402786,-133009.066783308,-77222.7063806915,-14103.0842290235,181166.598015617
"Total Number Increase","Juvenile Female",-75878.5635133714,49781.6732721049,-151248.939348302,-114368.564031677,-64868.7994053597,-46517.1682348296,-5614.06718197661
"Total Number Increase","Juvenile Male",373211.046417902,54689.111297775,296890.611117039,322362.403571365,373958.271420256,422887.090802117,444873.349250903
"Total Number Increase","Juvenile Combined",297332.482904531,103853.532532225,145641.671768737,207768.914657309,309981.907343514,375429.447652667,439259.282068926
"Total Number Increase","Adult Female",1337874.09416701,105450.495983501,1175747.71412961,1252223.19011361,1351403.34023973,1399970.46330871,1500072.6560271
"Total Number Increase","Adult Male",1937998.28718898,65649.9024497123,1792736.21134578,1919863.51040484,1937700.48508587,1957569.32848815,2045991.91524274
"Total Mortality","Overall",3077941.85355217,86943.3754049375,2953075.87751394,3011107.25128562,3074703.42511415,3145292.34769389,3199577.35492696
"Total Mortality","Neonatal Female",1077469.02486725,29944.9409881545,1030070.9423496,1056429.98421608,1079166.55364648,1091936.48951746,1124223.82083348
