"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1696363.71924203,10705.5461371487,1657522.51177573,1689351.65044356,1696115.96428523,1703600.2913639,1731040.3401642
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",29323.3998551482,602.843190960039,27306.8151269703,28932.7745638283,29340.6672901748,29752.380414214,31022.1934392759
"Num Offtake","Juvenile Male",127778.461117807,3371.94213772407,117162.978460211,125547.87076305,127828.42022016,130068.288596197,138000.463023777
"Num Offtake","Juvenile Combined",157101.860972955,3916.20647528666,144483.690478302,154537.350365641,157152.28527863,159803.394864949,168839.954396662
"Num Offtake","Adult Female",200384.519508591,373.946903148637,199007.061248024,200140.521471019,200392.416309619,200635.011962381,201466.870636234
"Num Offtake","Adult Male",1338877.33876048,7234.36207554385,1310912.90347631,1333941.02655634,1338988.123337,1343720.79513402,1360888.00638496
"Cml Pop Growth","Overall",2036176.29458613,367713.005640282,936270.887709811,1791816.7997406,2019848.91691366,2304498.53486936,3065163.20181389
"Cml Pop Growth","Neonatal Female",-300278.36028946,106039.364179261,-619305.488543338,-369807.77391023,-300349.732457418,-228386.050139827,58454.4677039131
"Cml Pop Growth","Neonatal Male",265069.013148242,106039.364179261,-53958.1151056369,195539.599527472,264997.640980283,336961.323297874,623801.841141615
"Cml Pop Growth","Neonatal Combined",-35209.3471412177,212078.728358521,-673263.603648975,-174268.174382758,-35352.091477135,108575.273158047,682256.308845528
"Cml Pop Growth","Juvenile Female",-152413.388280213,61800.0002374341,-334399.083370923,-192538.93126384,-152748.973556321,-111648.227654679,29608.9931577202
"Cml Pop Growth","Juvenile Male",217019.896653426,58727.8726894662,37434.2543080774,177470.520742639,216528.213629434,258002.580004224,403861.270075804
"Cml Pop Growth","Juvenile Combined",64606.5083732129,118350.658065863,-283642.336150074,-12703.3119251246,66200.1614607602,142910.096133842,433470.263233524
"Cml Pop Growth","Adult Female",1472268.57623919,58052.2294664805,1276591.66260099,1434336.75412735,1472099.53141259,1511423.71623349,1641030.29679549
"Cml Pop Growth","Adult Male",534510.557114944,55390.4595492127,375581.503161021,499495.462766599,533838.976686989,573601.965946238,695448.181697697
"Total Number Increase","Overall",3732540.01382815,374232.471284559,2619600.05241175,3485163.02953346,3714443.04260197,4005218.75746079,4771615.50644078
"Total Number Increase","Neonatal Female",-300278.36028946,106039.364179261,-619305.488543338,-369807.77391023,-300349.732457418,-228386.050139827,58454.4677039131
"Total Number Increase","Neonatal Male",265069.013148242,106039.364179261,-53958.1151056369,195539.599527472,264997.640980283,336961.323297874,623801.841141615
"Total Number Increase","Neonatal Combined",-35209.3471412177,212078.728358521,-673263.603648975,-174268.174382758,-35352.091477135,108575.273158047,682256.308845528
"Total Number Increase","Juvenile Female",-123089.988425065,62263.8780089441,-307078.371352832,-163223.459538523,-123370.825775294,-82354.1492830427,59785.9312458206
"Total Number Increase","Juvenile Male",344798.357771233,61355.6047582272,156179.614970884,303360.360650179,344473.675335317,387549.676798897,537442.097160736
"Total Number Increase","Juvenile Combined",221708.369346168,121396.652280388,-137164.05272201,141467.816967196,224265.372237376,301744.031267523,597228.028406557
"Total Number Increase","Adult Female",1672653.09574778,58394.2011366866,1475598.72384901,1634468.74723709,1672572.51311806,1712066.32589093,1842238.76074085
"Total Number Increase","Adult Male",1873387.89587542,61734.7945410696,1686494.40663733,1835503.17536016,1872962.07325396,1916856.03481806,2056336.18808266
"Total Mortality","Overall",2951745.1170886,106156.527975691,2633177.34228318,2880211.68098319,2950811.84158177,3022786.55066571,3281931.79343333
"Total Mortality","Neonatal Female",1088641.19027209,39806.9480713734,963609.069663845,1061790.72281833,1089041.39089445,1114902.62803001,1204810.31990229
"Total Mortality","Neonatal Male",942069.649010461,39806.9480713733,817037.528402218,915219.181556706,942469.849632819,968331.086768379,1058238.77864067
"Total Mortality","Neonatal Combined",2030710.83928255,79613.8961427467,1780646.59806606,1977009.90437504,2031511.24052727,2083233.71479838,2263049.09854296
"Total Mortality","Juvenile Female",301153.403687638,36313.7347403955,202164.769751556,276212.320267612,299856.903126076,325504.843826245,417178.568533135
"Total Mortality","Juvenile Male",217188.192199974,27327.9478736378,138932.266074371,198687.108801845,215405.073010706,235158.077628682,303645.166266899
"Total Mortality","Juvenile Combined",518341.595887613,45851.5040244595,392973.31026786,486649.747494277,517049.000173549,547255.279120942,662117.991957675
"Total Mortality","Adult Female",146439.559163753,13746.4249015236,103147.192657636,137120.698311383,146221.974369346,155485.569951933,189237.793781617
"Total Mortality","Adult Male",256253.122754687,26717.6956447078,180386.946960896,238861.007315154,255894.16442292,272894.808322782,349275.444436505
"Value of Total Mortality","Overall",3785157005.5049,151761026.338673,3266415527.00822,3681708064.23314,3780570258.15459,3889458606.24971,4279537702.00495
"Value of Total Mortality","Neonatal Female",816596704.837532,29859445.8074821,722809313.179109,796455997.83323,816896897.878556,836295576.907632,903735910.397226
"Value of Total Mortality","Neonatal Male",974608554.129606,41181872.4283332,845257848.039291,946830676.676176,975022577.604758,1001777056.9144,1094790143.23219
"Value of Total Mortality","Neonatal Combined",1791205258.96714,71041318.2358153,1568067161.2184,1743286674.50941,1791919475.48331,1838072633.82203,1998526053.62941
"Value of Total Mortality","Juvenile Female",510489394.334381,61555925.4076092,342692360.77858,468211411.043385,508291677.893784,551767864.958679,707165292.412419
"Value of Total Mortality","Juvenile Male",372281131.030756,46842690.8484053,238143062.138527,340568521.873772,369224695.863544,403083216.559112,520476572.804572
"Value of Total Mortality","Juvenile Combined",882770525.365137,78041392.5823304,669342411.356463,828879843.022064,880426711.843908,932047386.885579,1127654365.76139
"Value of Total Mortality","Adult Female",243528477.985287,22860256.8399135,171533422.934442,228031244.772528,243166635.228334,258571962.489502,314701793.423165
"Value of Total Mortality","Adult Male",867652743.187341,90463997.7401063,610775890.975744,808764420.154541,866437338.754805,924000170.212617,1182618944.25155
"Population Liveweight (kg)","Overall",524237028.673982,29519528.9849059,433977728.56407,503986022.403241,524470306.883584,544534686.272539,620323614.863069
"Population Liveweight (kg)","Neonatal Female",17170062.1925693,3248506.17035427,5138521.66878551,14979758.1997839,17224047.1490306,19449583.5338528,27232491.5328331
"Population Liveweight (kg)","Neonatal Male",16843690.5265238,3063006.41975131,6587917.00801161,14643599.9811295,16999827.9230394,19067602.2122771,25408394.194572
"Population Liveweight (kg)","Juvenile Female",26172429.2362081,1354430.02077388,22172084.1061274,25277791.5941974,26153710.5608517,27070091.9470547,30287886.4803351
"Population Liveweight (kg)","Juvenile Male",22643854.5493617,1255125.99501031,18961952.0426609,21805136.0062949,22623491.3608752,23496898.1425045,26630695.8763768
"Population Liveweight (kg)","Juvenile Combined",48816283.7855697,2439533.39837445,41520119.335834,47130672.2406108,48802644.9011735,50478802.6640964,56248898.525877
"Population Liveweight (kg)","Adult Female",318977215.950982,7699175.59705914,293160550.142191,313951354.564975,318828877.738659,324236463.287439,342690330.384545
"Population Liveweight (kg)","Adult Male",122429776.218337,27377519.4017909,24447151.6037458,103858566.383653,122589563.963744,141152021.893189,205571676.078673
"Offtake Liveweight (kg)","Overall",50470212.6325562,8947990.90716721,17149411.1295639,44196663.2143807,50747646.0203352,56871521.239304,79062037.4067743
"Offtake Liveweight (kg)","Juvenile Female",560213.119109516,18671.8210685024,495335.001708835,547497.743376468,559135.195556895,572247.923869987,620428.674331783
"Offtake Liveweight (kg)","Juvenile Male",2443620.73500268,86753.1218759134,2203128.45672267,2382951.87373007,2445027.23050317,2503516.46837475,2736017.52176968
"Offtake Liveweight (kg)","Adult Female",5927710.50861478,145642.150267829,5424528.87465616,5824840.39182827,5921658.30524532,6029256.39789755,6346922.59447168
"Offtake Liveweight (kg)","Adult Male",41538668.2698293,8949225.70664151,8282463.13520639,35259281.3209941,41784945.5554003,47964013.6794506,70078717.0259859
"Meat (kg)","Overall",21197489.3056736,3758156.18101023,7202752.67441685,18562598.5500399,21314011.3285408,23886038.9205077,33206055.7108452
"Manure","Overall",1779111391.40978,70778697.2145489,1545470536.52296,1733501309.86882,1777637909.35544,1826072581.67926,2015686728.83381
"Manure","Neonatal Female",55414588.1131516,4066619.05789441,45182946.6194417,52589896.3988959,55167237.7647732,58224250.5035584,69716453.8116991
"Manure","Neonatal Male",49316008.2792706,3843615.08517583,36421275.6543916,46655000.6606404,49267702.415215,51900873.7189262,61063505.7015626
"Manure","Neonatal Combined",104730596.392422,6404278.55652563,88378768.572814,100295423.117046,104730546.787483,108969791.936513,124702277.121314
"Manure","Juvenile Female",104650154.134477,6295694.31334753,82840886.9153471,100615452.93268,104616036.081913,108630210.443008,127394526.953598
"Manure","Juvenile Male",77918619.4680661,4918674.64327885,60319431.9046777,74583019.4808418,77791549.2846035,81203255.0635878,95626395.0787545
"Manure","Juvenile Combined",182568773.602543,8543384.05610637,154602004.913313,176734421.446974,182821822.483699,187951546.45925,208685980.617819
"Manure","Adult Female",1097234365.92383,63937209.5321764,889844541.74747,1055987220.58499,1097815961.1259,1138472562.93346,1325853962.62067
"Manure","Adult Male",394577655.490985,23078287.2553813,316388889.073893,379485080.940365,394113472.760754,410332949.503939,463042708.928305
"Hides","Overall",460517.138903026,27501.5880991129,378816.284284477,440542.27101508,459964.668682514,478049.080865701,560160.789091492
"Hides","Juvenile Female",150576.701843819,18156.8673701978,101082.384875778,138106.160133806,149928.451563038,162752.421913123,208589.284266567
"Hides","Juvenile Male",108594.096099987,13663.9739368189,69466.1330371855,99343.5544009226,107702.536505353,117579.038814341,151822.58313345
"Hides","Juvenile Combined",259170.797943806,22925.7520122297,196486.65513393,243324.873747139,258524.500086774,273627.639560471,331058.995978837
"Hides","Adult Female",73219.7795818764,6873.21245076181,51573.596328818,68560.3491556917,73110.9871846728,77742.7849759665,94618.8968908083
"Hides","Adult Male",128126.561377343,13358.8478223539,90193.4734804478,119430.503657577,127947.08221146,136447.404161391,174637.722218252
"Milk","Overall",0,0,0,0,0,0,0
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",2054152182.42795,63851218.9199362,1859799733.14734,2009938174.48276,2055063824.73678,2098586824.15855,2250587732.38637
"Cml Dry Matter","Neonatal Female",162968767.344599,10424418.6247787,130551705.278907,156062906.618423,162839487.201732,170057473.863469,198475449.624449
"Cml Dry Matter","Neonatal Male",146204812.24123,9863614.41926008,116899098.675125,139181407.58685,146409900.091619,153518281.443937,173665481.777862
"Cml Dry Matter","Neonatal Combined",309173579.585829,16811059.4587571,260053882.372351,298092267.40094,309963068.649896,320309978.044867,372140931.402311
"Cml Dry Matter","Juvenile Female",155632440.9011,8380780.92114739,126865112.503201,150162345.49959,155680410.189483,161394320.257652,178206601.400457
"Cml Dry Matter","Juvenile Male",115657405.14294,6798128.94656163,95083868.4155498,111139700.642886,115677716.393627,120144871.701905,138650429.183691
"Cml Dry Matter","Juvenile Combined",271289846.04404,11565707.2031201,234266532.511602,262630632.8725,271725103.385458,279244819.527466,309858250.090335
"Cml Dry Matter","Adult Female",1081956083.95447,54136088.2046665,895953856.375879,1046367123.82066,1082296799.68461,1119461679.1935,1267453177.60318
"Cml Dry Matter","Adult Male",391732672.843611,20063447.7690245,328975625.581252,377619595.212476,391964172.332886,405431640.241655,448644970.643166
"Value of Offtake","Overall",4501974875.88921,454011826.306396,3214146163.68655,4203734580.25661,4548719513.44054,4854076979.03679,5467597698.48018
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",47471318.5760404,2065160.53919807,42154298.682356,45898179.7629103,47473212.6884914,48891716.0233028,53170861.8600446
"Value of Offtake","Juvenile Male",213481455.097206,22570920.9877811,172496715.087465,196387119.224091,208592629.332602,226421442.97147,302428352.526786
"Value of Offtake","Juvenile Combined",260952773.673247,22859096.9171373,218256467.565024,244372146.79566,256496029.992221,273973616.815485,353339268.141062
"Value of Offtake","Adult Female",334557468.011235,35461952.9525387,281354940.922074,306950860.674503,328857127.180256,355574768.653703,459631794.759658
"Value of Offtake","Adult Male",3906464634.20473,451242372.043144,2675227641.09054,3603454820.60698,3945703470.17998,4264058455.77281,4796593334.99612
"Value of Herd Increase","Overall",4196239171.51296,618148752.684195,2359134841.13007,3763444627.83218,4183620680.27613,4573031790.36336,6007469379.78784
"Value of Herd Increase","Neonatal Female",-225345980.045096,80344392.5129151,-475560812.024885,-276904366.692041,-225075348.317241,-171405831.203579,41374743.5967141
"Value of Herd Increase","Neonatal Male",281327391.485929,116987516.408362,-61998285.2839321,201550874.138388,275556078.542761,358864318.139673,704698301.770766
"Value of Herd Increase","Neonatal Combined",55981411.4408322,194769686.762265,-537559097.308817,-70823357.5521416,52742511.7570913,183455007.661741,735529621.784547
"Value of Herd Increase","Juvenile Female",-246585722.536906,100567658.289565,-552350445.449461,-312456569.281894,-248148194.855652,-179327542.765353,48380684.597841
"Value of Herd Increase","Juvenile Male",363789752.94751,108153558.829913,61960043.1180522,291537245.061835,360171510.583624,427524809.628003,754669061.805796
"Value of Herd Increase","Juvenile Combined",117204030.410605,201362692.118513,-475105367.871474,-16018288.8545429,115218331.49613,251471469.309381,735956319.153083
"Value of Herd Increase","Adult Female",2454042102.50587,265077474.66961,1890341459.91517,2257675880.34701,2418911751.96408,2614900873.00626,3463819438.14028
"Value of Herd Increase","Adult Male",1569011627.15566,243889801.024568,822226453.095616,1397724690.81189,1567552813.34331,1733660271.73561,2356295001.35548
"Value of Herd Increase plus Offtake","Overall",8698214047.40217,787133202.051551,6176521903.27066,8183633640.41028,8688398264.71288,9233253970.53879,10853710462.5954
"Value of Herd Increase plus Offtake","Neonatal Female",-225345980.045096,80344392.5129151,-475560812.024885,-276904366.692041,-225075348.317241,-171405831.203579,41374743.5967141
"Value of Herd Increase plus Offtake","Neonatal Male",281327391.485929,116987516.408362,-61998285.2839321,201550874.138388,275556078.542761,358864318.139673,704698301.770766
"Value of Herd Increase plus Offtake","Neonatal Combined",55981411.4408322,194769686.762265,-537559097.308817,-70823357.5521416,52742511.7570913,183455007.661741,735529621.784547
"Value of Herd Increase plus Offtake","Juvenile Female",-199114403.960865,101375350.227403,-509470423.133651,-265629756.834169,-199892329.772447,-131586180.955084,96470166.1735327
"Value of Herd Increase plus Offtake","Juvenile Male",577271208.044717,114276670.043932,264224644.373516,500268280.785829,576972152.289538,648695113.001587,995643656.817727
"Value of Herd Increase plus Offtake","Juvenile Combined",378156804.083851,207398374.771374,-223936360.999165,238748096.135635,378142366.248726,515505105.647766,1024338304.67684
"Value of Herd Increase plus Offtake","Adult Female",2788599570.5171,268030527.349871,2213848162.90051,2586142466.68251,2749084448.0132,2953918363.55132,3750225981.23064
"Value of Herd Increase plus Offtake","Adult Male",5475476261.36039,525352522.358532,3862439028.58813,5095980019.0386,5507073393.85875,5859956773.65666,6778974384.6242
"Value of Manure","Overall",889555695.704891,35389348.6072744,772735268.261478,866750654.93441,888818954.677719,913036290.83963,1007843364.41691
"Value of Manure","Neonatal Female",27707294.0565758,2033309.5289472,22591473.3097208,26294948.199448,27583618.8823866,29112125.2517792,34858226.9058496
"Value of Manure","Neonatal Male",24658004.1396353,1921807.54258791,18210637.8271958,23327500.3303202,24633851.2076075,25950436.8594631,30531752.8507813
"Value of Manure","Neonatal Combined",52365298.1962111,3202139.27826282,44189384.286407,50147711.5585231,52365273.3937417,54484895.9682565,62351138.5606568
"Value of Manure","Juvenile Female",52325077.0672386,3147847.15667377,41420443.4576736,50307726.4663402,52308018.0409564,54315105.2215038,63697263.476799
"Value of Manure","Juvenile Male",38959309.7340331,2459337.32163942,30159715.9523388,37291509.7404209,38895774.6423018,40601627.5317939,47813197.5393773
"Value of Manure","Juvenile Combined",91284386.8012716,4271692.02805318,77301002.4566566,88367210.723487,91410911.2418495,93975773.2296248,104342990.30891
"Value of Manure","Adult Female",548617182.961916,31968604.7660882,444922270.873735,527993610.292493,548907980.562952,569236281.466728,662926981.310336
