"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1714461.85115043,11300.8669322609,1701283.26695032,1705710.01202835,1712452.67522318,1723017.6739053,1733412.31144669
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",31154.961483127,696.725985764868,30330.9698142855,30671.727808188,30947.4631197207,31450.9318536966,32533.4526436182
"Num Offtake","Juvenile Male",136323.743343083,4018.6368194907,131901.508141237,133596.232031204,135563.809991247,137495.708814649,143838.947773785
"Num Offtake","Juvenile Combined",167478.70482621,4610.72714169571,162232.477955522,164348.578560683,166581.353964185,168793.822833303,176372.400417403
"Num Offtake","Adult Female",197360.709153023,662.070356030368,196503.469921673,196861.312913441,197232.53464349,197869.124897007,198457.510875447
"Num Offtake","Adult Male",1349622.4371712,6638.35340836737,1340061.64884731,1345054.52010513,1348373.7243709,1355607.15043537,1358582.40015384
"Cml Pop Growth","Overall",2866673.38887129,394743.5712326,2247687.48395027,2681010.6469853,2867338.39643691,3156634.61006233,3443827.97192303
"Cml Pop Growth","Neonatal Female",-7431.68597135933,108219.215990765,-170201.721245431,-87087.2854366992,-18503.4489054058,64470.6312074178,152736.168645253
"Cml Pop Growth","Neonatal Male",531936.513564623,108219.215990765,369166.478290551,452280.914099283,520864.750630576,603838.8307434,692104.368181235
"Cml Pop Growth","Neonatal Combined",524504.827593264,216438.43198153,198964.75704512,365193.628662584,502361.30172517,668309.461950818,844840.536826489
"Cml Pop Growth","Juvenile Female",55495.8880125637,74552.4671020697,-46239.1357468788,-15741.9122186898,72285.6297448567,103610.440656519,169071.713308223
"Cml Pop Growth","Juvenile Male",401331.107736056,62791.506667746,312229.756252744,357472.47482947,416238.764876031,432554.504965136,500594.766740972
"Cml Pop Growth","Juvenile Combined",456826.99574862,133818.841252745,270124.544347537,346321.916550586,493219.794724308,542013.875941207,638202.310012629
"Cml Pop Growth","Adult Female",1227720.20781059,87703.4883275725,1054569.07681566,1187140.67404604,1221415.57557876,1273340.68033505,1382427.33057133
"Cml Pop Growth","Adult Male",657621.357718815,65318.4924118898,584909.965251489,597609.346314944,647719.539960625,707328.685790429,757003.441518602
"Total Number Increase","Overall",4581135.24002173,400136.88123867,3953262.0509879,4401337.94049248,4574956.70711747,4882043.39600488,5165541.48955108
"Total Number Increase","Neonatal Female",-7431.68597135933,108219.215990765,-170201.721245431,-87087.2854366992,-18503.4489054058,64470.6312074178,152736.168645253
"Total Number Increase","Neonatal Male",531936.513564623,108219.215990765,369166.478290551,452280.914099283,520864.750630576,603838.8307434,692104.368181235
"Total Number Increase","Neonatal Combined",524504.827593264,216438.43198153,198964.75704512,365193.628662584,502361.30172517,668309.461950818,844840.536826489
"Total Number Increase","Juvenile Female",86650.8494956908,75040.9941241071,-15908.1659325933,15188.5217958826,103879.536365922,134925.665124945,201078.077944446
"Total Number Increase","Juvenile Male",537654.851079139,65555.5613592981,445788.433178487,491138.096941017,551802.574867278,573860.940132371,642865.608489081
"Total Number Increase","Juvenile Combined",624305.70057483,136633.83238952,432357.022303059,513628.336001041,658608.503425997,711306.0403047,806998.008613296
"Total Number Increase","Adult Female",1425080.91696362,88276.5447196369,1251072.54673733,1384313.16094307,1418698.19189521,1470836.46291261,1580884.84144678
"Total Number Increase","Adult Male",2007243.79489002,71278.5047987151,1926713.83322969,1942679.90898091,1996061.17920984,2063467.20157378,2111906.45227873
"Total Mortality","Overall",1968308.43547904,52778.3235093721,1906415.77860534,1920274.65571543,1968727.81170248,1996345.55360026,2054074.77388971
"Total Mortality","Neonatal Female",308191.310467751,10377.6392626894,294650.763849591,299286.271412745,307239.440446899,315435.506061971,323156.781123819
"Total Mortality","Neonatal Male",264793.869125775,10377.6392626894,251253.322507615,255888.830070769,263841.999104924,272038.064719995,279759.339781843
"Total Mortality","Neonatal Combined",572985.179593526,20755.2785253788,545904.086357206,555175.101483514,571081.439551823,587473.570781966,602916.120905662
"Total Mortality","Juvenile Female",320039.407537326,62678.4373305367,217903.661529006,276453.55344805,315597.67214576,365196.785940861,407697.461430713
"Total Mortality","Juvenile Male",216498.407021198,20691.0992558636,180935.592782758,213354.813298379,219246.417453532,224653.615944092,246799.87598983
"Total Mortality","Juvenile Combined",536537.814558524,57470.2689910583,440222.789030231,512816.929962645,538878.108342874,581105.877756684,616728.224764658
"Total Mortality","Adult Female",593966.847165625,60022.8773195422,526913.190074634,547618.337490037,575687.094705008,649422.504030426,690338.490681921
"Total Mortality","Adult Male",264818.594161361,27480.7738813046,207779.418280839,249313.847845266,268867.208891525,285752.765232865,295080.34231545
"Value of Total Mortality","Overall",3091140053.73735,92351009.1110388,2929407687.40319,3022997415.91622,3104868153.6484,3145504761.37345,3217352255.14299
