"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1515480.27429833,6780.33295883666,1506247.41697618,1510881.91882548,1515234.08797185,1520685.21169974,1526548.68313432
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",20739.8380643132,394.249249261937,20211.4347377785,20417.6497086105,20747.4857258883,20962.9374478379,21508.9455638736
"Num Offtake","Juvenile Male",90513.1405250691,1966.1700128744,87736.3983101063,89409.9703015989,90350.7482165704,91960.3713274035,93764.9234599947
"Num Offtake","Juvenile Combined",111252.978589382,2328.75155133146,107947.833047885,109827.620010209,111233.534273925,112898.381266773,115273.869023868
"Num Offtake","Adult Female",139108.890024021,499.724622143465,138056.669440428,138986.616275787,139141.571491857,139203.063388088,139892.68204361
"Num Offtake","Adult Male",1265118.40568493,4462.19843333669,1259556.84777838,1261206.89722622,1264927.97910681,1268631.2596457,1272300.63110944
"Cml Pop Growth","Overall",1905975.67564328,469092.630304961,1011608.4621406,1646520.14198756,2068127.52120594,2245185.00399911,2430790.91803582
"Cml Pop Growth","Neonatal Female",-344972.462745511,126094.317180991,-578174.938722867,-386130.128793129,-291742.873720917,-267497.257494098,-212372.592040425
"Cml Pop Growth","Neonatal Male",220374.910692191,126094.317180991,-12827.5652851649,179217.244644573,273604.499716784,297850.115943603,352974.781397277
"Cml Pop Growth","Neonatal Combined",-124597.55205332,252188.634361983,-591002.504008032,-206912.884148556,-18138.3740041329,30352.8584495048,140602.189356852
"Cml Pop Growth","Juvenile Female",-165022.058605797,63729.1579271791,-265627.838413393,-202164.46087382,-183058.705178861,-132390.095862895,-55338.4266500357
"Cml Pop Growth","Juvenile Male",210998.63057917,50380.9932769966,138894.609275999,173956.105093593,224171.622077341,251992.780615136,272952.242490108
