"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",4850493.38750008,NA,4850493.38750008,4850493.38750008,4850493.38750008,4850493.38750008,4850493.38750008
"Num Offtake","Neonatal Female",0,NA,0,0,0,0,0
"Num Offtake","Neonatal Male",0,NA,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,NA,0,0,0,0,0
"Num Offtake","Juvenile Female",154961.587500001,NA,154961.587500001,154961.587500001,154961.587500001,154961.587500001,154961.587500001
"Num Offtake","Juvenile Male",936152.395000003,NA,936152.395000003,936152.395000003,936152.395000003,936152.395000003,936152.395000003
"Num Offtake","Juvenile Combined",1091113.9825,NA,1091113.9825,1091113.9825,1091113.9825,1091113.9825,1091113.9825
"Num Offtake","Adult Female",992260.845000033,NA,992260.845000033,992260.845000033,992260.845000033,992260.845000033,992260.845000033
"Num Offtake","Adult Male",2767118.56000005,NA,2767118.56000005,2767118.56000005,2767118.56000005,2767118.56000005,2767118.56000005
"Cml Pop Growth","Overall",-1797479.05932615,NA,-1797479.05932615,-1797479.05932615,-1797479.05932615,-1797479.05932615,-1797479.05932615
"Cml Pop Growth","Neonatal Female",-1071941.23102475,NA,-1071941.23102475,-1071941.23102475,-1071941.23102475,-1071941.23102475,-1071941.23102475
"Cml Pop Growth","Neonatal Male",-867991.446959058,NA,-867991.446959058,-867991.446959058,-867991.446959058,-867991.446959058,-867991.446959058
"Cml Pop Growth","Neonatal Combined",-1939932.67798381,NA,-1939932.67798381,-1939932.67798381,-1939932.67798381,-1939932.67798381,-1939932.67798381
"Cml Pop Growth","Juvenile Female",82383.345833278,NA,82383.345833278,82383.345833278,82383.345833278,82383.345833278,82383.345833278
"Cml Pop Growth","Juvenile Male",73773.3349999317,NA,73773.3349999317,73773.3349999317,73773.3349999317,73773.3349999317,73773.3349999317
"Cml Pop Growth","Juvenile Combined",156156.68083321,NA,156156.68083321,156156.68083321,156156.68083321,156156.68083321,156156.68083321
"Cml Pop Growth","Adult Female",321096.103018807,NA,321096.103018807,321096.103018807,321096.103018807,321096.103018807,321096.103018807
"Cml Pop Growth","Adult Male",-334799.165194363,NA,-334799.165194363,-334799.165194363,-334799.165194363,-334799.165194363,-334799.165194363
"Total Number Increase","Overall",3053014.32817393,NA,3053014.32817393,3053014.32817393,3053014.32817393,3053014.32817393,3053014.32817393
"Total Number Increase","Neonatal Female",-1071941.23102475,NA,-1071941.23102475,-1071941.23102475,-1071941.23102475,-1071941.23102475,-1071941.23102475
"Total Number Increase","Neonatal Male",-867991.446959058,NA,-867991.446959058,-867991.446959058,-867991.446959058,-867991.446959058,-867991.446959058
"Total Number Increase","Neonatal Combined",-1939932.67798381,NA,-1939932.67798381,-1939932.67798381,-1939932.67798381,-1939932.67798381,-1939932.67798381
"Total Number Increase","Juvenile Female",237344.933333279,NA,237344.933333279,237344.933333279,237344.933333279,237344.933333279,237344.933333279
"Total Number Increase","Juvenile Male",1009925.72999993,NA,1009925.72999993,1009925.72999993,1009925.72999993,1009925.72999993,1009925.72999993
"Total Number Increase","Juvenile Combined",1247270.66333321,NA,1247270.66333321,1247270.66333321,1247270.66333321,1247270.66333321,1247270.66333321
"Total Number Increase","Adult Female",1313356.94801884,NA,1313356.94801884,1313356.94801884,1313356.94801884,1313356.94801884,1313356.94801884
"Total Number Increase","Adult Male",2432319.39480568,NA,2432319.39480568,2432319.39480568,2432319.39480568,2432319.39480568,2432319.39480568
"Total Mortality","Overall",4165845.41700351,NA,4165845.41700351,4165845.41700351,4165845.41700351,4165845.41700351,4165845.41700351
"Total Mortality","Neonatal Female",1061967.49805798,NA,1061967.49805798,1061967.49805798,1061967.49805798,1061967.49805798,1061967.49805798
"Total Mortality","Neonatal Male",1021025.44399228,NA,1021025.44399228,1021025.44399228,1021025.44399228,1021025.44399228,1021025.44399228
"Total Mortality","Neonatal Combined",2082992.94205026,NA,2082992.94205026,2082992.94205026,2082992.94205026,2082992.94205026,2082992.94205026
"Total Mortality","Juvenile Female",482102.716666669,NA,482102.716666669,482102.716666669,482102.716666669,482102.716666669,482102.716666669
"Total Mortality","Juvenile Male",369186.860000001,NA,369186.860000001,369186.860000001,369186.860000001,369186.860000001,369186.860000001
"Total Mortality","Juvenile Combined",851289.57666667,NA,851289.57666667,851289.57666667,851289.57666667,851289.57666667,851289.57666667
"Total Mortality","Adult Female",974092.313092239,NA,974092.313092239,974092.313092239,974092.313092239,974092.313092239,974092.313092239
"Total Mortality","Adult Male",257470.58519434,NA,257470.58519434,257470.58519434,257470.58519434,257470.58519434,257470.58519434
"Population Liveweight (kg)","Overall",413857262.890203,NA,413857262.890203,413857262.890203,413857262.890203,413857262.890203,413857262.890203
"Population Liveweight (kg)","Neonatal Female",14732975.5884542,NA,14732975.5884542,14732975.5884542,14732975.5884542,14732975.5884542,14732975.5884542
"Population Liveweight (kg)","Neonatal Male",14574391.3266887,NA,14574391.3266887,14574391.3266887,14574391.3266887,14574391.3266887,14574391.3266887
"Population Liveweight (kg)","Juvenile Female",21654207.4588267,NA,21654207.4588267,21654207.4588267,21654207.4588267,21654207.4588267,21654207.4588267
"Population Liveweight (kg)","Juvenile Male",16596341.2316069,NA,16596341.2316069,16596341.2316069,16596341.2316069,16596341.2316069,16596341.2316069
"Population Liveweight (kg)","Juvenile Combined",38250548.6904336,NA,38250548.6904336,38250548.6904336,38250548.6904336,38250548.6904336,38250548.6904336
"Population Liveweight (kg)","Adult Female",280738794.052517,NA,280738794.052517,280738794.052517,280738794.052517,280738794.052517,280738794.052517
"Population Liveweight (kg)","Adult Male",65560553.2321096,NA,65560553.2321096,65560553.2321096,65560553.2321096,65560553.2321096,65560553.2321096
"Offtake Liveweight (kg)","Overall",106420403.052335,NA,106420403.052335,106420403.052335,106420403.052335,106420403.052335,106420403.052335
"Offtake Liveweight (kg)","Juvenile Female",2109708.8644592,NA,2109708.8644592,2109708.8644592,2109708.8644592,2109708.8644592,2109708.8644592
"Offtake Liveweight (kg)","Juvenile Male",12738045.3285862,NA,12738045.3285862,12738045.3285862,12738045.3285862,12738045.3285862,12738045.3285862
"Offtake Liveweight (kg)","Adult Female",24902682.984594,NA,24902682.984594,24902682.984594,24902682.984594,24902682.984594,24902682.984594
"Offtake Liveweight (kg)","Adult Male",66669965.8746955,NA,66669965.8746955,66669965.8746955,66669965.8746955,66669965.8746955,66669965.8746955
"Meat (kg)","Overall",292988955.689144,NA,292988955.689144,292988955.689144,292988955.689144,292988955.689144,292988955.689144
"Manure","Overall",265092793.746444,NA,265092793.746444,265092793.746444,265092793.746444,265092793.746444,265092793.746444
"Manure","Neonatal Female",71397013.2156584,NA,71397013.2156584,71397013.2156584,71397013.2156584,71397013.2156584,71397013.2156584
"Manure","Neonatal Male",69134858.8907543,NA,69134858.8907543,69134858.8907543,69134858.8907543,69134858.8907543,69134858.8907543
"Manure","Neonatal Combined",140531872.106413,NA,140531872.106413,140531872.106413,140531872.106413,140531872.106413,140531872.106413
"Manure","Juvenile Female",124560921.640032,NA,124560921.640032,124560921.640032,124560921.640032,124560921.640032,124560921.640032
"Manure","Juvenile Male",95447508.4444466,NA,95447508.4444466,95447508.4444466,95447508.4444466,95447508.4444466,95447508.4444466
