"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",4850116.11566838,20215.8734350299,4777743.05791865,4836201.66474638,4850109.17051757,4863469.37835592,4925320.57147318
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",154941.73974753,1530.14579605146,149521.352327825,153902.818670729,154922.453464918,155974.372633393,161236.279314804
"Num Offtake","Juvenile Male",936114.624312712,10551.1683438967,897530.702395738,929030.023533111,935982.156931325,943243.940230237,976265.064826831
"Num Offtake","Juvenile Combined",1091056.36406024,11681.9966482023,1048678.08308623,1083136.56144684,1090945.05590844,1099030.05074695,1136409.18892985
"Num Offtake","Adult Female",992160.761997664,2508.46062354768,982853.413906949,990465.281318374,992139.579230221,993858.963310996,1001546.26147324
"Num Offtake","Adult Male",2766898.98961048,8767.55756747349,2734367.46496064,2760927.61605085,2766813.20292185,2772785.83542762,2800734.18710072
"Cml Pop Growth","Overall",-1800458.01954882,193121.4337971,-2600432.08977479,-1929061.89331531,-1800403.23473711,-1670581.09754724,-1016358.20126722
"Cml Pop Growth","Neonatal Female",-1071985.50757463,56915.7868501825,-1263812.55197023,-1110511.02934968,-1071791.02002122,-1033798.23685865,-861781.627842772
"Cml Pop Growth","Neonatal Male",-867643.715397358,56582.1720632839,-1133371.83042999,-905887.022052009,-868258.180190943,-830654.371161203,-664551.114938413
"Cml Pop Growth","Neonatal Combined",-1939629.22297199,108352.420439512,-2394080.23212207,-2012726.24519434,-1940502.69465823,-1867607.25953587,-1526332.74278118
"Cml Pop Growth","Juvenile Female",82093.5126860069,32638.5946249904,-31791.6185823467,60293.7902807571,82064.2535561282,104031.840068695,201395.595751165
"Cml Pop Growth","Juvenile Male",73943.4248390545,28057.4887969954,-27981.1742169973,55062.5221861121,74031.3756404707,92827.1905410912,178118.558622925
"Cml Pop Growth","Juvenile Combined",156036.937525061,57272.5278796169,-36970.5674067126,117044.84104378,155771.157203222,194789.910315846,370256.645337508
"Cml Pop Growth","Adult Female",318318.884296553,57225.5961675004,96635.9560309462,278929.793913967,318070.881538774,357548.641823938,538697.608670121
"Cml Pop Growth","Adult Male",-335184.618398451,24240.0100335714,-421406.974338654,-351608.210453443,-335581.328956049,-318911.528805806,-244831.69633852
"Total Number Increase","Overall",3049658.09611956,206059.003954058,2225018.14193572,2911056.4062496,3051266.84001503,3188705.31149975,3873286.56173211
"Total Number Increase","Neonatal Female",-1071985.50757463,56915.7868501825,-1263812.55197023,-1110511.02934968,-1071791.02002122,-1033798.23685865,-861781.627842772
"Total Number Increase","Neonatal Male",-867643.715397358,56582.1720632839,-1133371.83042999,-905887.022052009,-868258.180190943,-830654.371161203,-664551.114938413
"Total Number Increase","Neonatal Combined",-1939629.22297199,108352.420439512,-2394080.23212207,-2012726.24519434,-1940502.69465823,-1867607.25953587,-1526332.74278118
"Total Number Increase","Juvenile Female",237035.252433537,33854.7494283004,117729.733745478,214394.471103929,236953.68872124,259770.292345453,360794.556272481
"Total Number Increase","Juvenile Male",1010058.04915177,36633.096016626,880613.972251633,985640.845172716,1010064.95933248,1034700.54364384,1142878.82221616
"Total Number Increase","Juvenile Combined",1247093.3015853,66301.123870841,1023489.44373474,1202037.31007719,1246893.05393932,1291757.90027019,1489608.021697
"Total Number Increase","Adult Female",1310479.64629422,59304.372005555,1080916.86386662,1269697.31236305,1310210.69148341,1350939.40486402,1538620.57594267
"Total Number Increase","Adult Male",2431714.37121203,32086.2944601299,2317373.36191331,2409860.89640028,2431250.75456491,2453143.61708392,2552483.43015484
"Total Mortality","Overall",4184949.89884391,93181.5251271919,3747461.83136823,4123888.99944851,4185478.21225025,4248530.83126084,4529672.37431912
"Total Mortality","Neonatal Female",1070645.4317221,54230.6266351897,867070.15184029,1033873.73553037,1071239.35332826,1107670.65227389,1273262.08887164
"Total Mortality","Neonatal Male",1028481.15825127,52036.3067831484,849757.857164402,993566.346807634,1028317.80671246,1063660.80112179,1225764.3109094
"Total Mortality","Neonatal Combined",2099126.58997337,78005.0721631132,1726845.55148383,2047055.61519596,2099003.03725803,2151818.85005933,2383531.69309284
"Total Mortality","Juvenile Female",482040.968103426,4760.45358771566,465177.540575455,478808.769197822,481980.966335301,485253.603748334,501623.980090501
"Total Mortality","Juvenile Male",369171.964517689,4161.02413562124,353955.769958883,366378.037449678,369119.723860241,371983.525724601,385005.941058469
"Total Mortality","Juvenile Combined",851212.932621115,8243.20442365158,823379.345699318,845578.062135578,851197.474872816,856840.065073125,884492.473374941
"Total Mortality","Adult Female",976643.291689714,51387.7804736675,789371.390755695,942022.157992454,977589.306037711,1011294.77516825,1155897.70986552
"Total Mortality","Adult Male",257967.084559711,11950.6399208797,214570.318667762,249874.578139111,257905.066514976,266099.875810735,299247.689195114
"Population Liveweight (kg)","Overall",425134301.795209,8157232.52611763,395124244.006886,419483795.347057,425129710.187327,430733606.997444,453710550.725038
"Population Liveweight (kg)","Neonatal Female",14719689.9398572,2815965.11808038,4480655.23705899,12713390.3009742,14749369.99133,16611916.8150163,25389687.3265035
"Population Liveweight (kg)","Neonatal Male",14647966.0823026,2822885.41761163,4378950.77280171,12764304.2896902,14703151.608101,16547487.2518866,24663376.7400414
"Population Liveweight (kg)","Juvenile Female",32847714.2864287,6011371.07860444,17257768.0058775,28435337.7437277,32902455.5685059,37301168.9097069,47983847.1301671
"Population Liveweight (kg)","Juvenile Male",16603204.1415534,1281412.54555953,11837708.2108832,15752649.6097564,16602528.6535424,17429982.7682557,21334646.819714
"Population Liveweight (kg)","Juvenile Combined",49450918.4279821,6195106.42600084,31778433.3934864,44977957.8468492,49477497.2004751,54043195.6177449,66262406.7808618
"Population Liveweight (kg)","Adult Female",280733463.014154,2626933.95226208,270569321.332416,278954012.475207,280754661.13001,282507874.158036,290267270.73289
"Population Liveweight (kg)","Adult Male",65582264.3309132,803982.066231049,62351070.5734297,65031784.4715979,65571717.7193847,66119321.6883349,68683455.1656795
"Offtake Liveweight (kg)","Overall",107557123.116144,1329554.08530742,102842358.768449,106644474.582975,107546348.779546,108463348.323748,112670506.38636
"Offtake Liveweight (kg)","Juvenile Female",3195054.08839974,589174.175809609,1594912.76438883,2757279.02255136,3208234.81917372,3636140.32596767,4606015.21542936
"Offtake Liveweight (kg)","Juvenile Male",12755578.1194304,960022.799477571,9228547.57190948,12123537.0665899,12766886.823671,13384474.3464963,16765121.8775263
"Offtake Liveweight (kg)","Adult Female",24903423.8406158,207142.936803726,24189050.3412614,24762475.9528801,24903966.4174227,25046076.1426039,25674357.7610467
"Offtake Liveweight (kg)","Adult Male",66703067.0676982,600266.517082119,64443454.9365333,66295678.6253957,66699964.2644668,67115386.8562761,68811963.9470123
"Meat (kg)","Overall",296075835.81403,1304826.16862291,291036176.821666,295190269.394753,296087914.36317,296956998.221955,301225425.828
