"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",4851465.24419845,20847.2784215039,4782750.78621167,4837442.58932695,4851288.82593159,4865063.85260498,4912416.27299457
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",155080.358158003,1533.11396069479,150524.453641842,154115.284578025,155064.834727907,156066.844181652,160351.188670228
"Num Offtake","Juvenile Male",936782.453563188,10815.2336436419,903612.055161563,929388.407196517,936563.455184346,943856.247452511,967521.73006347
"Num Offtake","Juvenile Combined",1091862.81172119,11940.5300948524,1054846.49066555,1083664.36017628,1091709.53074678,1099543.0938649,1127167.66415742
"Num Offtake","Adult Female",992415.754860446,2514.04501029056,985266.280936878,990741.477343671,992345.145448975,994044.545046115,999542.702674637
"Num Offtake","Adult Male",2767186.67761682,9129.42260851023,2738523.94036375,2760904.05865496,2767288.69246746,2773450.62867166,2793510.58645467
"Cml Pop Growth","Overall",-1768241.57430063,191737.903842154,-2434297.49326365,-1901834.99518286,-1772981.93648412,-1634309.98176994,-1094132.6393336
"Cml Pop Growth","Neonatal Female",-1064025.88462812,55865.9145025931,-1229680.95687002,-1102218.02649377,-1064385.77044265,-1023485.76499567,-901335.287452202
"Cml Pop Growth","Neonatal Male",-860548.558979753,56422.8297714746,-1026951.97935613,-899449.307462429,-858291.435343695,-822969.196398254,-661318.274862443
"Cml Pop Growth","Neonatal Combined",-1924574.44360787,106782.773769025,-2225919.1039601,-1999583.5805533,-1918339.79905731,-1854138.44223066,-1598502.39446134
"Cml Pop Growth","Juvenile Female",86934.2929050172,32459.7054018227,-13386.2743364198,65353.5243529193,86533.554176152,108433.785607631,207421.399524517
"Cml Pop Growth","Juvenile Male",77220.7388889877,28222.9659536495,-4952.3897318705,57908.7777226775,76275.0241884338,95410.6237253433,177832.365438672
"Cml Pop Growth","Juvenile Combined",164155.031794005,57060.1836587649,-143.127951150527,125405.545511306,165184.030474272,201097.672451719,385253.764963189
"Cml Pop Growth","Adult Female",325546.364765256,57547.8239695966,155483.8112101,286619.006617532,322919.013552794,363216.047604783,526950.010385796
"Cml Pop Growth","Adult Male",-333368.527252016,24991.2393757006,-413450.806568514,-350497.39596508,-333958.384842053,-317405.168114717,-258121.598115117
"Total Number Increase","Overall",3083223.66989782,205319.121042362,2364898.00205206,2939452.70712847,3080654.17295602,3226677.87922784,3808566.67636008
"Total Number Increase","Neonatal Female",-1064025.88462812,55865.9145025931,-1229680.95687002,-1102218.02649377,-1064385.77044265,-1023485.76499567,-901335.287452202
"Total Number Increase","Neonatal Male",-860548.558979753,56422.8297714746,-1026951.97935613,-899449.307462429,-858291.435343695,-822969.196398254,-661318.274862443
"Total Number Increase","Neonatal Combined",-1924574.44360787,106782.773769025,-2225919.1039601,-1999583.5805533,-1918339.79905731,-1854138.44223066,-1598502.39446134
"Total Number Increase","Juvenile Female",242014.65106302,33688.0604741784,137138.179305423,219973.250423985,241745.395633417,264219.864946523,365822.90927761
"Total Number Increase","Juvenile Male",1014003.19245218,37054.8383347138,905917.003780271,989695.606671918,1012307.62237892,1038099.69700123,1139952.94047183
"Total Number Increase","Juvenile Combined",1256017.8435152,66287.2914515268,1064856.95362609,1212320.2686546,1257342.43962818,1297715.13244276,1505775.84974944
"Total Number Increase","Adult Female",1317962.1196257,59624.7185087374,1140750.09214698,1278062.8603919,1315922.17992206,1357252.48762982,1526034.62347727
"Total Number Increase","Adult Male",2433818.1503648,33232.2682333349,2325073.13379523,2411067.05755685,2432970.76703412,2455549.52160629,2529993.34815312
"Total Mortality","Overall",4151202.28007116,95009.3054963353,3859135.5613872,4087319.30655174,4150900.49276123,4219846.56945781,4406982.05276744
"Total Mortality","Neonatal Female",1054199.51606949,54229.7650761087,896610.138899602,1017309.57674425,1053633.50525491,1090026.90301888,1239252.64688769
"Total Mortality","Neonatal Male",1015325.03641646,53172.2104308986,875073.129748943,979014.578499641,1013597.18976822,1051371.6326782,1174421.06006465
"Total Mortality","Neonatal Combined",2069524.55248595,77411.0063410262,1816024.47539098,2018067.13776011,2068819.84632375,2122352.58526481,2320258.78629325
"Total Mortality","Juvenile Female",482472.225380453,4769.68787771713,468298.300219065,479469.774242745,482423.930264599,485541.293009585,498870.36475182
"Total Mortality","Juvenile Male",369435.333799567,4265.16256368977,356354.04992287,366519.371852147,369348.968241714,372224.998995356,381557.865377143
"Total Mortality","Juvenile Combined",851907.559180021,8335.18937651944,826861.182601941,846436.542318309,851777.795765278,857320.272036743,880150.101563669
"Total Mortality","Adult Female",971988.029658852,51659.7543029131,813629.567661571,937836.051633827,972768.134847148,1007618.86125311,1127484.456594
"Total Mortality","Adult Male",257782.138746333,12169.4612988988,215011.558532024,249918.63226495,257858.351226751,265728.752270134,300891.659100014
"Population Liveweight (kg)","Overall",426096066.091457,6007989.37097855,405369776.26537,422116764.197611,426117938.535837,430325827.500051,446211212.20834
"Population Liveweight (kg)","Neonatal Female",14711750.6579755,2917859.11374985,4586907.82608518,12895242.9852988,14661570.8432009,16631972.395293,24764942.2920438
"Population Liveweight (kg)","Neonatal Male",14709215.2184705,2774527.78562207,6596013.93857235,12871508.1750647,14648265.0268668,16551159.7985989,23145069.8095412
"Population Liveweight (kg)","Juvenile Female",21723764.7269131,1631925.637964,16140496.710034,20659837.089133,21677815.6035879,22754402.1212276,27480784.4315099
"Population Liveweight (kg)","Juvenile Male",28505696.7216705,1367534.79818402,23984270.9040059,27538119.938971,28478589.5238884,29425598.6074891,32967164.9866061
"Population Liveweight (kg)","Juvenile Combined",50229461.4485836,2274762.4541052,42308220.6925,48742816.552926,50186845.5822218,51808163.7515155,58665968.9379515
"Population Liveweight (kg)","Adult Female",280845323.915291,2585048.27347921,273259251.435628,279094515.640344,280815006.015356,282423169.673007,290527850.380386
"Population Liveweight (kg)","Adult Male",65600314.8511364,792775.601911019,63315580.4482781,65048129.8217628,65565223.7440702,66139512.3111068,68100211.4681065
"Offtake Liveweight (kg)","Overall",115513195.377606,1217008.84484727,111336568.313123,114659646.260599,115552816.347565,116348533.884987,118781783.780408
"Offtake Liveweight (kg)","Juvenile Female",2112224.70852924,162077.407415825,1653519.79927054,2003015.69791304,2115680.00378862,2223465.77291178,2672448.98908179
"Offtake Liveweight (kg)","Juvenile Male",21813727.7750778,985908.872168402,18263281.026826,21150482.5133192,21848544.7012418,22502831.7850522,24740317.8432234
"Offtake Liveweight (kg)","Adult Female",24900396.0864603,211299.566943197,24278134.2856252,24748157.4495835,24896485.6247929,25049486.5070489,25532738.1832167
"Offtake Liveweight (kg)","Adult Male",66686846.8075384,586573.951070288,65091294.2617336,66265620.9687878,66680298.3136651,67108822.6231662,68374139.3003112
"Meat (kg)","Overall",317886473.770903,1261024.78379231,314359292.827232,317013340.776694,317844273.815925,318721134.785944,322860210.163671
"Manure","Overall",750728934.217059,20512316.6434485,694313194.063108,735823367.084985,750820544.924648,764806397.646259,813771113.475934
"Manure","Neonatal Female",71394959.3619338,3853779.14625259,59790808.9556769,68704153.6458077,71527398.3775453,73856867.1239495,84948867.0270866
"Manure","Neonatal Male",69290837.1351796,3509961.56894022,58676946.7813599,66808846.6491735,69196478.4777841,71720061.7158175,79810874.7040984
"Manure","Neonatal Combined",140685796.497113,5489199.60074983,125294577.873877,136887992.131684,140740765.189549,144583533.74321,159535106.598646
"Manure","Juvenile Female",62292780.7566867,2889085.95921635,53506120.8728132,60319521.1840318,62240273.3366247,64203844.3814213,71644107.0638576
"Manure","Juvenile Male",47623340.2570628,2244203.92286178,40957558.0483219,46076281.5658315,47579914.999498,49091854.2994319,54083370.8319582
"Manure","Juvenile Combined",109916121.013749,3749377.99073648,97428607.7761385,107463243.895168,109931297.773005,112444373.780644,121082846.423604
"Manure","Adult Female",397515134.178768,18318660.3225525,338709691.627301,384894218.057385,396978491.032268,410097758.919651,462736076.077207
