"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",4850710.4945064,20505.9319343867,4787921.44607543,4836430.9790914,4849775.51300814,4864292.592233,4912085.86649441
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",155018.22131065,1581.29380997746,150306.493602356,153901.944728441,154979.379467148,156025.770432432,159593.810097382
"Num Offtake","Juvenile Male",936948.299022957,10612.511156335,903603.001103963,929371.781507891,937034.826020919,944354.824363936,968287.16457973
"Num Offtake","Juvenile Combined",1091966.52033361,11806.0732034876,1055851.16582478,1083623.67170842,1091680.18855959,1100162.06330204,1126549.52915169
"Num Offtake","Adult Female",992063.979875415,2631.74909105758,983469.657998812,990288.93870562,991997.668886051,993728.775115292,1000782.6242687
"Num Offtake","Adult Male",2766679.99429737,8938.26203000754,2741058.62263574,2760518.64176347,2766472.72240706,2772638.89551957,2795403.59302496
"Cml Pop Growth","Overall",-1793650.21514451,201744.839337969,-2342567.97304756,-1933605.41490031,-1795377.2177907,-1653431.14516914,-867810.787110019
"Cml Pop Growth","Neonatal Female",-1070088.93927656,60058.3387536275,-1254164.27908619,-1110654.1102359,-1069762.8090017,-1029459.79595588,-785018.570176065
"Cml Pop Growth","Neonatal Male",-865816.06811739,58930.9022216038,-1062956.85980377,-904194.613915605,-865160.82998173,-825250.156480487,-630508.33030977
"Cml Pop Growth","Neonatal Combined",-1935905.00739395,114295.368405804,-2302178.73927034,-2010578.3243223,-1931807.96098429,-1860188.6077064,-1415526.90048584
"Cml Pop Growth","Juvenile Female",84228.1015731898,33867.4027101175,-17732.2503567636,61731.8881982353,83292.884866802,107549.511084299,206392.621537002
"Cml Pop Growth","Juvenile Male",76177.643876707,28162.7377750255,-6445.45711106271,57677.8405687427,75906.4921518961,95451.1174372652,162852.957548812
"Cml Pop Growth","Juvenile Combined",160405.745449897,58637.7463453184,-8159.85048811231,120552.369146581,157781.784662423,201274.135496171,369245.579085815
"Cml Pop Growth","Adult Female",316816.473700697,59225.2470759324,122945.88336746,277220.408473503,319706.756977681,354355.200961841,505419.691098901
"Cml Pop Growth","Adult Male",-334967.426901145,24482.3567889166,-411870.398689203,-351827.674853873,-335807.533476623,-316968.998976027,-257423.805497099
"Total Number Increase","Overall",3057060.27936189,214941.478987563,2466135.7665944,2910420.67641279,3054520.70984528,3202993.954904,4020626.65107079
"Total Number Increase","Neonatal Female",-1070088.93927656,60058.3387536275,-1254164.27908619,-1110654.1102359,-1069762.8090017,-1029459.79595588,-785018.570176065
"Total Number Increase","Neonatal Male",-865816.06811739,58930.9022216038,-1062956.85980377,-904194.613915605,-865160.82998173,-825250.156480487,-630508.33030977
"Total Number Increase","Neonatal Combined",-1935905.00739395,114295.368405804,-2302178.73927034,-2010578.3243223,-1931807.96098429,-1860188.6077064,-1415526.90048584
