"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",4848193.65043853,20266.0470898527,4784490.56025072,4833650.08522834,4848397.85670934,4862319.77984413,4909494.42211546
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",154890.681829646,1610.41976860725,149921.867389933,153829.810293266,154933.203524694,155980.665837908,160316.262112856
"Num Offtake","Juvenile Male",935405.21095724,10560.9709416641,898322.355707187,928088.313230083,935628.090422903,942457.295229396,969790.314035114
"Num Offtake","Juvenile Combined",1090295.89278689,11714.9089751909,1050332.07690225,1082153.97841712,1090472.19493454,1098078.43337724,1125435.3004552
"Num Offtake","Adult Female",992540.561883442,2664.83231201325,983890.337475932,990750.437266596,992530.098036978,994407.620720965,1001072.27821023
"Num Offtake","Adult Male",2765357.1957682,8809.21415254887,2738686.28849593,2759639.86256575,2765219.7955847,2771597.88360205,2793029.24879076
"Cml Pop Growth","Overall",-1800345.58143877,200034.65088436,-2342559.16860645,-1948290.9104908,-1792628.45243768,-1660316.90423664,-1052133.81134096
"Cml Pop Growth","Neonatal Female",-1073799.34742527,58706.9796223645,-1246721.18579679,-1115410.40679457,-1073749.43364421,-1035451.60777847,-863969.450180636
"Cml Pop Growth","Neonatal Male",-869325.133511882,57253.28269403,-1021565.86951455,-909298.423565572,-870644.323700719,-830376.748150116,-690787.449308251
"Cml Pop Growth","Neonatal Combined",-1943124.48093716,110484.674046323,-2256643.17349576,-2018858.02699522,-1943216.8379305,-1868838.24061244,-1578337.07100286
"Cml Pop Growth","Juvenile Female",82312.8788590518,33833.543896215,-15495.377262752,60093.2988607878,82891.7912520049,104436.119795024,183949.123961817
"Cml Pop Growth","Juvenile Male",73158.5655208813,28098.1538035733,-11660.3775500639,54390.6809277157,73695.0657706751,90823.1559308188,165455.883319446
"Cml Pop Growth","Juvenile Combined",155471.444379933,58150.279418521,-9059.15187907638,116488.634818847,155391.232906812,194739.695982131,336726.145048414
"Cml Pop Growth","Adult Female",325939.653338137,61922.6550416789,132735.982320333,284239.043149972,323052.154042346,368177.666182543,501607.457858296
"Cml Pop Growth","Adult Male",-338632.198219688,24141.3205574993,-415356.722756301,-355027.137064748,-339331.964585908,-322312.326594939,-257272.002059407
"Total Number Increase","Overall",3047848.06899976,213057.225583139,2482947.65234272,2891670.07150255,3054106.78855051,3196311.75665712,3843343.4974928
"Total Number Increase","Neonatal Female",-1073799.34742527,58706.9796223645,-1246721.18579679,-1115410.40679457,-1073749.43364421,-1035451.60777847,-863969.450180636
"Total Number Increase","Neonatal Male",-869325.133511882,57253.28269403,-1021565.86951455,-909298.423565572,-870644.323700719,-830376.748150116,-690787.449308251
"Total Number Increase","Neonatal Combined",-1943124.48093716,110484.674046323,-2256643.17349576,-2018858.02699522,-1943216.8379305,-1868838.24061244,-1578337.07100286
"Total Number Increase","Juvenile Female",237203.560688697,35131.4266580847,135749.001134395,214367.576947442,238112.817312785,259783.943685887,342537.626524306
"Total Number Increase","Juvenile Male",1008563.77647812,36621.4753645547,886661.978157123,984042.839225126,1009187.62242338,1031267.05198224,1123900.76057876
"Total Number Increase","Juvenile Combined",1245767.33716682,67187.7975611626,1041272.92502317,1199609.82516005,1245795.54265786,1291914.09393971,1457274.31124069
"Total Number Increase","Adult Female",1318480.21522158,64160.0789338943,1119152.37485126,1275574.97606375,1316465.19257781,1362718.91192051,1498431.83450694
"Total Number Increase","Adult Male",2426724.99754851,32057.9804322203,2330284.51067042,2405454.48389541,2425908.9870727,2449009.8638251,2535074.26484876
"Total Mortality","Overall",4189592.24883383,98299.307872252,3912903.59685168,4122376.84359975,4188535.3260596,4256883.53052215,4484147.35283744
"Total Mortality","Neonatal Female",1075257.72878759,57642.2622991853,886103.365232757,1033381.7296476,1075872.66731391,1114922.90530297,1239038.18784189
"Total Mortality","Neonatal Male",1035625.53792547,54724.459939669,859514.443421006,996636.673796197,1035925.22041079,1073428.39998492,1184319.28354343
"Total Mortality","Neonatal Combined",2110883.26671306,82105.138833351,1876499.16535085,2054941.85976159,2109781.28215927,2165017.19650271,2361549.51102088
"Total Mortality","Juvenile Female",481882.121247786,5010.19483566701,466423.587435346,478581.632023494,482014.410965716,485273.182606826,498761.704351106
"Total Mortality","Juvenile Male",368892.195870461,4164.8899488253,354267.971264806,366006.658738624,368980.091997765,371673.299527086,382452.518211031
"Total Mortality","Juvenile Combined",850774.317118247,8414.52880069614,825597.907734412,845240.023042466,850964.387967257,856497.272150427,874798.808809455
"Total Mortality","Adult Female",967016.521209102,54686.9545736067,787935.440273632,930230.357164878,965199.345690775,1005239.98143927,1132988.18637849
"Total Mortality","Adult Male",260918.143793415,12511.2818678836,223942.810763136,252509.659214128,261017.620142136,269501.167436887,298810.741041306
"Population Liveweight (kg)","Overall",496970763.210322,5660604.93533874,478353872.347763,493354498.079621,496963042.724319,500735859.789622,519589178.975207
"Population Liveweight (kg)","Neonatal Female",14811861.8435995,2677308.00827311,6369483.00403795,13064276.657554,14926476.5778077,16653143.4045624,23788985.1590827
"Population Liveweight (kg)","Neonatal Male",14523886.0238213,2790840.82834454,4189939.14644044,12672592.7935467,14502498.9939091,16439962.3973271,23043676.2335314
"Population Liveweight (kg)","Juvenile Female",21578172.9596489,1647200.1655816,16695083.7701938,20440383.532952,21619423.2340066,22699910.8196528,26737963.7700908
"Population Liveweight (kg)","Juvenile Male",16619519.3344338,1314218.33968165,12827551.4555027,15737625.6131625,16580691.2638301,17492469.59047,21552066.7346718
"Population Liveweight (kg)","Juvenile Combined",38197692.2940827,2187344.26071085,31533814.2175222,36795310.5457839,38200518.6893045,39658188.968113,44646396.0177676
"Population Liveweight (kg)","Adult Female",363944407.012021,2927063.4315179,355250967.337641,361928135.427666,363942697.344469,365842018.13252,372245288.41879
"Population Liveweight (kg)","Adult Male",65492916.0367973,809674.848096254,63053612.8563373,64929953.755119,65483698.400585,66078352.1076462,68052556.0788427
"Offtake Liveweight (kg)","Overall",113839529.068143,1198113.29645906,110559052.270614,113034822.322469,113796949.892587,114606314.843618,118017231.878948
"Offtake Liveweight (kg)","Juvenile Female",2109823.90546311,155603.904447119,1528554.53833636,2001519.47818577,2111919.50689764,2215471.37759602,2653274.16251543
"Offtake Liveweight (kg)","Juvenile Male",12781745.7244537,952048.073754276,10121256.6172626,12136737.3821509,12783629.2295602,13362895.7339249,16261516.1929759
"Offtake Liveweight (kg)","Adult Female",32291338.908276,219057.970761889,31494762.0933783,32148659.4590005,32283614.7802628,32433562.3607279,32996183.4023
"Offtake Liveweight (kg)","Adult Male",66656620.5299499,602766.981852707,64651999.3926,66237965.2787156,66635763.533009,67077323.1779323,68981048.7041097
"Meat (kg)","Overall",312943883.00848,1247722.59851201,309252284.185766,312081324.602159,312923965.924251,313807490.932659,316907414.006405
"Manure","Overall",749958788.367263,19962967.7893031,683864763.044278,735887479.867137,749101620.066307,764495925.3658,806731269.967417
"Manure","Neonatal Female",71505389.2416501,3633035.93772282,59460150.3748009,68961148.8526195,71407806.7422244,74016206.1628578,82841684.0609585
"Manure","Neonatal Male",69072412.5691803,3429949.3734571,58987000.3066844,66812396.5426149,69036709.0032249,71460968.0186822,79702325.0091403
"Manure","Neonatal Combined",140577801.81083,5242205.94686326,123930134.111702,136850655.615649,140746564.698389,144134351.523353,156822163.409779
"Manure","Juvenile Female",62164875.3864949,2898683.84577647,53825312.6886244,60206628.6509489,62007477.2097608,64095298.7796601,73257836.907052
"Manure","Juvenile Male",47508353.4254825,2282535.32158489,40759703.0729069,45983092.4817636,47475176.9439185,48976872.8363189,54470412.6525061
"Manure","Juvenile Combined",109673228.811977,3725236.15665778,98603217.3778431,107133130.082544,109698205.379351,112091980.403254,121522002.666287
"Manure","Adult Female",397204913.039974,18253539.2419401,335095282.075758,383910588.633809,397606139.07629,410072754.446056,449676085.321445
"Manure","Adult Male",102502844.704481,4592822.55532833,89908810.1915033,99384358.7245884,102614660.508587,105574952.459842,116674607.067575
"Hides","Overall",1039354.49106038,28253.3500686761,939260.693571419,1020531.25199068,1039381.89722449,1058404.60320111,1125984.3368719
"Hides","Juvenile Female",240941.060623893,2505.09741783351,233211.793717673,239290.816011747,241007.205482858,242636.591303413,249380.852175553
"Hides","Juvenile Male",184446.097935231,2082.44497441265,177133.985632403,183003.329369312,184490.045998882,185836.649763543,191226.259105515
"Hides","Juvenile Combined",425387.158559124,4207.26440034807,412798.953867206,422620.011521233,425482.193983628,428248.636075214,437399.404404727
"Hides","Adult Female",483508.260604551,27343.4772868033,393967.720136816,465115.178582439,482599.672845388,502619.990719636,566494.093189246
"Hides","Adult Male",130459.071896708,6255.64093394182,111971.405381568,126254.829607064,130508.810071068,134750.583718444,149405.370520653
"Milk","Overall",71927100.2504974,1120103.46582187,67978865.7102518,71205861.2558151,71976395.4855557,72684963.0091615,75788074.0401585
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",1664217727.38777,55925008.5029112,1503688535.90587,1624243221.05211,1663980708.66877,1702398544.49038,1827482938.0429
"Cml Dry Matter","Neonatal Female",157724269.126864,8893697.41482884,131684004.610045,151620333.327242,157563908.597917,163966761.839479,186549315.269356
"Cml Dry Matter","Neonatal Male",153007621.637988,8801734.34043116,119108371.984391,147149167.386477,153078511.952254,159137569.177958,179000290.63423
"Cml Dry Matter","Neonatal Combined",310731890.764852,12929149.3478576,268673394.143387,302299034.863831,310389629.766756,319569593.541619,346253933.550506
"Cml Dry Matter","Juvenile Female",137390191.229633,7871645.58007267,112407183.97405,131903880.338066,137340558.785723,142438203.359875,161543227.129781
"Cml Dry Matter","Juvenile Male",105627384.834134,6030486.26448229,82195062.586634,101598370.925213,105471606.425068,109826901.187888,126119409.042451
"Cml Dry Matter","Juvenile Combined",243017576.063766,9964690.00834399,215763454.61643,236091256.879377,242998383.504832,249977657.572814,275997492.883892
"Cml Dry Matter","Adult Female",882970388.299963,51161789.0890895,720823622.658836,847520166.665115,880971125.166298,915848408.75729,1071909198.73672
"Cml Dry Matter","Adult Male",227497872.259185,12336964.8247709,184788296.792163,218819084.789687,227402096.094543,235909227.406527,261098244.646912
"Value of Offtake","Overall",17525454735.1246,1981395344.50796,12360618613.2953,16053513714.257,17528640931.7373,19008905961.2089,22837707276.7462
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",275633586.06737,23537839.8611412,216141972.801831,257824846.859459,276131154.765523,292257365.386825,333029949.851224
