"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",5769037.28416679,NA,5769037.28416679,5769037.28416679,5769037.28416679,5769037.28416679,5769037.28416679
"Num Offtake","Neonatal Female",0,NA,0,0,0,0,0
"Num Offtake","Neonatal Male",0,NA,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,NA,0,0,0,0,0
"Num Offtake","Juvenile Female",219900.720000004,NA,219900.720000004,219900.720000004,219900.720000004,219900.720000004,219900.720000004
"Num Offtake","Juvenile Male",1372193.27416669,NA,1372193.27416669,1372193.27416669,1372193.27416669,1372193.27416669,1372193.27416669
"Num Offtake","Juvenile Combined",1592093.9941667,NA,1592093.9941667,1592093.9941667,1592093.9941667,1592093.9941667,1592093.9941667
"Num Offtake","Adult Female",1061800.65000004,NA,1061800.65000004,1061800.65000004,1061800.65000004,1061800.65000004,1061800.65000004
"Num Offtake","Adult Male",3115142.64000006,NA,3115142.64000006,3115142.64000006,3115142.64000006,3115142.64000006,3115142.64000006
"Cml Pop Growth","Overall",9367535.04987431,NA,9367535.04987431,9367535.04987431,9367535.04987431,9367535.04987431,9367535.04987431
"Cml Pop Growth","Neonatal Female",1235410.34702069,NA,1235410.34702069,1235410.34702069,1235410.34702069,1235410.34702069,1235410.34702069
"Cml Pop Growth","Neonatal Male",1428507.0570207,NA,1428507.0570207,1428507.0570207,1428507.0570207,1428507.0570207,1428507.0570207
"Cml Pop Growth","Neonatal Combined",2663917.40404139,NA,2663917.40404139,2663917.40404139,2663917.40404139,2663917.40404139,2663917.40404139
"Cml Pop Growth","Juvenile Female",1783991.27999997,NA,1783991.27999997,1783991.27999997,1783991.27999997,1783991.27999997,1783991.27999997
"Cml Pop Growth","Juvenile Male",1480378.50583322,NA,1480378.50583322,1480378.50583322,1480378.50583322,1480378.50583322,1480378.50583322
"Cml Pop Growth","Juvenile Combined",3264369.78583319,NA,3264369.78583319,3264369.78583319,3264369.78583319,3264369.78583319,3264369.78583319
"Cml Pop Growth","Adult Female",2611750.66999983,NA,2611750.66999983,2611750.66999983,2611750.66999983,2611750.66999983,2611750.66999983
"Cml Pop Growth","Adult Male",827497.189999899,NA,827497.189999899,827497.189999899,827497.189999899,827497.189999899,827497.189999899
"Total Number Increase","Overall",15136572.3340411,NA,15136572.3340411,15136572.3340411,15136572.3340411,15136572.3340411,15136572.3340411
"Total Number Increase","Neonatal Female",1235410.34702069,NA,1235410.34702069,1235410.34702069,1235410.34702069,1235410.34702069,1235410.34702069
"Total Number Increase","Neonatal Male",1428507.0570207,NA,1428507.0570207,1428507.0570207,1428507.0570207,1428507.0570207,1428507.0570207
"Total Number Increase","Neonatal Combined",2663917.40404139,NA,2663917.40404139,2663917.40404139,2663917.40404139,2663917.40404139,2663917.40404139
"Total Number Increase","Juvenile Female",2003891.99999998,NA,2003891.99999998,2003891.99999998,2003891.99999998,2003891.99999998,2003891.99999998
"Total Number Increase","Juvenile Male",2852571.77999991,NA,2852571.77999991,2852571.77999991,2852571.77999991,2852571.77999991,2852571.77999991
"Total Number Increase","Juvenile Combined",4856463.77999989,NA,4856463.77999989,4856463.77999989,4856463.77999989,4856463.77999989,4856463.77999989
"Total Number Increase","Adult Female",3673551.31999986,NA,3673551.31999986,3673551.31999986,3673551.31999986,3673551.31999986,3673551.31999986
"Total Number Increase","Adult Male",3942639.82999996,NA,3942639.82999996,3942639.82999996,3942639.82999996,3942639.82999996,3942639.82999996
"Total Mortality","Overall",0,NA,0,0,0,0,0
"Total Mortality","Neonatal Female",0,NA,0,0,0,0,0
"Total Mortality","Neonatal Male",0,NA,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,NA,0,0,0,0,0
"Total Mortality","Juvenile Female",0,NA,0,0,0,0,0
"Total Mortality","Juvenile Male",0,NA,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,NA,0,0,0,0,0
"Total Mortality","Adult Female",0,NA,0,0,0,0,0
"Total Mortality","Adult Male",0,NA,0,0,0,0,0
"Population Liveweight (kg)","Overall",711611335.148865,NA,711611335.148865,711611335.148865,711611335.148865,711611335.148865,711611335.148865
"Population Liveweight (kg)","Neonatal Female",49317321.2782351,NA,49317321.2782351,49317321.2782351,49317321.2782351,49317321.2782351,49317321.2782351
"Population Liveweight (kg)","Neonatal Male",51973371.7533359,NA,51973371.7533359,51973371.7533359,51973371.7533359,51973371.7533359,51973371.7533359
"Population Liveweight (kg)","Juvenile Female",68301457.18945,NA,68301457.18945,68301457.18945,68301457.18945,68301457.18945,68301457.18945
"Population Liveweight (kg)","Juvenile Male",59086511.9738438,NA,59086511.9738438,59086511.9738438,59086511.9738438,59086511.9738438,59086511.9738438
"Population Liveweight (kg)","Juvenile Combined",127387969.163294,NA,127387969.163294,127387969.163294,127387969.163294,127387969.163294,127387969.163294
"Population Liveweight (kg)","Adult Female",367932953.382263,NA,367932953.382263,367932953.382263,367932953.382263,367932953.382263,367932953.382263
"Population Liveweight (kg)","Adult Male",114999719.571737,NA,114999719.571737,114999719.571737,114999719.571737,114999719.571737,114999719.571737
"Offtake Liveweight (kg)","Overall",156655789.2789,NA,156655789.2789,156655789.2789,156655789.2789,156655789.2789,156655789.2789
"Offtake Liveweight (kg)","Juvenile Female",4559732.59983809,NA,4559732.59983809,4559732.59983809,4559732.59983809,4559732.59983809,4559732.59983809
"Offtake Liveweight (kg)","Juvenile Male",30849830.0253388,NA,30849830.0253388,30849830.0253388,30849830.0253388,30849830.0253388,30849830.0253388
"Offtake Liveweight (kg)","Adult Female",28994581.5049269,NA,28994581.5049269,28994581.5049269,28994581.5049269,28994581.5049269,28994581.5049269
"Offtake Liveweight (kg)","Adult Male",92251645.1487959,NA,92251645.1487959,92251645.1487959,92251645.1487959,92251645.1487959,92251645.1487959
"Meat (kg)","Overall",403924633.280112,NA,403924633.280112,403924633.280112,403924633.280112,403924633.280112,403924633.280112
"Manure","Overall",437357683.266362,NA,437357683.266362,437357683.266362,437357683.266362,437357683.266362,437357683.266362
"Manure","Neonatal Female",126776749.750984,NA,126776749.750984,126776749.750984,126776749.750984,126776749.750984,126776749.750984
"Manure","Neonatal Male",123954014.36274,NA,123954014.36274,123954014.36274,123954014.36274,123954014.36274,123954014.36274
"Manure","Neonatal Combined",250730764.113724,NA,250730764.113724,250730764.113724,250730764.113724,250730764.113724,250730764.113724
"Manure","Juvenile Female",186626919.152638,NA,186626919.152638,186626919.152638,186626919.152638,186626919.152638,186626919.152638
"Manure","Juvenile Male",148035131.092073,NA,148035131.092073,148035131.092073,148035131.092073,148035131.092073,148035131.092073
"Manure","Juvenile Combined",334662050.244711,NA,334662050.244711,334662050.244711,334662050.244711,334662050.244711,334662050.244711
"Manure","Adult Female",1297796121.55559,NA,1297796121.55559,1297796121.55559,1297796121.55559,1297796121.55559,1297796121.55559
"Manure","Adult Male",357936174.207474,NA,357936174.207474,357936174.207474,357936174.207474,357936174.207474,357936174.207474
"Hides","Overall",5769037.28416679,NA,5769037.28416679,5769037.28416679,5769037.28416679,5769037.28416679,5769037.28416679
"Hides","Juvenile Female",219900.720000004,NA,219900.720000004,219900.720000004,219900.720000004,219900.720000004,219900.720000004
"Hides","Juvenile Male",1372193.27416669,NA,1372193.27416669,1372193.27416669,1372193.27416669,1372193.27416669,1372193.27416669
"Hides","Juvenile Combined",1592093.9941667,NA,1592093.9941667,1592093.9941667,1592093.9941667,1592093.9941667,1592093.9941667
"Hides","Adult Female",1061800.65000004,NA,1061800.65000004,1061800.65000004,1061800.65000004,1061800.65000004,1061800.65000004
"Hides","Adult Male",3115142.64000006,NA,3115142.64000006,3115142.64000006,3115142.64000006,3115142.64000006,3115142.64000006
"Milk","Overall",140005757.429214,NA,140005757.429214,140005757.429214,140005757.429214,140005757.429214,140005757.429214
"Wool","Overall",0,NA,0,0,0,0,0
"Cml Dry Matter","Overall",5746575086.21007,NA,5746575086.21007,5746575086.21007,5746575086.21007,5746575086.21007,5746575086.21007
"Cml Dry Matter","Neonatal Female",403302914.707589,NA,403302914.707589,403302914.707589,403302914.707589,403302914.707589,403302914.707589
"Cml Dry Matter","Neonatal Male",417940000.841108,NA,417940000.841108,417940000.841108,417940000.841108,417940000.841108,417940000.841108
"Cml Dry Matter","Neonatal Combined",821242915.548697,NA,821242915.548697,821242915.548697,821242915.548697,821242915.548697,821242915.548697
"Cml Dry Matter","Juvenile Female",503341638.957705,NA,503341638.957705,503341638.957705,503341638.957705,503341638.957705,503341638.957705
"Cml Dry Matter","Juvenile Male",432875277.249735,NA,432875277.249735,432875277.249735,432875277.249735,432875277.249735,432875277.249735
"Cml Dry Matter","Juvenile Combined",936216916.20744,NA,936216916.20744,936216916.20744,936216916.20744,936216916.20744,936216916.20744
"Cml Dry Matter","Adult Female",3070533409.59978,NA,3070533409.59978,3070533409.59978,3070533409.59978,3070533409.59978,3070533409.59978
"Cml Dry Matter","Adult Male",918581844.854155,NA,918581844.854155,918581844.854155,918581844.854155,918581844.854155,918581844.854155
"Value of Offtake","Overall",35457137275.7145,NA,35457137275.7145,35457137275.7145,35457137275.7145,35457137275.7145,35457137275.7145
"Value of Offtake","Neonatal Female",0,NA,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,NA,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,NA,0,0,0,0,0
"Value of Offtake","Juvenile Female",687656584.686526,NA,687656584.686526,687656584.686526,687656584.686526,687656584.686526,687656584.686526
"Value of Offtake","Juvenile Male",6901953097.10814,NA,6901953097.10814,6901953097.10814,6901953097.10814,6901953097.10814,6901953097.10814
"Value of Offtake","Juvenile Combined",7589609681.79467,NA,7589609681.79467,7589609681.79467,7589609681.79467,7589609681.79467,7589609681.79467
"Value of Offtake","Adult Female",3795732160.51742,NA,3795732160.51742,3795732160.51742,3795732160.51742,3795732160.51742,3795732160.51742
"Value of Offtake","Adult Male",24071795433.4024,NA,24071795433.4024,24071795433.4024,24071795433.4024,24071795433.4024,24071795433.4024
"Value of Herd Increase","Overall",33429231819.1436,NA,33429231819.1436,33429231819.1436,33429231819.1436,33429231819.1436,33429231819.1436
"Value of Herd Increase","Neonatal Female",1414723213.38289,NA,1414723213.38289,1414723213.38289,1414723213.38289,1414723213.38289,1414723213.38289
"Value of Herd Increase","Neonatal Male",3261143058.19145,NA,3261143058.19145,3261143058.19145,3261143058.19145,3261143058.19145,3261143058.19145
"Value of Herd Increase","Neonatal Combined",4675866271.57435,NA,4675866271.57435,4675866271.57435,4675866271.57435,4675866271.57435,4675866271.57435
"Value of Herd Increase","Juvenile Female",5578991435.95368,NA,5578991435.95368,5578991435.95368,5578991435.95368,5578991435.95368,5578991435.95368
"Value of Herd Increase","Juvenile Male",7443932634.68663,NA,7443932634.68663,7443932634.68663,7443932634.68663,7443932634.68663,7443932634.68663
"Value of Herd Increase","Juvenile Combined",13022924070.6403,NA,13022924070.6403,13022924070.6403,13022924070.6403,13022924070.6403,13022924070.6403
"Value of Herd Increase","Adult Female",9335393587.61713,NA,9335393587.61713,9335393587.61713,9335393587.61713,9335393587.61713,9335393587.61713
