"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",5415228.90051585,94907.5689665683,5167389.78307456,5348446.33503135,5414986.75896702,5477870.19803067,5747718.00213449
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",197193.865831324,7634.07766923457,173124.129985616,191902.82079527,197255.518280241,202265.063977835,222955.168389814
"Num Offtake","Juvenile Male",1234215.67111549,54550.6449319517,1076519.18748631,1196018.63472341,1234102.00958843,1271446.5522299,1423903.15970041
"Num Offtake","Juvenile Combined",1431409.53694682,55112.9905224033,1273274.81002042,1393057.95038801,1430102.56835856,1468576.50985832,1624209.15598567
"Num Offtake","Adult Female",1060830.17647987,4829.53227099865,1046231.20821819,1057710.11128385,1060838.11427292,1064003.8948018,1078111.56838035
"Num Offtake","Adult Male",2922989.18708916,40878.3017850323,2808607.96774887,2892465.24948419,2923148.62799883,2950581.05182877,3060521.88682981
"Cml Pop Growth","Overall",5185320.99628621,679460.304022777,3312365.92957412,4716522.94727192,5205683.35074914,5666541.22000996,7614767.6688716
"Cml Pop Growth","Neonatal Female",450808.477953745,293934.216637999,-506409.82255389,256385.277750088,444887.163141311,655077.372633505,1411915.52361553
"Cml Pop Growth","Neonatal Male",648942.356468164,294631.20098871,-235160.859753374,440538.003325333,651751.972164582,849882.009510848,1550907.03724099
"Cml Pop Growth","Neonatal Combined",1099750.83442191,410125.747006475,-153069.832433877,823201.661452726,1103803.2511103,1381815.54423272,2490611.06338051
"Cml Pop Growth","Juvenile Female",1024195.55693677,155524.66353517,623300.012238296,913607.417565366,1026077.67228828,1124041.11991695,1487299.92246196
"Cml Pop Growth","Juvenile Male",886727.748036944,134253.217039837,444947.497212892,794059.488349272,889808.256533099,975320.017963795,1400135.24708782
"Cml Pop Growth","Juvenile Combined",1910923.30497372,207324.234557423,1338592.14549944,1765373.94061874,1918124.67691901,2062401.41413251,2583094.85633265
"Cml Pop Growth","Adult Female",1957967.56896897,143941.190046018,1500349.42135461,1858083.20753386,1957274.29698662,2051821.09435164,2447431.34835107
"Cml Pop Growth","Adult Male",216679.287921611,105570.344103551,-74474.2705326029,143654.720634083,217740.364070509,289866.538878509,587021.258487908
"Total Number Increase","Overall",10600549.8968021,729110.591918498,8589594.40232557,10087971.3952392,10628745.7566332,11104523.068093,13201626.0873773
"Total Number Increase","Neonatal Female",450808.477953745,293934.216637999,-506409.82255389,256385.277750088,444887.163141311,655077.372633505,1411915.52361553
"Total Number Increase","Neonatal Male",648942.356468164,294631.20098871,-235160.859753374,440538.003325333,651751.972164582,849882.009510848,1550907.03724099
"Total Number Increase","Juvenile Female",1221389.4227681,161875.657600534,808901.589000106,1107197.96560365,1223649.18689809,1324491.51941333,1705444.21818736
"Total Number Increase","Juvenile Male",2120943.41915244,180953.014888191,1521466.6846992,1992340.32265588,2122964.49714536,2244001.92661557,2801498.62373265
"Total Number Increase","Adult Female",3018797.74544884,148613.041537736,2546580.6295728,2916344.93527004,3018088.31202295,3116130.35152001,3525542.91673142
"Total Number Increase","Adult Male",3139668.47501077,144883.193287513,2759462.35894927,3038541.23581091,3140518.0552817,3235034.31394683,3647543.14531772
"Total Mortality","Overall",4462509.03853952,194823.085086363,3860835.33925452,4335213.80332105,4451929.97996494,4586762.49202548,5128433.88060412
