"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",4980167.05454676,3.05293965545054,4980164.89579243,4980165.97516959,4980167.05454676,4980168.13392393,4980169.21330109
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",166851.266250002,0.0265165042986114,166851.247500002,166851.256875002,166851.266250002,166851.275625002,166851.285000002
"Num Offtake","Juvenile Male",999547.496250006,4.14187797074752,999544.567500006,999546.031875006,999547.496250006,999548.960625006,999550.425000006
"Num Offtake","Juvenile Combined",1166398.76250001,4.16839447510787,1166395.81500001,1166397.28875001,1166398.76250001,1166400.23625001,1166401.71000001
"Num Offtake","Adult Female",999971.216250033,0.355321157589046,999970.965000033,999971.090625033,999971.216250033,999971.341875033,999971.467500033
"Num Offtake","Adult Male",2813797.07579672,1.47077597716406,2813796.03580105,2813796.55579888,2813797.07579672,2813797.59579455,2813798.11579239
"Cml Pop Growth","Overall",-1031621.66768132,4.61730336630191,-1031624.93260784,-1031623.30014458,-1031621.66768132,-1031620.03521806,-1031618.4027548
"Cml Pop Growth","Neonatal Female",-1052061.86436835,10.6675236720427,-1052069.40744668,-1052065.63590751,-1052061.86436835,-1052058.09282919,-1052054.32129002
"Cml Pop Growth","Neonatal Male",-848075.495245639,19.5560833257908,-848089.323484772,-848082.409365206,-848075.495245639,-848068.581126073,-848061.667006506
"Cml Pop Growth","Neonatal Combined",-1900137.35961399,30.2236069978335,-1900158.73093145,-1900148.04527272,-1900137.35961399,-1900126.67395526,-1900115.98829653
"Cml Pop Growth","Juvenile Female",291749.063749966,4.06056069075301,291746.192499966,291747.628124966,291749.063749966,291750.499374965,291751.934999965
"Cml Pop Growth","Juvenile Male",206286.388749928,17.6157976868696,206273.932499927,206280.160624927,206286.388749928,206292.616874928,206298.844999928
"Cml Pop Growth","Juvenile Combined",498035.452499893,21.6763583776226,498020.124999893,498027.788749893,498035.452499893,498043.116249893,498050.779999893
"Cml Pop Growth","Adult Female",575544.608220902,5.6897885516108,575540.584932834,575542.596576868,575544.608220902,575546.619864936,575548.631508971
"Cml Pop Growth","Adult Male",-205064.368788127,7.47476343654834,-205069.654244041,-205067.011516084,-205064.368788127,-205061.72606017,-205059.083332214
"Total Number Increase","Overall",3948545.38686544,7.67024302339881,3948539.96318458,3948542.67502501,3948545.38686544,3948548.09870586,3948550.81054629
"Total Number Increase","Neonatal Female",-1052061.86436835,10.6675236720427,-1052069.40744668,-1052065.63590751,-1052061.86436835,-1052058.09282919,-1052054.32129002
"Total Number Increase","Neonatal Male",-848075.495245639,19.5560833257908,-848089.323484772,-848082.409365206,-848075.495245639,-848068.581126073,-848061.667006506
"Total Number Increase","Neonatal Combined",-1900137.35961399,30.2236069978335,-1900158.73093145,-1900148.04527272,-1900137.35961399,-1900126.67395526,-1900115.98829653
"Total Number Increase","Juvenile Female",458600.329999967,4.08707719503105,458597.439999967,458598.884999967,458600.329999967,458601.774999967,458603.219999967
"Total Number Increase","Juvenile Male",1205833.88499993,21.7576756577818,1205818.49999993,1205826.19249993,1205833.88499993,1205841.57749993,1205849.26999993
"Total Number Increase","Juvenile Combined",1664434.2149999,25.8447528527305,1664415.9399999,1664425.0774999,1664434.2149999,1664443.3524999,1664452.4899999
"Total Number Increase","Adult Female",1575515.82447094,6.04510970911753,1575511.54993287,1575513.6872019,1575515.82447094,1575517.96173997,1575520.099009
"Total Number Increase","Adult Male",2608732.70700859,6.00398745938428,2608728.46154834,2608730.58427847,2608732.70700859,2608734.82973871,2608736.95246884
"Total Mortality","Overall",3342774.9282766,52.6929880819124,3342737.66870741,3342756.298492,3342774.9282766,3342793.5580612,3342812.18784579
"Total Mortality","Neonatal Female",1074408.55635668,16.3126389111199,1074397.02157909,1074402.78896789,1074408.55635668,1074414.32374548,1074420.09113428
"Total Mortality","Neonatal Male",1033211.38223396,36.3942440834704,1033185.64761717,1033198.51492556,1033211.38223396,1033224.24954235,1033237.11685075
"Total Mortality","Neonatal Combined",2107619.93859064,52.7068829943434,2107582.66919626,2107601.30389345,2107619.93859064,2107638.57328783,2107657.20798502
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",971948.411694526,5.88272475387834,971944.251979961,971946.331837243,971948.411694526,971950.491551809,971952.571409091
"Total Mortality","Adult Male",263206.577991434,5.89661966655627,263202.408451681,263204.493221558,263206.577991434,263208.66276131,263210.747531186
"Population Liveweight (kg)","Overall",441169566.369836,8623.25912377773,441163468.804834,441166517.587335,441169566.369836,441172615.152338,441175663.934839
"Population Liveweight (kg)","Neonatal Female",14902368.1107425,1593.19345968042,14901241.5528435,14901804.831793,14902368.1107425,14902931.3896921,14903494.6686416
"Population Liveweight (kg)","Neonatal Male",14769953.55818,3397.98383665112,14767550.8207667,14768752.1894734,14769953.55818,14771154.9268866,14772356.2955933
"Population Liveweight (kg)","Juvenile Female",37208567.684028,4820.95071378074,37205158.7570866,37206863.2205573,37208567.684028,37210272.1474988,37211976.6109695
"Population Liveweight (kg)","Juvenile Male",18408502.7586034,436.871359017051,18408193.843903,18408348.3012532,18408502.7586034,18408657.2159537,18408811.6733039
"Population Liveweight (kg)","Juvenile Combined",55617070.4426315,4384.07935476369,55613970.4303904,55615520.436511,55617070.4426315,55618620.448752,55620170.4548725
"Population Liveweight (kg)","Adult Female",287184656.560486,511.945776566142,287184294.560155,287184475.56032,287184656.560486,287184837.560651,287185018.560816
"Population Liveweight (kg)","Adult Male",68695517.6977968,240.051750779017,68695347.955576,68695432.8266864,68695517.6977968,68695602.5689072,68695687.4400176
"Offtake Liveweight (kg)","Overall",109957591.680664,436.759842823358,109957282.844818,109957437.262741,109957591.680664,109957746.098587,109957900.516511
"Offtake Liveweight (kg)","Juvenile Female",3448134.4270679,105.762446168689,3448059.64172502,3448097.03439646,3448134.4270679,3448171.81973934,3448209.21241078
"Offtake Liveweight (kg)","Juvenile Male",13604567.9471627,246.226080026624,13604393.8390318,13604480.8930972,13604567.9471627,13604655.0012281,13604742.0552936
"Offtake Liveweight (kg)","Adult Female",25101619.1152845,217.525179124998,25101465.3017553,25101542.2085199,25101619.1152845,25101696.0220491,25101772.9288137
"Offtake Liveweight (kg)","Adult Male",67803270.1911491,78.7710298453644,67803214.4916198,67803242.3413844,67803270.1911491,67803298.0409138,67803325.8906785
"Meat (kg)","Overall",300352700.357592,1449.61479323916,300351675.325142,300352187.841367,300352700.357592,300353212.873818,300353725.390043
"Manure","Overall",276146843.406743,1542.56011361373,276145752.652026,276146298.029385,276146843.406743,276147388.784101,276147934.16146
"Manure","Neonatal Female",71586764.3747438,1047.94276320768,71586023.3673097,71586393.8710268,71586764.3747438,71587134.8784609,71587505.382178
"Manure","Neonatal Male",69329219.008676,1433.23354595507,69328205.5595166,69328712.2840963,69329219.008676,69329725.7332557,69330232.4578354
"Manure","Neonatal Combined",140915983.38342,2481.17630918382,140914228.926826,140915106.155123,140915983.38342,140916860.611717,140917737.840013
"Manure","Juvenile Female",135230860.023323,938.616195570096,135230196.321446,135230528.172385,135230860.023323,135231191.874261,135231523.7252
"Manure","Juvenile Male",102599507.269492,2274.47730305427,102597898.971167,102598703.120329,102599507.269492,102600311.418654,102601115.567816
"Manure","Juvenile Combined",237830367.292815,3213.09349862437,237828095.292613,237829231.292714,237830367.292815,237831503.292915,237832639.293016
"Manure","Adult Female",1205086261.83044,1388.56287471841,1205085279.96822,1205085770.89933,1205086261.83044,1205086752.76155,1205087243.69267
"Manure","Adult Male",314692460.085308,122.540299394397,314692373.436231,314692416.76077,314692460.085308,314692503.409846,314692546.734385
"Hides","Overall",5597744.54938974,3.05988711298312,5597742.38572281,5597743.46755628,5597744.54938974,5597745.6312232,5597746.71305667
"Hides","Juvenile Female",166851.266250002,0.0265165042986114,166851.247500002,166851.256875002,166851.266250002,166851.275625002,166851.285000002
"Hides","Juvenile Male",999547.496250006,4.14187797074752,999544.567500006,999546.031875006,999547.496250006,999548.960625006,999550.425000006
"Hides","Juvenile Combined",1166398.76250001,4.16839447510787,1166395.81500001,1166397.28875001,1166398.76250001,1166400.23625001,1166401.71000001
"Hides","Adult Female",1485945.4220973,2.58604121980287,1485943.59349001,1485944.50779365,1485945.4220973,1485946.33640094,1485947.25070458
"Hides","Adult Male",2945400.36479244,1.47753385685494,2945399.32001823,2945399.84240533,2945400.36479244,2945400.88717954,2945401.40956665
"Milk","Overall",72587188.7914705,356.243801382493,72586936.8890628,72587062.8402666,72587188.7914705,72587314.7426744,72587440.6938782
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",4135897679.19344,16858.2642438221,4135885758.60047,4135891718.89696,4135897679.19344,4135903639.48992,4135909599.78641
"Cml Dry Matter","Neonatal Female",158596567.695106,4092.71639811255,158593673.707588,158595120.701347,158596567.695106,158598014.688866,158599461.682625
"Cml Dry Matter","Neonatal Male",153286933.221595,8025.15134759846,153281258.582657,153284095.902126,153286933.221595,153289770.541064,153292607.860533
"Cml Dry Matter","Neonatal Combined",311883500.916701,3932.43494946484,311880720.265282,311882110.590991,311883500.916701,311884891.242411,311886281.56812
"Cml Dry Matter","Juvenile Female",363379771.802411,10310.2832698746,363372481.331195,363376126.566803,363379771.802411,363383417.038019,363387062.273628
"Cml Dry Matter","Juvenile Male",181557974.035236,1221.96174966098,181557109.977796,181557542.006516,181557974.035236,181558406.063956,181558838.092676
"Cml Dry Matter","Juvenile Combined",544937745.837647,11532.2450194935,544929591.308992,544933668.57332,544937745.837647,544941823.101975,544945900.366303
"Cml Dry Matter","Adult Female",2621845521.52376,1426.1518993053,2621844513.08208,2621845017.30292,2621845521.52376,2621846025.7446,2621846529.96543
"Cml Dry Matter","Adult Male",657230910.915336,32.5676244415436,657230887.886547,657230899.400941,657230910.915336,657230922.42973,657230933.944124
"Value of Offtake","Overall",24056378749.7273,3801046.23534616,24053691004.1587,24055034876.943,24056378749.7273,24057722622.5116,24059066495.2959
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",337827484.694385,55002.1669745913,337788592.289138,337808038.491761,337827484.694385,337846930.897009,337866377.099633
"Value of Offtake","Juvenile Male",3064435777.27848,792191.365835262,3063875613.3917,3064155695.33509,3064435777.27848,3064715859.22187,3064995941.16526
"Value of Offtake","Juvenile Combined",3402263261.97287,847193.532809516,3401664205.68084,3401963733.82685,3402263261.97287,3402562790.11888,3402862318.26489
"Value of Offtake","Adult Female",3569669849.56673,323285.14265157,3569441252.45011,3569555551.00842,3569669849.56673,3569784148.12504,3569898446.68336
"Value of Offtake","Adult Male",17084445638.1877,2630567.5598844,17082585546.0278,17083515592.1077,17084445638.1877,17085375684.2677,17086305730.3477
"Value of Herd Increase","Overall",-89659841.9874331,946132082.277369,-758676253.263909,-424168047.625671,-89659841.9874331,244848363.650805,579356569.289043
"Value of Herd Increase","Neonatal Female",-872757011.485263,7725602.61225335,-878219837.48114,-875488424.483202,-872757011.485263,-870025598.487325,-867294185.489386
"Value of Herd Increase","Neonatal Male",-1197029726.01621,408356259.188545,-1485781206.02841,-1341405466.02231,-1197029726.01621,-1052653986.01012,-908278246.004023
"Value of Herd Increase","Neonatal Combined",-2069786737.50148,400630656.576292,-2353075391.51779,-2211431064.50964,-2069786737.50148,-1928142410.49332,-1786498083.48516
"Value of Herd Increase","Juvenile Female",590655405.596285,59291.3647274526,590613480.27022,590634442.933252,590655405.596285,590676368.259317,590697330.922349
"Value of Herd Increase","Juvenile Male",632415902.712487,221122.00382662,632259545.844111,632337724.278299,632415902.712487,632494081.146675,632572259.580862
"Value of Herd Increase","Juvenile Combined",1223071308.30877,280413.368554157,1222873026.11433,1222972167.21155,1223071308.30877,1223170449.40599,1223269590.50321
"Value of Herd Increase","Adult Female",2054198378.07678,205632.205920081,2054052974.14954,2054125676.11316,2054198378.07678,2054271080.04039,2054343782.00401
"Value of Herd Increase","Adult Male",-1297142790.8715,545987471.275551,-1683214234.25334,-1490178512.56242,-1297142790.8715,-1104107069.18058,-911071347.489665
"Value of Herd Increase plus Offtake","Overall",23966718907.7399,942331036.042022,23300390242.032,23633554574.886,23966718907.7399,24299883240.5938,24633047573.4478
"Value of Herd Increase plus Offtake","Neonatal Female",-872757011.485263,7725602.61225335,-878219837.48114,-875488424.483202,-872757011.485263,-870025598.487325,-867294185.489386
"Value of Herd Increase plus Offtake","Neonatal Male",-1197029726.01621,408356259.188545,-1485781206.02841,-1341405466.02231,-1197029726.01621,-1052653986.01012,-908278246.004023
"Value of Herd Increase plus Offtake","Neonatal Combined",-2069786737.50148,400630656.576292,-2353075391.51779,-2211431064.50964,-2069786737.50148,-1928142410.49332,-1786498083.48516
