"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",4963381.85447042,19523.0328547618,4886425.89400606,4950275.76447127,4963101.92874736,4976598.21070837,5045358.83839907
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",164200.124916475,1414.76283058957,159538.21680909,163259.558879614,164180.679035183,165155.856128016,170088.073543577
"Num Offtake","Juvenile Male",998314.337530301,9963.7754251106,963469.9635309,991709.810583604,998130.04628445,1005020.22373587,1041417.32794718
"Num Offtake","Juvenile Combined",1162514.46244678,11346.5232448038,1123118.33842437,1155017.50016831,1162323.89795216,1170198.61313854,1211466.46199311
"Num Offtake","Adult Female",996764.052668028,2584.4221506092,987699.491820133,994997.649930739,996747.662600635,998534.240716768,1006346.63489381
"Num Offtake","Adult Male",2804103.33935562,8279.82507407341,2772462.61692343,2798401.9396313,2804051.37939125,2809737.79074802,2835852.60556518
"Cml Pop Growth","Overall",-419638.037847763,205759.539356015,-1275693.14419738,-559771.765297718,-421050.827518446,-282769.448273644,392877.27539463
"Cml Pop Growth","Neonatal Female",-749460.087415983,56664.1394837667,-946308.115577944,-787954.630602814,-750172.131080294,-712247.073383422,-503745.223663487
"Cml Pop Growth","Neonatal Male",-553023.440657731,56440.7215719037,-765801.012483908,-590853.882577923,-553531.807108688,-516217.34172642,-312134.81969434
"Cml Pop Growth","Neonatal Combined",-1302483.52807371,112615.693643494,-1704605.4321219,-1378457.72339153,-1303869.83836352,-1229475.00095513,-815880.043357827
"Cml Pop Growth","Juvenile Female",305927.96990729,32252.4015591125,164382.337768113,284061.463585157,305929.509797986,327188.942667307,423397.620705807
"Cml Pop Growth","Juvenile Male",257671.076139187,27866.0591357511,139081.280150267,238973.232226701,257488.085336179,276206.917172721,360735.156690977
"Cml Pop Growth","Juvenile Combined",563599.046046477,59776.6222986987,303463.61791838,523775.425238902,563645.174661517,603226.060080536,784132.777396784
"Cml Pop Growth","Adult Female",515938.498993525,58046.3109245713,297340.264370428,476331.125972228,515965.451386185,555223.893233534,742187.418194555
"Cml Pop Growth","Adult Male",-196692.054814051,23321.5822063496,-283839.242764723,-212307.205060027,-196662.845667034,-181223.873148304,-105949.994737826
"Total Number Increase","Overall",4543743.81662266,219395.859438114,3641739.90652973,4393926.17912393,4542613.86811688,4691672.53634697,5412917.63224052
"Total Number Increase","Neonatal Female",-749460.087415983,56664.1394837667,-946308.115577944,-787954.630602814,-750172.131080294,-712247.073383422,-503745.223663487
"Total Number Increase","Neonatal Male",-553023.440657731,56440.7215719037,-765801.012483908,-590853.882577923,-553531.807108688,-516217.34172642,-312134.81969434
"Total Number Increase","Neonatal Combined",-1302483.52807371,112615.693643494,-1704605.4321219,-1378457.72339153,-1303869.83836352,-1229475.00095513,-815880.043357827
"Total Number Increase","Juvenile Female",470128.094823765,33407.9415942082,323920.554577203,447473.007671954,470254.685726896,492180.066329277,593485.694249384
"Total Number Increase","Juvenile Male",1255985.41366949,36159.7468840714,1105671.29363821,1231422.19827353,1255641.63840626,1280034.74894796,1401952.35715263
"Total Number Increase","Juvenile Combined",1726113.50849325,69146.6762358358,1429591.84821541,1679328.43727541,1726301.81926461,1772034.54572096,1995438.05140202
"Total Number Increase","Adult Female",1512702.55166155,60168.3476052578,1286042.03114905,1471766.76510432,1512612.90841025,1553145.91268661,1748534.05308836
"Total Number Increase","Adult Male",2607411.28454157,30672.3166285014,2488623.37415871,2586977.10162991,2607326.47333057,2628028.51913954,2725938.51693774
"Total Mortality","Overall",2729065.75955124,60660.2684834133,2505551.53099178,2688646.03734657,2728993.47218809,2770355.65159712,2964672.15324236
"Total Mortality","Neonatal Female",298308.901763134,16234.541325771,231800.016116218,287347.513553686,298393.70073174,309475.207091435,359898.739882288
"Total Mortality","Neonatal Male",286631.713719267,15830.7732989342,228254.642935086,275924.87982802,286445.621387636,297269.613738641,358717.360346524
"Total Mortality","Neonatal Combined",584940.615482401,23527.4026329141,499366.577471846,569049.939693323,584708.537923707,600771.317806268,679921.073292974
"Total Mortality","Juvenile Female",510844.833073478,4401.48436183423,496341.118961613,507918.627625464,510784.334776124,513818.219064939,529162.895468907
"Total Mortality","Juvenile Male",393701.428885189,3929.37622398728,379959.98561782,391096.826709027,393628.750647389,396346.00372682,410699.791303115
"Total Mortality","Juvenile Combined",904546.261958667,8277.11320878237,876643.818619731,899065.980502044,904447.332884739,910114.032202448,939783.763256602
"Total Mortality","Adult Female",978594.041916787,53433.1887793043,776387.808900956,943077.317221344,978842.888686165,1014547.36193718,1188358.76298106
"Total Mortality","Adult Male",260984.840193382,12219.530021236,214871.162347985,252745.789544925,260956.721103823,269259.273666485,310145.367773382
"Population Liveweight (kg)","Overall",433214978.255871,6472089.40609422,410831491.587439,428861049.582825,433186931.681486,437450431.229648,459843516.963943
"Population Liveweight (kg)","Neonatal Female",17544163.3569135,3280689.98543751,4579773.83984814,15293312.1054931,17547309.1461414,19791259.8911292,29276000.2851184
"Population Liveweight (kg)","Neonatal Male",17361108.616804,3316561.87599265,4656254.65660942,15120900.0890871,17378562.2528014,19591606.5189804,30511317.4317878
"Population Liveweight (kg)","Juvenile Female",24681423.1086983,1877171.38400177,17457235.3886888,23417147.7083929,24688195.8871665,25940863.7423949,32213472.3815034
"Population Liveweight (kg)","Juvenile Male",19095509.3473692,1440226.77617939,12825033.6052875,18131464.28655,19095026.6356663,20058181.7694514,24829458.2619028
"Population Liveweight (kg)","Juvenile Combined",43776932.4560675,2438714.35795214,34041876.8366138,42135086.9230782,43751405.4105391,45435618.3140517,52982335.6619275
