"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",5002664.91000009,NA,5002664.91000009,5002664.91000009,5002664.91000009,5002664.91000009,5002664.91000009
"Num Offtake","Neonatal Female",0,NA,0,0,0,0,0
"Num Offtake","Neonatal Male",0,NA,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,NA,0,0,0,0,0
"Num Offtake","Juvenile Female",167536.665000002,NA,167536.665000002,167536.665000002,167536.665000002,167536.665000002,167536.665000002
"Num Offtake","Juvenile Male",1020774.27750001,NA,1020774.27750001,1020774.27750001,1020774.27750001,1020774.27750001,1020774.27750001
"Num Offtake","Juvenile Combined",1188310.94250001,NA,1188310.94250001,1188310.94250001,1188310.94250001,1188310.94250001,1188310.94250001
"Num Offtake","Adult Female",998274.847500033,NA,998274.847500033,998274.847500033,998274.847500033,998274.847500033,998274.847500033
"Num Offtake","Adult Male",2816079.12000005,NA,2816079.12000005,2816079.12000005,2816079.12000005,2816079.12000005,2816079.12000005
"Cml Pop Growth","Overall",104448.307073712,NA,104448.307073712,104448.307073712,104448.307073712,104448.307073712,104448.307073712
"Cml Pop Growth","Neonatal Female",-621682.053178606,NA,-621682.053178606,-621682.053178606,-621682.053178606,-621682.053178606,-621682.053178606
"Cml Pop Growth","Neonatal Male",-428585.34317862,NA,-428585.34317862,-428585.34317862,-428585.34317862,-428585.34317862,-428585.34317862
"Cml Pop Growth","Neonatal Combined",-1050267.39635723,NA,-1050267.39635723,-1050267.39635723,-1050267.39635723,-1050267.39635723,-1050267.39635723
"Cml Pop Growth","Juvenile Female",390617.624999918,NA,390617.624999918,390617.624999918,390617.624999918,390617.624999918,390617.624999918
"Cml Pop Growth","Juvenile Male",327518.44249988,NA,327518.44249988,327518.44249988,327518.44249988,327518.44249988,327518.44249988
"Cml Pop Growth","Juvenile Combined",718136.067499798,NA,718136.067499798,718136.067499798,718136.067499798,718136.067499798,718136.067499798
"Cml Pop Growth","Adult Female",585151.45528351,NA,585151.45528351,585151.45528351,585151.45528351,585151.45528351,585151.45528351
"Cml Pop Growth","Adult Male",-148571.81935237,NA,-148571.81935237,-148571.81935237,-148571.81935237,-148571.81935237,-148571.81935237
"Total Number Increase","Overall",5107113.2170738,NA,5107113.2170738,5107113.2170738,5107113.2170738,5107113.2170738,5107113.2170738
"Total Number Increase","Neonatal Female",-621682.053178606,NA,-621682.053178606,-621682.053178606,-621682.053178606,-621682.053178606,-621682.053178606
"Total Number Increase","Neonatal Male",-428585.34317862,NA,-428585.34317862,-428585.34317862,-428585.34317862,-428585.34317862,-428585.34317862
"Total Number Increase","Neonatal Combined",-1050267.39635723,NA,-1050267.39635723,-1050267.39635723,-1050267.39635723,-1050267.39635723,-1050267.39635723
"Total Number Increase","Juvenile Female",558154.289999919,NA,558154.289999919,558154.289999919,558154.289999919,558154.289999919,558154.289999919
"Total Number Increase","Juvenile Male",1348292.71999989,NA,1348292.71999989,1348292.71999989,1348292.71999989,1348292.71999989,1348292.71999989
"Total Number Increase","Juvenile Combined",1906447.00999981,NA,1906447.00999981,1906447.00999981,1906447.00999981,1906447.00999981,1906447.00999981
"Total Number Increase","Adult Female",1583426.30278354,NA,1583426.30278354,1583426.30278354,1583426.30278354,1583426.30278354,1583426.30278354
"Total Number Increase","Adult Male",2667507.30064768,NA,2667507.30064768,2667507.30064768,2667507.30064768,2667507.30064768,2667507.30064768
"Total Mortality","Overall",2170839.01323542,NA,2170839.01323542,2170839.01323542,2170839.01323542,2170839.01323542,2170839.01323542
"Total Mortality","Neonatal Female",0,NA,0,0,0,0,0
"Total Mortality","Neonatal Male",0,NA,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,NA,0,0,0,0,0
"Total Mortality","Juvenile Female",521225.180000002,NA,521225.180000002,521225.180000002,521225.180000002,521225.180000002,521225.180000002
"Total Mortality","Juvenile Male",402558.870000002,NA,402558.870000002,402558.870000002,402558.870000002,402558.870000002,402558.870000002
"Total Mortality","Juvenile Combined",923784.050000004,NA,923784.050000004,923784.050000004,923784.050000004,923784.050000004,923784.050000004
"Total Mortality","Adult Female",981633.353883073,NA,981633.353883073,981633.353883073,981633.353883073,981633.353883073,981633.353883073
"Total Mortality","Adult Male",265421.609352347,NA,265421.609352347,265421.609352347,265421.609352347,265421.609352347,265421.609352347
"Population Liveweight (kg)","Overall",440335587.749942,NA,440335587.749942,440335587.749942,440335587.749942,440335587.749942,440335587.749942
"Population Liveweight (kg)","Neonatal Female",18614540.5157556,NA,18614540.5157556,18614540.5157556,18614540.5157556,18614540.5157556,18614540.5157556
"Population Liveweight (kg)","Neonatal Male",18394956.2068555,NA,18394956.2068555,18394956.2068555,18394956.2068555,18394956.2068555,18394956.2068555
"Population Liveweight (kg)","Juvenile Female",25815167.532922,NA,25815167.532922,25815167.532922,25815167.532922,25815167.532922,25815167.532922
"Population Liveweight (kg)","Juvenile Male",20038493.7535736,NA,20038493.7535736,20038493.7535736,20038493.7535736,20038493.7535736,20038493.7535736
"Population Liveweight (kg)","Juvenile Combined",45853661.2864955,NA,45853661.2864955,45853661.2864955,45853661.2864955,45853661.2864955,45853661.2864955
"Population Liveweight (kg)","Adult Female",287400094.703448,NA,287400094.703448,287400094.703448,287400094.703448,287400094.703448,287400094.703448
"Population Liveweight (kg)","Adult Male",70072335.0373873,NA,70072335.0373873,70072335.0373873,70072335.0373873,70072335.0373873,70072335.0373873
