"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",3860772.20577219,30020.2855234105,3770268.86843852,3840601.85321896,3860601.33519573,3881593.65772531,3955885.37148444
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",76994.8946767596,1360.26195533674,72594.7189142981,76071.7993994881,76944.1730445651,77889.827189315,81859.6805603194
"Num Offtake","Juvenile Male",772073.959984548,15971.6999304413,722086.02214354,761547.866722667,771549.660696773,783426.001313453,813994.708184944
"Num Offtake","Juvenile Combined",849068.854661307,17014.5129852959,796728.133414559,837727.949410753,848474.561547766,861175.902059597,894189.334363441
"Num Offtake","Adult Female",577447.563357993,1857.82953496782,572114.650948541,576267.43395785,577498.295803314,578746.744508231,582867.027325235
"Num Offtake","Adult Male",2434255.78775289,14068.2117983078,2394852.14133214,2424880.58000467,2434266.83392923,2444060.28971818,2484316.18939001
"Cml Pop Growth","Overall",2029465.21519774,373196.493311489,834148.14252675,1770482.91633236,2035171.94568272,2272895.00348176,3534228.18223354
"Cml Pop Growth","Neonatal Female",224019.505311921,105558.400984049,-107935.920528893,155077.946462027,226743.40284136,291861.3372057,687985.25405323
"Cml Pop Growth","Neonatal Male",226287.527650051,105387.11194326,-110285.702137652,150855.278516908,224667.567690509,298402.008605137,542847.029193403
"Cml Pop Growth","Neonatal Combined",450307.032961973,202184.691686185,-214670.729852669,305236.778214207,450289.45149663,586067.706871052,1120359.6773414
"Cml Pop Growth","Juvenile Female",69005.6203544443,67531.2460824528,-154180.690838225,23512.7066484927,67123.7450035808,115263.142376525,336828.080606678
"Cml Pop Growth","Juvenile Male",465857.923758728,59698.7424141441,273565.572950057,423474.567739098,466617.690032059,505916.233587548,634245.194016646
"Cml Pop Growth","Juvenile Combined",534863.544113173,119530.528463303,119510.485726341,448245.054477998,534881.306549852,616169.863649224,954038.593242462
"Cml Pop Growth","Adult Female",837915.316726694,100802.636079276,538170.895225955,770630.471199193,843616.534887168,904040.968227683,1193769.49549352
