"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",3858798.04932139,29410.1782345689,3756478.52409688,3838834.73685252,3858730.96770675,3878732.99524294,3972925.91735581
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",76922.1584746873,1334.07364944631,72483.8923108212,76001.15773843,76911.0696334286,77808.1537160617,82890.8796301951
"Num Offtake","Juvenile Male",770865.110928826,15431.4269940473,714137.313712155,760283.126554552,770639.867576885,781143.243504299,827825.969413683
"Num Offtake","Juvenile Combined",847787.269403513,16409.6199436144,787055.365633498,836543.146490572,847509.851717977,858595.721483276,909982.809557735
"Num Offtake","Adult Female",577490.913788609,1816.88587422743,570689.52511135,576261.503436362,577504.808783023,578731.396952745,583473.798981164
"Num Offtake","Adult Male",2433519.86612927,14083.9324427675,2382544.91411049,2424039.17788554,2433566.34097482,2442960.19862806,2489908.9128001
"Cml Pop Growth","Overall",1995425.67862169,372846.569252376,661159.815918367,1734804.64340302,2000072.158043,2247380.19458765,3521092.0131592
"Cml Pop Growth","Neonatal Female",214680.178894871,108066.462118692,-221056.215054862,141004.715581191,214241.961597744,288240.054460848,612552.297353878
"Cml Pop Growth","Neonatal Male",214053.208972027,108939.641424286,-159273.751926243,140425.659498457,213380.598948859,288923.335905076,633586.372129568
"Cml Pop Growth","Neonatal Combined",428733.387866898,207870.75825419,-329943.726786393,285713.100567966,427696.622961381,570882.976830613,1175809.75039455
"Cml Pop Growth","Juvenile Female",64105.7528998459,66790.0648345371,-163991.608313306,18028.5415876094,64181.4133699364,109965.666514068,312707.678941942
"Cml Pop Growth","Juvenile Male",459381.736072206,57422.5766531382,262939.214978416,420683.10651163,459057.862327899,498439.887711147,673102.650807139
"Cml Pop Growth","Juvenile Combined",523487.488972052,115836.798441297,113200.638903191,444041.761039684,523544.357103734,601442.382519583,930865.607941942
"Cml Pop Growth","Adult Female",839952.729992772,97749.4767820698,480688.136141015,773454.526470131,840677.315571795,905697.76420278,1220899.37418445
"Cml Pop Growth","Adult Male",203252.07178997,48674.402455506,34425.0311985565,170565.818193457,203097.583923831,235736.396290708,391806.793003336
"Total Number Increase","Overall",5854223.72794308,391228.071396359,4454704.41007229,5582735.35488775,5858909.40464046,6116385.11883519,7494017.93051501
"Total Number Increase","Neonatal Female",214680.178894871,108066.462118692,-221056.215054862,141004.715581191,214241.961597744,288240.054460848,612552.297353878
"Total Number Increase","Neonatal Male",214053.208972027,108939.641424286,-159273.751926243,140425.659498457,213380.598948859,288923.335905076,633586.372129568
"Total Number Increase","Neonatal Combined",428733.387866898,207870.75825419,-329943.726786393,285713.100567966,427696.622961381,570882.976830613,1175809.75039455
"Total Number Increase","Juvenile Female",141027.911374533,67797.564768544,-89894.1352261381,94488.4799975049,141117.982087754,187423.630684099,393060.553129655
"Total Number Increase","Juvenile Male",1230246.84700103,69617.3286830352,977076.528690571,1183368.73585281,1229269.93833907,1277744.05617449,1496488.14153467
"Total Number Increase","Juvenile Combined",1371274.75837557,128221.163639698,914060.101270709,1283718.39647765,1371533.40011961,1457367.76963723,1831899.88603107
"Total Number Increase","Adult Female",1417443.64378138,99261.1650158713,1051377.66125236,1350176.62316837,1418240.15327114,1484155.61604886,1802402.54338054
"Total Number Increase","Adult Male",2636771.93791924,61117.6046305544,2419100.69183506,2595659.45907001,2636610.41721049,2678222.55089307,2870412.37519968
"Total Mortality","Overall",3758975.17930485,159671.123481637,3180421.97885568,3649521.31724124,3757377.86866942,3864915.25248389,4347912.89336471
"Total Mortality","Neonatal Female",1021833.78101662,83802.5225946527,712187.441320007,964859.152264989,1019439.56414107,1078266.50124508,1411127.50854316
"Total Mortality","Neonatal Male",1022970.41619924,84006.1618585324,673254.453055573,964887.959592459,1020518.70574466,1079645.75786427,1372453.32726429
"Total Mortality","Neonatal Combined",2044804.19721586,122986.2609426,1586310.56187347,1960619.30264627,2043234.75450109,2128927.81755734,2552153.82338249
"Total Mortality","Juvenile Female",385020.372198864,47531.4541321791,218462.198482835,352431.186528821,383031.423267883,416131.820492244,612190.228789851
"Total Mortality","Juvenile Male",286343.728643899,35682.4188566755,164837.519951434,261520.036331517,285571.826715695,310481.147257766,417957.162588976
"Total Mortality","Juvenile Combined",671364.100842763,60167.7508627556,455386.213028951,630120.542824735,669743.343161715,711374.881929469,971394.125765548
"Total Mortality","Adult Female",824522.852762405,78257.4867526634,567567.321403765,769740.802573695,824017.129309007,877739.134064159,1106749.00319609
"Total Mortality","Adult Male",218284.028483823,23858.5925461822,144887.294424213,201814.034583173,217530.72510207,234179.66911507,317572.62935254
"Population Liveweight (kg)","Overall",660681603.948923,66007371.9683206,420582951.729263,616829029.115587,660198825.088009,705448606.895084,922972803.508416
"Population Liveweight (kg)","Neonatal Female",30383162.0122635,7424733.41353268,13784054.477032,24726067.2036355,29941533.4284543,35544298.501807,56156219.2910017
"Population Liveweight (kg)","Neonatal Male",25995878.966166,4557519.25443261,8110153.65160878,22883192.2587882,26169112.1384271,29396370.5521936,38558117.9921015
"Population Liveweight (kg)","Juvenile Female",41775917.106435,7739374.91264588,11855312.2712604,36610014.4042754,41813057.5373465,47001098.8254549,75149766.5240668
"Population Liveweight (kg)","Juvenile Male",34163476.0456129,6231902.60867842,10505207.0010584,29944032.474407,34099194.0081549,38335680.3505784,58224291.0029725
"Population Liveweight (kg)","Juvenile Combined",75939393.1520479,10124589.4242725,38593943.2455439,69160041.1823509,76062350.4043059,82682503.9174342,114080461.242044
"Population Liveweight (kg)","Adult Female",425972653.42366,60290942.5053752,188024792.394669,385188491.053402,426384877.163343,466971925.155962,630235042.573931
"Population Liveweight (kg)","Adult Male",102390516.394786,22324783.8953874,20209852.4088572,87346662.5620033,102608481.717968,117297859.237756,181844406.309145
"Offtake Liveweight (kg)","Overall",111326538.754124,17162914.7516669,48078287.1893159,99830817.575081,111081462.530544,122878258.674762,173125857.156068
"Offtake Liveweight (kg)","Juvenile Female",1622735.48144899,296253.647843364,430193.959521971,1425038.52884593,1619173.98469742,1821439.55364854,2824497.26573724
"Offtake Liveweight (kg)","Juvenile Male",16349450.9590995,2935816.03027278,5090254.56151223,14417467.0746346,16345785.0224609,18325011.7593584,27639918.8686931
"Offtake Liveweight (kg)","Adult Female",16523421.9547257,2321818.91265649,7284606.19612379,14973688.2069212,16523637.5167905,18084730.9921337,24279152.1479074
"Offtake Liveweight (kg)","Adult Male",76830930.3588502,16755934.2063329,16923815.3546242,65582102.2021068,76625085.0772884,87762752.5809039,134744836.831766
"Meat (kg)","Overall",298748124.066141,15094879.8962097,243548230.44216,288558210.483475,298761062.243983,309113195.630608,351689225.323145
"Manure","Overall",2304355513.6102,14107093.7740906,2249214019.48462,2294661569.11644,2304164737.87133,2313962424.99671,2365412146.60535
"Manure","Neonatal Female",79342852.2682244,2385063.77094312,70996595.4877294,77687947.2514551,79339273.208229,80945417.1029829,88665608.548541
"Manure","Neonatal Male",79331797.3837799,2375659.78905142,70327390.769855,77701754.1827115,79328443.2968272,80933073.0511911,88292134.6250988
"Manure","Neonatal Combined",158674649.652004,4559272.32631861,141445991.350164,155561613.659723,158664652.566287,161684702.664832,176957743.17364
"Manure","Juvenile Female",138844519.771836,2715182.78226381,129930805.686628,136977013.519625,138830551.113371,140656071.439915,150820134.042869
"Manure","Juvenile Male",105538305.206943,2324001.07744278,96795943.7848245,103946946.28018,105521455.75569,107078063.24286,114388768.95455
"Manure","Juvenile Combined",244382824.97878,4681209.55819726,227338804.503527,241203705.402459,244319602.651845,247449958.58015,264863755.912358
"Manure","Adult Female",1566785041.79918,5656461.86526128,1545187911.02591,1562939898.37581,1566834202.21232,1570617275.60787,1585701753.52109
"Manure","Adult Male",334512997.180237,2309958.8529476,326182637.785934,332958673.965787,334512392.618242,336072154.598697,343817142.025407
"Hides","Overall",857085.491044496,50154.87972536,673144.618220101,822100.226428996,856303.8536075,891063.03564991,1058534.14696093
"Hides","Juvenile Female",192510.186099432,23765.7270660896,109231.099241418,176215.593264411,191515.711633941,208065.910246122,306095.114394926
"Hides","Juvenile Male",143171.864321949,17841.2094283378,82418.7599757169,130760.018165758,142785.913357848,155240.573628883,208978.581294488
"Hides","Juvenile Combined",335682.050421382,30083.8754313778,227693.106514476,315060.271412368,334871.671580857,355687.440964735,485697.062882774
"Hides","Adult Female",412261.426381203,39128.7433763317,283783.660701882,384870.401286847,412008.564654503,438869.56703208,553374.501598046
"Hides","Adult Male",109142.014241911,11929.2962730911,72443.6472121066,100907.017291587,108765.362551035,117089.834557535,158786.31467627
"Milk","Overall",0,0,0,0,0,0,0
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",3153382574.79681,134625740.094096,2663892197.32736,3061967326.75062,3153130853.16227,3244451666.86096,3641260994.21678
"Cml Dry Matter","Neonatal Female",273909757.288971,20670123.8890142,205137556.050142,259436236.937673,273497341.121481,287630825.095597,353114197.281694
"Cml Dry Matter","Neonatal Male",273836561.077159,20669073.3861652,210961808.42952,259562850.812892,273485876.94166,287729930.992854,357513776.05041
"Cml Dry Matter","Neonatal Combined",547746318.36613,30880141.7235213,443943365.364102,526658644.765767,547243020.346251,568480379.289472,673182315.52171
"Cml Dry Matter","Juvenile Female",239385306.8073,17211062.5079722,174459883.932888,227646964.96097,239113310.825006,250894787.919964,307141534.429569
"Cml Dry Matter","Juvenile Male",182258594.863512,13353946.8521332,141374795.970953,173050274.592414,182096689.749232,191316797.133746,236844567.736477
"Cml Dry Matter","Juvenile Combined",421643901.670812,22452892.5927995,343101749.892623,406368964.526783,421207326.419178,436844948.033434,507569569.860211
"Cml Dry Matter","Adult Female",1799316939.2202,124982609.717803,1349006761.22737,1714427490.29415,1798129826.54036,1883973114.13286,2233189929.67133
"Cml Dry Matter","Adult Male",384675415.539666,26874677.5308137,294852837.270019,366490653.855806,384271456.103962,402528539.123241,509308544.604671
"Value of Offtake","Overall",14979302721.7174,2792357078.72082,8768109912.14902,12837046711.8611,14720191887.9148,16909599155.7976,24178117216.8913
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",179918618.855193,42981638.9987455,97379589.8715735,146277886.690274,175855101.600439,209844108.90448,331336476.256816
"Value of Offtake","Juvenile Male",2220851445.989,662961715.803785,958139013.583067,1706493921.1191,2149890997.1301,2674087836.5898,4483458147.06571
"Value of Offtake","Juvenile Combined",2400770064.84419,664478576.979575,1097623144.67264,1883828924.94907,2330679148.23744,2850875122.20307,4650878732.5499
"Value of Offtake","Adult Female",1730082314.03621,171251429.365526,1380215487.54623,1598634946.35153,1713909257.70686,1847112031.91231,2257309969.01444
"Value of Offtake","Adult Male",10848450342.837,2703025508.61877,5693238284.88316,8744246400.56826,10568094645.3111,12733273239.2472,19135414457.64
"Value of Herd Increase","Overall",5501111251.78496,1005925074.42078,1956568293.66408,4800763772.34465,5472149821.05615,6155002566.43588,9924326329.99572
"Value of Herd Increase","Neonatal Female",310831385.269132,161874871.31117,-341224624.690505,198131939.049998,306771463.800608,416478994.894399,935350188.262473
"Value of Herd Increase","Neonatal Male",287204083.107241,150664547.413687,-217598696.303662,183942244.700115,283810986.964481,387024187.241294,926190610.350654
"Value of Herd Increase","Neonatal Combined",598035468.376373,295052645.822595,-542102647.297799,396147011.506568,594149248.704965,794468423.2479,1786653949.92802
"Value of Herd Increase","Juvenile Female",148858228.638426,162315660.703515,-427185771.413447,39296097.4767285,141734797.381459,248829846.759302,981733544.371714
"Value of Herd Increase","Juvenile Male",1328025422.54919,426541890.813733,429249436.695453,1004122310.44976,1273418462.34597,1598794839.24575,3026435211.86384
"Value of Herd Increase","Juvenile Combined",1476883651.18762,497371108.848975,214566266.998744,1116410364.46501,1423795952.94669,1787315897.08479,3659130737.5864
"Value of Herd Increase","Adult Female",2518912172.61548,384955284.391516,1361078135.19833,2243608296.99006,2499134202.00602,2769017916.02334,4114080196.71088
"Value of Herd Increase","Adult Male",907279959.605491,316504184.344193,112240599.593574,673845566.496089,870415379.795165,1097392798.06705,2431665970.75474
"Value of Herd Increase plus Offtake","Overall",20480413973.5024,2987120059.09599,12233303231.9704,18279015879.6115,20253359494.5008,22461873879.9552,31086767890.5446
"Value of Herd Increase plus Offtake","Neonatal Female",310831385.269132,161874871.31117,-341224624.690505,198131939.049998,306771463.800608,416478994.894399,935350188.262473
"Value of Herd Increase plus Offtake","Neonatal Male",287204083.107241,150664547.413687,-217598696.303662,183942244.700115,283810986.964481,387024187.241294,926190610.350654
"Value of Herd Increase plus Offtake","Neonatal Combined",598035468.376373,295052645.822595,-542102647.297799,396147011.506568,594149248.704965,794468423.2479,1786653949.92802
"Value of Herd Increase plus Offtake","Juvenile Female",328776847.493619,170671418.71456,-288033530.865446,213385371.225563,321107684.347475,434390421.973872,1181709769.82139
"Value of Herd Increase plus Offtake","Juvenile Male",3548876868.53819,797972150.498404,1528994033.96555,2955052419.00196,3490531470.81299,4085814631.69089,6749041684.81852
"Value of Herd Increase plus Offtake","Juvenile Combined",3877653716.03181,845571234.75806,1692997335.9984,3262053974.2938,3813223224.26501,4444777550.05992,7233612198.28347
"Value of Herd Increase plus Offtake","Adult Female",4248994486.65169,426543165.137948,2942720148.61827,3946532875.53934,4228573702.07794,4530588528.34913,5871189358.60162
"Value of Herd Increase plus Offtake","Adult Male",11755730302.4425,2722067458.92285,6252488151.32565,9634778656.4778,11473365956.2578,13625953800.6043,20297970228.5084
"Value of Manure","Overall",1152177756.8051,7053546.88704528,1124607009.74231,1147330784.55822,1152082368.93566,1156981212.49836,1182706073.30267
"Value of Manure","Neonatal Female",39671426.1341122,1192531.88547156,35498297.7438647,38843973.6257275,39669636.6041145,40472708.5514914,44332804.2742705
"Value of Manure","Neonatal Male",39665898.69189,1187829.89452571,35163695.3849275,38850877.0913558,39664221.6484136,40466536.5255955,44146067.3125494
"Value of Manure","Neonatal Combined",79337324.8260021,2279636.1631593,70722995.675082,77780806.8298616,79332326.2831436,80842351.3324158,88478871.5868199
"Value of Manure","Juvenile Female",69422259.8859181,1357591.3911319,64965402.8433142,68488506.7598124,69415275.5566855,70328035.7199575,75410067.0214346
"Value of Manure","Juvenile Male",52769152.6034717,1162000.53872139,48397971.8924123,51973473.1400898,52760727.8778451,53539031.6214298,57194384.4772751
"Value of Manure","Juvenile Combined",122191412.48939,2340604.77909863,113669402.251763,120601852.70123,122159801.325922,123724979.290075,132431877.956179
"Value of Manure","Adult Female",783392520.89959,2828230.93263064,772593955.512956,781469949.187904,783417101.106161,785308637.803937,792850876.760544
"Value of Manure","Adult Male",167256498.590119,1154979.4264738,163091318.892967,166479336.982893,167256196.309121,168036077.299349,171908571.012703
"Value of Hides","Overall",34283419.6417798,2006195.1890144,26925784.728804,32884009.0571598,34252154.1443,35642521.4259964,42341365.878437
"Value of Hides","Juvenile Female",7700407.44397728,950629.082643583,4369243.9696567,7048623.73057643,7660628.46535765,8322636.40984489,12243804.575797
"Value of Hides","Juvenile Male",5726874.57287798,713648.377133511,3296750.39902868,5230400.72663033,5711436.5343139,6209622.94515531,8359143.25177951
"Value of Hides","Juvenile Combined",13427282.0168553,1203355.01725511,9107724.26057902,12602410.8564947,13394866.8632343,14227497.6385894,19427882.515311
